Movie,Date Watched,Rating,Liked,Review
Adrift,15 Jan 2024,★★★,False,
The Blair Witch Project,14 Jan 2024,★★★★,False,
PlayTime,13 Jan 2024,★★★★★,True,
Adam's Rib,13 Jan 2024,★★★½,True,
The Great Beauty,12 Jan 2024,★★★★,False,
The Parallax View,12 Jan 2024,★★★½,True,
The Hudsucker Proxy,10 Jan 2024,★★★½,False,
Three Days of the Condor,10 Jan 2024,★★★½,False,
Opening Night,09 Jan 2024,,False,
The Spy Who Came in from the Cold,09 Jan 2024,★★★★,False,
Bottle Rocket,07 Jan 2024,★★★½,False,
Barbie,06 Jan 2024,★★★★,False,
Holiday,31 Dec 2023,★★★★,True,
Inception,31 Dec 2023,★★★★½,False,
Michael Clayton,31 Dec 2023,★★★★,True,
The Talented Mr. Ripley,30 Dec 2023,★★★★½,False,
Margin Call,30 Dec 2023,★★★★,False,
Asteroid City,29 Dec 2023,★★★★,False,
New Rose Hotel,29 Dec 2023,,False,
Charade,28 Dec 2023,★★★★,True,
Ex Machina,27 Dec 2023,★★★★,True,
The Net,27 Dec 2023,★★½,False,
Saltburn,26 Dec 2023,★★½,True,
Logan Lucky,26 Dec 2023,★★★½,False,
Christmas in Connecticut,25 Dec 2023,★★★½,True,
Christmas at the Amish Bakery,25 Dec 2023,★,False,
Love Actually,25 Dec 2023,,True,
Meet Me in St. Louis,25 Dec 2023,★★★★,False,
The Grand Budapest Hotel,25 Dec 2023,★★★★★,True,
Through a Glass Darkly,23 Dec 2023,★★★★,False,
Our Kind of Traitor,22 Dec 2023,★★★½,True,
Leave the World Behind,17 Dec 2023,★★★,False,
Videodrome,13 Dec 2023,★★★½,False,
House of Games,11 Dec 2023,★★★½,False,
The Bourne Ultimatum,09 Dec 2023,★★★★,False,
The Courier,08 Dec 2023,★★★½,False,
Clockwatchers,08 Dec 2023,★★★,False,
Afire,07 Dec 2023,★★★½,False,
SubUrbia,06 Dec 2023,★★★½,False,
Tinker Tailor Soldier Spy,05 Dec 2023,★★★★★,True,
Yesterday,10 Sep 2021,★★★,False,
The Darjeeling Limited,03 Sep 2021,★★★★,True,
Hotel Chevalier,03 Sep 2021,★★★★,False,
The Daytrippers,26 Jul 2020,,False,
Bad Boys,16 Jul 2020,,False,
Cedar Rapids,16 Jul 2020,,False,
The Brothers Bloom,16 Jul 2020,,False,
Spellbound,29 Jun 2020,,False,
Intolerable Cruelty,20 Jun 2020,,False,
Up in the Air,20 Jun 2020,★★★★,False,
Ready or Not,18 Jun 2020,★★★½,False,
Michael Clayton,17 Jun 2020,★★★★,True,
Miss Congeniality,17 Jun 2020,,False,
Citizen X,09 Jun 2020,,False,
Emma.,11 May 2020,,True,
La Haine,05 May 2020,★★★★,True,
Horrible Bosses,28 Apr 2020,,False,
Meet the Parents,22 Apr 2020,,False,
"Paris, Texas",18 Apr 2020,,True,
Stranger Than Fiction,13 Apr 2020,★★★★,False,
Ocean's Eleven,13 Apr 2020,,True,
The Lobster,03 Apr 2020,,False,
Castle in the Sky,02 Apr 2020,,False,
Foxes,01 Apr 2020,★★,False,
The Family Stone,31 Mar 2020,,False,
Cloudy with a Chance of Meatballs,30 Mar 2020,,False,
Hearts of Darkness: A Filmmaker's Apocalypse,29 Mar 2020,,False,
Apocalypse Now,28 Mar 2020,★★★★★,True,
Snowpiercer,26 Mar 2020,,True,
The Lord of the Rings: The Fellowship of the Ring,25 Mar 2020,,True,
My Neighbor Totoro,25 Mar 2020,,True,
Talladega Nights: The Ballad of Ricky Bobby,23 Mar 2020,,False,
Panic Room,22 Mar 2020,,False,
Midsommar,20 Mar 2020,★★★★,False,
Ex Machina,19 Mar 2020,,True,
The Anderson Tapes,17 Mar 2020,★★★★,False,
Zombieland: Double Tap,17 Mar 2020,,False,
A Scanner Darkly,17 Mar 2020,,False,
Hereditary,16 Mar 2020,★★★★½,False,
Groundhog Day,14 Mar 2020,★★★½,False,
Booksmart,13 Mar 2020,★★★★,False,
Taxi Driver,09 Mar 2020,★★★★,False,
Princess Mononoke,07 Mar 2020,★★★★½,True,
In Bruges,26 Feb 2020,★★★★★,True,
That's My Boy,13 Feb 2020,★½,False,
The Interview,13 Feb 2020,★★½,False,
No Country for Old Men,10 Feb 2020,★★★★,True,
