Movie,Date Watched,Rating,Liked,Review
The Curse,12 Jan 2024,★★★★★,False,I could rate this 1 star or 5 stars this was so batshit crazy….
May December,08 Jan 2024,★★★★½,False,Honestly so good so camp so deeply upsetting! Everyone is capital A Acting here!!!! That last “do you understand me?” From Julianne and that last “it’s getting more real” from Natalie is sooooo chilling….
Midnight Cowboy,06 Jan 2024,★★★★,False,"Thats MONTAGE, baby!!!"
How to Have Sex,03 Jan 2024,★★★½,False,
Killers of the Flower Moon,31 Dec 2023,★★★★,False,Obviously very good but I have to say they really could have shaved down an hour… I’m sorry Thelma I love you but please!!!
Fast Times at Ridgemont High,30 Dec 2023,★★★,False,
Being John Malkovich,28 Dec 2023,★★★★★,True," Seeing this in the theater…. TRANSCENDENT EXPERIENCE!!!!!! I forgot just how Unhinged this movie is, my god….I am just so so so obsessed with this and so happy it exists and I wish we had more movies that just go full fucking insane and make up a crazy story and just GO FOR IT!!! That’s what the movies are all about baby! Catherine keener is so fucking sexy being mean in her monochrome outfits…… I miss Cameron Diaz in… "
Saving Private Ryan,27 Dec 2023,★★★,False,Movies used to have Adam Goldberg in them…..
Days of Heaven,25 Dec 2023,★★★★,True,this years annual Christmas Day movie w the fam!! Every frame for real a painting….
Wonka,24 Dec 2023,★★★,False,"Oh dear I do fear my Timothée was miscast, but his singing was darling most of the time and especially in the last song his voice cracks for a second at the emotional high, I loved that! Some great performances and some just soooo bad. Hated the VFX as per usual"
The Family Stone,21 Dec 2023,,False,Sarah Jessica Parker for some reason smells a bar of soap seductively in one scene for seemingly no reason???????? Rachel mcadams soooooooo hot in this though like the NPR tote bag? Fuck OFF!!!!!!
The Beguiled,20 Dec 2023,★★★★½,True,"And if I said this was my favourite Coppola movie ever….. what then….. like my god, it’s sinister and thrilling and beautiful and quiet and the light leaks in so gorgeously…"
The Boy and the Heron,19 Dec 2023,★★★★,False,I love the wara wara so much and the pelicans and the parakeets!!! And the heron! So many beautiful birds!!! honestly this whole movie was mesmerizing - mature but readable for a child I think? Idk! I hope it wins the Oscar……. But I know something silly made by Disney will obviously win instead… I HOPE I AM WRONG!!!
This Is Where I Leave You,19 Dec 2023,★½,False,Soooo bad. Why do I keep watching things for Kathryn Hahn and she’s only in it for 4 combined minutes. We need a Kathryn Hahn leading role stat!!
Poor Things,16 Dec 2023,★★★★★,True,
Medea,15 Dec 2023,,False,
Scarface,14 Dec 2023,★,False,
Maestro,11 Dec 2023,★★★,False,
The Conversation,10 Dec 2023,★★★★,True,
Dumb Money,08 Dec 2023,★★,False,
The Holdovers,07 Dec 2023,★★★½,True,
Dream Scenario,06 Dec 2023,★★★★½,True,
Anastasia,05 Dec 2023,★★★★★,True,
The Favourite,04 Dec 2023,★★★★★,True,
Sicario,03 Dec 2023,,False,
The Departed,01 Dec 2023,★★★★,False,
Saltburn,30 Nov 2023,★★½,False,
The Hunger Games: Mockingjay – Part 2,28 Nov 2023,★★★½,False,
The Hunger Games: Mockingjay – Part 1,25 Nov 2023,★★★,False,
The Hunger Games: Catching Fire,22 Nov 2023,★★★★,True,
The Hunger Games,22 Nov 2023,★★★★½,True,
Over the Garden Wall,19 Nov 2023,★★★★★,True,
The Killer,17 Nov 2023,★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Nov 2023,★★★,True,
Priscilla,14 Nov 2023,★★★½,False,
The Triangle,13 Nov 2023,,False,
Mulan,06 Nov 2023,★★★★★,True,
Anatomy of a Fall,04 Nov 2023,★★★★½,True,
The Craft,31 Oct 2023,★★★½,False,
Bodies Bodies Bodies,30 Oct 2023,★★★★½,True,
Practical Magic,26 Oct 2023,,False,
Minding the Gap,22 Oct 2023,★★★,False,
