Movie,Date Watched,Rating,Liked,Review
Dumb Money,13 Jan 2024,,False,huge loser energy from the robinhood dude
Ferrari,01 Jan 2024,★★½,False,the least italian movie ever except for when they say laura
"Are You There God? It's Me, Margaret.",26 Dec 2023,★★★,False,
Happiest Season,25 Dec 2023,★★★½,False,
Saltburn,24 Dec 2023,★★,False,just go watch killing of a sacred deer instead
Maestro,18 Dec 2023,★★★½,False,
Murder Mystery 2,10 Dec 2023,★½,False,
Singin' in the Rain,10 Dec 2023,★★★★½,False,glorious
Poor Things,09 Dec 2023,★★★½,False,emma stone acted the shit out of this
Murder Mystery,08 Dec 2023,,False,
May December,06 Dec 2023,★★★★★,False,those little bugs feel plucked from adaptation….. sublime!!!! harrowing!!!!
Fallen Leaves,16 Nov 2023,★★★½,False,
The Killer,14 Nov 2023,★★★,False,an extra half star for ending on my (fitting) personal favourite the smiths song
The Holdovers,13 Nov 2023,★★★★,False,marcus auerlius’ meditations as a christmas gift was played for laughs but in my books that’s a top tier gift
Personal Shopper,12 Nov 2023,★★★★,False,spooky
Priscilla,08 Nov 2023,★★★★,False,"too in the cage, but boy how she captures girlhood remains unparalleled"
Citizenfour,07 Nov 2023,★★★★,False,
Killers of the Flower Moon,06 Nov 2023,★★★★,False,that ending got me
Under the Silver Lake,05 Nov 2023,,False,if beau was less afraid
Lost in Translation,04 Nov 2023,★★★½,False,
Oldboy,17 Sep 2023,,False,
Mean Girls,10 Sep 2023,,True,
Fast Times at Ridgemont High,09 Sep 2023,★★★★,False,
Oppenheimer,04 Sep 2023,★★★★,False,
The Tree of Life,28 Aug 2023,★★★★★,False,
You Are So Not Invited to My Bat Mitzvah,27 Aug 2023,,False,
Boogie Nights,22 Aug 2023,★★★★½,True,
Somewhere,16 Aug 2023,★★★★★,True,
Bottoms,08 Aug 2023,,False,
Idiocracy,27 Jul 2023,,False,
Barbie,23 Jul 2023,★★★★★,True,
Barbie,21 Jul 2023,★★★★★,True,
Jackass Forever,20 Jul 2023,★★★★,False,
One Sunday in Canada,19 Jul 2023,,False,
She Said,19 Jul 2023,,False,
Sexy Beast,08 Jul 2023,★★★★,False,
No Hard Feelings,28 Jun 2023,,False,
Don't Look Up,26 Jun 2023,,False,
Asteroid City,22 Jun 2023,★★★½,False,
The Darjeeling Limited,18 Jun 2023,★★★★,False,
He Went That Way,15 Jun 2023,,False,
But I'm a Cheerleader,13 Jun 2023,,False,
Master Gardener,11 Jun 2023,★★★½,False,
Return to Seoul,08 Jun 2023,★★★★,False,
Past Lives,07 Jun 2023,★★★★½,True,
Sanctuary,18 May 2023,★★★★,False,
School of Rock,16 May 2023,★★★★½,False,
Coffee and Cigarettes,10 May 2023,,False,
Reality Bites,29 Apr 2023,★★★½,False,
Showing Up,27 Apr 2023,★★★½,False,
Two Lovers,25 Apr 2023,★★★★,False,
Go,20 Apr 2023,★★★★,False,
Jackals & Fireflies,18 Apr 2023,,False,
Hereditary,16 Apr 2023,★★★,False,
Sick of Myself,15 Apr 2023,★★★½,False,
Beau Is Afraid,14 Apr 2023,★★★★½,True,
How to Blow Up a Pipeline,12 Apr 2023,,False,
Emily the Criminal,10 Apr 2023,,False,
SubUrbia,08 Apr 2023,★★★★,False,
Before Midnight,07 Apr 2023,★★★★½,False,
Before Sunset,07 Apr 2023,★★★★½,True,
Before Sunrise,05 Apr 2023,,True,
Top Gun,22 Mar 2023,,False,
The 40 Year Old Virgin,22 Mar 2023,,False,
Memento,15 Mar 2023,★★★★,False,
Rewind & Play,14 Mar 2023,,False,
Le Pupille,05 Mar 2023,★★★★½,False,
Skinamarink,03 Mar 2023,,False,
M3GAN,02 Mar 2023,★★★★,False,
My Year of Dicks,26 Feb 2023,,False,
An Ostrich Told Me the World Is Fake and I Think I Believe It,26 Feb 2023,,False,
Bugsy,23 Feb 2023,★★★½,False,
Women Talking,22 Feb 2023,,False,
Earth Girls Are Easy,22 Feb 2023,,False,
Navalny,19 Feb 2023,★★★★,False,
Along Came Polly,08 Feb 2023,,False,
Game Night,06 Feb 2023,,False,
You People,05 Feb 2023,,False,
Some Like It Hot,03 Feb 2023,,False,
Smoke Sauna Sisterhood,28 Jan 2023,,False,
Eastern Promises,25 Jan 2023,,False,
Infinity Pool,24 Jan 2023,★★★★½,False,
Maps to the Stars,20 Jan 2023,,True,
Somewhere,19 Jan 2023,★★★★★,True,
Aftersun,18 Jan 2023,★★★★★,True,
Songs for Drella,16 Jan 2023,★★★★½,False,
The Conformist,16 Jan 2023,,False,
No Bears,14 Jan 2023,,False,
Man with a Movie Camera,14 Jan 2023,★★★★½,False,
Bones and All,09 Jan 2023,★★★½,False,
Dick,03 Jan 2023,★★★★,False,
Heaven Can Wait,30 Dec 2022,,False,
The Square,30 Dec 2022,,False,
The Apartment,24 Dec 2022,,False,
Glass Onion,23 Dec 2022,★★★½,False,
Babylon,23 Dec 2022,★★★★,False,
Barbarian,21 Dec 2022,★★★½,False,
All the Beauty and the Bloodshed,18 Dec 2022,★★★★★,True,
Bullet Train,11 Dec 2022,,False,
We're the Millers,11 Dec 2022,,False,
The Fog of War,22 Nov 2022,,False,
Decision to Leave,19 Nov 2022,★★★★½,False,
Sun Ra: A Joyful Noise,18 Nov 2022,,False,
The Menu,17 Nov 2022,★★★½,False,
Don't Worry Darling,14 Nov 2022,,False,
Armageddon Time,10 Nov 2022,★★★★,False,
After Yang,02 Nov 2022,,False,
Scream 2,31 Oct 2022,★★★½,False,
Practical Magic,30 Oct 2022,,False,
The Banshees of Inisherin,28 Oct 2022,★★★★,False,
When Harry Met Sally...,23 Oct 2022,,False,
