Movie,Date Watched,Rating,Liked,Review
Blank Narcissus (Passion of the Swamp),15 Jan 2024,,False,
The Skin I Live In,15 Jan 2024,★★★★,False,
The Piano Teacher,15 Jan 2024,★★★★½,True,
The Borderlands,12 Jan 2024,★★★½,False,
The God of Cookery,09 Jan 2024,★★★★,True,
The Iron Claw,08 Jan 2024,★★★★,True,
From Beijing with Love,07 Jan 2024,★★★½,True,
Taboo,06 Jan 2024,,False,
Thanksgiving,29 Dec 2023,★★★½,True,
Saltburn,27 Dec 2023,★★★½,True,
Freaky Friday,26 Dec 2023,★★★★,True,
Poor Things,18 Dec 2023,★★★★★,True,
The Boy and the Heron,11 Dec 2023,★★★★½,True,
Far from Heaven,10 Dec 2023,★★★★,True,
May December,03 Dec 2023,★★★★½,True,
Caveat,01 Dec 2023,,False,
Sunrise: A Song of Two Humans,30 Nov 2023,★★★★,True,
Planet of the Apes,28 Nov 2023,,False,
Man of Steel,27 Nov 2023,★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,24 Nov 2023,★★★★,True,
The Hunger Games: Catching Fire,20 Nov 2023,★★★★,True,
Killers of the Flower Moon,12 Nov 2023,★★★½,True,
Afire,06 Nov 2023,★★★½,False,
All That Heaven Allows,05 Nov 2023,★★★★½,True,
The Forbidden Room,04 Nov 2023,,True,
Casino,02 Nov 2023,★★★★,False,
Perfect Days,25 Oct 2023,,False,
The Sweet East,25 Oct 2023,★★★★,True,
Kubi,24 Oct 2023,★★★,False,
Monster,24 Oct 2023,★★★★½,True,
Eileen,22 Oct 2023,,True,
La Chimera,22 Oct 2023,,False,
The Taste of Things,22 Oct 2023,★★★★,True,
Saw X,21 Oct 2023,,False,
Red Rooms,20 Oct 2023,★★★,False,
Dream Scenario,20 Oct 2023,★★★★½,True,
A Nightmare on Elm Street 3: Dream Warriors,18 Oct 2023,★★★½,True,
The Night of the Hunter,14 Oct 2023,★★★★,True,
Jennifer's Body,11 Oct 2023,★★★½,False,
My Heart Is That Eternal Rose,09 Oct 2023,★★★★½,True,
Jodorowsky's Dune,08 Oct 2023,★★★★,False,
Strange Way of Life,05 Oct 2023,★★★,True,
Typhoon Club,30 Sep 2023,,False,
P. P. Rider,30 Sep 2023,★★★★,True,
8½,16 Sep 2023,,True,
Annabelle,15 Sep 2023,★★½,False,
The Conjuring,13 Sep 2023,★★★½,True,
Chinatown,11 Sep 2023,,True,
The Babysitter,10 Sep 2023,★,False,
Who Killed Captain Alex?,08 Sep 2023,,False,
Angst,04 Sep 2023,,False,
Bottoms,04 Sep 2023,★★★★,True,
Redline,03 Sep 2023,★★★½,True,
My Cousin Vinny,03 Sep 2023,★★★★,True,
No Hard Feelings,28 Aug 2023,★★★,True,
Ready Player One,15 Aug 2023,★★½,False,
The Godfather,12 Aug 2023,★★★★½,True,
Passages,11 Aug 2023,★★★½,True,
The Wizard of Oz,08 Aug 2023,,True,
Blow Out,06 Aug 2023,★★★★½,True,"camera angles, suspense, sound mixing, really really good ending sequence"
Demons,04 Aug 2023,★★★½,True,
Barbie,30 Jul 2023,★★★★,True,
Oppenheimer,30 Jul 2023,★★★★,True,"- The music & sound slapped but without it I would’ve been asleep for a lot of these political intrigue scenes! Red scare stuff got repetitive for me was perfectly directed, edited, and acted. - Made me think a lot about the 3 body problem series with its visualizations of atoms & quantum physics. I love when movies bring those concepts within visceral reach"
Talk to Me,28 Jul 2023,★★★★,True,good feel-bad midnight movie this one got to me…
Barbie,22 Jul 2023,★★★½,True,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,★★★½,True,
North by Northwest,09 Jul 2023,★★★★,False,
WALL·E,02 Jul 2023,★★★★½,True,
BEEF,29 Jun 2023,★★★★½,True,
Joy Ride,28 Jun 2023,★★★½,True,
Bridesmaids,27 Jun 2023,★★★,True,
Asteroid City,24 Jun 2023,★★★★,False,
White Chicks,23 Jun 2023,★★★,True,
Howl's Moving Castle,21 Jun 2023,★★★★,False,
The Love Witch,18 Jun 2023,★★★★,True,
Black Mirror: Beyond the Sea,18 Jun 2023,★★★,True,
Past Lives,12 Jun 2023,★★★★★,True,
Cape Fear,08 Jun 2023,★★★★½,True,
Phoenix,04 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★,True,
Safe,02 Jun 2023,★★★½,True,
Now You See Me,29 May 2023,★★,False,
Mission: Impossible,29 May 2023,★★★½,True,
8 Women,27 May 2023,,True,
Sunny,25 May 2023,★★★★½,True,"I crieddddd, so fun, funny, and sweet. just enough darkness to feel real without taking away from the Sunny outlook. Lots of long takes with great staging of multiple characters just hanging out and a lot of fun camera movements. Also fun musical scenes"
Streets of Fire,21 May 2023,★★★½,True,"this aged so badly and a lot of the characterization didn't make sense. But it had great music and editing, and Willem Dafoe looked amazing"
Swimming Pool,21 May 2023,★★★½,True,
The Super Mario Bros. Movie,19 May 2023,★★★,True,
See the Sea,15 May 2023,★★★★,True,
Sonatine,12 May 2023,★★★★,True,was not expecting this to get so slice-of-life-y!
Raging Bull,09 May 2023,★★★★,True,
Hard Boiled,06 May 2023,★★★★,True,
Naked,06 May 2023,,False,
Beau Is Afraid,29 Apr 2023,★★★★,True,
"Night Is Short, Walk on Girl",26 Apr 2023,★★★★½,True,Shocked I hadn't heard of this before. So fun
Evil Dead Rise,22 Apr 2023,★★½,False,
Carmen,15 Apr 2023,★★★½,True,"Best if you’re prepared for it to be kinda corny with meager dialogue and a basic plot! It’s beautifully made—see it for music, choreo, camerawork, and bits of magical realism"
Freddy Got Fingered,06 Apr 2023,,False,
Donnie Darko,02 Apr 2023,★★★½,False,
Southland Tales,01 Apr 2023,★★★★,True,
John Wick: Chapter 2,26 Mar 2023,★★★½,True,
John Wick,25 Mar 2023,★★★½,False,
John Wick,25 Mar 2023,★★★½,False,
"Comrades, Almost a Love Story",19 Mar 2023,★★★★½,True,
Emily the Criminal,16 Mar 2023,★★★½,True,
Cryptozoo,13 Mar 2023,★★½,False,
The Wounded Man,10 Mar 2023,,False,
Your Name.,08 Mar 2023,★★★★½,True,
Knock at the Cabin,07 Mar 2023,★★★½,True,
Return to Seoul,05 Mar 2023,★★★½,True,
Cocaine Bear,01 Mar 2023,★★★,True,
A Matter of Life and Death,26 Feb 2023,★★★★½,True,
Shrek 2,23 Feb 2023,★★★★,True,
"Crouching Tiger, Hidden Dragon",19 Feb 2023,★★★★,True,
M3GAN,05 Feb 2023,★★★½,True,"I do support going to the theatRe but this was a great movie to watch on a sofa slightly tipsy laughing at 2 am with friends, and I don't think I would have liked it as much otherwise. I love this robot"
Puss in Boots: The Last Wish,01 Feb 2023,★★★★,True,
Infinity Pool,28 Jan 2023,★★,False,
Triangle of Sadness,21 Jan 2023,★★★★½,True,
Babylon,18 Jan 2023,★★★½,False,
A Field in England,04 Jan 2023,★★½,False,
The Menu,03 Jan 2023,★★★★,True,
Smile,01 Jan 2023,★★½,False,
Strange Days,01 Jan 2023,★★★½,False,
Over the Garden Wall,28 Dec 2022,★★★★★,True,
