Movie,Date Watched,Rating,Liked,Review
All of Us Strangers,15 Jan 2024,★★★★★,False,Unreal
Anatomy of a Fall,15 Jan 2024,★★★★,False,
The Iron Claw,13 Jan 2024,★★★★,False,
A Murder at the End of the World,12 Jan 2024,★★,False,
The Zone of Interest,11 Jan 2024,★★★★,False,
The Holdovers,10 Jan 2024,★★★★,False,
American Fiction,05 Jan 2024,★★★,False,This probably would’ve worked better if I hadn’t seen the trailer nonstop for the last 3 months
Ferrari,02 Jan 2024,★★★,False,
Fallen Leaves,28 Dec 2023,★★★,False,
Meet Me in St. Louis,23 Dec 2023,★★★,False,
The Boy and the Heron,17 Dec 2023,★★★★,False,Fascist parakeets
May December,15 Dec 2023,★★★★,False,
Maestro,11 Dec 2023,★★,False,Okay
No Bears,11 Dec 2023,★★★★,False,
The Beach,10 Dec 2023,★★★,False,
Poor Things,09 Dec 2023,★★★★,False,
Dream Scenario,08 Dec 2023,★★★★,False,
The Magnificent Ambersons,04 Dec 2023,★★★,False,Didn’t expect for them to come for cars this hard
Paper Moon,03 Dec 2023,★★★★★,False,
Mank,03 Dec 2023,★★★,False,God this looks like absolute shit
Napoleon,03 Dec 2023,★★★,False,
Little Richard: I Am Everything,23 Nov 2023,★★★,False,
Broker,23 Nov 2023,,False,
The Goonies,18 Nov 2023,★★★,False,Altman for kids
Indiana Jones and the Dial of Destiny,16 Nov 2023,★★★,False,Trauma…..Why’d it have to be trauma?!?
BlackBerry,14 Nov 2023,★★★,False,
Tully,14 Nov 2023,★★★,False,
No Hard Feelings,13 Nov 2023,★★,False,
Defending Your Life,13 Nov 2023,★★★★,False,You wouldn’t understand
John Wick: Chapter 4,12 Nov 2023,★★★,False,
Three Thousand Years of Longing,10 Nov 2023,★★★★,False,
Killers of the Flower Moon,07 Nov 2023,★★★★,False,
The Social Network,05 Nov 2023,★★★★★,True,
The Girl with the Dragon Tattoo,05 Nov 2023,★★★★,False,
The Omen,31 Oct 2023,★★★,False,He got that dog in him
Fight Club,30 Oct 2023,★★★★,True,
Censor,28 Oct 2023,★★★,False,
The Killer,28 Oct 2023,★★★,False,
The Curious Case of Benjamin Button,23 Oct 2023,★★★,False,
Panic Room,22 Oct 2023,★★★,False,
Zodiac,22 Oct 2023,★★★★★,True,
Asteroid City,19 Oct 2023,★★★★,False,
The Lost City,13 Oct 2023,★★★,False,
Fair Play,08 Oct 2023,★★★,False,“We have industry at home”
The Creator,05 Oct 2023,★★,False,Chat GPT-ass script
The Addiction,26 Sep 2023,★★★,False,
No One Will Save You,24 Sep 2023,★★★,False,
Hackers,23 Sep 2023,★★,False,
Paths of Glory,22 Sep 2023,★★★★,False,
Theater Camp,17 Sep 2023,★★★,False,
Ocean's Twelve,16 Sep 2023,★★★,True,
Ocean's Eleven,16 Sep 2023,★★★★★,True,
