Movie,Date Watched,Rating,Liked,Review
To Leslie,11 May 2023,,False,If I told you this movie begins like an episode of Eastbound and Down you would not be prepared for the extent to which that is the case.
Broker,07 Jan 2023,★★★★★,False,
Babylon,08 Dec 2022,,False,
Dressed in Blue,30 Nov 2022,,False,
RRR,01 Jun 2022,★★★★★,False,
While You Were Sleeping,31 Mar 2022,,False,
The Producers,28 Mar 2022,,False,
The Truth About Cats & Dogs,26 Mar 2022,,False,
Design for Living,20 Mar 2022,,False,
All That Jazz,19 Mar 2022,,False,
Turning Red,18 Mar 2022,,False,
The Burden,20 Feb 2022,,False,
The Mitchells vs. The Machines,20 Feb 2022,,False,
Pee-wee's Big Holiday,18 Feb 2022,★★★★,True,
Jackass Forever,05 Feb 2022,,False,My favorite Jackass segment has always been Danger Ehren skipping down the street in a fairy outfit putting quarters in the expired meters before parking enforcement can write a ticket.
Nobody,04 Feb 2022,,False,
The Friends of Eddie Coyle,30 Jan 2022,,False,"The main thing of this movie is seeing all your favorite Boston locations in their filthy 70’s glory. The acting is good. The script is better than the direction and cinematography. I always wonder when they film professional sports games for a movie, how do they do that? Is it scripted? Do they just play for fun? I hope so I love frivolity."
Drive My Car,28 Jan 2022,,False,
Bath House,26 Jan 2022,,False,
Tord and Tord,26 Jan 2022,,False,
Earth Girls Are Easy,22 Jan 2022,★★★½,True,A lot different and better than I assumed based on seeing clips of the worst parts while flipping through daytime cable (the parts about the aliens being Weird). An emphasis on FUN! The first third rules. It’s visually interesting and playful and a celebration of 80’s kitsch which is often terrible but not here. Geena Davis is an all timer. I wish it had more musical numbers.
Nocturnal Animals,22 Jan 2022,,False,
Red Rocket,20 Jan 2022,,False,
Scream,19 Jan 2022,,False,
The Karate Kid,17 Jan 2022,,False,
The Last Duel,15 Jan 2022,,False,
The Rules of the Game,08 Jan 2022,,False,
Minority Report,08 Jan 2022,,False,
The Matrix Resurrections,04 Jan 2022,,False," Watching the original film earlier in the day primed me to be all in from the first moments, and I was. I have been seeing a lot of movies this year that make me go ""What are they doing are you allowed to do this??"" and I cant tell exactly what they are trying to do or if it's good or bad but I love it. I felt that way again watching thisI loved the stuttering hiccup that repeated… "
The Matrix Revolutions,04 Jan 2022,,False,
The Matrix Reloaded,04 Jan 2022,,False,
The Matrix,04 Jan 2022,,False,
"The Adventures of Priscilla, Queen of the Desert",03 Jan 2022,,False,
Cryptozoo,02 Jan 2022,,False,
The Square,01 Jan 2022,,False,
Being the Ricardos,01 Jan 2022,,False,Nobody gaslights Lucy!
Ghostbusters II,31 Dec 2021,,False,
Hunt for the Wilderpeople,29 Dec 2021,★★★★★,True,"I would recommend this movie to anyone. I can’t remember who said this showed big Wes Anderson  influence after we saw it at the Egyptian, sorry, but I see it more every time I watch-from a technical/formal angle. From an emotional standpoint I’ve never seen Wes come close to the wallops this one packs.  reallly appreciated Rhys Darby this go"
The Christmas Chronicles,25 Dec 2021,,False,
Annette,21 Dec 2021,★★★★½,True,
Spider-Man: No Way Home,19 Dec 2021,,False,
Chicago,17 Dec 2021,,False,
Clueless,17 Dec 2021,,False,
Funny People,15 Dec 2021,★½,False,"made it a half hour in, so bad it feels like it’s on purpose as a joke or?They make fun of dick jokes, while also just constantly doing dick jokes, for instance.I like Jason Schwartzman’s t shirt"
The Net,10 Dec 2021,,False,
Snatch,08 Dec 2021,,False,
C'mon C'mon,05 Dec 2021,★★★★½,True,"Mikey, you’ve done it again!"
Belfast,03 Dec 2021,,False,
The Muppet Christmas Carol,27 Nov 2021,,False,
The Nightmare Before Christmas,27 Nov 2021,,False,
Original Cast Album: Company,14 Nov 2021,,False,
Drifting Clouds,14 Nov 2021,,False,
You've Got Mail,14 Nov 2021,,False,
The French Dispatch,13 Nov 2021,,False,"This has such a vibrant fluid expressive dynamic style, visually a live action Into the Spiderverse. I've never looked to Wes Anderson for emotional engagement (though occasionally get some by surprise) but I get the feeling if you're on his wavelength and sharing all his particular interests and points of reference, you might feel something big. If nothing else this is an exhibition of technical mastery  Love it"
Batman Returns,12 Nov 2021,,False,
12 Dates of Christmas,12 Nov 2021,,False,
The Harder They Fall,05 Nov 2021,,False,
Dune,03 Nov 2021,,False,
No Time to Die,30 Oct 2021,,False,
Dune,28 Oct 2021,,False,
Ocean's Thirteen,27 Oct 2021,,False,
Lamb,26 Oct 2021,,False,
Ocean's Twelve,25 Oct 2021,★★★★,False,
Ocean's Eleven,24 Oct 2021,★★★★½,True,
Venom: Let There Be Carnage,18 Oct 2021,,False,EXCELLENT 4dx design. May be the best I’ve x-perienced. The movie itself wasnt quite to my tastes but I appreciate the sentiment on behalf of teens all over the world. The technical execution though….Carnage was so scary. If I were a child and I saw the scene when he first shows up I’d have had nightmares forever.
The Shining,08 Oct 2021,,False,"I see this movie every so often and it’s always better than I remember, and somehow different"
Romy and Michele's High School Reunion,27 Sep 2021,★★★★½,True,
Candyman,20 Sep 2021,★★★½,False,
Cruella,14 Sep 2021,★★½,False,
The Birdcage,13 Sep 2021,,False,
Ocean's Eight,12 Sep 2021,,False,
The Proposal,12 Sep 2021,★★★,False,
Shiva Baby,10 Sep 2021,★★★★,False,
Final Destination 3,06 Sep 2021,,False,
Found,06 Sep 2021,,False,
Candyman,06 Sep 2021,,False,
Shang-Chi and the Legend of the Ten Rings,02 Sep 2021,★★★★,True,
Reno 911!: Miami,14 Aug 2021,★★★,False,
The Green Knight,12 Aug 2021,★★★★,True,
Annette,07 Aug 2021,★★★★★,True,
Black Widow,18 Jul 2021,★★½,False,
Werewolves Within,16 Jul 2021,★★★½,False,
Zola,15 Jul 2021,,False,
Spontaneous,13 Jul 2021,★★★,False,
Never Rarely Sometimes Always,13 Jul 2021,★★★★,False,
Luca,11 Jul 2021,★★★★,False,
Cape Fear,02 Jul 2021,,False,
Driveways,01 Jul 2021,★★★★,False,
In the Heights,27 Jun 2021,★★★½,False,
"To Wong Foo, Thanks for Everything! Julie Newmar",13 Jun 2021,,True,
Incoherence,12 Jun 2021,,False,
Godzilla vs. Kong,06 Jun 2021,★★★★,False,
Bo Burnham: Inside,05 Jun 2021,,False,
Bay of Angels,05 Jun 2021,★★★★,True,
"Cassandro, the Exotico!",31 May 2021,★★★★,False,
The Rider,29 May 2021,★★★★½,True,
Midnight Run,26 May 2021,★★★,False,
Who's Afraid of Virginia Woolf?,23 May 2021,★★★★½,True,
Gunda,22 May 2021,,False,
Pride,16 May 2021,★★½,False,
Together Together,11 May 2021,★★★★,False,
After Porn Ends 2,10 May 2021,,False,
Sunday in the Park with George,09 May 2021,★★★★,True,
Minari,09 May 2021,★★★★½,False,
Nothing Changes: Art for Hank's Sake,09 May 2021,★★★,False,
The Straight Story,07 May 2021,,False,
Bacurau,06 May 2021,★★★★,True,
Star Wars,04 May 2021,★★★,False,
Nights of Cabiria,03 May 2021,★★★★★,True,
TINA,29 Apr 2021,,False,
Bamboozled,29 Apr 2021,,False,
A Slightly Pregnant Man,28 Apr 2021,,False,
Godzilla: King of the Monsters,25 Apr 2021,★★,False,
Godzilla,25 Apr 2021,★★½,False,
Double Dragon,23 Apr 2021,,False,
Death Note,23 Apr 2021,,False,
Never Goin' Back,22 Apr 2021,★★,False,
Notting Hill,17 Apr 2021,★★★½,False,
Death Becomes Her,14 Apr 2021,★★½,False,
A League of Their Own,10 Apr 2021,★★★★,False,
Muriel's Wedding,09 Apr 2021,,False,
Good Bye Lenin!,06 Apr 2021,★★★★,True,
A New Leaf,05 Apr 2021,★★★★,True,
Four Lions,04 Apr 2021,,False,
Allegiance,01 Apr 2021,,False,
Mr. Brooks,29 Mar 2021,,False,
Sound of Metal,29 Mar 2021,,False,
Philomena,28 Mar 2021,★★★★,True,
Lady Bird,28 Mar 2021,,False,
Ballerina,27 Mar 2021,,False,
The Lady Eve,27 Mar 2021,★★★★,True,
School of Rock,26 Mar 2021,★★★★½,False,
Clockwatchers,16 Mar 2021,★★★½,False,
"Hello, My Name Is Doris",13 Mar 2021,★★★★,False,
Shredder Orpheus,12 Mar 2021,★★★,False,
Grandma's Boy,11 Mar 2021,★½,False,
The Gleaners and I: Two Years Later,11 Mar 2021,★★★,False,
The Wedding Banquet,10 Mar 2021,★★★★,False,
The Gleaners and I,08 Mar 2021,★★★★,True,
Love on Delivery,06 Mar 2021,★★★★½,True,
A Room in Town,01 Mar 2021,★★★★★,True,
Strictly Ballroom,01 Mar 2021,★★★★½,True,
Barb & Star Go to Vista Del Mar,28 Feb 2021,★★★★,False,
I'm No Angel,26 Feb 2021,★★★★,False,
The Gates,26 Feb 2021,★★★★,True,
Lola,25 Feb 2021,★★★★,False,
My Sassy Girl,24 Feb 2021,★★★,False,
Walking on Water,24 Feb 2021,★★★½,False,
Kate Plays Christine,24 Feb 2021,★★½,False,
Leningrad Cowboys Go America,23 Feb 2021,★★★,False,
24×36,21 Feb 2021,★★,False,
The Prince of Egypt,21 Feb 2021,,False,
Wild Target,20 Feb 2021,,False,
Good Morning,20 Feb 2021,★★★★★,True,
Zero for Conduct,20 Feb 2021,,False,
F for Fake,19 Feb 2021,,False,
She Done Him Wrong,19 Feb 2021,,False,
Orpheus,19 Feb 2021,,True,
Donkey Skin,18 Feb 2021,,False,
Orpheus,18 Feb 2021,,True,
Sunday in the Park with George,14 Feb 2021,,True,
The Social Network,14 Feb 2021,★★,False,
Mr. Roosevelt,14 Feb 2021,★★★★,False,
Relaxer,14 Feb 2021,,False,
Strike!,13 Feb 2021,,False,
"What's Up, Doc?",12 Feb 2021,★★★★,False,
Final Cut: Ladies and Gentlemen,11 Feb 2021,★★★★★,False,
Cure,10 Feb 2021,★★★★½,False,
Framing Britney Spears,09 Feb 2021,,False,
Joel Calls Indie Film Type Dudes,09 Feb 2021,,False,
Ape,09 Feb 2021,★★★½,False,
Lovers Rock,08 Feb 2021,★★★★,False,
Pickle,08 Feb 2021,,False,
Nate: A One Man Show,08 Feb 2021,★★★★½,True,
Cecil B. Demented,07 Feb 2021,★★★½,False,
Burden of Dreams,06 Feb 2021,,False,
Avengement,04 Feb 2021,★★★★,False,
Time,02 Feb 2021,,True,
Onward,02 Feb 2021,★★★,False,
Men in Black 3,02 Feb 2021,★★★★,False,
Men in Black II,02 Feb 2021,★★,False,
Naked,02 Feb 2021,★★★,False,
Paddington 2,01 Feb 2021,★★★★½,True,
Green Day: Bullet in a Bible,01 Feb 2021,★,True,
Yentl,31 Jan 2021,★★★★,True,
The Heartbreak Kid,31 Jan 2021,★★★½,False,
Sylvio,31 Jan 2021,★★★★,False,
Shall We Dance?,30 Jan 2021,★★★½,False,
The Young Master,30 Jan 2021,★★★★,False,
Freaky,29 Jan 2021,★★,False,
Kong: Skull Island,29 Jan 2021,★★★★,False,
Promising Young Woman,28 Jan 2021,★★★★,False,
Mystery Train,28 Jan 2021,★★★★½,True,
Hairspray,26 Jan 2021,★★★★,False,
Night on Earth,26 Jan 2021,★★★★,False,
Romeo + Juliet,25 Jan 2021,★★★★½,True,
Looper,25 Jan 2021,★★★★½,True,
West Side Story,25 Jan 2021,★★★★★,False,
Looper,24 Jan 2021,★★★★½,True,
Cry-Baby,24 Jan 2021,★★★★½,True,
Alan Partridge's Scissored Isle,24 Jan 2021,,False,
Tag,23 Jan 2021,★★★½,False,
Saint Frances,22 Jan 2021,★★★½,False,
The Beaches of Agnès,19 Jan 2021,★★★★½,False,
Yi Yi,18 Jan 2021,★★★★★,False,
