Movie,Date Watched,Rating,Liked,Review
Chinatown,12 Jan 2024,★★★★,False,I don’t know my expectations were high and it wasn’t as revelatory as I thought it was but it was a pretty good mystery and now I want to watch more noirs
The Holdovers,04 Jan 2024,★★★★½,False,She the on my hold till it’s over
Ferrari,29 Dec 2023,★★★★,False,"Accent-wise a terrible movie, but everything else-wise a beautiful trip! Except certain PS4 lookin CGI…"
Barbie,27 Dec 2023,★★★,False,"Really suffers from watching it with your grandparents who think Margot Robbie is Taylor swift, and on a smaller screen where it really feels like an old tv commercial at times. I’m just Ken still went hard though!"
Oppenheimer,20 Dec 2023,★★★★,False,
Godzilla Minus One,20 Dec 2023,★★★,False,I get that it looks good for $15 mil but like a couple more wouldn’t hurt
Persona,20 Dec 2023,,True,"Giving this a rating is weird bc I didn’t rly get it but I was certainly intrigued, hooked, and curious the whole way through so I will try to decipher it"
The Boy and the Heron,12 Dec 2023,★★★½,False," A little disappointed, maybe because the wind rises is literally my top movie and impossible to beat so expectations were implicitly higher than any other movie. But I kept waiting for it to connect and when it finally did it ended immediately. And the sequences that might’ve wowed me were the fantastical parts reminiscent of his other movies. Those that only worked for me becauseof their context in the story of a protagonist that I felt so much more for,… "
May December,03 Dec 2023,★★★★½,False,Watched this with my roommate Brian who several times yelled “what the fark” which sums up my thoughts too
Paprika,26 Oct 2023,★★★★,False,Shoulda never smoked that now im
Killers of the Flower Moon,26 Oct 2023,★★★★★,False,The bass chugging for 10 mins straight was my favorite part
Barbie,15 Aug 2023,★★★★,False,"Really suffers from watching it with your grandparents who think Margot Robbie is Taylor swift, and on a smaller screen where it really feels like an old tv commercial at times. I’m just Ken still went hard though!"
Asteroid City,24 Jun 2023,★★★½,False,"Never really landed with me, still was never bored. That scene where the girl is doing rorschach tests was so funny"
Sleepless in Seattle,12 Jun 2023,★★★½,False,some top quality Tom Hanks squeals in this movie. the kid looks 50 years old somehow.
Past Lives,01 Jun 2023,★★★★,False,
Ikiru,29 May 2023,★★★★★,False,
Columbus,06 May 2023,★★★★½,False,
Gladiator,03 May 2023,★★★★,False,
Rushmore,28 Feb 2023,★★★★½,False,
Lost in Translation,28 Feb 2023,★★★★★,False,
Good Boy!,25 Feb 2023,★★★,False,
Apollo 10½: A Space Age Childhood,23 Jan 2023,★★★★,False,
M3GAN,10 Jan 2023,★★★,False,
The Menu,04 Jan 2023,★★★★,False,
Memories of Murder,29 Dec 2022,★★★★,False,
Babylon,25 Dec 2022,★★★★½,False,
My Dinner with Andre,08 Dec 2022,★★★★★,False,
Glass Onion,29 Nov 2022,★★★★,False,
Black Panther: Wakanda Forever,22 Nov 2022,★★★½,False,
Decision to Leave,09 Nov 2022,★★★★½,False,
All Quiet on the Western Front,09 Nov 2022,★★★★,False,
Your Name.,04 Nov 2022,★★★★,False,
Scream,03 Nov 2022,★★★★,False,
TÁR,02 Nov 2022,★★★★½,False,
The Banshees of Inisherin,27 Oct 2022,★★★★,False,
Only Yesterday,24 Oct 2022,★★★★,False,
After Yang,16 Oct 2022,★★★★★,False,
Triangle of Sadness,04 Oct 2022,★★★★,False,
Pig,28 Sep 2022,★★★★,False,
Ocean Waves,21 Sep 2022,★★★★½,False,
Ocean Waves,20 Sep 2022,★★★★½,False,
Bullet Train,13 Aug 2022,★★★½,False,
The Northman,21 Apr 2022,★★★★,False,
Everything Everywhere All at Once,04 Apr 2022,★★★★,False,
House of Gucci,20 Mar 2022,★½,False,
Kimi,09 Mar 2022,★★★½,False,
