Movie,Date Watched,Rating,Liked,Review
Collateral,14 Jan 2024,★★★½,True,"He met his mom on the first date, must be serious 👀"
Thor: Love and Thunder,08 Jan 2024,★½,False,
Maestro,05 Jan 2024,★★★★½,True," Uh oh maestropiece alert — I loved it even if I think the ending kinda sucked and on a technical level cooper gave a whackiest ass performance that shouldn’t work but his sort of self absorption in the role/process of making the movie actually gave me what I needed to understand Bernstein (intentional or not) — also a movie cannot be that bad if its soundtrack is entirely Leonard Bernstein, I’m sorry it just cant!! And I actually think the usage… "
But I'm a Cheerleader,05 Jan 2024,★★★½,True,Hear me out : sequel where Cathy Moriarty & Glenn Close from Stepford Wives become cowgirls in Wyoming …
The Parallax View,03 Jan 2024,★★½,False,Teetered from self-serious political thriller to corny action flick too often and the script is bad — but it’s stylistically compelling
Bottle Rocket,02 Jan 2024,★★★,True,I strongly believe this movie would be better if they all got their hair redone like they said they would
Inside Llewyn Davis,02 Jan 2024,★★★★★,True,
All of Us Strangers,01 Jan 2024,★★★★★,True,Absolutely gutted — haven’t cried this hard in a theater since bridge to Terabithia (which strangely has a lot of similarities to this movie)
My Neighbor Totoro,31 Dec 2023,★★★★½,True,Beautiful last movie of the year to log!
Broadcast News,30 Dec 2023,★★★★★,True,Perfect film
Anyone But You,29 Dec 2023,★★,True,this looked like the house from zone of interest ??? except the horror came from INSIDE the estate
Summertime,29 Dec 2023,★★★★,True,
Megamind,29 Dec 2023,★★★½,True,
13 Going on 30,29 Dec 2023,★★★★,True,Good movie!
Rye Lane,28 Dec 2023,★★★★,True,Very sweet movie and so well directed — the script in the last act is a bit helter skelter but GOD does it make london look so cool
Ferrari,28 Dec 2023,★★★★,True,"An obvious Shailene problem, but Ms. CRUZ serving le anima de Anna magnani , thee POWER my goodness. Great score too and loved its operatic framing & also a horrifying scene just most horrifying scene I’ve seen this year"
Cars 3,28 Dec 2023,★★,False,
Cars 2,28 Dec 2023,★★,False,
Cars,28 Dec 2023,★★★,False,
Flora and Son,27 Dec 2023,★★★½,True,
NYAD,25 Dec 2023,★★½,False,
How the Grinch Stole Christmas,25 Dec 2023,★★★★,True,
Monty Python and the Holy Grail,24 Dec 2023,★★★★,True,
The Iron Claw,24 Dec 2023,★★★,False,
Heathers,24 Dec 2023,★★★★,True,
The Nice Guys,24 Dec 2023,★★★½,True,
Ferris Bueller's Day Off,23 Dec 2023,★★★,True,
The Polar Express,23 Dec 2023,★★★,True,
Death Becomes Her,22 Dec 2023,★★★★½,True,
Percy Jackson & the Olympians: The Lightning Thief,22 Dec 2023,★★,False,
Nimona,21 Dec 2023,★★★★,True,
Wonka,21 Dec 2023,★★½,False,
Fellow Travelers,19 Dec 2023,★★★★,True,
10 Things I Hate About You,19 Dec 2023,★★★½,True,
Cocaine Bear,19 Dec 2023,★★,False,
American Fiction,17 Dec 2023,★★½,False,
Infinity Pool,15 Dec 2023,★★★,False,
The Boy and the Heron,15 Dec 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,14 Dec 2023,★★★½,True,
Afire,14 Dec 2023,★★★,False,
From Here to Eternity,13 Dec 2023,★★★½,True,
We Need to Talk About Kevin,13 Dec 2023,★★★★,True,
The 'Burbs,12 Dec 2023,★★★,False,
Choose Love,12 Dec 2023,★½,False,
Carol,10 Dec 2023,★★★★★,True,
The Wind Rises,10 Dec 2023,★★★½,True,
Poor Things,09 Dec 2023,★★★★★,True,
Rustin,09 Dec 2023,★★★,True,
Everything Everywhere All at Once,08 Dec 2023,★★★½,True,
Showing Up,08 Dec 2023,★★★★,True,
Love Actually,08 Dec 2023,★★★,False,
Passages,07 Dec 2023,★★★½,True,
The Zone of Interest,05 Dec 2023,★★★★★,True,
The Color Purple,04 Dec 2023,★★★½,True,
All the Beauty and the Bloodshed,03 Dec 2023,★★★★½,True,
The Killer,01 Dec 2023,★★,False,
