Movie,Date Watched,Rating,Liked,Review
The Iron Claw,15 Jan 2024,★★★½,True,
First Man,12 Jan 2024,★★★½,True,
The Favourite,09 Jan 2024,★★★★½,True,
The Killing of a Sacred Deer,06 Jan 2024,★★★★½,True,
Paddington,02 Jan 2024,★★★½,True,
Ferrari,31 Dec 2023,★★★½,True,
Garudan,30 Dec 2023,★★★,False,
Godzilla Minus One,27 Dec 2023,★★★½,True,
Dunki,23 Dec 2023,★★★,False,
The Shop Around the Corner,21 Dec 2023,★★★★,True,
The Intern,21 Dec 2023,★★½,False,
May December,20 Dec 2023,★★★★½,True,
The Zone of Interest,16 Dec 2023,★★★★★,True," Impossible to describe the effect this had on me. I walked out of the theater stunned and drove home in a daze. I haven't been able to get it out of my head since.I could try and talk about the surgical precision with which Glazer deploys scenes that dropped my stomach with just suggestion, or the way that a short cut away near the end of the film nearly brought me to tears. But what really stands out a day… "
Poor Things,16 Dec 2023,★★★★½,True,
The Boy and the Heron,15 Dec 2023,★★★★,True," Definitely a little overstuffed, and I'm not sure it totally works on a moment to moment basis. And yet I can't deny the power of this film’s final moments. Mahito quite literally has the world in the palm of his hand and turns it all down, not because of a grand proclamation about destiny, but rather that he sees himself as he really is -- ordinary, capable of hate and kindness and love and malice and everything in between. It… "
The Creator,05 Dec 2023,★★½,False,
The Killer,03 Dec 2023,★★★★½,True,David Fincher's TENET.
The Holdovers,21 Nov 2023,★★★★,True,
The Killer,10 Nov 2023,★★★★½,True,David Fincher's TENET.
Priscilla,07 Nov 2023,★★★★,True,
Killers of the Flower Moon,21 Oct 2023,★★★★½,True,
Anatomy of a Fall,17 Oct 2023,★★★½,True,
The Platform,14 Oct 2023,,False,
Suspiria,13 Oct 2023,★★★★,True,
Fair Play,12 Oct 2023,★★★½,True,
The Rat Catcher,06 Oct 2023,,True,
Poison,06 Oct 2023,,True,
No Hard Feelings,06 Oct 2023,★★★,False,
Talk to Me,04 Oct 2023,★★★,False,
The Swan,30 Sep 2023,,True,
The Wonderful Story of Henry Sugar,30 Sep 2023,,True,
Nacho Libre,22 Sep 2023,,False,
Ocean's Eleven,16 Sep 2023,★★★★½,True,
The Last Picture Show,10 Sep 2023,,True,
Bottoms,10 Sep 2023,★★★★,True,
Oldboy,19 Aug 2023,★★★★½,True,
Barbie,13 Aug 2023,★★★½,True," It's a lot of fun, but I couldn't shake the feeling that this movie could have been transplanted straight from 2012. Gerwig has talked before about her dislike of didactic filmmaking, and yet Barbie feels like it's trying desperately to make sure you understand its point, complete with a depiction of the patriarchy as a virus cured by a rousing speech on the contradictions of modern-day womanhood. And I will never understand comments about how this film somehow gets one… "
Talk to Me,06 Aug 2023,★★★,False,
Oppenheimer,28 Jul 2023,★★★★½,True,
Amanda,27 Jul 2023,★★★½,True,
Oppenheimer,26 Jul 2023,★★★★½,True,
Thief,25 Jul 2023,★★★★½,True,
Mission: Impossible – Fallout,24 Jul 2023,★★★★½,True,
Mission: Impossible – Ghost Protocol,23 Jul 2023,★★★★,True,
Jackie Brown,22 Jul 2023,★★★★½,True,
Barbie,20 Jul 2023,★★★,True," It's a lot of fun, but I couldn't shake the feeling that this movie could have been transplanted straight from 2012. Gerwig has talked before about her dislike of didactic filmmaking, and yet Barbie feels like it's trying desperately to make sure you understand its point, complete with a depiction of the patriarchy as a virus cured by a rousing speech on the contradictions of modern-day womanhood. And I will never understand comments about how this film somehow gets one… "
Wedding Crashers,16 Jul 2023,★★,False,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,★★★★,True,A movie where Tom Cruise will kill god with a crucifix-key before he has to choose between the lives of his team (read: two of the most beautiful women on earth who both want to sleep with him) and his mission.
No Country for Old Men,13 Jul 2023,★★★★½,True,
The Shawshank Redemption,11 Jul 2023,★★★★½,True,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★★,True,A movie where Tom Cruise will kill god with a crucifix-key before he has to choose between the lives of his team (read: two of the most beautiful women on earth who both want to sleep with him) and his mission.
Mission: Impossible,09 Jul 2023,★★★½,True,
Sans Soleil,03 Jul 2023,,True,
Joy Ride,01 Jul 2023,★★★,False,
The Thin Red Line,25 Jun 2023,★★★★,True,
Asteroid City,24 Jun 2023,★★★★,True,
You Hurt My Feelings,23 Jun 2023,★★★★,True,
Beau Travail,21 Jun 2023,★★★★★,True,Feels inane to give a film like this a star rating. It's truly unlike anything I've ever seen.
Little Miss Sunshine,20 Jun 2023,★★★,False,
Widows,19 Jun 2023,★★★½,True,
Past Lives,18 Jun 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,13 Jun 2023,★★★★,True,
Safe,05 Jun 2023,★★★★,True,
Jules and Jim,02 Jun 2023,★★★★,True,
The Flash,30 May 2023,★★,False,
Everybody Wants Some!!,29 May 2023,★★★½,True,
