Movie,Date Watched,Rating,Liked,Review
In the Mouth of Madness,13 Oct 2023,★★★½,False,
Infinity Pool,06 Oct 2023,★★½,False,
Asteroid City,04 Oct 2023,★★★,False,
Barbie,26 Sep 2023,★★★★,False,
Indiana Jones and the Dial of Destiny,25 Sep 2023,★★,False,
Elemental,29 Jul 2023,★★,False,
"Sabrina, Down Under",06 May 2023,★★★,False,
Sabrina Goes to Rome,06 May 2023,★★½,False,
Rogue Agent,17 Mar 2023,★,False,
The Hustle,15 Mar 2023,★½,False,
Art School Confidential,13 Mar 2023,★★★,False,
The Menu,12 Mar 2023,★,False,
Jurassic World Dominion,11 Mar 2023,★,False,
House,21 Jan 2023,★★★★½,False,
Avatar: The Way of Water,26 Dec 2022,★★★½,False,
Glass Onion,24 Dec 2022,★★½,False,
How the Grinch Stole Christmas,14 Dec 2022,★★★★,False,
The Mist,24 Aug 2022,★½,False,
David Lynch: The Art Life,15 Aug 2022,★★★½,False,
A Night to Remember,24 Jul 2022,★★★★,False,
Titanic,21 Jul 2022,★★★★★,False,
The Unbearable Weight of Massive Talent,25 Jun 2022,★★½,False,
Fantastic Beasts: The Secrets of Dumbledore,05 Jun 2022,½,False,
Everything Everywhere All at Once,01 Jun 2022,★★★½,False,
The Lego Movie 2: The Second Part,16 Apr 2022,★★½,False,
King Kong,07 Feb 2022,★★★★½,False,
Encanto,24 Jan 2022,★★★½,False,
Sunset Boulevard,24 Nov 2021,★★★★½,False,
No Time to Die,15 Nov 2021,★★★,False,
The French Dispatch,11 Nov 2021,★★★★½,False,
Dune,22 Oct 2021,★★,False,
Orpheus,25 Sep 2021,★★★★★,False,
Police Story,16 Jul 2021,★★★★,False,
Soul,13 Jul 2021,★★★,False,
Valerian and the City of a Thousand Planets,12 Jul 2021,★★,False,
Moxie,11 Jul 2021,★★½,False,
The Layover,10 Jul 2021,★,False,
Whiplash,08 Jul 2021,★★★½,False,
The Straight Story,04 Jul 2021,★★★★½,False,
Coco,03 Jul 2021,★★★★,False,
Eat Drink Man Woman,02 Jul 2021,★★★,False,
Another Round,01 Jul 2021,★★★,False,
The Doors,14 Jun 2021,★★★,False,
The Elephant Man,28 May 2021,★★★★,False,
Lost Highway,02 Apr 2021,★★★★½,False,
Europa,30 Mar 2021,★★★★,False,
Who Framed Roger Rabbit,22 Mar 2021,★★★★½,False,
Point Break,25 Dec 2020,★★★★½,False,
Flash Gordon,23 Dec 2020,★★★,False,
Donkey Skin,07 Oct 2020,★★★,False,
The Hudsucker Proxy,04 Oct 2020,★★★,False,
Mean Girls,03 Oct 2020,★★★★½,False,
Speed Racer,02 Oct 2020,★★★★½,False,
Airplane!,24 Aug 2020,★★½,False,
Wild at Heart,23 Aug 2020,★★★★½,True,
The Straight Story,21 Aug 2020,★★★★½,False,
Holes,30 Jul 2020,★★★★½,False,
The Florida Project,21 May 2020,★★★½,False,
Nick and Norah's Infinite Playlist,11 May 2020,★★★,False,
Parasite,20 Apr 2020,★★★★½,False,
Goldfinger,19 Apr 2020,★★★,False,
Grey Gardens,18 Apr 2020,★★★½,False,
Before Midnight,17 Apr 2020,★★,False,
Before Sunset,16 Apr 2020,★½,False,
Before Sunrise,14 Apr 2020,★★★,False,
The Beach Bum,03 Apr 2020,★★½,False,
Jurassic World: Fallen Kingdom,12 Mar 2020,★★½,False,
The Lost World: Jurassic Park,05 Mar 2020,★★½,False,
Jurassic Park III,04 Mar 2020,★★★,False,
Knives Out,10 Feb 2020,★½,False,
Naqoyqatsi,28 Jan 2020,★★★,False,
WHAT DID JACK DO?,26 Jan 2020,★★★★,False,
Star Wars: The Rise of Skywalker,18 Dec 2019,★,False,
The Lure,12 Nov 2019,★★★½,False,
The Crow,09 Oct 2019,★★★★,False,
The Last Black Man in San Francisco,05 Oct 2019,★★★★½,False,
Spider-Man: Far from Home,11 Jul 2019,★,False,
Lick the Star,28 Jun 2019,★★★,False,
John Wick: Chapter 3 – Parabellum,02 Jun 2019,★★½,False,
Avengers: Endgame,24 Apr 2019,★★,False,
Captain Marvel,18 Mar 2019,★★★,False,
Solaris,15 Mar 2019,★★★★,False,
Psycho,10 Mar 2019,★★★★★,False,
Vertigo,09 Mar 2019,★★★★,False,
North by Northwest,08 Mar 2019,★★★★,False,
Strangers on a Train,07 Mar 2019,★★★★½,False,
The Lovely Bones,14 Feb 2019,★½,False,
Ant-Man and the Wasp,06 Feb 2019,★½,False,
Indiana Jones and the Kingdom of the Crystal Skull,29 Jan 2019,★★★½,False,
Aquaman,28 Jan 2019,★★½,False,
At Eternity's Gate,25 Jan 2019,★★★★½,False,
Solo: A Star Wars Story,18 Jan 2019,★★,False,
Spider-Man: Into the Spider-Verse,15 Jan 2019,★★★★½,False,
Mary Poppins Returns,25 Dec 2018,★★★½,False,
Bohemian Rhapsody,02 Dec 2018,★★,False,
Fantastic Beasts: The Crimes of Grindelwald,28 Nov 2018,★★★,False,
Suspiria,12 Nov 2018,★★★★,False,
Honey and Clover,05 Nov 2018,★★★,False,
Atlantis: The Lost Empire,09 Aug 2018,★★★½,False,
Mamma Mia!,05 Aug 2018,★★★★,False,
The Boss Baby,02 Aug 2018,★★★½,False,
Mission: Impossible – Fallout,27 Jul 2018,★★★★,False,
Pretty in Pink,12 Jul 2018,★★★,False,
Scooby-Doo 2: Monsters Unleashed,11 Jul 2018,★★½,False,
Scooby-Doo,09 Jul 2018,★★½,False,
Under the Same Moon,02 Jul 2018,★★★★,False,
Unbroken,01 Jul 2018,★★★½,False,
Incredibles 2,18 Jun 2018,★★★,False,
Pocahontas,14 May 2018,★★★,False,
Star Trek: Nemesis,29 Apr 2018,★★½,False,
Star Trek: Insurrection,23 Apr 2018,★★,False,
Isle of Dogs,19 Apr 2018,★★★★,False,
Star Trek: First Contact,16 Apr 2018,★★★,False,
"Three Billboards Outside Ebbing, Missouri",13 Mar 2018,★★★½,False,
Annihilation,24 Feb 2018,★★,False,
Black Panther,19 Feb 2018,★★★★,False,
Lost Highway,14 Feb 2018,★★★★★,False,
Furry Vengeance,10 Feb 2018,★,False,
Phantom Thread,20 Jan 2018,★½,False,
The Disaster Artist,27 Dec 2017,★★½,False,
Star Wars: The Last Jedi,25 Dec 2017,★★★★½,False,
Star Wars: The Last Jedi,17 Dec 2017,★★★★,False,
Lady Bird,25 Nov 2017,★★★★½,False,
Thor: Ragnarok,09 Nov 2017,★★½,False,
Blade Runner 2049,07 Nov 2017,★★★½,False,
Wild at Heart,07 Nov 2017,★★★★½,True,
mother!,26 Sep 2017,★½,False,
Harry Potter and the Goblet of Fire,03 Aug 2017,★★★★½,False,
Dunkirk,31 Jul 2017,★★★★½,False,
Dunkirk,28 Jul 2017,★★★★½,False,
Twin Peaks: Fire Walk with Me,25 Jul 2017,★★★★★,True,
The Danish Girl,17 Jul 2017,★★★,False,
War for the Planet of the Apes,17 Jul 2017,★★★★,False,
Princess Mononoke,15 Jul 2017,★★★★★,True,
Spider-Man: Homecoming,10 Jul 2017,★★,False,
Dune,03 Jul 2017,★★★★½,True,
Baby Driver,27 Jun 2017,★★★,False,
Eraserhead,23 Jun 2017,★★★★½,False,
Transformers: The Last Knight,21 Jun 2017,★,False,
Mulholland Drive,20 Jun 2017,★★★★★,True,
Blue Velvet,14 Jun 2017,★★★★★,True,
The Straight Story,13 Jun 2017,★★★★½,False,
Lost Highway,12 Jun 2017,★★★★★,False,
Wild at Heart,10 Jun 2017,★★★★½,True,
Coraline,08 Jun 2017,★★★½,False,
Twin Peaks: The Missing Pieces,05 Jun 2017,★★★★½,False,
Wonder Woman,04 Jun 2017,★★★★,False,
Pan's Labyrinth,31 May 2017,★★★½,False,
Twin Peaks: Fire Walk with Me,30 May 2017,★★★★★,True,
Super 8,28 May 2017,★★★★,False,
Spider-Man 2,27 May 2017,★★★★,False,
Pirates of the Caribbean: Dead Men Tell No Tales,26 May 2017,★★½,False,
Star Wars: Episode II – Attack of the Clones,19 May 2017,★★★,False,
Guardians of the Galaxy Vol. 2,13 May 2017,★★★½,False,
Logan,02 May 2017,★★★★,False,
Ghost in the Shell,01 Apr 2017,★★★,False,
The Secret of Kells,28 Mar 2017,★★★★★,True,
