Movie,Date Watched,Rating,Liked,Review
Almost Famous,05 Jan 2024,★★★★,False,It’s a long way to the top if u wanna rock n roll
The Boy and the Heron,03 Jan 2024,★★★,False,I hope that’s what heavens like when I die
Bill & Ted's Excellent Adventure,29 Dec 2023,★★★½,False,excellent✨
May December,16 Dec 2023,★★★★,False,Sometimes it’s better to stay up in that delusional chrysalis than have to face reality
The Northman,24 Nov 2023,★★★★,False,Back when guys could be dudes
Life on Our Planet,02 Nov 2023,,False,shoutout all my ancestors surviving mass extinction events who get me here today
Barbie,26 Aug 2023,★★★★½,False," There was a lot of production value , they certainly had a budget on this one. Uhhhm I was off a little mushroom n teared up when Barbie told the grandma she was beautifulMasculinity was absolutely roasted, oof - sometimes I just like to wear my cowboy hat and big coat and play guitar and hit sweet skateboard tricks but I guess I’ve been looking dumb this whole time ..damn This film took good stock of everything goin on… "
Asteroid City,07 Jul 2023,★★★,False,Vibes over substance
WHAT DID JACK DO?,15 Jun 2023,★★★★,False,Yep that makes sense to me
Elevator to the Gallows,03 May 2023,★★★★,False,Lookin cool n shit
BEEF,30 Apr 2023,,False,😡
The Last Waltz,25 Apr 2023,,False,"All bangers , but especially the neil young joni Mitchell collab , I miss them on Spotify every day"
Happy End,21 Apr 2023,★★★★½,False,
Jackass Forever,14 Apr 2023,,False,
Cruising,05 Apr 2023,★★½,False,
Twin Peaks: Fire Walk with Me,16 Mar 2023,★★★★½,False,
Beyond the Infinite Two Minutes,08 Mar 2023,★★★★★,False,
Labyrinth,18 Feb 2023,★★★,False,
The End of the Tour,27 Jan 2023,★★★,False,
Snow White and the Seven Dwarfs,23 Jan 2023,★★★★★,False,
The Power of the Dog,22 Jan 2023,★★★,False,
Knight of Cups,19 Jan 2023,★★★★½,False,
This Place Rules,12 Jan 2023,★★★½,False,
RRR,31 Dec 2022,★★★★★,False,
Angel Falls Christmas,25 Dec 2022,★★★,False,
Hopscotch,22 Dec 2022,★★★★★,False,
Easy Rider,07 Dec 2022,★★★½,False,
Starship Troopers,06 Dec 2022,★★★★½,False,
The Animatrix,05 Dec 2022,★★★½,False,
Excalibur,29 Nov 2022,★★★★★,False,
Lolita,24 Nov 2022,★★★★½,False,
Belle de Jour,16 Nov 2022,★★★★½,False,
Deliverance,15 Nov 2022,★★★★,False,
Fallen Angels,12 Nov 2022,★★★★★,False,
Scarface,10 Nov 2022,★★★★,False,
David Lynch: The Art Life,04 Nov 2022,,False,
De Palma,03 Nov 2022,★★★★,False,
Nouvelle Vague,02 Nov 2022,★★★½,False,
The Decline of Western Civilization,22 Oct 2022,★★★,False,
The Decline of Western Civilization,22 Oct 2022,★★★,False,
Irreversible,21 Oct 2022,★★★★½,False,
Lost Highway,03 Oct 2022,★★★★,False,
Vortex,27 Sep 2022,★★★,False,
Everything Everywhere All at Once,13 Sep 2022,★★★★,False,
