Movie,Date Watched,Rating,Liked,Review
Ferrari,30 Dec 2023,★★½,False,okay and
All of Us Strangers,24 Dec 2023,★★★½,False,"less often now, but once every year, once every two years, i have a dream where i'm hanging out with my brother. and invariably i spend it filling him in on all the pop culture developments since he died"
The Iron Claw,23 Dec 2023,★★★½,False,got this year's Big December Cry. Feeling much better about that than I do about last year's winner: The Whale
Anyone But You,22 Dec 2023,★½,False,We deserve so much more
Showing Up,19 Dec 2023,★★★,False,could in fact have done with even more hanging out and less direct statement of thesis - usually successful with occasional stretches toward the sublime
Edward Scissorhands,17 Dec 2023,★★½,False,can't say i particularly care for the man
The Zone of Interest,16 Dec 2023,★★★½,False,aww man this is gonna go right over their heads isn't it
Wonka,16 Dec 2023,★★★,False,there's like 1.5 good musical theater songs and a heist what do you want from me
The Sweet East,16 Dec 2023,★★★½,False,"as with all sketch movies, there are highs and lows, but the laughs and humanity are so there throughout with a sweet mean-spiritedness that is perfectly attuned to how it is to be a person and stuff"
Monster,15 Dec 2023,★★★★,False,Beautiful little shot of empathy straight to the dome
Reality,15 Dec 2023,★★½,False,
Z-O-M-B-I-E-S,09 Dec 2023,★½,False,there are less technically competent musicals. there are probably not many worse screenplays to expose a child to
Poor Things,07 Dec 2023,★★★★,False,"Hilarious, incredible technicolor production design, and maybe the most ethically correct movie of recent memory"
Silent Night,06 Dec 2023,★½,False,
Godzilla Minus One,06 Dec 2023,★★★★,False,
The Boy and the Heron,04 Dec 2023,★★★★½,False,
Godzilla,04 Dec 2023,★★★★,False,
Maestro,03 Dec 2023,★★½,False,
American Fiction,02 Dec 2023,★★,False,
Click,30 Nov 2023,★★★½,False,
You Don't Mess with the Zohan,27 Nov 2023,★½,False,
Napoleon,25 Nov 2023,★★★,False,
Strays,24 Nov 2023,★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Nov 2023,★★★,False,
Radical,20 Nov 2023,★★★½,False,
Fallen Leaves,20 Nov 2023,★★★½,False,
Thanksgiving,19 Nov 2023,★★★½,False,
Please Don't Destroy: The Treasure of Foggy Mountain,19 Nov 2023,★★½,False,
Quiz Lady,12 Nov 2023,★★★½,False,
The Beanie Bubble,11 Nov 2023,★★,False,
Dream Scenario,09 Nov 2023,★★★★,False,
House,06 Nov 2023,★★★★,False,
Taken,04 Nov 2023,★★★,False,
The Adventures of Pluto Nash,04 Nov 2023,★,False,
The Holdovers,02 Nov 2023,★★★★,False,
The Caine Mutiny Court-Martial,02 Nov 2023,★★★½,False,
Original Cast Album: Company,01 Nov 2023,★★★★,False,
The Killer,30 Oct 2023,★★★,False,
Scream,30 Oct 2023,★★★,False,
Halloweentown,29 Oct 2023,★★½,False,
Priscilla,26 Oct 2023,★★★½,False,
The Age of Innocence,25 Oct 2023,★★★★,False,
Anatomy of a Fall,22 Oct 2023,★★★½,False,
48 Hrs.,21 Oct 2023,★★★,False,
My Son Hunter,20 Oct 2023,★,False,
Killers of the Flower Moon,19 Oct 2023,,False,
The Delinquents,18 Oct 2023,★★★½,False,
Dicks: The Musical,16 Oct 2023,★★★,False,
Duck Soup,11 Oct 2023,★★★★,False,
Head,09 Oct 2023,★★★½,False,
Duel,08 Oct 2023,★★★½,False,
The Royal Hotel,06 Oct 2023,★★★½,False,
The Wonderful Story of Henry Sugar,04 Oct 2023,★★★½,False,
Gods of Egypt,04 Oct 2023,★½,False,
Big Daddy,30 Sep 2023,★★★½,False,
Rotting in the Sun,28 Sep 2023,★★★½,False,
A Haunting in Venice,27 Sep 2023,★★★,False,
Jawan,23 Sep 2023,★★★,False,
12 Rounds,18 Sep 2023,★★,False,
The Big Heat,13 Sep 2023,★★★½,False,
Dumb Money,13 Sep 2023,★★★,False,
TimeCrafters: The Treasure of Pirate's Cove,11 Sep 2023,★★,False,
Stop Making Sense,11 Sep 2023,★★★★★,False,
Battle Royale,10 Sep 2023,★★★½,False,
Tampopo,10 Sep 2023,★★★★½,False,
