Movie,Date Watched,Rating,Liked,Review
The Pigeon Tunnel,14 Jan 2024,★★★½,False,
Lights Out,14 Jan 2024,★★★,False,
The Killer,14 Jan 2024,★★★★,False,
Casablanca,23 Dec 2023,★★★★,True,
Paddington 2,23 Dec 2023,★★★★,True,
Paddington,18 Dec 2023,★★★★,True,
Wonka,16 Dec 2023,★★★★½,False,Paul King ended up making me sob again
Godzilla Minus One,04 Dec 2023,★★★★,True,
The Boy and the Heron,28 Nov 2023,★★★★½,True,
The Herricanes,21 Oct 2023,★★★★,True,
The Creator,08 Oct 2023,★★,False,Sure mixed metaphors are good and all but have you tried a mixed analogy?
Jawan,17 Sep 2023,★★★★,True,Nothing can match the joy I get from an SRK costume change.
A Haunting in Venice,15 Sep 2023,★★★★,True,
The Little Mermaid,11 Sep 2023,★★★,False,
Barbie,09 Sep 2023,★★★½,False,
Indiana Jones and the Dial of Destiny,06 Sep 2023,★★½,False,
Bottoms,05 Sep 2023,★★★,True,Hands down the best use of Complicated by Avril Lavigne I could imagine.
The Holdovers,03 Sep 2023,★★★½,True,"Beautifully told found family story. Nothing mind blowing or cutting edge. Just good writing, good directing, good acting and editing of the three perspectives all with a specific intention"
Poor Things,03 Sep 2023,★★★★½,True,Probably too many boobs but overall fucking amazing. Emma Stone growing up deserves an oscar. Not to mention the best performance of a slow descent into madness I have ever seen by Mark Ruffalo.
The Bikeriders,02 Sep 2023,★★★,False,"An attempt to be goodfellas but instead of bringing us in with shine and excitement, we go right into the violence. Has some interesting examinations of how a creation can get out of control, but it starts you at too far a distance to truly feel that downfall."
Anatomy of a Fall,02 Sep 2023,★★★★½,True,"Perfectly builds an unanswerable mystery, giving you dual answers without feeling manipulative. Without it feeling like subjective pov, it gives you all the facts and lets you answer. While also giving the subjectivity of each character."
Daddio,02 Sep 2023,★★★★,True,
NYAD,02 Sep 2023,★★★★,True,Inspirational all around. And you feel it! Nothin cutting edge but the writing and acting gets it exactly where it needs to be
The Royal Hotel,01 Sep 2023,★★★★,False,"A great anti-genre horror thriller. Doesn’t reach the heights of Altman, but I love the build up of the violence that just leads to them burning it all down."
Janet Planet,01 Sep 2023,★★★,False,
Rustin,01 Sep 2023,★★★½,True,"Carries the emotion and enormity of the march and Rustin’s influence in an expert manner. Its quick flashy style does get jarring at times, but helps get to the characters and who they are very quickly. And the jazz score is *chefs kiss*"
Bama Rush,24 Aug 2023,★★★,False,
Talk to Me,13 Aug 2023,★★★★,True,
Oldboy,11 Aug 2023,★★★★½,True,"Thinking a lot about the structure of this in terms of clues/discovery. Instead of setting up every clue at the beginning, Director Park uses flashbacks to show the clue before quickly going into investigation/discovery. But since we experienced his 15 years, going to the flashback feels earned."
Oppenheimer,22 Jul 2023,★★★★★,False,
Mission: Impossible – Dead Reckoning Part One,10 Jul 2023,★★★★½,True,
Joy Ride,06 Jul 2023,★★★½,False,
Pale Rider,02 Jun 2023,★★★,False,
Guardians of the Galaxy Vol. 3,02 Jun 2023,★★★★½,True,
Dilwale Dulhania Le Jayenge,28 May 2023,★★★★★,True,
"Confess, Fletch",27 May 2023,★★★½,False,
Creed III,12 Mar 2023,★★★½,False,
Cocaine Bear,25 Feb 2023,★★★½,False,
Boogie Nights,10 Feb 2023,★★★★½,True,
Bodies Bodies Bodies,18 Jan 2023,★★★½,False,
Fleishman Is in Trouble,15 Jan 2023,★★★★½,True,
Brick,14 Jan 2023,★★★★,True,
Castle in the Sky,12 Jan 2023,★★★★,True,
The Territory,11 Jan 2023,★★★★½,True,
The Night Comes for Us,09 Jan 2023,★★★½,False,
M3GAN,08 Jan 2023,★★★,False,
Gone Girl,06 Jan 2023,★★★★,False,
Brahmāstra Part One: Shiva,01 Jan 2023,★★½,False,
Guillermo del Toro's Pinocchio,01 Jan 2023,★★★½,False,
Avatar: The Way of Water,18 Dec 2022,★★★½,True,
Glass Onion,28 Nov 2022,★★★★,True,
Black Panther: Wakanda Forever,16 Nov 2022,★★★½,False,
Three Thousand Years of Longing,20 Sep 2022,★★★½,True,
The Woman King,17 Sep 2022,★★★,False,
Barbarian,11 Sep 2022,★★★★½,True,
Retrograde,05 Sep 2022,★★★★,False,
Armageddon Time,04 Sep 2022,★★★,False,
Desperado,23 May 2022,★★★,False,
Bad Boys for Life,23 Jan 2020,★★★,False,
Underwater,15 Jan 2020,★★★,True,
Avengers: Endgame,25 Apr 2019,★★★½,True,
To All the Boys I've Loved Before,22 Apr 2019,★★★,False,
Us,21 Mar 2019,★★★½,True,
Eighth Grade,19 Mar 2019,★★★★,True,
Annihilation,10 Mar 2019,★★★½,True,
Captain Marvel,07 Mar 2019,★★★,False,
The Autopsy of Jane Doe,10 Feb 2019,★★★,False,
Cold Pursuit,09 Feb 2019,★★,False,
The Meg,06 Feb 2019,★,False,
Hard Boiled,05 Feb 2019,★★★★½,True,
Shirkers,02 Feb 2019,★★★★,False,
One Small Step,01 Feb 2019,★★★★½,False,
Late Afternoon,01 Feb 2019,★★★★,False,
Fauve,01 Feb 2019,★★★★½,False,
The Lego Movie 2: The Second Part,26 Jan 2019,★★★½,True,
Glass,22 Jan 2019,★,False,
Fyre Fraud,21 Jan 2019,★★★★½,True,
Fyre,21 Jan 2019,★★★½,False,
Vice,03 Jan 2019,★★★,False,
You Were Never Really Here,26 Dec 2018,★★★★,False,
Mary Poppins Returns,25 Dec 2018,★★★,False,
Tag,24 Dec 2018,★★,False,
Solo: A Star Wars Story,23 Dec 2018,★★½,False,
A Star Is Born,22 Dec 2018,★★★★,False,
Aquaman,21 Dec 2018,★★,True,
If Beale Street Could Talk,15 Dec 2018,★★★½,False,
Spider-Man: Into the Spider-Verse,15 Dec 2018,★★★★½,True,
Nausicaä of the Valley of the Wind,05 Dec 2018,★★★★,True,
Anna and the Apocalypse,29 Nov 2018,★★★,True,
Creed II,27 Nov 2018,★★★★,False,
Widows,24 Nov 2018,★★★½,True,
Ex Machina,15 Nov 2018,★★★★,True,
Ralph Breaks the Internet,12 Nov 2018,★★★,False,
Overlord,11 Nov 2018,★★★½,True,
Suspiria,30 Oct 2018,★★★½,True,
Halloween,21 Oct 2018,★★★,False,
Venom,19 Oct 2018,★★½,False,
Meru,15 Oct 2018,★★★½,False,
Cloud Atlas,14 Oct 2018,★★★,False,
The Sisters Brothers,06 Oct 2018,★★★½,True,
Free Solo,02 Oct 2018,★★★★½,True,
The Villainess,17 Sep 2018,★★★★,False,
Sixteen Candles,04 Sep 2018,,False,
The Big Lebowski,04 Sep 2018,★★★★,True,
Can You Ever Forgive Me?,03 Sep 2018,★★★★,False,
Boy Erased,02 Sep 2018,★★★★,False,
The Front Runner,02 Sep 2018,★★★½,False,
Reversing Roe,01 Sep 2018,★★★★½,False,
Angels Are Made of Light,01 Sep 2018,★★★,False,
The Other Side of the Wind,01 Sep 2018,★★★,True,
Girl,01 Sep 2018,★★★★,False,
Roma,31 Aug 2018,★★★★★,True,
To Kill a Mockingbird,22 Aug 2018,,False,
BlacKkKlansman,19 Aug 2018,★★★★½,False,
Crazy Rich Asians,15 Aug 2018,★★★★,True,
Gone Baby Gone,14 Aug 2018,★★★½,False,
Red Sparrow,13 Aug 2018,,False,
Ocean's Eleven,13 Aug 2018,★★★★,False,
Tomb Raider,10 Aug 2018,★★½,False,
Mission: Impossible – Fallout,27 Jul 2018,★★★★½,True,
Tinker Tailor Soldier Spy,24 Jul 2018,★★★★,True,
The Godfather,08 Jul 2018,★★★★½,False,
Ant-Man and the Wasp,08 Jul 2018,★★★½,False,
True Romance,01 Jul 2018,★★★★,False,
Won't You Be My Neighbor?,30 Jun 2018,★★★★,True,
Incredibles 2,29 Jun 2018,★★★★,True,
Bao,29 Jun 2018,★★★★½,True,
Battle Royale,24 Jun 2018,★★★,False,
Ocean's Eight,21 Jun 2018,★★★½,False,
Princess Mononoke,21 Jun 2018,★★★★★,True,
"I, Tonya",13 Jun 2018,★★★½,True,
My Neighbor Totoro,11 Jun 2018,★★★½,True,
Spirited Away,08 Jun 2018,★★★★½,True,
Hereditary,07 Jun 2018,★★★★,False,
Troll Hunter,05 Jun 2018,★★★,True,
Lupin the Third: The Castle of Cagliostro,04 Jun 2018,★★★½,False,
First Reformed,28 May 2018,★★★★,False,
Game Night,25 May 2018,★★★★,True,
Breakfast at Tiffany's,24 May 2018,,False,
Deadpool 2,22 May 2018,★★★½,False,
Disobedience,13 May 2018,★★★½,False,
Avengers: Infinity War,02 May 2018,★★★½,False,
Don't Think Twice,23 Apr 2018,★★★½,False,
Youth,21 Apr 2018,★★★★,False,
The Prestige,21 Apr 2018,★★★★½,True,
Paddington 2,21 Apr 2018,★★★★,True,
The Young Girls of Rochefort,14 Apr 2018,★★★★½,True,
Skyfall,11 Apr 2018,★★★★,True,
Three Colours: Red,10 Apr 2018,,False,
Ready Player One,08 Apr 2018,★★★,True,
Devils on the Doorstep,07 Apr 2018,★★★★,False,
Blood Diamond,05 Apr 2018,★★½,False,
The Face of Another,05 Apr 2018,,False,
Meshes of the Afternoon,03 Apr 2018,,False,
Inception,03 Apr 2018,★★★★,True,
Memories of Murder,31 Mar 2018,★★★★½,True,
Thelma & Louise,28 Mar 2018,★★★★,False,
Independence Day,27 Mar 2018,★★★,True,
Fight Club,26 Mar 2018,★★★★,False,
Fantastic Mr. Fox,25 Mar 2018,★★★★,False,
The Long Goodbye,24 Mar 2018,★★★★½,True,
Black Panther,22 Mar 2018,★★★½,True,
Yi Yi,21 Mar 2018,★★★★★,True,
No Country for Old Men,19 Mar 2018,★★★★★,True,
Linda Linda Linda,19 Mar 2018,★★★★,True,
All the President's Men,19 Mar 2018,★★★½,False,
Singin' in the Rain,18 Mar 2018,★★★★½,True,
Blow-Up,18 Mar 2018,★★★★,False,
Amadeus,14 Mar 2018,★★★★½,False,
12 Angry Men,12 Mar 2018,★★★★,False,
Darkest Hour,11 Mar 2018,★★★,False,
Nashville,08 Mar 2018,★★★★½,True,
Get Out,04 Mar 2018,★★★★½,True,
Paprika,03 Mar 2018,★★★★½,True,
All That Jazz,01 Mar 2018,★★★★½,False,
The Girl with the Dragon Tattoo,28 Feb 2018,★★★★,False,
Black Panther,25 Feb 2018,★★★★,True,
High and Low,25 Feb 2018,★★★★★,True,
Blood and Black Lace,23 Feb 2018,★★★,False,
Gone Girl,23 Feb 2018,★★★½,False,
Little Miss Sunshine,16 Feb 2018,★★★★½,True,
