Movie,Date Watched,Rating,Liked,Review
Haunted Harmony Mysteries: Murder in G Major,15 Jan 2024,★,False,Embarrassing for everyone involved (mostly me)
John Tucker Must Die,11 Jan 2024,★★,False,Penn Badgley hair jump scare
She's the Man,05 Jan 2024,★★★,False,Now that's what they call charisma
Anyone But You,01 Jan 2024,★★★½,False,The inciting incident does not give enough runway for this feud! (I was charmed regardless)
Barbie,31 Dec 2023,★★★,False,"Suffers from a terminal case of ""make it a musical, you cowards!"""
Polite Society,30 Dec 2023,★★★★½,True,She IS the fury!
Love in Bloom,28 Dec 2023,★,False,"Had major plausibility issues with a journalist writing a full page negative review of girlie's floral business. Then I saw the final showcase of her work and, wow—love to be proven incorrect when presented with new information! I'd have needed at least a two page spread."
A Biltmore Christmas,25 Dec 2023,★★★½,False,Hallmark at its most Greta Gerwig (at least in terms of dual timeline color grading)!
Your Christmas or Mine?,25 Dec 2023,★★★,False,"Turns out I don't know the difference between turkeys, ducks, chickens, hens, and geese."
Holiday in Handcuffs,24 Dec 2023,★,False,"Thought I was prepared after reading the premise but holy stockholm syndrome, I was not"
Three Wise Men and a Baby,22 Dec 2023,★★★★,False,This is dripping with Magic Mike XXL energy and it is all the better for it!!
Saltburn,22 Dec 2023,★★,False,"This movie thinks it's doing ""The Talented Mr. Ripley x Succession"" when it's actually doing ""Skins x Gossip Girl x A Simple Favor."" Impeccable costuming, though!"
Maestro,21 Dec 2023,★★★½,False,
Showing Up,20 Dec 2023,★★★½,False,
Boyfriends of Christmas Past,19 Dec 2023,★½,False,
Designing Christmas,17 Dec 2023,★½,False,
Love Has Won: The Cult of Mother God,17 Dec 2023,★★★★,False,
The Curse,16 Dec 2023,★★★★,False,
Five Star Christmas,16 Dec 2023,★★,False,
Round and Round,15 Dec 2023,★★★★,True,
Authors Anonymous,12 Dec 2023,★,False,
The Holiday Sitter,08 Dec 2023,★★½,False,
The Spirit of Christmas,06 Dec 2023,★,False,
Escaping Twin Flames,05 Dec 2023,★★★,False,
Best. Christmas. Ever!,05 Dec 2023,★,False,
Holiday Hotline,02 Dec 2023,★★,False,
May December,02 Dec 2023,★★★★,True,
A World Record Christmas,25 Nov 2023,★★½,False,
Holiday Road,24 Nov 2023,½,False,
Catch Me If You Claus,23 Nov 2023,★★,False,
Picture a Perfect Christmas,22 Nov 2023,½,False,
Bridget Jones's Diary,20 Nov 2023,★★★,False,
Magic Mike's Last Dance,19 Nov 2023,★★★½,False,
Easy A,19 Nov 2023,★★★½,False,
You've Got Mail,18 Nov 2023,★★★½,False,
EXmas,17 Nov 2023,★½,False,
An Unexpected Christmas,16 Nov 2023,★★½,False,
Moriah's Lighthouse,11 Nov 2023,½,False,
Bros,10 Nov 2023,★★★½,False,
Quiz Lady,03 Nov 2023,★★★,False,
Heathers,29 Oct 2023,★★★½,False,
A Novel Romance,28 Oct 2023,½,False,
Happiness for Beginners,27 Oct 2023,★★,False,
Love at First Sight,27 Oct 2023,★,False,
The Wedding Veil,26 Oct 2023,★,False,
If You Were the Last,22 Oct 2023,★★★½,False,
"3 Bed, 2 Bath, 1 Ghost",20 Oct 2023,★★½,False,
Shortcomings,14 Oct 2023,★★★★,False,
Bottoms,07 Oct 2023,★★★★,False,
Crossword Mysteries: Riddle Me Dead,06 Oct 2023,★,False,
Theater Camp,15 Sep 2023,★★★★,True,
Obvious Child,04 Sep 2023,★★★★½,True,
Man Up,01 Sep 2023,★★★½,False,
The Breaker Upperers,30 Aug 2023,★★★½,False,
Legally Blonde,29 Aug 2023,★★★★,False,
Shiva Baby,29 Aug 2023,★★★★,False,
Crossword Mysteries: Terminal Descent,25 Aug 2023,★,False,
A Safari Romance,20 Aug 2023,★,False,
"Red, White & Royal Blue",20 Aug 2023,★★½,False,
Puppy Love,18 Aug 2023,½,False,
The Worst Person in the World,14 Aug 2023,★★★★½,True,
Crossword Mysteries: Abracadaver,13 Aug 2023,★½,False,
What If,12 Aug 2023,★★★,False,
When Harry Met Sally...,10 Aug 2023,★★★★,False,
Pride & Prejudice,09 Aug 2023,★★★★★,True,
Princess Cyd,08 Aug 2023,★★★½,False,
Groundswell,07 Aug 2023,★★★,False,
They Came Together,06 Aug 2023,★★★★,False,
Crossword Mysteries: Proposing Murder,04 Aug 2023,★,False,
Little Women,03 Aug 2023,★★★★★,True,
Crossword Mysteries: A Puzzle to Die For,02 Aug 2023,★★½,False,
Joy Ride,01 Aug 2023,★★★★,False,
You Hurt My Feelings,28 Jul 2023,★★★★,False,
Make Me a Match,27 Jul 2023,½,False,
"For a Good Time, Call...",24 Jul 2023,★★★,False,
The Wedding Cottage,21 Jul 2023,½,False,
Kiki's Delivery Service,19 Jul 2023,★★★★★,True,
My Neighbor Totoro,18 Jul 2023,★★★★★,True,
The Dancing Detective: A Deadly Tango,15 Jul 2023,★★½,False,
Sleeping with Other People,14 Jul 2023,★★½,False,
Imagine Me & You,10 Jul 2023,★★★½,False,
Magic Mike XXL,09 Jul 2023,★★★★★,True,
The Favourite,08 Jul 2023,★★★★,False,
"Juliet, Naked",02 Jul 2023,★★,False,
Plus One,02 Jul 2023,★★★★,False,
Shiny Happy People: Duggar Family Secrets,16 Jun 2023,★★★½,False,
The Incredible Jessica James,09 Jun 2023,★★,False,
Holiday in the Wild,07 Jun 2023,½,False,
Good on Paper,29 May 2023,½,False,
Antz,28 May 2023,★,False,
Desperados,19 May 2023,★,False,
A Tourist's Guide to Love,12 May 2023,★½,False,
Spin Me Round,05 May 2023,★½,False,
Your Place or Mine,05 May 2023,½,False,
John Mulaney: Baby J,28 Apr 2023,★★,False,
"Love, Guaranteed",21 Apr 2023,★½,False,
Rye Lane,17 Apr 2023,★★★★,True,
BEEF,17 Apr 2023,★★★★★,True,
Cruel Intentions,07 Apr 2023,★★,False,
Mae Martin: SAP,28 Mar 2023,★★★★,False,
Closer,28 Mar 2023,★★½,False,
Magic Mike,24 Feb 2023,★★★★½,False,
Marry Me,10 Feb 2023,★★★,False,
You People,03 Feb 2023,★,False,
Puss in Boots: The Last Wish,31 Jan 2023,★★★½,False,
Marcel the Shell with Shoes On,26 Jan 2023,★★★★★,True,
Elvis,25 Jan 2023,★★★★,False,
TÁR,24 Jan 2023,★★★★★,True,
The Fabelmans,24 Jan 2023,★★★½,False,
Triangle of Sadness,23 Jan 2023,★★★,False,
The Banshees of Inisherin,22 Jan 2023,★★★½,False,
The Lovebirds,21 Jan 2023,★★★,False,
The Wedding Year,19 Jan 2023,½,False,
Roald Dahl's Matilda the Musical,15 Jan 2023,★★½,False,
Burnt,14 Jan 2023,½,False,
Leap Year,13 Jan 2023,½,False,
Stutz,11 Jan 2023,★★★½,False,
Puss in Boots,07 Jan 2023,★★★,False,
The Menu,06 Jan 2023,★★★½,False,
Atsuko Okatsuka: The Intruder,05 Jan 2023,★★★★,False,
Aftersun,04 Jan 2023,★★★★,False,
Call Me Miss Cleo,01 Jan 2023,★★★,False,
The Lost City,31 Dec 2022,★★½,False,
Long Story Short,30 Dec 2022,★★½,False,
The Age of Adaline,28 Dec 2022,★,False,
12 Pups of Christmas,26 Dec 2022,½,False,
Saving Christmas Spirit,26 Dec 2022,★½,False,
Haul Out the Holly,23 Dec 2022,★★★,False,
Christmas on the Farm,23 Dec 2022,★,False,
A Christmas Prince,21 Dec 2022,★,False,
Christmas Wedding Planner,18 Dec 2022,★★★,False,
12 Dates of Christmas,18 Dec 2022,★,False,
I Believe in Santa,17 Dec 2022,½,False,
Something from Tiffany's,16 Dec 2022,★★★,False,
Holiday Rush,11 Dec 2022,★,False,
The Princess Switch,11 Dec 2022,★,False,
A Hollywood Christmas,07 Dec 2022,★,False,
Ari Eldjárn: Pardon My Icelandic,05 Dec 2022,★★,False,
A California Christmas: City Lights,04 Dec 2022,★,False,
Always Be My Maybe,01 Dec 2022,★★★★,False,
Love Hard,25 Nov 2022,★★,False,
The Noel Diary,24 Nov 2022,★½,False,
Wedding Season,23 Nov 2022,★★★,False,
Christmas with You,19 Nov 2022,★★,False,
A Castle for Christmas,19 Nov 2022,★½,False,
Hometown Holiday,18 Nov 2022,½,False,
The Holiday Calendar,18 Nov 2022,★★,False,
Catering Christmas,13 Nov 2022,½,False,
Sound of Metal,12 Nov 2022,★★★★★,True,
Falling for Christmas,10 Nov 2022,½,False,
Christmas with a View,06 Nov 2022,½,False,
Resort to Love,05 Nov 2022,★½,False,
Christmas Inheritance,30 Oct 2022,★,False,
Set It Up,29 Oct 2022,★★½,False,
Everything Everywhere All at Once,28 Oct 2022,★★★★★,True,
Practical Magic,26 Oct 2022,★★★,False,
Jennifer's Body,10 Oct 2022,★★★★,False,
Vengeance,08 Oct 2022,★★★½,False,
Derek DelGaudio's In & of Itself,04 Oct 2022,★★★½,False,
Hocus Pocus 2,04 Oct 2022,★★,False,
Blonde,28 Sep 2022,½,False,
Kate Berlant: Cinnamon in the Wind,24 Sep 2022,★★★★,False,
Honk for Jesus. Save Your Soul.,22 Sep 2022,★★★★,False,
Meet Cute,22 Sep 2022,½,False,
Do Revenge,20 Sep 2022,★★★,False,
Over the Garden Wall,15 Sep 2022,★★★½,False,
The Half of It,10 Sep 2022,★★★,False,
A California Christmas,09 Sep 2022,½,False,
Falling Inn Love,08 Sep 2022,½,False,
The Valet,05 Sep 2022,★★★½,False,
A Perfect Pairing,04 Sep 2022,★,False,
Love in the Villa,03 Sep 2022,½,False,
That's Amor,02 Sep 2022,★½,False,
Nope,06 Aug 2022,★★★★,True,
A Simple Favor,24 Jul 2022,★★★,True,
The Deep End,17 Jul 2022,★★★,False,
Encanto,10 Jul 2022,★★★½,False,
Minions: The Rise of Gru,09 Jul 2022,★★,False,
Twilight,04 Jul 2022,★★★½,False,
Paddington 2,03 Jul 2022,★★★½,False,
Paddington,02 Jul 2022,★★★★,False,
Incredibles 2,04 Jun 2022,★★★,False,
Chip 'n Dale: Rescue Rangers,30 May 2022,★★★★,False,
Cars,30 May 2022,★½,False,
The Lighthouse,09 May 2022,★★½,False,
Guardians of the Galaxy,06 May 2022,★,False,
But I'm a Cheerleader,26 Apr 2022,★★★★,True,
Jerrod Carmichael: Rothaniel,13 Apr 2022,★★★★½,True,
Zola,01 Apr 2022,★★★½,False,
The Barkley Marathons: The Race That Eats Its Young,01 Apr 2022,★★★★½,True,
Turning Red,26 Mar 2022,★★★,False,
Deep Water,20 Mar 2022,★★★★,True,
Bad Vegan: Fame. Fraud. Fugitives.,18 Mar 2022,★★½,False,
Storks,07 Mar 2022,★★★,False,
Pokémon Detective Pikachu,07 Mar 2022,★,False,
Spencer,02 Mar 2022,★★★½,False,
Uncut Gems,27 Feb 2022,★★★★,False,
Together Together,27 Feb 2022,★★★★,True,
Coco,27 Feb 2022,★★★½,True,

Followers
_supersonick,most_def,morganweir,carolynlalonde,alibrooke4ever,mollyjthomas,chelsaat,juliannebell,bagglebones,katkins19,rcorella,emschcog,kubiruba,fablady,faithdallas,maddiest,nic_juarez,madisonrcassidy,quelell,jrmynlsn,godhandkiller,jasonleroy,msulmona,gretacore,zachcrandall,jortizluis,charlottebb,cheapus,petrasfather,christinamcc,plingsben,alisonmariejay,truedailydouble,rab62,millennialmarge,sarawthouttheh,em___dash,pruittkn,kevinlempke,sarawatchestuff,britafox,emmakendall,amitygardens,audreyharbottle,alpaltal,takinkarabizniz,sarahvlegume,jano2003,biancapsmith,noabournexo,slooper24,talesoflayls,nevinmcray,missriss86,beefhelix,rachelannebartz,lillianpg,damnyafai,nathancheng,lzbthvdngrnd,alexcldrs,louispeitzman,michwang,marcocousins

Following
most_def,morganweir,fumilayo,emoryhall,carolynlalonde,alibrooke4ever,chelsaat,juliannebell,katkins19,rcorella,marisacarpico,emschcog,kubiruba,fablady,madisonrcassidy,domudell,jrmynlsn,godhandkiller,judsoncollier,bagglebones,msulmona,gretacore,zachcrandall,charlottebb,jortizluis
