Movie,Date Watched,Rating,Liked,Review
Nocturnal Animals,06 Dec 2021,,False,
Licorice Pizza,30 Nov 2021,,False,
Shiva Baby,07 Sep 2021,,False,
Sound of Metal,20 Mar 2021,,False,
Billie Eilish: The World's a Little Blurry,13 Mar 2021,,False,
Good Time,01 Mar 2021,,False,
Nightcrawler,24 Feb 2021,,False,
Pieces of a Woman,22 Feb 2021,,False,
Obvious Child,08 Feb 2021,,False,
Mulholland Drive,02 Feb 2021,,False,
Black Bear,25 Jan 2021,,False,
Spotlight,25 Jan 2021,,False,
The Grand Budapest Hotel,24 Jan 2021,,False,
Billy Madison,21 Jan 2021,,False,
The Trial of the Chicago 7,19 Jan 2021,,False,
The Dark Knight Rises,09 Jan 2021,,False,
Spirited Away,08 Jan 2021,,False,
Catch Me If You Can,04 Jan 2021,,False,
The Dark Knight,03 Jan 2021,,False,
Full Metal Jacket,30 Dec 2020,,False,
68 Kill,01 May 2020,,False,
Parasite,22 Apr 2020,,False,
Little Women,20 Apr 2020,,False,
20th Century Women,26 Aug 2019,,False,
Shutter Island,15 Aug 2019,,False,
Five Feet Apart,12 Aug 2019,,False,
mid90s,24 Jul 2019,,False,
Booksmart,22 Jul 2019,,False,
I Am Mother,13 Jul 2019,,False,
Perfect Blue,11 Jul 2019,,False,
"Paris, Texas",08 Jun 2019,,False,
Your Name.,30 May 2019,★★★★½,False,
"Extremely Wicked, Shockingly Evil and Vile",08 May 2019,,False,
Band Aid,29 Apr 2019,,False,
The New Romantic,28 Apr 2019,,False,
All the President's Men,22 Apr 2019,★★★★½,False,
The 2000s,22 Mar 2019,,False,
The Princess Bride,25 Feb 2019,★★★★★,False,
Abducted in Plain Sight,03 Feb 2019,,False,
Conversations with a Killer: The Ted Bundy Tapes,31 Jan 2019,,False,
Beautiful Boy,20 Jan 2019,,False,
Fyre,17 Jan 2019,,False,
Song to Song,08 Jan 2019,,False,
Magnolia,06 Jan 2019,★★★★½,False,
Dazed and Confused,28 Dec 2018,,False,
Blue Valentine,19 Dec 2018,★★★★★,False,
The Talented Mr. Ripley,09 Dec 2018,,False,
Clueless,08 Dec 2018,,False,
Interstellar,06 Dec 2018,,False,
Ocean's Thirteen,06 Dec 2018,,False,
Ocean's Twelve,05 Dec 2018,,False,
Ocean's Eleven,04 Dec 2018,★★★★½,False,
Ferris Bueller's Day Off,04 Dec 2018,,False,
Palo Alto,02 Dec 2018,,False,
Coraline,15 Nov 2018,,False,
Drive,14 Nov 2018,,False,
Inception,13 Nov 2018,,False,
Arrival,12 Nov 2018,,False,
Passengers,11 Nov 2018,,False,
Operation Finale,03 Nov 2018,,False,
Never Let Me Go,01 Nov 2018,,False,
The Tribe,23 Oct 2018,★★★★,False,
22 July,19 Oct 2018,,False,
Sorry to Bother You,01 Aug 2018,,False,
The Game,16 Jul 2018,,False,
The Wizard of Oz,16 Jul 2018,,False,
Like Crazy,14 Jul 2018,,False,
Atonement,22 Jun 2018,,False,

Followers
sallday,jhcarey,gtagliamonte,arigolin,jcicco,lucieplasse,amesward,wyattwinborne

Following
sallday,jcicco,jhcarey,gtagliamonte,arigolin,looseygoosey,lucieplasse,amesward,wyattwinborne
