Movie,Date Watched,Rating,Liked,Review
American Symphony,15 Jan 2024,,False,spotted: alyssa :)
Beyond Utopia,15 Jan 2024,★★★★½,False,
Mean Girls,14 Jan 2024,★★½,False,whenever it was time for a new song we said darn it
Wonka,14 Jan 2024,,False,the peep show to wonka pipeline
Society of the Snow,12 Jan 2024,★★★★½,False,
Bobi Wine: The People's President,11 Jan 2024,,False,
All of Us Strangers,10 Jan 2024,★★★,False,paul has now done two movies about parents dying before their kids come out to them
American Fiction,07 Jan 2024,★★★½,False,my aunt texted me to tell me cord jefferson is from tucson
Eight Men Out,07 Jan 2024,★★★★,False,their little outfits broke my heart
The Color Purple,06 Jan 2024,,False,reminded me of pachinko in that this is a story of a woman who suffers almost every day of her life but I still cried and I hope danielle brooks gets anything she wants in life
The Zone of Interest,05 Jan 2024,★★★★,False,I spent a decent amount of this wondering “am I bored?” (how I knew wesley was loving it) but then talked about if for so long after that it turns out no I was not. the overtures were so so scary in a way I haven’t really experienced in a movie. this is sandra huller’s year of saying no to your husband
Joint Security Area,05 Jan 2024,★★★★½,False,I started this at 11:45 pm not thinking I would finish tonight but here I am crying
Christine,03 Jan 2024,★★★½,False,duh it’s cars and stephen
Nobody Knows,02 Jan 2024,★★★★★,False,fuck!
Beautiful Disaster,01 Jan 2024,★★★★★,False,I would watch this again right now
Maestro,30 Dec 2023,★★★½,False,
Shohei Ohtani: Beyond the Dream,28 Dec 2023,★★★★★,False,
Godzilla Minus One,26 Dec 2023,★★★★½,False,
BTS: Yet to Come in Cinemas,25 Dec 2023,★★★★★,False,
The Boy and the Heron,24 Dec 2023,★★★★½,False,
Every Body,20 Dec 2023,★★★½,False,
Calendar Girls,20 Dec 2023,★★★,False,
Poor Things,18 Dec 2023,★★★½,False,
Black Swan,13 Dec 2023,★★★★,False,
Monster,10 Dec 2023,★★★★½,False,
"Malni: Towards the Ocean, Towards the Shore",08 Dec 2023,★★★½,False,
The Holdovers,08 Dec 2023,★★★★,False,
I Wish,07 Dec 2023,★★★★★,False,
Thanksgiving,03 Dec 2023,★★★,False,
May December,03 Dec 2023,★★★★½,False,
42,01 Dec 2023,,False,
For Love of the Game,27 Nov 2023,★½,False,
The Third Murder,27 Nov 2023,★★★½,False,
On-Gaku: Our Sound,27 Nov 2023,★★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,25 Nov 2023,★★★★,False,
The Twilight Saga: Breaking Dawn – Part 2,25 Nov 2023,★★★★,False,
The Twilight Saga: New Moon,24 Nov 2023,,False,
13 Going on 30,24 Nov 2023,★★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,23 Nov 2023,★★,False,
Saltburn,22 Nov 2023,★★★★,False,
Moneyball,21 Nov 2023,★★★★½,False,
Rookie of the Year,20 Nov 2023,★★★,False,
Major League,20 Nov 2023,★★★,False,
The Rookie,20 Nov 2023,★★,False,
Bad News Bears,20 Nov 2023,★★★½,False,
Shinjuku Boys,20 Nov 2023,★★★★½,False,
The Aggressives,19 Nov 2023,★★★★½,False,
Long Shot,17 Nov 2023,,False,
Guardians of the Galaxy Vol. 3,15 Nov 2023,,False,
Jujutsu Kaisen 0,08 Nov 2023,★★★★★,False,
Italianamerican,07 Nov 2023,★★★★½,False,
Marie Antoinette,07 Nov 2023,★★★★,False,
Silver Dollar Road,06 Nov 2023,,False,
Silence,06 Nov 2023,★★★★½,False,
Subject,05 Nov 2023,,False,
Priscilla,04 Nov 2023,★★★,False,
Certain Women,03 Nov 2023,★★★★½,False,
Dream,03 Nov 2023,,False,
The Square,02 Nov 2023,,False,
Capturing the Friedmans,01 Nov 2023,,False,
Four Daughters,29 Oct 2023,★★★★,False,
Polite Society,29 Oct 2023,★★★½,False,
You Were Never Really Here,28 Oct 2023,★★½,False,
Lakota Nation vs. United States,28 Oct 2023,★★★★,False,
Killers of the Flower Moon,28 Oct 2023,★★★★,False,
How to Blow Up a Pipeline,28 Oct 2023,★★★★,False,
Yellow Door: '90s Lo-fi Film Club,27 Oct 2023,★★★★½,False,
Aphotic Zone,27 Oct 2023,★★★,False,
Anatomy of a Fall,21 Oct 2023,★★★★★,False,
Anhell69,18 Oct 2023,★★★★,False,
Queen of New York,16 Oct 2023,,False,
True Mothers,09 Oct 2023,★★★,False,
Fair Play,08 Oct 2023,★★★,False,
Totally Killer,08 Oct 2023,★★,False,
Zodiac,07 Oct 2023,★★★★½,False,
Passages,07 Oct 2023,★★★,False,
The Exorcist: Believer,07 Oct 2023,★★,False,
Free Chol Soo Lee,06 Oct 2023,★★★★½,False,
Stop Making Sense,05 Oct 2023,★★★★½,False,
The Wonderful Story of Henry Sugar,30 Sep 2023,★★★★,False,
Hit the Road,29 Sep 2023,★★★★½,False,
Still Film,28 Sep 2023,½,False,
Shopping for Fangs,28 Sep 2023,★★★,False,
26.2 to Life,25 Sep 2023,★★★★,False,
Brooklyn Dodgers: The Ghosts of Flatbush,20 Sep 2023,,False,
Fire Island,17 Sep 2023,,False,
Radical Wolfe,16 Sep 2023,★★★,False,
Rotting in the Sun,12 Sep 2023,★★★★½,False,
Typhoon Club,12 Sep 2023,★★★★★,True,
The History of the Seattle Mariners,10 Sep 2023,★★★★★,True,
