Movie,Date Watched,Rating,Liked,Review
Poor Things,09 Jan 2024,★★★★½,True,the way that transition to color hit me harder than The Wizard of Oz
Ferrari,02 Jan 2024,★★★★,False,
The Unknown Country,01 Jan 2024,★★★½,True,
Alex Wheatle,22 Dec 2023,★★★½,True,
The Boy and the Heron,12 Dec 2023,★★★★★,True,There are no coherent thoughts only that I openly wept in the theater
Ocean's Eleven,11 Dec 2023,★★★★½,True,
Birth/Rebirth,08 Dec 2023,★★★,False,
Education,07 Dec 2023,★★★★,True,
"Red, White and Blue",07 Dec 2023,★★★½,False,
Election,02 Dec 2023,★★★★,True,
The Holdovers,02 Dec 2023,★★★★,False,hell fucking yeah
Napoleon,27 Nov 2023,★★½,False,"idk what the possibility is of becoming Emperor of France after getting cucked by your spouse, but apparently it isn’t 0%"
Fantastic Mr. Fox,25 Nov 2023,★★★★★,True,“What the cuss is he burning?”
Decalogue X,20 Nov 2023,★★★★★,True,*Eyes brother’s funky pop collection
A Short Film About Love,13 Nov 2023,★★★★,True,
The Killer,11 Nov 2023,★★★★,True,David Fincher’s autobiographical biopic.
The Insider,07 Nov 2023,★★★★½,True,"Michael, please Mannsplain to me anytime"
Riki-Oh: The Story of Ricky,03 Nov 2023,★★★★★,True,What a picture.
The Long Day Closes,25 Oct 2023,★★★★,False,
Killers of the Flower Moon,22 Oct 2023,★★★★★,True,Blood and Oil.
"Distant Voices, Still Lives",14 Oct 2023,★★★★½,True,
Panic Room,13 Oct 2023,★★★★,True,How could I evver have forgotten the raw magnitude of Forest Whitaker and Jodie Foster’s star power. Immaculate stuff.
Twelve Monkeys,07 Oct 2023,★★★★,True,
The Exorcist III,04 Oct 2023,★★★★½,True,
The Tale of the Princess Kaguya,03 Oct 2023,★★★★½,False,
Wolf's Hole,03 Oct 2023,★★★½,True,The reveal of the twins like 10 minutes in was genuinely scary for me
No One Will Save You,26 Sep 2023,★★★,False,
Ashes of Time,25 Sep 2023,★★★,False,
Horse Money,13 Sep 2023,★★★★½,False,
Bottoms,12 Sep 2023,★★★★,True,
"Quo Vadis, Aida?",08 Sep 2023,★★★★,False,
Revanche,30 Aug 2023,★★★★,True,
The Future Tense,28 Aug 2023,★★★★½,False,
Thief,25 Aug 2023,★★★★★,True,
Talk to Me,14 Aug 2023,★★★½,True,
After Hours,11 Aug 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,10 Aug 2023,★★★½,True,
Black Rain,08 Aug 2023,★★★★,True,
One False Move,01 Aug 2023,★★★★½,True,
Barbie,24 Jul 2023,★★★½,True,
The Killing of a Chinese Bookie,24 Jul 2023,★★★,False,
The French Connection,24 Jul 2023,★★★★½,True,
After Migration: Calabria,22 Jul 2023,★★★★★,True,
Oppenheimer,21 Jul 2023,★★★★½,True,
Phoenix,18 Jul 2023,★★★★½,True,
Mr. Klein,18 Jul 2023,★★★★,False,
Nimona,17 Jul 2023,★★★½,False,
Mission: Impossible – Dead Reckoning Part One,16 Jul 2023,★★★★,True,
Night Moves,15 Jul 2023,★★★★,True,
King of New York,14 Jul 2023,★★★★,True,
The Silence of the Sea,12 Jul 2023,★★★½,False,
Kaagaz Ke Phool,05 Jul 2023,★★★★½,True,
Demonlover,04 Jul 2023,★★★★,False,
Dogville,04 Jul 2023,★★★★½,True,
Godland,22 Jun 2023,★★★★½,True,
Syndromes and a Century,22 Jun 2023,★★★★,True,
The Sweet Hereafter,19 Jun 2023,★★★★½,True,
Past Lives,18 Jun 2023,★★★★,False,
The Haunting,17 Jun 2023,★★★★,False,
Spider-Man: Across the Spider-Verse,06 Jun 2023,★★★★½,True,
Exotica,05 Jun 2023,★★★★★,True,
BlackBerry,30 May 2023,★★★★,False,
Huesera: The Bone Woman,26 May 2023,★★★★,True,
Female Prisoner Scorpion: Jailhouse 41,24 May 2023,★★★½,False,
Breaker Morant,23 May 2023,★★★★½,True,
71 Fragments of a Chronology of Chance,20 May 2023,★★★★,True,
The Seventh Continent,09 May 2023,★★★★½,False,
Our Hospitality,09 May 2023,★★★★,True,
Chan Is Missing,05 May 2023,★★★★★,True,
The Red Balloon,04 May 2023,★★★★½,True,
A Pigeon Sat on a Branch Reflecting on Existence,03 May 2023,,True,
Showing Up,29 Apr 2023,★★★★,True,
"Merry Christmas, Mr. Lawrence",24 Apr 2023,★★★★½,True,
Evil Dead Rise,22 Apr 2023,★★★,False,
Beau Is Afraid,20 Apr 2023,★★★★½,True,
Judgement,19 Apr 2023,★★★★½,True,
River of Grass,19 Apr 2023,,True,
Inland Empire,17 Apr 2023,,True,
How to Blow Up a Pipeline,14 Apr 2023,★★★★,True,
AM1200,10 Apr 2023,★★★½,False,
Dungeons & Dragons: Honor Among Thieves,08 Apr 2023,★★★½,True,
John Wick: Chapter 4,31 Mar 2023,★★★½,False,
Queen of Diamonds,26 Mar 2023,★★★,False,
Smile,26 Mar 2023,★★★,False,
News from Home,24 Mar 2023,★★★★½,False,
Made in Hong Kong,20 Mar 2023,★★★★,False,
Last and First Men,20 Mar 2023,★★★★,True,
Through the Olive Trees,13 Mar 2023,★★★★,True,
Through a Glass Darkly,13 Mar 2023,★★★★,True,
"Life, and Nothing More...",08 Mar 2023,★★★★½,False,
The Outwaters,05 Mar 2023,★★★,False,
