Movie,Date Watched,Rating,Liked,Review
The Boy and the Heron,14 Jan 2024,★★★½,False,"going into this I was prepared to have some sort of epiphany, or at least cry a little. but for the most part it was just a movie. a breathtakingly beautiful and imaginative movie, of course, but one that I didn’t really connect with on the level I had hoped"
Poor Things,13 Jan 2024,★★★★,False,"criticisms to be made for sure, but for the most part I really enjoyed this. very creative and funny! I just still can’t believe they chose that fuckass Rae Dunn font"
Nomadland,11 Jan 2024,★★½,False,mixed feelings about this one. Frances is a fantastic actress but I think this would’ve come across as much more authentic without her there. like great acting only does so much when you’re very keenly aware that it’s an act. great visuals though
Asteroid City,08 Jan 2024,★★★★½,True,this made me realize I need more fun silly whimsical cinema in my life. I had the best time watching this AND it was less than two hours which my real fans will know is the gold standard
Percy Jackson & the Olympians: The Lightning Thief,03 Jan 2024,★,False,haven’t seen this since it was in theaters. I knew it was bad but holy fuck
Saltburn,02 Jan 2024,★★★,False,when they did the Big Reveal and he’s typing all that nonsense on the laptop that’s when I decided this couldn’t be more than 3 stars
Leave the World Behind,25 Dec 2023,★½,False,least scary horror movie of all time. the LSHMOAT if you will. kind of insane that they even billed it as horror actually
Violent Night,24 Dec 2023,★★,False,this felt like 3 hours but when it comes to picking a Christmas movie that no one’s seen before we could’ve done a lot worse
The Hunger Games: The Ballad of Songbirds & Snakes,24 Nov 2023,★★★★,True,something about me is I will be seated for anything and everything that suzanne collins is associated with. also helps that the main guy is sexy
Spider-Man: Across the Spider-Verse,04 Nov 2023,★★★★,False,this was good and I am excited for the next one!
Edge of Tomorrow,08 Aug 2023,★★★★,True,witerally me when I play fortnite
Teenage Mutant Ninja Turtles: Mutant Mayhem,05 Aug 2023,★★★★,False,yes I cried at the animated teenage turtle movie what are u gonna do about it???
Barbie,20 Jul 2023,★★★★★,True,
The Super Mario Bros. Movie,09 Apr 2023,★★½,False,
CODA,11 Mar 2023,★★★★,True,
All Quiet on the Western Front,05 Mar 2023,★★½,False,
Women Talking,02 Mar 2023,★★★★½,True,
Top Gun: Maverick,01 Mar 2023,★★★½,False,
Triangle of Sadness,19 Feb 2023,★★½,False,
Fantastic Mr. Fox,11 Feb 2023,★★★½,False,
The Banshees of Inisherin,24 Jan 2023,★★★★½,True,
M3GAN,15 Jan 2023,★★★½,False,
The Menu,08 Jan 2023,★★★,False,
Glass Onion,25 Dec 2022,★★★★,False,
Edward Scissorhands,30 Sep 2022,★★★,False,
Nope,27 Aug 2022,★★★★,True,
The Lord of the Rings: The Two Towers,29 Jul 2022,★★★★½,True,
Minions: The Rise of Gru,29 Jul 2022,★★★,True,
The Lord of the Rings: The Fellowship of the Ring,27 Jul 2022,★★★★,False,
Mamma Mia! Here We Go Again,21 Jun 2022,★★½,False,
Ratatouille,19 Jun 2022,★★★★,False,
Death on the Nile,19 Jun 2022,★★½,False,
Interstellar,19 Jun 2022,★★★★★,True,
Mamma Mia!,19 Jun 2022,★★★★,True,
"Girl, Interrupted",10 Jun 2022,★★★½,False,
The Grand Budapest Hotel,10 Jun 2022,★★★★★,True,
Big Fish,22 Apr 2022,★★★½,False,
Everything Everywhere All at Once,11 Apr 2022,★★★★★,True,
The Imitation Game,07 Apr 2022,★★★★,False,
The Lego Batman Movie,01 Apr 2022,★★★½,False,
Rocky,31 Mar 2022,★★★★,False,
Kicking & Screaming,24 Mar 2022,★★½,False,
There Will Be Blood,19 Mar 2022,★★★½,False,
Crazy Rich Asians,17 Mar 2022,★★★★,False,
The Truman Show,12 Mar 2022,★★★★★,True,
Drive,08 Mar 2022,★★★★,False,
Taxi Driver,05 Mar 2022,★★★★,False,
The Batman,04 Mar 2022,★★★★½,True,
Inception,24 Feb 2022,★★★★½,False,
Mad Max: Fury Road,13 Feb 2022,★★★½,False,
Paddington 2,04 Feb 2022,★★★★,False,
The Fallout,31 Jan 2022,★★★½,False,
Se7en,20 Jan 2022,★★★★,True,
Spider-Man,02 Jan 2022,★★★½,True,
Harry Potter 20th Anniversary: Return to Hogwarts,01 Jan 2022,★★★★★,True,
The Dark Knight,29 Dec 2021,★★★★,True,
Sing 2,28 Dec 2021,★★½,False,
A Quiet Place Part II,27 Dec 2021,★★★½,False,
Don't Look Up,26 Dec 2021,★★½,False,
The Wolf of Wall Street,26 Dec 2021,★★★★,False,
Shang-Chi and the Legend of the Ten Rings,23 Dec 2021,★★★½,False,
Spider-Man: No Way Home,18 Dec 2021,★★★★,True,
No Country for Old Men,14 Dec 2021,★★★½,False,
WALL·E,14 Dec 2021,★★★★½,True,
About Time,02 Dec 2021,★★★★,False,
Pulp Fiction,29 Nov 2021,★★★★,False,
Black Widow,23 Nov 2021,★★★½,False,
Reservoir Dogs,20 Nov 2021,★★★★½,True,
The Guilty,18 Nov 2021,★★★½,False,
Léon: The Professional,17 Nov 2021,★★★,False,
The Lighthouse,16 Nov 2021,★★★★,False,
Titanic,16 Nov 2021,★★★★½,True,
Dune,11 Nov 2021,★★★★,False,
Lady Bird,04 Nov 2021,★★★★,True,
The Matrix,02 Nov 2021,★★★★,False,
The Silence of the Lambs,28 Oct 2021,★★★★,True,
Do the Right Thing,22 Oct 2021,★★★★★,True,
The Thing,20 Oct 2021,★★★★,False,
Taylor Swift: Reputation Stadium Tour,20 Oct 2021,★★★★★,True,
Donnie Darko,20 Oct 2021,★★★,False,
Uncut Gems,18 Oct 2021,★★★★½,True,
Primal Fear,15 Oct 2021,★★★★,False,
Black Swan,13 Oct 2021,★★★★★,True,
Back to the Future,01 Oct 2021,★★★½,False,
Good Time,23 Sep 2021,★★★★,False,
Bo Burnham: Inside,05 Jun 2021,★★★,False,
Brokeback Mountain,18 May 2021,★★★★½,False,
The Conjuring,10 May 2021,★★★½,True,
Hereditary,08 May 2021,★★★★½,True,
Midsommar,07 May 2021,★★★★★,True,
Superbad,04 May 2021,★★★★,False,
21 Jump Street,04 May 2021,★★★½,True,
Spider-Man: Far from Home,03 May 2021,★★★★,True,
Mean Girls,20 Mar 2021,★★★★½,True,
Star Wars: The Rise of Skywalker,09 Feb 2021,★★,False,
Surf's Up,06 Feb 2021,★★★★,False,
Star Wars: The Last Jedi,28 Jan 2021,★★★½,False,
Star Wars: Episode III – Revenge of the Sith,22 Jan 2021,★★★½,False,
Star Wars: Episode II – Attack of the Clones,22 Jan 2021,★★,False,
Harry Potter and the Deathly Hallows: Part 1,18 Jan 2021,★★★½,True,
Harry Potter and the Order of the Phoenix,16 Jan 2021,★★★★,True,
Harry Potter and the Chamber of Secrets,15 Jan 2021,★★★★,True,
Star Wars: The Force Awakens,10 Jan 2021,★★★★,False,
Solo: A Star Wars Story,01 Jan 2021,★★★½,False,
Rogue One: A Star Wars Story,27 Dec 2020,★★★½,False,
The Cabin in the Woods,25 Dec 2020,★★★½,False,
Star Wars: Episode I – The Phantom Menace,21 Dec 2020,★★,False,
The Christmas Chronicles: Part Two,03 Dec 2020,★½,False,
The Babysitter,21 Nov 2020,★½,False,
The Hunger Games: Catching Fire,12 Nov 2020,★★★★½,True,
Borat Subsequent Moviefilm,24 Oct 2020,★★★★,False,
Pride & Prejudice,07 Oct 2020,★★★★★,True,
Logan,20 Sep 2020,★★★★,False,
World War Z,29 Aug 2020,★★★½,True,
Train to Busan,21 Aug 2020,★★★½,False,
The Twilight Saga: Breaking Dawn – Part 2,20 Aug 2020,★★★★,True,
The Twilight Saga: Breaking Dawn – Part 1,20 Aug 2020,★★★,False,
The Twilight Saga: Eclipse,18 Aug 2020,★★,False,
The Twilight Saga: New Moon,17 Aug 2020,★★,False,
Twilight,17 Aug 2020,★★★½,True,
Hamilton,15 Jul 2020,★★,False,
Inglourious Basterds,26 Jun 2020,★★★★★,True,
Camp Rock,24 Jun 2020,★★★,False,
The Emperor's New Groove,22 Jun 2020,★★★★★,True,
"Monsters, Inc.",22 Jun 2020,★★★★½,True,
Kill Bill: Vol. 1,20 Jun 2020,★★★★½,True,
Pan's Labyrinth,30 May 2020,★★★,False,
Thor: The Dark World,27 May 2020,★★,False,
The Social Network,20 May 2020,★★★★½,True,
Baby Driver,20 May 2020,★★★★,True,
