Movie,Date Watched,Rating,Liked,Review
"""Officer Maggot""",15 Jan 2024,★★½,False,I now support raising the drinking age in the US
Last Train Home,14 Jan 2024,★★★★½,True,*'Made in China' lore*
Lincoln,13 Jan 2024,★★★½,True,To say that before my viewing of this film I thought little of one Abraham Lincoln's height would be a gross understatement
The Boy and the Heron,13 Jan 2024,★★★★★,True," I can not put in one single Letterboxd review how much of an affect Studio Ghibli and in particularly Hayao Miyazaki has had on my brain. The first film I remember watching was My Neighbor Totoro and since I first watched it I have seen nearly every Studio Ghibli film twice and in both dub and Sub. This is not to mention the merchandise that I own. But that said, do I think that giving this a five star rating… "
Doctor Who: The Bedtime Story,12 Jan 2024,★★★★★,True,I have just sat down as 15 year old boy sitting his exams soon to watch by my own free will a Cbeebies story time episode. Why did I partake in this very strange act. I can imagine when I dig up this account when I'm forty years young I will ponder upon this puzzling question. If it was Tom Hardy than that would lend some kind of reasonable explanation. But I have now come full circle and I can still cannot fully come to a satisfactory conclusion.
The Shawshank Redemption,10 Jan 2024,★★★★★,True,If Morgan Freeman has not narritated the audiobook then I will make it with AI
(OO),10 Jan 2024,★★★★★,True,Wtf there is nothing to rate here. Simply pure 🎨
Wake,10 Jan 2024,★★★,False,Conclusion: it was all a dream
Frodo Is Great... Who Is That?!!,06 Jan 2024,★★½,False,
2048: Nowhere to Run,06 Jan 2024,★★★½,True,Reminds me a lot of At The Bar by William McIlvanney
2036: Nexus Dawn,06 Jan 2024,★★★★★,True,This is the shit we should be studying at school
Star Wars: Episode I – The Phantom Menace,05 Jan 2024,★★★½,True,"For the first film in his prequel trilogy George Lucas pulls of something very impressive for the time. While somethings like the gunguns and some CG scene and characters have admittedly aged, the film looks great. Actors in 1999 had not yet learnt how to interact with things that aren't there so I do sympathise with Ewan McGregor and Liam Neeson and how difficult it must of been."
*batteries not included,04 Jan 2024,★★★★,True,When will we teach our children empathy?
Ghost in the Shell,03 Jan 2024,★★★★★,True,
Beyond the Sea,02 Jan 2024,★★★½,True,
"I, Tonya",01 Jan 2024,★★★★½,True,
The Grand Budapest Hotel,31 Dec 2023,★★★★★,True,
Hidden Figures,29 Dec 2023,★★★★,True,
Miss Marple: The Mirror Crack'd from Side to Side,28 Dec 2023,★★,False,
Murder with Mirrors,27 Dec 2023,★★,False,
Charles III: The Coronation Year,26 Dec 2023,★★★,False,
Sister Act,26 Dec 2023,★★★★½,True,
Doctor Who: The Church on Ruby Road,25 Dec 2023,★★★★★,True,
Mog's Christmas,24 Dec 2023,★★★★,True,
The Sound of Music,24 Dec 2023,★★★★,True,
Paddington,23 Dec 2023,★★★★,True,
Grease,23 Dec 2023,★★½,False,
We Cry Together,21 Dec 2023,★★★,False,
The Dhamma Brothers,19 Dec 2023,★★★½,True,
A Christmas Carol Goes Wrong,19 Dec 2023,★★★★,True,
Wonka,17 Dec 2023,★★½,False,
A Street Cat Named Bob,16 Dec 2023,★★★★,True,
8 Mile,15 Dec 2023,★★★★½,True,
An Adventure in Space and Time,13 Dec 2023,★★★★,True,
Selma,10 Dec 2023,★★★★,True,
Doctor Who: The Giggle,09 Dec 2023,★★★★★,True,
Doctor Who: The Space Museum,07 Dec 2023,★★★,False,
The Prime of Miss Jean Brodie,06 Dec 2023,★★★★,True,
HOME!,03 Dec 2023,★★★★★,True,
Doctor Who: Wild Blue Yonder,02 Dec 2023,★★★★,True,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,01 Dec 2023,★★★★★,True,
Napoleon,29 Nov 2023,★★★,True,
Dirty Girls,27 Nov 2023,★★★,True,
Doctor Who: The Star Beast,25 Nov 2023,★★★★★,True,
Doctor Who Children in Need Special 2023,18 Nov 2023,★★★★,True,
The Great Escape,17 Nov 2023,★★★★,True,
Kung Fu Panda,12 Nov 2023,★★★,True,
Killers of the Flower Moon,05 Nov 2023,★★★★★,False,
