Movie,Date Watched,Rating,Liked,Review
White Oleander,06 Jan 2024,★★★★★,False,when wagner spoke of the total work of art he was talking about white oleander
Saltburn,28 Dec 2023,,False,"if you're going to self-referentially nod at the genre that you're ripping off (""many of Evelyn Waugh's characters are based off my family""), i feel like it's almost an ethical responsibility to at least bring something new to the manor-holiday table. promising young set-up with no payoff"
The Souvenir,26 Dec 2023,★★★½,False,probably had it coming for what they did to gaddafi and the libyans
Lawrence of Arabia,23 Dec 2023,★★★★★,False,damn if that white boy aint got soul
Oppenheimer,21 Dec 2023,,True,"me, watching inception in 2013: so it's a dream...about a dream"
Oppenheimer,21 Dec 2023,,True,"me, watching inception in 2013: so it's a dream...about a dream"
Mahler,13 Oct 2023,★★★★,False,idk why i was expecting any less
The Oceans Are the Real Continents,05 Oct 2023,★★★★,False,"why but he’s right, the oceans ARE very continenty"
The Oceans Are the Real Continents,02 Oct 2023,★★★★,False,"why but he’s right, the oceans ARE very continenty"
The Oceans Are the Real Continents,02 Oct 2023,★★★★,False,"why but he’s right, the oceans ARE very continenty"
"Salò, or the 120 Days of Sodom",01 Oct 2023,★★★★★,False," ""that cloud of disgust that comes to disturb the libertine's spirit when the illusion fades""love this movie bc its one of the few to really sympathise with fascist readings of nietszche, sade, huysmans, machiavelli etc., take them to their logical conclusion, and show it for what it really is – a bunch of sclerotic old losers pretending to have fun by fulfilling a preconfigured model of what they are told power is. they rnt making their dreams com tru… "
The Palace,29 Sep 2023,★,False,shockingly bad and corny. seemed to be a real hit with italian septuagenarians tho
Tess,21 Sep 2023,★★★★★,False,
Bitter Moon,20 Sep 2023,★★★★★,False,
Blow-Up,17 Sep 2023,★★★★★,False,
Talk to Me,17 Sep 2023,★★,False,
Sexy Beast,16 Sep 2023,★★★★★,False,
The Turin Horse,12 Jul 2023,,False,
Vampires Suck,15 Jun 2023,★★★★,False,
Masculin Féminin,20 May 2023,★★★,False,
Persona,19 May 2023,★★★★★,False,
King Lear,14 May 2023,,False,
Hamlet,13 May 2023,★★★★,False,
Barbarella,13 May 2023,,False,
Funny Girl,13 May 2023,,True,
White Noise,11 Jan 2023,★★★★½,False,
Citizen Kane,28 Dec 2022,,False,
"The Cook, the Thief, His Wife & Her Lover",28 Dec 2022,,False,
Tokyo Story,27 Dec 2022,,False,
Manchester by the Sea,20 Dec 2022,★★★½,False,
Avatar: The Way of Water,17 Dec 2022,★★★★,False,
Gone with the Wind,10 Dec 2022,★★★★,False,
Breathless,08 Dec 2022,★★★,False,
The Doors,07 Dec 2022,★★★½,True,
Triangle of Sadness,02 Dec 2022,★★★½,False,
Blonde,08 Oct 2022,★★★★½,False,
Lost Highway,17 Sep 2022,★★★★,False,
Vagabond,22 Aug 2022,★★★★½,False,
