Movie,Date Watched,Rating,Liked,Review
Origin,15 Jan 2024,★★★½,False," I think the way Variety and Deadline have been talking about killers of the flower moon is how they should be talking about origin instead. Origin is expansive in scope and scale, holding broad strokes and intimate detail next to each other in a way I found to be very impressive. The performances are great, and very subtle (Ellis will be ignored by The Academy). It looks and sounds great (except that my screener copy was grainy af (NEON do better FYC… "
All of Us Strangers,15 Jan 2024,,True,
The Spy Who Dumped Me,15 Jan 2024,★★★,False,
The Third Man,14 Jan 2024,★★★★½,True,
The Beekeeper,13 Jan 2024,,False,
Almost Famous,10 Jan 2024,★★★★★,True,"I used to watch this movie as a dream so I never really realized the extent to which it’s about dreams, but this time around I see it"
The Internship,09 Jan 2024,★★★,True,Google looks like so much fun to work at
Wonka,05 Jan 2024,★★★½,False,The thing that holds this back is Timothee Chalamet. Like he’s just off-putting as Wonka
Harold & Kumar Escape from Guantanamo Bay,05 Jan 2024,,True,I LOVE this movie. Foundational for me. Used to watch it on my iPhone 5C on putlocker all the time.
Real Life,03 Jan 2024,,True,
The Iron Claw,01 Jan 2024,★★★★,True,"Zac Efron is operating on another level in this movie. Everyone’s incredible, but Efron embodies Kevin Von Erich in a really stunning way."
Anyone But You,30 Dec 2023,★★★★★,True,The third graders came to class and ACED THE TEST
Poor Things,29 Dec 2023,,True,I got sleepy at the end (been up for many hours on few hours of sleep because of flying etc) but wowowowow
Ford v Ferrari,29 Dec 2023,★★★½,False," When this movie came out, I had no interest in seeing it. It seemed to me to be a bland airplane movie. And, overtime, as I saw more scenes and my interest was piqued, it started to dawn on me that this might very well be the ultimate airplane movie. It just seemed like it would be.And now I’ve seen it.And I wish I saw it in theaters. Or at least on a bigger screen.It’s not the… "
Joy Ride,29 Dec 2023,★★★,False,I was not expecting how damn horny this movie is!!!!!! Great airplane movie
Darkest Hour,28 Dec 2023,★★★½,False,Nothing new but goes down easily
Dicks: The Musical,24 Dec 2023,★★★½,True,Def loses steam but when it’s all firing ohmygod
They Came Together,23 Dec 2023,★★★★½,True,
American Fiction,22 Dec 2023,★★★½,False,
Dicks: The Musical,21 Dec 2023,★★★,True,Def loses steam but when it’s all firing ohmygod
The Zone of Interest,20 Dec 2023,,True,
Trolls World Tour,18 Dec 2023,★★★,False,
No Hard Feelings,18 Dec 2023,★★★,False,
House of Games,16 Dec 2023,★★★½,False,
Candy Cane Lane,16 Dec 2023,★★★,False,
Godzilla Minus One,14 Dec 2023,★★★★,False,
Lemonade Mouth,12 Dec 2023,★★★½,False,
Waitress: The Musical,12 Dec 2023,,True,
Persona,09 Dec 2023,,True,
Bottoms,09 Dec 2023,★★★★½,True,
The Spook Who Sat by the Door,06 Dec 2023,★★★★,False,
May December,05 Dec 2023,★★★★,True,
The Sleeping Negro,05 Dec 2023,,True,
World of Tomorrow,03 Dec 2023,,True,
Josie and the Pussycats,03 Dec 2023,★★★★★,True,
The Lords of Salem,01 Dec 2023,,True,
Brokeback Mountain,29 Nov 2023,★★★,False,
Ski Party,28 Nov 2023,★★★,True,
A Family Finds Entertainment,27 Nov 2023,,True,
Do the Right Thing,27 Nov 2023,★★★★★,True,
Saltburn,24 Nov 2023,★★★,True,
The Holdovers,22 Nov 2023,★★★½,True,
Last Holiday,21 Nov 2023,★★★★,True,
Please Don't Destroy: The Treasure of Foggy Mountain,20 Nov 2023,★★★½,False,
Austin Powers: International Man of Mystery,20 Nov 2023,★★★,True,
American Psycho,20 Nov 2023,★★★★½,True,
Juno,17 Nov 2023,★★★★½,True,
Can You Keep a Secret?,17 Nov 2023,★★½,False,
Blast of Silence,15 Nov 2023,★★★½,False,
Showgirls,15 Nov 2023,★★★★,True,
Blue Velvet,13 Nov 2023,★★★★½,True,
Psalm IV: Valley of the Shadow,10 Nov 2023,,False,
