Movie,Date Watched,Rating,Liked,Review
The Lure,15 Jan 2024,★★★½,True,The best adaptation of The Little Mermaid is a neon Polish Eurodance horror musical
La Haine,14 Jan 2024,★★★★,True,
Mean Girls,12 Jan 2024,★★★,True,
The Iron Claw,10 Jan 2024,★★★½,True,
The Color Purple,10 Jan 2024,★★★,False,"I wish the direction was snazzier. Odd to see a musical adaptation with performances this heightened and externalized in a bland backdrop that screams soundstage. Also surprised that Brooks is the one actor who's being singled out; thought she overacted, even for a musical."
The Lobster,06 Jan 2024,★★★★★,True," Maybe the most I've changed my mind on a rewatch, this is a masterpiece. Lea Seydoux plays the aroace Alma Coin.Mostly a hysterical (and for Lanthimos screenplays, an uncharacteristically legible) takedown of amatonormativity, but like all Lanthimos films it's also about how our environment shapes the constraints of our imagination. At times a frustrating movie to watch because - oddly for a dystopian - there's no lore or explicit reasoning behind the rules of the absurd world that Lanthimos… "
Nimic,04 Jan 2024,,True,
Alps,03 Jan 2024,★★★½,True,
Wonka,31 Dec 2023,★★★½,True,"Nothing can match the singular tone of what Gene Wilder did (Timmy was serviceable) and none of the new songs or story beats are particularly strong, but Paul King scratches a certain itch. Sufficiently nostalgic without being overly reliant on the original. Kids loved it, I was entertained"
Little Women,25 Dec 2023,★★★½,False," So much love emanating from this!A metatextual reading (such as Richard Brody's excellent one for the New Yorker) is much more interesting than the narrative. Modernizing feminine art which was inherently compromised by the male-dominated constraints of the time period is an interesting problem; how much reverence should the adaptation owe to the source material, how much should it recognize and interpret the author's true intent between the lines, and how much liberty does the adapter have to breathe… "
Maestro,20 Dec 2023,★★½,False," The film opens with a Bernstein quote asserting that good art provokes more questions than it answers, but director Cooper seems to have misunderstood ambiguity as a lack of specificity. Though fortunately not a Wikipedia biopic, I wanted SOME deeper context for Leonard's and Felicia's historic lives beyond the overdramatized, surface-deep, and quite straightforward romantic arc we got. A script and structure more in service of Acting Moments than any message or insight. The portrayal of bisexuality was especially reductive,… "
BlackBerry,16 Dec 2023,★★★½,True,Perfect plane movie
Poor Things,15 Dec 2023,★★★★½,True," So glad I saw this in theaters, the most I've laughed all year. Farcical iconoclasm is Lanthimos's whole thing (maybe the most anarchist mainstream director working today tbh), but he treats his absurd worlds and characters with sincerity, which is why Bella works so well. This is his most accessible - unlike something like Killing of a Sacred Deer, where the vibes are the substance, Poor Things's script is clear with its themes - but it's still quite dense. Props… "
The Boy and the Heron,11 Dec 2023,★★★★½,True,
American Fiction,09 Dec 2023,★★½,False," The satire promised by the trailer is drowned out by generic Mad Libs family drama that makes up at least three-quarters of the movie, or at least feels like it. There is a point being made by showing this side of Jeffrey Wright's character, but the tension between the private ""real"" and the public ""performed"" never really attempts to resolve itself, and I found myself hoping the movie would cut back to being a B-tier social satire every time it… "
May December,03 Dec 2023,★★★★½,True,
The Social Network,28 Nov 2023,★★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,26 Nov 2023,★★★,False,"Sticks a little too close to established lore, I was drawn in by some of the hints of worldbuilding (especially around the origin and evolution of the Games) but it's all in service of a mediocre and disjointed plot. Viola Davis MVP"
Office Space,25 Nov 2023,★★★½,True,"Still works as middle class wish fulfillment, but also (unintentionally?) a great illustration of how entwined 90s malaise was with feelings of emasculation. It's less overt than other 99 movies like Fight Club obviously but the gay jokes, the cucking, the line about ""getting beat up"", and most of all an almost propagandistic ending celebrating manual labor all make this an interesting dissection of how class and gender anxiety intersect"
How to Blow Up a Pipeline,24 Nov 2023,★★★½,False,
Fargo,23 Nov 2023,★★★★½,True,Love the bit where they do the shining axe scene but Jerry's too much of a beta to even terrorize his wife himself so he has to hire Steve Buscemi to do it
Saltburn,22 Nov 2023,★★★★,True,
Porco Rosso,22 Nov 2023,★★★,False,
May December,21 Nov 2023,★★★★,True,
How We Get Free,19 Nov 2023,★★★★,True,
Please Don't Destroy: The Treasure of Foggy Mountain,17 Nov 2023,★★,False,
Whiplash,16 Nov 2023,★★★★,True,
The Killer,11 Nov 2023,★★★½,False,
The Boy and the Heron,08 Nov 2023,★★★★,True,
Evil Does Not Exist,06 Nov 2023,★★★★½,True,
Priscilla,04 Nov 2023,★★½,False,
Inglourious Basterds,03 Nov 2023,★★★★½,True,
The Holdovers,01 Nov 2023,★★★½,True,
Saw,31 Oct 2023,★★★½,False,
Radical,29 Oct 2023,★★★,False,
Zodiac,28 Oct 2023,★★★★,True,
Dicks: The Musical,27 Oct 2023,★★★½,True,
Cat Person,25 Oct 2023,★★★,False,
Killers of the Flower Moon,21 Oct 2023,★★★½,True,
Anatomy of a Fall,18 Oct 2023,★★★½,True,
A Separation,17 Oct 2023,★★★★,True,
Mysterious Skin,14 Oct 2023,★★★★★,True,
Ma,13 Oct 2023,★★★½,True,
Fight Club,10 Oct 2023,★★★★½,True,
Nowhere,09 Oct 2023,★★★★,True,
The Doom Generation,08 Oct 2023,★★★,False,
Totally Fucked Up,08 Oct 2023,★★★★½,True,
The Game,06 Oct 2023,★★★,False,
The Wonderful Story of Henry Sugar,03 Oct 2023,★★½,False,
Se7en,01 Oct 2023,★★★½,False,
Warsha,25 Sep 2023,,False,
"Love, Dad",25 Sep 2023,,False,
Joyland,24 Sep 2023,★★★★★,True,
Hedwig and the Angry Inch,20 Sep 2023,★★★★½,True,
Coco,19 Sep 2023,★★★★½,True,
Parasite,18 Sep 2023,★★★★★,True,
Theater Camp,17 Sep 2023,★★★★,True,
Burning,15 Sep 2023,★★★★★,True,
A Haunting in Venice,12 Sep 2023,★★,False,
Inside Llewyn Davis,11 Sep 2023,★★★★★,True,
Decision to Leave,10 Sep 2023,★★★★,True,
The Handmaiden,05 Sep 2023,★★★★½,True,
BS High,04 Sep 2023,★★★★,True,
Stoker,03 Sep 2023,★★★½,True,
Bottoms,01 Sep 2023,★★★★,True,
Carol,30 Aug 2023,★★★★,True,
Pom Poko,29 Aug 2023,★★★½,False,
Mutt,27 Aug 2023,★★,False,
Thirst,26 Aug 2023,★★★★½,True,
Cannibal! The Musical,22 Aug 2023,★★★,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,19 Aug 2023,★★★,False,
Oldboy,18 Aug 2023,★★★★★,True,
Happy Together,16 Aug 2023,★★★★,True,
Problemista,13 Aug 2023,★★★★,True,
Rotting in the Sun,13 Aug 2023,★★★½,True,
Saint Drogo,11 Aug 2023,★★★,False,
Gussy,11 Aug 2023,,True,
Untold: Johnny Football,10 Aug 2023,★★½,False,
The Perks of Being a Wallflower,07 Aug 2023,★★★★,True,
Shortcomings,06 Aug 2023,★★★,False,
"I'm a Cyborg, But That's OK",06 Aug 2023,★★★½,False,
The Big Short,04 Aug 2023,★★★,False,
There Will Be Blood,01 Aug 2023,★★★★★,True,
Accepted,30 Jul 2023,★★★,False,
Oppenheimer,29 Jul 2023,★★★★★,True,
Talk to Me,28 Jul 2023,★★½,False,
Akira,27 Jul 2023,★★★½,False,
Barbie,24 Jul 2023,★★★½,True,
Theater Camp,23 Jul 2023,★★★½,True,
Oppenheimer,21 Jul 2023,★★★★½,True,
Barbie,20 Jul 2023,★★★½,True,
Promising Young Woman,16 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,14 Jul 2023,★★★,False,
Lady Vengeance,11 Jul 2023,★★★★½,True,
Spider-Man 2,09 Jul 2023,★★★,False,
No Hard Feelings,07 Jul 2023,★★★,True,
Blue Jean,06 Jul 2023,★★★,False,
Sympathy for Mr. Vengeance,05 Jul 2023,★★★,False,
Spider-Man,29 Jun 2023,★★★,True,
Joint Security Area,26 Jun 2023,★★★★,True,
Asteroid City,25 Jun 2023,★★★½,True,
The Rocky Horror Picture Show,24 Jun 2023,★,False,
Rent,22 Jun 2023,★★,False,
Black Mirror: Demon 79,19 Jun 2023,★★★½,True,
Black Mirror: Mazey Day,19 Jun 2023,★★,False,
Spider-Man: Across the Spider-Verse,19 Jun 2023,★★★★★,True,
Black Mirror: Beyond the Sea,18 Jun 2023,★★★,False,
Black Mirror: Loch Henry,18 Jun 2023,★★★,False,
Black Mirror: Joan Is Awful,17 Jun 2023,★★★★,True,
Fire Island,14 Jun 2023,★★★,False,
Past Lives,13 Jun 2023,★★★★,True,
Wild at Heart,11 Jun 2023,★★½,False,
Mulholland Drive,10 Jun 2023,★★★★★,True,
Lynch/Oz,10 Jun 2023,★★★½,True,
Paris Is Burning,10 Jun 2023,★★★★,True,
