Movie,Date Watched,Rating,Liked,Review
Kati Patang,11 Jul 2022,,False,
Citizen Kane,18 Apr 2020,,False,
Gladiator,09 Feb 2020,,False,
1917,18 Jan 2020,,False,
Zombieland: Double Tap,29 Dec 2019,,False,
Joker,02 Oct 2019,,False,
Spider-Man: Far from Home,21 Sep 2019,,False,
Parasite,31 Aug 2019,,False,
Blow Out,23 Aug 2019,,False,
Aladdin,14 Aug 2019,,False,
The Hustle,12 Aug 2019,,False,
The Girl in the Spider's Web,29 Jul 2019,,False,
Tolkien,24 Jul 2019,,False,
Uri: The Surgical Strike,22 Jul 2019,,False,
Super Deluxe,12 Jul 2019,,False,
Kabir Singh,29 Jun 2019,,False,
Booksmart,27 May 2019,,False,
Avengers: Endgame,28 Apr 2019,,False,
I Give It a Year,22 Apr 2019,,False,
The Curse of La Llorona,19 Apr 2019,,False,
Shazam!,14 Apr 2019,,False,
The Adjustment Bureau,13 Apr 2019,,False,
A Simple Favor,08 Apr 2019,,False,
Aquaman,26 Mar 2019,,False,
Bumblebee,26 Mar 2019,,False,
Yi Yi,15 Mar 2019,,False,
Sex and Lucía,01 Mar 2019,,False,
Memoirs of a Geisha,24 Feb 2019,,False,
The Favourite,14 Feb 2019,,False,
Irma la Douce,13 Feb 2019,,False,
The Apartment,13 Feb 2019,,True,
Demolition,01 Feb 2019,,False,
Cold War,23 Jan 2019,,False,
5 Centimeters per Second,03 Jan 2019,,False,
Sorry to Bother You,02 Jan 2019,,False,
Melancholia,02 Jan 2019,,False,
Your Name.,28 Dec 2018,,True,
Spider-Man: Into the Spider-Verse,16 Dec 2018,,False,
Venom,04 Nov 2018,,False,
Before We Go,29 Sep 2018,,False,
Mr. Nobody,09 Sep 2018,,False,
Knight and Day,02 Jun 2018,,False,
Avengers: Infinity War,03 May 2018,,False,
Hacksaw Ridge,04 Dec 2017,,False,
Arrival,16 Mar 2017,,True,
The Lego Batman Movie,15 Mar 2017,,False,
Kung Fu Panda 3,14 Mar 2017,,False,
Perfect Sense,14 Apr 2016,,False,
Coherence,07 Nov 2015,,False,
Pitch Perfect 2,17 Oct 2015,,False,
The Loft,17 Oct 2015,,False,
21 Grams,03 Oct 2015,,False,
21 Grams,03 Oct 2015,,False,
Avengers: Age of Ultron,02 Oct 2015,,False,
Mad Max: Fury Road,15 Aug 2015,,True,
Insurgent,13 Aug 2015,,False,
The King's Speech,13 Aug 2015,,False,
Ex Machina,12 Aug 2015,,False,
The Age of Adaline,11 Aug 2015,,False,
Looper,10 Aug 2015,,False,
Edge of Tomorrow,09 Aug 2015,,False,
Whiplash,08 Aug 2015,,True,
Easy A,05 Aug 2015,,False,
Cinderella,03 Aug 2015,,False,
The Drop,17 May 2015,,False,
Transcendence,17 Apr 2015,,False,
I Origins,14 Apr 2015,,False,
Two Night Stand,13 Apr 2015,,False,
TRON: Legacy,13 Apr 2015,,False,
Wild,11 Apr 2015,,False,

Followers
zachs_rid01,moviecirclejerk,kaneki5,lastcaress1972,thefilmmaster91,spongebobandpat,ahmedworld,omgjaye,dan_felix,user1207756,gatorbutchering,joe_cottle,jackwinchester,drewreview,kingdeondre17,twocineasts,moviemusings,m_rafiei,bradya,peterstanley,dbc,troypeterson,dmunro88,7h35h17p0573r,cassie,paulistall85

Following
davechen,cinemaexcelsior,baadasssscinema,visionsof1983,madzg,davidlsims,afs,stautis,joblessfahadh,andredenervaux,lilfilm,fuchsiadyke,calipat,deepbluefunk,kingdeondre17,tarunpatel2309,john_,m_rafiei,danieltester,thefilmline,nickbernier,cinewoman,craigs1201,katsuben,moviemusings
