Movie,Date Watched,Rating,Liked,Review
Force Majeure,15 Jan 2024,★★★★,False,
The Pelican Brief,13 Jan 2024,★★★½,False,Julia and Denzel should have fucked in the cabin!! Or at least kissed at the end!!
Society of the Snow,11 Jan 2024,★★★,False,I would simply perish
Beau Travail,10 Jan 2024,★★★★★,False,If this came out today it would have AO3 in a chokehold!!
Happy-Go-Lucky,10 Jan 2024,★★★★,False,Never thought a movie would unearth my “learning to drive” trauma but here we are!
Canada Far and Wide,06 Jan 2024,★★★,False,The song at the end made me feel patriotic for Canada (I’m from Virginia)
The Florida Project,05 Jan 2024,★★★★½,False,I fundamentally believe that child stardom should be abolished but this movie gets a pass
Ferrari,04 Jan 2024,★★★★,False,I love podracing!!
Notes on a Scandal,03 Jan 2024,★★★½,False,These messy bitches!! Had me gasping left and right!
Shiva Baby,02 Jan 2024,★★★½,False,"You are flirting with everyone, you are chugging your wine, you are sitting on a table!"
The Rainmaker,01 Jan 2024,★★★½,False,- Cannot get over Claire Danes being *17* in this
The Talented Mr. Ripley,30 Dec 2023,★★★★½,False,A breath of fresh air after Saltburn!
Disney's FastPass: A Complicated History,30 Dec 2023,★★★★★,False,Sustenance for my data analyst rat brain. I got so excited when I saw the Jupyter Notebook!
Saltburn,28 Dec 2023,★★,False,
Morning Glory,27 Dec 2023,★★★,False,
Frances Ha,27 Dec 2023,★★★★★,False,
The Super Mario Bros. Movie,25 Dec 2023,★★½,False,
The Knight Before Christmas,24 Dec 2023,★★,False,
Anatomy of a Fall,24 Dec 2023,★★★★½,False,
Home Alone 2: Lost in New York,23 Dec 2023,★★★,False,
Home Alone,22 Dec 2023,★★★★,False,
The Muppet Christmas Carol,17 Dec 2023,★★★★½,False,
How the Grinch Stole Christmas!,16 Dec 2023,★★★★,False,
How the Grinch Stole Christmas,15 Dec 2023,★,False,
Love Actually,10 Dec 2023,★★,False,
A New York Christmas Wedding,09 Dec 2023,★,False,
The Hunger Games,03 Dec 2023,★★★½,False,
May December,03 Dec 2023,★★★★,False,
The Mirror Has Two Faces,01 Dec 2023,★★★½,False,
Walking and Talking,26 Nov 2023,★★★★½,False,
Arrival,23 Nov 2023,★★★★,False,
The Holdovers,11 Nov 2023,★★★★★,False,
When Harry Met Sally...,09 Nov 2023,★★★★½,False,
Dick,05 Nov 2023,★★★½,False,
The Family Stone,04 Nov 2023,★★★★,False,
Long Shot,03 Nov 2023,★★★★,False,
Love at First Sight,25 Oct 2023,★★,False,
No Hard Feelings,25 Oct 2023,★★★,False,
