Movie,Date Watched,Rating,Liked,Review
Barely Lethal,15 Jan 2024,★★½,False,Extra half star for Rob Huebel and one for naming a character Gooch. However one of them gets deleted because they tease Topher Grace and he never shows up
Big Fat Liar,14 Jan 2024,★★★,True,Loved this movie growing up. This really only works if Giamatti absolutely wholeheartedly commits - and boy did he. Did we ever find out why he loved that monkey so much?
The Beekeeper,13 Jan 2024,★★,False,"“That’s a minigun, they use these on military vehicles.”"
American Fiction,12 Jan 2024,★★★★,True,
Private Parts,10 Jan 2024,★★★½,True,He’s got the juice 🧃 
Who Dat Boy,08 Jan 2024,,False,the contrast of Rocky and Tyler's voices is like crack cocaine to me
Potato Salad,08 Jan 2024,,False,"absolutely incredible stuff, song and video haven't left my mind in years. when i went to paris i went and just stood where this was filmed. still waiting on the WangSap album :/"
Cash In Cash Out,08 Jan 2024,,False,"""welcome to marwen"" ass music video"
The Disaster Artist,06 Jan 2024,★★½,False,"Really dug this when it first came out, but man Franco just can’t really direct - really weird tone and it just feels like a cash grab now"
Poor Things,06 Jan 2024,★★★★,False,"Stone is incredible and I loved having Ramy & Jerrod on the big screen (they rocked), but nothing in this movie is funnier than the name Max McCandles"
Bert Kreischer: The Machine,05 Jan 2024,,False,This dude reminds me of someone I met before but I can’t remember who or when because I was likely too inebriated
The Machine,04 Jan 2024,★★,False,"Needed far more Jimmy Tatro. I’m somewhat purposefully oblivious to Bert Kreischer and had never fully heard the full story from his Machine special before, so I was somewhat intrigued. Despite being not good, this made me a bigger fan of his as an actor if not as a stand-up/podcaster."
Dungeons & Dragons: Honor Among Thieves,03 Jan 2024,★★★½,False,"As someone who has only played D&D a few times and whose knowledge of the game mostly comes from TV shows like Stranger Things and Community, I feel like this was about as good a movie adaptation as they could’ve made - I found it quite entertaining. "
Polite Society,02 Jan 2024,★★★★,True,
Wonka,02 Jan 2024,★★★,False,
Ferrari,01 Jan 2024,★★★★,True,
Anyone But You,30 Dec 2023,★★★½,True,
Murders at the Burger Joint,29 Dec 2023,★★½,False,
Air,28 Dec 2023,★★★,False,
Gremlins,26 Dec 2023,★★★½,True,
The Family Stone,25 Dec 2023,★★★★,True,
Bad Santa,24 Dec 2023,★★★★½,True,
National Lampoon's Christmas Vacation,24 Dec 2023,★★★★,False,
Little Women,24 Dec 2023,★★★,False,
How the Grinch Stole Christmas!,24 Dec 2023,,False,
Meet Me in St. Louis,24 Dec 2023,★★★½,False,
Last Christmas,22 Dec 2023,★,False,
Kiss Kiss Bang Bang,22 Dec 2023,★★★,False,
Die Hard 2,21 Dec 2023,★★★★,False,
Hannah Waddingham: Home for Christmas,19 Dec 2023,,False,
Go,19 Dec 2023,★★★★,True,
Running Scared,18 Dec 2023,★★★★,True,
Black Santa's Revenge,17 Dec 2023,★★½,False,
Die Hard,17 Dec 2023,★★★★½,True,
Ms. Marvel,17 Dec 2023,,False,
Three Days of the Condor,16 Dec 2023,★★★,False,
The Silent Partner,15 Dec 2023,★★★★,False,
The Florida Project,14 Dec 2023,★★★★½,True,
The Iron Claw,13 Dec 2023,★★★★,False,
Scooby-Doo! Haunted Holidays,12 Dec 2023,★★★,False,
Quiz Lady,11 Dec 2023,★★★,False,
The Boy and the Heron,10 Dec 2023,★★½,False,
Dream Scenario,07 Dec 2023,★★★★½,False,
BlackBerry,07 Dec 2023,★★★★,False,
The Carter Effect,07 Dec 2023,,False,
103 Fever,05 Dec 2023,,True,
May December,04 Dec 2023,★★★★½,True,
The Wonderful Story of Henry Sugar,03 Dec 2023,★★★½,False,
Thanksgiving,03 Dec 2023,★★★,False,
Just Go with It,03 Dec 2023,★★½,True,
The Holdovers,02 Dec 2023,★★★★★,False,
Napoleon,26 Nov 2023,★★★,False,
The Daytrippers,25 Nov 2023,★★★★★,True,
Speed,25 Nov 2023,,True,
Please Don't Destroy: The Treasure of Foggy Mountain,25 Nov 2023,★★★,False,
Tarzan & Jane,24 Nov 2023,★,False,
Tarzan,24 Nov 2023,★★★★½,True,
The Last Waltz,24 Nov 2023,★★★★★,True,
The Marvels,19 Nov 2023,★★★,False,
Ms. Marvel,19 Nov 2023,,False,
This Is 40,16 Nov 2023,★★★★,True,
The Marvels,10 Nov 2023,★★★,False,
Avengers: Age of Ultron,06 Nov 2023,,False,
How They Get There,06 Nov 2023,,False,
Elemental,05 Nov 2023,★★½,False,
Accepted,05 Nov 2023,★★★★,True,
Accepted,05 Nov 2023,★★★½,True,
Burn After Reading,04 Nov 2023,,True,
The Killer,04 Nov 2023,★★★½,False,
Forgetting Sarah Marshall,02 Nov 2023,★★★★,False,
Final Destination,17 Oct 2023,★★½,False,
Scary Movie,16 Oct 2023,★★★,True,
Scooby-Doo! Mecha Mutt Menace,12 Oct 2023,,False,
Scooby-Doo! Ghastly Goals,11 Oct 2023,,False,
Scooby-Doo! Spooky Games,11 Oct 2023,,False,
Scooby-Doo! and the Beach Beastie,11 Oct 2023,,True,
Trick or Treat Scooby-Doo!,11 Oct 2023,★★½,False,
The Big Short,09 Oct 2023,★★★★,False,
Scooby-Doo! Camp Scare,09 Oct 2023,★★★½,True,
Dumb Money,08 Oct 2023,★★★,True,
Scooby-Doo! and the Spooky Scarecrow,08 Oct 2023,★★½,False,
Killer Klowns from Outer Space,06 Oct 2023,,False,
The Cabin in the Woods,06 Oct 2023,★★★★,True,
Vampires vs. the Bronx,02 Oct 2023,★★★,True,
Poetic Justice,28 Sep 2023,★★★★,True,
Miguel Wants to Fight,25 Sep 2023,★★★,False,
The Retirement Plan,24 Sep 2023,★½,False,
Setting it Straight: Making ‘Set it Off’,23 Sep 2023,,False,
Set It Off,22 Sep 2023,★★★★½,True,
Stop Making Sense,22 Sep 2023,★★★★★,True,
Juno,20 Sep 2023,★★★★,True,
My Scientology Movie,18 Sep 2023,★★★½,True,
Blue Beetle,17 Sep 2023,★★,False,
The Binge,16 Sep 2023,★★★,True,
When the Levees Broke: A Requiem in Four Acts,13 Sep 2023,★★★★★,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,10 Sep 2023,★★★★,True,
Lilo & Stitch 2: Stitch Has a Glitch,08 Sep 2023,★½,False,
Never Goin' Back,04 Sep 2023,★★★½,True,
Tropic Thunder,04 Sep 2023,★★★½,True,
Shiva Baby,04 Sep 2023,,False,
Shiva Baby,04 Sep 2023,★★★★½,True,
Jurassic Park,03 Sep 2023,★★★★★,True,
Paranormal Activity 2,03 Sep 2023,★,False,
Bottoms,01 Sep 2023,★★★★½,True,
The Flash,31 Aug 2023,★½,False,
Telemarketers,30 Aug 2023,★★★★,True,
Jackie Brown,28 Aug 2023,★★★★½,True,
You Are So Not Invited to My Bat Mitzvah,27 Aug 2023,★★★,True,
Kill Bill: Vol. 1,26 Aug 2023,★★★½,True,
JFK,24 Aug 2023,★★★★,True,
Louis Theroux: Law and Disorder in Lagos,21 Aug 2023,★★★½,False,
Louis Theroux: Law and Disorder in Johannesburg,20 Aug 2023,★★★★,True,
Louis Theroux: Miami Mega-Jail,17 Aug 2023,★★★★,True,
Penguins of Madagascar,17 Aug 2023,★★★,True,
Full Circle,15 Aug 2023,★★★★,True,
What's a Nice Girl Like You Doing in a Place Like This?,10 Aug 2023,,False,
His Girl Friday,07 Aug 2023,★★★★,True,
Guardians of the Galaxy Vol. 3,07 Aug 2023,★★,False,
This Is the End,05 Aug 2023,★★★½,False,
Teenage Mutant Ninja Turtles: Mutant Mayhem,05 Aug 2023,★★★★,True,
Pineapple Express,05 Aug 2023,★★★½,True,
Moneyball,31 Jul 2023,★★★★½,True,
Haunted Mansion,30 Jul 2023,★,False,
Theater Camp,30 Jul 2023,★★★★,True,
A Futile and Stupid Gesture,26 Jul 2023,,False,
Barbie,25 Jul 2023,★★★★½,True,
Reality,24 Jul 2023,★★★½,True,
Oppenheimer,23 Jul 2023,★★★★½,True,
Greenberg,22 Jul 2023,★★★½,True,
Barbie,21 Jul 2023,★★★★½,True,
Oppenheimer,21 Jul 2023,★★★★,True,
Lady Bird,21 Jul 2023,★★★★★,True,
Mission: Impossible – Dead Reckoning Part One,18 Jul 2023,★★★★,True,
Mission: Impossible – Rogue Nation,15 Jul 2023,★★★½,True,
Mission: Impossible – Ghost Protocol,15 Jul 2023,★★★½,True,
Mission: Impossible II,15 Jul 2023,★★,False,
Fantastic Mr. Fox,12 Jul 2023,★★★½,False,
Alice Through the Looking Glass,09 Jul 2023,★,False,
Joy Ride,07 Jul 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,06 Jul 2023,★½,False,
Pooh's Grand Adventure: The Search for Christopher Robin,04 Jul 2023,,False,
Jurassic Attack,04 Jul 2023,½,False,
Witness,01 Jul 2023,★★★★,True,
Mission: Impossible,30 Jun 2023,★★★★,True,
Indiana Jones and the Kingdom of the Crystal Skull,27 Jun 2023,★★,False,
No Hard Feelings,27 Jun 2023,★★★½,True,
Asteroid City,25 Jun 2023,★★★★,True,
Grown Ups,25 Jun 2023,★★★,True,
Good Time,24 Jun 2023,★★★★★,True,
Indiana Jones and the Last Crusade,20 Jun 2023,★★★★½,True,
Transformers: Rise of the Beasts,20 Jun 2023,★★,False,
The Letter Room,19 Jun 2023,,False,
Dick Tracy,19 Jun 2023,★★½,False,
The Flash,19 Jun 2023,★★,False,
Identity,17 Jun 2023,★★½,False,
Bruce Springsteen & The E Street Band - The Legendary 1979 No Nukes Concerts,17 Jun 2023,★★★★★,True,
Double Date,14 Jun 2023,,False,
Oklahoma City,14 Jun 2023,★★★½,False,
A Killer on Floor 32,12 Jun 2023,,False,
Spider-Man: Across the Spider-Verse,11 Jun 2023,★★★★★,True,
True Grit,09 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,04 Jun 2023,★★★★★,True,
The Thin Blue Line,03 Jun 2023,★★★½,False,
Minding the Gap,01 Jun 2023,★★★★★,True,
70 Acres in Chicago: Cabrini Green,23 May 2023,,False,
Snow on tha Bluff,23 May 2023,★★½,False,
White Men Can't Jump,21 May 2023,★★½,True,
Idiocracy,21 May 2023,★½,False,
Style Wars,21 May 2023,★★★★,True,
Shark Tale,07 May 2023,★½,False,
Old Joy,03 May 2023,★★★★,True,
Jurassic Punk,01 May 2023,★★½,False,
"Are You There God? It's Me, Margaret.",30 Apr 2023,★★★★,True,
Spider-Man: Into the Spider-Verse,29 Apr 2023,★★★★★,True,
The Incredibles,29 Apr 2023,★★★★½,True,
Booksmart,26 Apr 2023,★★★★½,True,
White Men Can't Jump,21 Apr 2023,★★★★,True,
Smiley Face,20 Apr 2023,★★★★★,True,
Brick,20 Apr 2023,★★★★½,True,
The Super Mario Bros. Movie,16 Apr 2023,★★,False,
Devil in a Blue Dress,15 Apr 2023,★★★★½,True,
Good Will Hunting,08 Apr 2023,★★★★★,True,
The Town,08 Apr 2023,★★★★,True,
Good Will Hunting,07 Apr 2023,★★★★★,True,
Hotel Transylvania,05 Apr 2023,★★½,False,
Inside Man,04 Apr 2023,★★★★,True,
Win It All,02 Apr 2023,★★★½,True,
Murder Mystery 2,02 Apr 2023,★★½,True,
Slums of Beverly Hills,31 Mar 2023,★★★★½,True,
Pixels,30 Mar 2023,★★½,False,
Adam Sandler: The Kennedy Center Mark Twain Prize,30 Mar 2023,★★★½,True,
Adam Sandler: The Kennedy Center Mark Twain Prize,29 Mar 2023,★★★★,True,
Buddy,28 Mar 2023,,False,
Scott Pilgrim vs. the World,26 Mar 2023,★★★★½,True,
Repo Man,24 Mar 2023,★★★★,True,
Dear Zachary: A Letter to a Son About His Father,22 Mar 2023,★★★★★,True,
Blow Me Down!,19 Mar 2023,,False,
It's the Natural Thing to Do,19 Mar 2023,,False,
The Paneless Window Washer,19 Mar 2023,,False,
Goonland,19 Mar 2023,,False,
John Wick,19 Mar 2023,★★★★,True,
Operation Fortune: Ruse de Guerre,19 Mar 2023,★★★,True,
Train to Busan,16 Mar 2023,★★★½,True,
Chris Rock: Selective Outrage,12 Mar 2023,,False,
Champions,12 Mar 2023,★★½,False,
The Terminator,11 Mar 2023,★★★,False,
Palm Springs,11 Mar 2023,★★★½,True,
Everything Everywhere All at Once,05 Mar 2023,★★★★,True,
TÁR,04 Mar 2023,★★★★½,True,
Rocky,02 Mar 2023,★★★★½,True,
A Few Good Men,26 Feb 2023,★★★★★,True,
Youth in Revolt,25 Feb 2023,★★★½,True,
The Fabelmans,19 Feb 2023,★★★★½,True,
Father Stu,19 Feb 2023,★,False,
Inherent Vice,18 Feb 2023,★★★★★,True,
Boyfriend's Boyfriends,18 Feb 2023,★★★★★,True,
Indiana Jones and the Temple of Doom,14 Feb 2023,★★★,False,
Disney's FastPass: A Complicated History,10 Feb 2023,★★★★,True,
Raiders of the Lost Ark,09 Feb 2023,★★★★,True,
Boyfriend's Boyfriends,07 Feb 2023,★★★★★,True,
Red Eye,07 Feb 2023,★★★½,False,
Plane,05 Feb 2023,★★★,False,
Disney Channel's Theme: A History Mystery,05 Feb 2023,★★★★,True,
Puss in Boots: The Last Wish,01 Feb 2023,★★★★,True,
Prescription: Murder,01 Feb 2023,★★★½,True,
Boogie Nights,25 Jan 2023,★★★★★,True,
Clockers,21 Jan 2023,★★★★½,True,
House Party,20 Jan 2023,★★½,False,
Skinamarink,12 Jan 2023,★,False,
The French Dispatch,12 Jan 2023,★★★,True,
The Lion King,08 Jan 2023,½,False,
This Place Rules,07 Jan 2023,★★★★★,True,
The Menu,05 Jan 2023,★★½,False,
True Romance,04 Jan 2023,★★★★★,True,
Harold & Kumar Go to White Castle,03 Jan 2023,★★★,False,
Avatar: The Way of Water,02 Jan 2023,★★★★,False,
Stutz,02 Jan 2023,★★★★,True,
Enola Holmes 2,01 Jan 2023,★★★,False,
Miami Vice,28 Dec 2022,★★,False,
Glass Onion,27 Dec 2022,★★★★★,True,
Glass Onion,24 Dec 2022,★★★★½,True,
Spirited,22 Dec 2022,★★½,False,
Violent Night,22 Dec 2022,★★★½,True,
Klaus,22 Dec 2022,,False,
Who Killed Santa? A Murderville Murder Mystery,22 Dec 2022,★★★,False,
Surviving Christmas,22 Dec 2022,★★,False,
The Gray Man,16 Dec 2022,★★,False,
Ambulance,15 Dec 2022,★★★★,True,
Sonic the Hedgehog 2,15 Dec 2022,★★★,False,
The Fabelmans,14 Dec 2022,★★★★,True,
Everybody Wants Some!!,13 Dec 2022,★★★★★,True,
Theo Von: Regular People,08 Dec 2022,★★,False,
Something Wild,07 Dec 2022,★★★½,True,
Juice,07 Dec 2022,★★★★,True,
Death on the Nile,06 Dec 2022,★★,False,
Knives Out,01 Dec 2022,★★★★½,True,
See How They Run,01 Dec 2022,★★½,False,
The Daytrippers,26 Nov 2022,★★★★½,True,
Daddy Longlegs,26 Nov 2022,,False,
The Last Waltz,26 Nov 2022,★★★★★,True,
Graveyard Rats,25 Nov 2022,★★½,False,
Lot 36,25 Nov 2022,★★,False,
Lil Rel Howery: I Said It. Y'all Thinking It.,23 Nov 2022,★★,False,
The Banshees of Inisherin,17 Nov 2022,★★★★★,True,
Holes,17 Nov 2022,★★★,False,
Kimi,14 Nov 2022,★★★½,False,
Sherlock: A Study in Pink,13 Nov 2022,★★★★,True,
Enola Holmes,12 Nov 2022,★★★,False,
An Extremely Goofy Movie,06 Nov 2022,★★★½,False,
A Goofy Movie,06 Nov 2022,★★★★,True,
An American Werewolf in London,04 Nov 2022,★★★,False,
Jerry Maguire,04 Nov 2022,★★★★,True,
Inherent Vice,02 Nov 2022,★★★★★,True,
The Evil Dead,27 Oct 2022,★★½,False,
The Lost Boys,26 Oct 2022,★★★★,True,
This Is 40,25 Oct 2022,★★★★,True,
The Royal Tenenbaums,13 Oct 2022,★★★★★,True,
Scooby-Doo! and the Witch's Ghost,13 Oct 2022,★★★,False,
The Royal Tenenbaums,11 Oct 2022,★★★★½,True,
Scooby-Doo on Zombie Island,10 Oct 2022,★★★½,True,
Scooby-Doo 2: Monsters Unleashed,10 Oct 2022,★★★,True,
The Munsters,06 Oct 2022,★★,False,
The Dead Don't Die,05 Oct 2022,★★★½,True,
The Nice Guys,02 Oct 2022,★★★★★,True,
Apollo 10½: A Space Age Childhood,29 Sep 2022,★★★½,False,
