Movie,Date Watched,Rating,Liked,Review
The Zone of Interest,09 Jan 2024,★★★★★,False,i lovee minions :) me want bonana
American Gigolo,05 Jan 2024,,True,
"Love to Love You, Donna Summer",04 Jan 2024,,True,
The Living End,02 Jan 2024,,True,
Last Holiday,31 Dec 2023,,True,
My Big Fat Greek Wedding 3,30 Dec 2023,,True,
Drive,29 Dec 2023,,True,
Scarface,11 Dec 2023,★★★★★,False,LATINIDAD
Three Colours: Red,02 Dec 2023,,True,girl needs to clean her bootyhole 😂😂😂
The Hunger Games: The Ballad of Songbirds & Snakes,01 Dec 2023,,True,deep af
Farewell My Concubine,17 Nov 2023,,True,
Three Colours: Blue,14 Nov 2023,,True,
A Nightmare on Elm Street,01 Nov 2023,,True,
The Evil Dead,31 Oct 2023,,True,
Winnie the Pooh: Blood and Honey,25 Oct 2023,,True,
Jennifer's Body,25 Oct 2023,,True,
Camera Buff,24 Oct 2023,,True,
No End,24 Oct 2023,,True,
Blind Chance,19 Oct 2023,,True,
Demonlover,19 Oct 2023,,True,
Videodrome,18 Oct 2023,,True,
My Fair Lady,16 Oct 2023,,True,
World on a Wire,11 Oct 2023,,True,
"They Shoot Horses, Don't They?",10 Oct 2023,,True,
WR: Mysteries of the Organism,09 Oct 2023,,True,
Brüno,08 Oct 2023,,True,
Stranger by the Lake,04 Oct 2023,,True,
Mafia Mamma,18 Sep 2023,,True,
The Sisterhood of the Traveling Pants,18 Sep 2023,★★★★★,False,
Barbie,17 Sep 2023,,True,
Rotting in the Sun,16 Sep 2023,,True,
Army of Darkness,07 Sep 2023,,True,
The Other Woman,29 Aug 2023,,True,
Evil Dead Rise,29 Aug 2023,,True,
Hackers,25 Aug 2023,,True,
Big Business,21 Aug 2023,,True,
Mannequin,21 Aug 2023,,True,
Sick of Myself,18 Aug 2023,,True,
Aftersun,31 Jul 2023,,True,the most boring piece of shit i have ever seen
A Dangerous Method,29 Jul 2023,,False,
And Just Like That… The Documentary,25 Jul 2023,,True,
Exotica,19 Jul 2023,★★★★★,False,jenny schechter pootietang be slammin' 🤣🤣
L.A. Story,17 Jul 2023,,True,this movie was made for incels
Tourist Trap,11 Jul 2023,,True,
After Hours,10 Jul 2023,,True,
The Hole,07 Jul 2023,,True,
The Day of the Locust,06 Jul 2023,★★★★★,False,
Opera,04 Jul 2023,,True,
Meth,03 Jul 2023,,True,methsthetics
Multiple Maniacs,01 Jul 2023,,True,
The Bitter Tears of Petra von Kant,28 Jun 2023,,True,
Downfall,28 Jun 2023,,True,
Little Shop of Horrors,27 Jun 2023,,True,
Star 80,22 Jun 2023,,True,
Yentl,15 Jun 2023,,True,
Withnail & I,14 Jun 2023,,True,
"Die, Mommie, Die!",09 Jun 2023,,True,
Drive My Car,06 Jun 2023,,True,
"What's Up, Doc?",04 Jun 2023,★★★★★,False,babs has done it again!!!
Climax,19 May 2023,,True,the same thing happened to me when i popped a benzo in bucharest
Safe,16 May 2023,,True," julianne moore is just like ME whenever i eat a kumquat. i can barely even LOOK at a kumquat without feeling a sense of bone-chilling dread. the last time i shopped at whole foods (I WILL NEVER BE GOING BACK TO THAT SHITHOLE AGAIN!) i purchased a delicious — and, may i add, organic — salad from the salad bar. unbeknownst to me, thE salad was CHOCK FULL OF KUMQUATS!! i took one bite and immediately knew that i would… "
Book Club: The Next Chapter,15 May 2023,,True,a one hour and forty eight minute cialis ad
Party Girl,12 May 2023,★,False,
L.A. Zombie,03 May 2023,,True,
Hustler White,02 May 2023,,True,
The Raspberry Reich,01 May 2023,,True,
Singin' in the Rain,01 May 2023,,True,
"The 5,000 Fingers of Dr. T.",30 Apr 2023,,True,
