Movie,Date Watched,Rating,Liked,Review
A Very Good Girl,06 Jan 2024,★★★★,True,
Saltburn,26 Dec 2023,★★★½,True,
May December,19 Dec 2023,★★★,False,
Killers of the Flower Moon,14 Dec 2023,★★★½,True,
The Other Zoey,20 Nov 2023,★★★,True,
Aftersun,15 Oct 2023,★★★★,True,
Handsome Devil,11 Oct 2023,★★★½,True,
Past Lives,03 Sep 2023,★★★★,True,
The Whale,16 Aug 2023,★★★★,True,
"Red, White & Royal Blue",14 Aug 2023,★★★½,True,
Barbie,13 Aug 2023,★★★★★,True,
Top Gun: Maverick,12 Aug 2023,★★★,True,
The Little Mermaid,12 Jul 2023,★★★★½,True,
Knives Out,25 Mar 2023,★★★½,True,
Call Me Chihiro,21 Mar 2023,★★★½,False,
Everything Everywhere All at Once,14 Mar 2023,★★★★½,True,
She Said,24 Jan 2023,★★★½,True,
The Menu,13 Jan 2023,★★★½,True,
Black Panther: Wakanda Forever,22 Nov 2022,★★★★,True,
Suzume,19 Nov 2022,★★★★★,True,
Falling for Christmas,16 Nov 2022,★★,False,
The Father,23 Oct 2022,★★★★½,True,
Luckiest Girl Alive,19 Oct 2022,★★★,False,
Do Revenge,28 Sep 2022,★½,False,
Look Both Ways,21 Aug 2022,★★★½,True,
Downsizing,31 Jul 2022,★★★,True,
Minions: The Rise of Gru,24 Jul 2022,★★★★,True,
Plan 75,18 Jun 2022,★★★★,True,
Senior Year,21 May 2022,★★★½,True,
In the Heights,23 Apr 2022,★★★★,True,
Charlie's Angels,09 Apr 2022,★★★,True,
Turning Red,17 Mar 2022,★★★★,True,
The Batman,11 Mar 2022,★★★★,True,
The Love Affair,01 Feb 2022,★★★,False,
Spider-Man: Far from Home,29 Jan 2022,★★★★,True,
Spider-Man: Homecoming,29 Jan 2022,★★★½,True,
The Tragedy of Macbeth,29 Jan 2022,★★★★,True,
House of Gucci,23 Jan 2022,★★★½,True,
Don't Look Up,06 Jan 2022,★★★★,True,
Single All the Way,08 Dec 2021,★★½,False,
Encanto,05 Dec 2021,★★★★½,True,
"tick, tick...BOOM!",21 Nov 2021,★★★★½,True,
Eternals,16 Nov 2021,★★★★,True,
All Too Well: The Short Film,13 Nov 2021,★★★★★,True,
Dune,11 Nov 2021,★★★,True,
Love Hard,08 Nov 2021,★★★,False,
Léon: The Professional,31 Oct 2021,★★★½,True,
Dune,17 Oct 2021,★★★★½,True,
His,25 Sep 2021,★★★★,True,
Shang-Chi and the Legend of the Ten Rings,11 Sep 2021,★★★★★,True,
A Faraway Land,23 Aug 2021,★★½,True,
Legally Blonde,02 Aug 2021,★★★★,True,
Venom,01 Aug 2021,★★★★,True,
The Outcasts,31 Jul 2021,★★½,False,
The Girl and The Gun,29 Jul 2021,★★★★,True,
The Last Letter from Your Lover,27 Jul 2021,★★★★,True,
Mommy Issues,23 Jul 2021,★★½,False,
My Amanda,21 Jul 2021,★★★★½,True,
Shin Godzilla,30 Jun 2021,★★★½,True,
The House of Flowers: The Movie,26 Jun 2021,★★★,True,
A Quiet Place Part II,25 Jun 2021,★★★★,True,
Mirai,09 Jun 2021,★★★★,True,
Dance of the Forty One,25 May 2021,★★★½,True,
Mortal Kombat,26 Apr 2021,★★★,True,
The Pass,06 Apr 2021,★★★★,True,
Godzilla vs. Kong,06 Apr 2021,★★★★,True,
A Silent Voice,30 Mar 2021,★★★★,True,
Dear Ex,15 Mar 2021,★★★★½,True,
Raya and the Last Dragon,09 Mar 2021,★★★★½,True,
To All the Boys: Always and Forever,16 Feb 2021,★★½,False,
A Thousand Cuts,12 Jan 2021,★★★★,True,
Soul,08 Jan 2021,★★★★,True,
Your Name Engraved Herein,04 Jan 2021,★★★★★,True,
Death to 2020,03 Jan 2021,★★★★,True,
"Hello, Love, Goodbye",01 Jan 2021,★★★★½,True,
Fan Girl,27 Dec 2020,★★★★★,True,
The Panti Sisters,26 Dec 2020,★★★★,True,
Battle Royale,17 Dec 2020,★★★★,True,
Happiest Season,13 Dec 2020,★★★½,True,
Holidate,20 Nov 2020,★★★,True,
Monsoon,04 Oct 2020,★★★★,True,
Mars: One Day on the Red Planet,24 Aug 2020,★★★★,True,
The Kissing Booth 2,28 Jul 2020,★★★,True,
"I Love You, Stupid",16 Jul 2020,★★★½,True,
I Am Jonas,05 Jul 2020,★★★★½,True,
Hamilton,04 Jul 2020,★★★★★,True,
Before Midnight,11 Jun 2020,★★★,True,
Before Sunset,11 Jun 2020,★★★½,True,
Before Sunrise,05 Jun 2020,★★★½,True,
End of the Century,01 Jun 2020,★★★★½,True,
"I'm Drunk, I Love You",02 May 2020,★★★★,True,
The Kingmaker,27 Apr 2020,★★★★½,True,
Heartbeats,23 Apr 2020,★★★½,True,
Mommy,22 Apr 2020,★★★★,True,
I Killed My Mother,21 Apr 2020,★★★★,True,
Love Wedding Repeat,20 Apr 2020,★½,False,
The Death & Life of John F. Donovan,13 Mar 2020,★★★★,True,
Matthias & Maxime,27 Feb 2020,★★★½,True,

Followers
kmctio,gabbi,droggybites,perryispunk,mrbuillerey,cayoruru,federocha,cocaconan,sivangaz,tiag0,pelikula,hierasakii,souuhayel,jpagad1,mi_mou31,andreimartin,jntaguibao,phuwm,dulcetviolin,mynameismicmic,chelseasshi,ohfraic,rjbaudin,xyzulueta,ed_ramirez,lawriec,hanspornatbeans,greleazar,gray_zacharias,juella,natnbolt15,jeanjaaa,mrvnsoriano,rielreyes_,tadpaul,jasontanliwag,fragmattic

Following
perryispunk,federocha,cayoruru,lawriec,juella,tadpaul,jasontanliwag,fragmattic
