Movie,Date Watched,Rating,Liked,Review
Twilight,14 Jan 2024,,False,
All of Us Strangers,11 Jan 2024,★★★,False,needs more rom com needs more poppers
Maestro,10 Jan 2024,,False,
Julie & Julia,07 Jan 2024,★★★★,True,
The Iron Claw,05 Jan 2024,,False,
(500) Days of Summer,05 Jan 2024,★½,False,
Ocean's Eight,04 Jan 2024,★★★★,True,
Leave the World Behind,23 Dec 2023,,False,
Poor Things,23 Dec 2023,★★★★½,True,
Asteroid City,18 Dec 2023,★★★,False,
Divorce Italian Style,18 Dec 2023,★★★★,True,
Shrek,16 Dec 2023,,False,
The Birdcage,10 Dec 2023,,False,
The Social Network,08 Dec 2023,,False,
Saltburn,04 Dec 2023,★★★½,False,
Thanksgiving,03 Dec 2023,★★★,False,
Scott Pilgrim Takes Off,02 Dec 2023,,False,
May December,01 Dec 2023,★★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,30 Nov 2023,★★½,False,
The House Bunny,27 Nov 2023,,False,
Spider-Man: Across the Spider-Verse,27 Nov 2023,,False,
Whiplash,20 Nov 2023,,False,
Quiz Lady,20 Nov 2023,,False,
Dicks: The Musical,10 Nov 2023,,False,
The Holdovers,08 Nov 2023,★★★★,False,
Priscilla,07 Nov 2023,,False,
Five Nights at Freddy's,31 Oct 2023,,False,
The Craft,30 Oct 2023,,True,
Breakfast at Tiffany's,30 Oct 2023,,True,
Theater Camp,22 Oct 2023,,False,
Anatomy of a Fall,21 Oct 2023,★★★★½,False,
American Psycho,20 Oct 2023,★★★★½,True,
Nowhere,12 Oct 2023,,False,
Totally Killer,08 Oct 2023,★★★,False,
The Exorcist: Believer,07 Oct 2023,★★,False,if ur going to preach the importance of religion for the entire runtime at least make it sexy
The Nun II,06 Oct 2023,,False,
Stop Making Sense,04 Oct 2023,,False,
No One Will Save You,03 Oct 2023,,False,
"Are You There God? It's Me, Margaret.",20 Sep 2023,,False,
Aristotle and Dante Discover the Secrets of the Universe,15 Sep 2023,★★★★,False,
My Big Fat Greek Wedding 3,10 Sep 2023,½,False,
Luca,10 Sep 2023,,False,
D.E.B.S.,03 Sep 2023,★★★★,True,halloween inspo
Gran Turismo,03 Sep 2023,,False,could’ve done without the hetero romantic sub plot but someone take a fucking race in dubai immediately
Dramarama,01 Sep 2023,,False,
Bottoms,31 Aug 2023,★★★★½,True,the future liberals want 🥰
Summoning Sylvia,28 Aug 2023,,False,
M3GAN,28 Aug 2023,★★★★½,True,
Marry My Dead Body,24 Aug 2023,,False,
Winnie the Pooh: Blood and Honey,23 Aug 2023,,False,this movie has it all
Renfield,21 Aug 2023,,False,
"Red, White & Royal Blue",20 Aug 2023,★★★,False,
The Kissing Booth 2,18 Aug 2023,,False,
Burlesque,13 Aug 2023,,False,
"Red, White & Royal Blue",12 Aug 2023,★★★,False,
"Girl, Interrupted",08 Aug 2023,,False,
Haunted Mansion,07 Aug 2023,★★★½,False,
Talk to Me,03 Aug 2023,★★★★½,True,all enbys are a portal to hell :)
Akron,03 Aug 2023,,False,
Point Break,02 Aug 2023,★★★½,False,
Butch Cassidy and the Sundance Kid,29 Jul 2023,,True,
Scream,29 Jul 2023,★★★★½,True,
Barbie,26 Jul 2023,,True,
I Know What You Did Last Summer,23 Jul 2023,★★★★,False,
My Fake Boyfriend,18 Jul 2023,,False,
Amanda,18 Jul 2023,,False,
The Gay and Wondrous Life of Caleb Gallo,17 Jul 2023,★★★★½,False,someone compared me to freckle recently and i think it may be the nicest thing ever said to me
Dirty Dancing,12 Jul 2023,,False,
Fallen Angels,10 Jul 2023,,False,
Your Name.,10 Jul 2023,★★★★½,True,
Joy Ride,09 Jul 2023,★★★½,False,
The Rules of Attraction,09 Jul 2023,,False,
Of an Age,05 Jul 2023,★★★★,False,
Past Lives,04 Jul 2023,★★★★,False,trouble at holiday bar…
Evil Dead Rise,04 Jul 2023,★★★½,False,
Black Mirror: Beyond the Sea,28 Jun 2023,,False,
Spiral: From the Book of Saw,20 Jun 2023,★½,False,
Whip It,17 Jun 2023,,False,painfully 2000s heterosexual romantic arc 😖
The Blackcoat's Daughter,01 Jun 2023,,False,listens to ethel cain once
Prince of Darkness,31 May 2023,★★★★,False,
The Doom Generation,22 May 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,21 May 2023,,False,
The Fast and the Furious: Tokyo Drift,21 May 2023,,False,
Sissy,13 May 2023,,False,
Mean Girls,12 May 2023,★★★★,False,
Jurassic World,30 Apr 2023,,False,
Babylon,24 Apr 2023,,False,
Evil Dead,24 Apr 2023,,False,
BEEF,23 Apr 2023,,False,
Life,16 Apr 2023,,False,
Dungeons & Dragons: Honor Among Thieves,07 Apr 2023,,False,still thinking about the expensive swedish candy i bought and snuck into this …
Terrifier 2,03 Apr 2023,★★★½,False,
Terrifier,24 Mar 2023,★★★,False,
The Outwaters,17 Mar 2023,,False,
The Burning,14 Mar 2023,★★★,False,
Scream VI,11 Mar 2023,★★★½,False,
My Year of Dicks,05 Mar 2023,,False,
The Cabin in the Woods,05 Mar 2023,★★★★½,True,
Never Been Kissed,28 Feb 2023,,False,
Call Me by Your Name,27 Feb 2023,,False,
Cocaine Bear,26 Feb 2023,★★★★,True,
The Big Chill,25 Feb 2023,★★★½,False,
John Wick,23 Feb 2023,,False,
Close,20 Feb 2023,★★★★½,True,
Ouija,20 Feb 2023,½,False,
Notting Hill,16 Feb 2023,,False,
The Thing About Harry,11 Feb 2023,,False,
The House on Sorority Row,11 Feb 2023,★★★½,False,
The Last of Sheila,07 Feb 2023,★★★★,True,
