Movie,Date Watched,Rating,Liked,Review
Saltburn,02 Jan 2024,,False,
Rear Window,31 Dec 2023,★★★★★,True,perfect movie
Cowboy Bebop,25 Dec 2023,,False,
Paprika,19 Dec 2023,,False,started watching this when i was already sad and immediately felt like i was dissociating
Blue Is the Warmest Color,18 Dec 2023,,False,
Passages,04 Dec 2023,★★★★,False,average french experience
May December,03 Dec 2023,,False,why use subtlety when there’s a monarch butterfly metaphor right there
Crash,28 Nov 2023,★★★★,False,* **** ** *** **
Volver,25 Nov 2023,,False,who was penelope’s stylist my god
Priscilla,07 Nov 2023,,False,
The Worst Person in the World,15 Oct 2023,★★★★★,True,
Lost in Translation,03 Oct 2023,,False,
Drive My Car,02 Oct 2023,★★★★,False,
Dead Ringers,28 Sep 2023,★★★★,False,this happened when i got my iud
Mulholland Drive,24 Sep 2023,,False,
Jacob's Ladder,24 Sep 2023,,False,
Twin Peaks: Fire Walk with Me,24 Sep 2023,,False,
The Vanishing,22 Sep 2023,,False,
"Paris, Texas",18 Sep 2023,★★★★½,False,cried so my eyes would match the thematic red scheme :)
Perfect Blue,10 Sep 2023,,False,
Scott Pilgrim vs. the World,01 Sep 2023,,False,
Fargo,29 Aug 2023,★★★★,False,this is what you people think i sound like i’m sick
City of God,06 Aug 2023,,False,
The Swimming Pool,03 Aug 2023,,False,have you ever seen white people so tan
Oppenheimer,30 Jul 2023,★★★★,False,the only difference between him and your average suspected communist womanizer on twitter is a few bodies
Barbie,30 Jul 2023,★★★½,False,perfect hair. could do without the feminism
Fallen Angels,28 Jul 2023,,False,
The Piano Teacher,16 Jul 2023,★★★★,False,
Jennifer's Body,13 Jul 2023,,False,
Scarlet,12 Jul 2023,,False,
Past Lives,11 Jul 2023,★★★★,False,
Twin Peaks,20 Jun 2023,★★★★★,False,
Masculin Féminin,20 Jun 2023,,False,
Where the Heart Is,18 Jun 2023,,False,
The Royal Tenenbaums,16 Jun 2023,,False,
Dog Day Afternoon,16 May 2023,★★★★★,False,
McQueen,03 May 2023,,False,
Mapplethorpe: Look at the Pictures,02 May 2023,,False,
Abuse of Weakness,01 May 2023,,False,
Scorpio Rising,17 Apr 2023,,False,
All the Beauty and the Bloodshed,10 Apr 2023,,False,
In the Mood for Love,09 Apr 2023,,False,
Triangle of Sadness,05 Apr 2023,★★★★,False,
The September Issue,25 Mar 2023,,False,
Grey Gardens,11 Mar 2023,★★★★,False,
Cocaine Bear,09 Mar 2023,,False,
The Lobster,27 Feb 2023,★★★★,False,
Possession,14 Feb 2023,,False,
To Die For,12 Feb 2023,★★★★,False,
The Strange Thing About the Johnsons,03 Feb 2023,,False,
The Alpinist,31 Jan 2023,,False,
Blue Velvet,31 Jan 2023,★★★★,False,
Amy,27 Dec 2022,,False,
TÁR,10 Nov 2022,,False,
Decision to Leave,04 Nov 2022,,False,
Hiroshima Mon Amour,12 Oct 2022,★★★,False,
Breathless,28 Sep 2022,,False,
Three Colours: Blue,09 Sep 2022,,False,
The Scary of Sixty-First,06 Sep 2022,,False,
Manhattan,07 Aug 2022,,False,
Titane,09 Jul 2022,,False,
Blow-Up,07 Jul 2022,,False,
Frances Ha,29 Jun 2022,★★★★,False,
Promising Young Woman,19 Jun 2022,★★,False,
Nightcrawler,18 Jun 2022,,False,
Black Swan,18 Jun 2022,,False,
"Girl, Interrupted",18 Jun 2022,★★★★,False,
Secretary,18 Jun 2022,,False,
Marie Antoinette,14 May 2022,,False,
The Piano Teacher,14 Mar 2022,★★★★,False,
Stand by Me,07 Mar 2022,★★★★★,False,
Carol,07 Mar 2022,★★★★,False,
Spencer,07 Mar 2022,,False,
The Worst Person in the World,15 Feb 2022,★★★★★,True,

Followers
maddieheldman,outkastatlast,palevioletblue,larir,samnoss,zoeybloom,biancapsmith,nicolasrivero,escalise9,oliviacrandall,bagglebones,shatwoshoes

Following
maddieheldman,laurabartz,fumilayo,foldyrhands,palevioletblue,nsweig,samnoss,zoeybloom,biancapsmith,nicolasrivero,larir,1990volvo240,escalise9,oliviacrandall,shatwoshoes,bagglebones
