Movie,Date Watched,Rating,Liked,Review
The Beekeeper,13 Jan 2024,★★½,False,"""Keep me away from this metaverse meth house youGot here"""
The Book of Clarence,12 Jan 2024,★★★½,True,"""Be the body, not the shadow. Hold space"""
Chicken Run: Dawn of the Nugget,06 Jan 2024,★★★,False,.
À propos de Nice,06 Jan 2024,,False,First view of the year!
High Anxiety,26 Dec 2023,★★½,False,It was okay. I could obviously see the Hitchcock homages. It just felt weak overall. Definitely something I would not find great at all coming from a contemporary filmmaker attempting a comedic homage.
Blast of Silence,25 Dec 2023,★★,False,Outside of the opening monologue/shot and a a couple other moments this was rather unremarkable.  Honestly fell asleep  during it
Candy Cane Lane,25 Dec 2023,★★★,False,.
Poor Things,15 Dec 2023,★★★★½,True,.
Wonka,14 Dec 2023,★★★★½,True,.
American Fiction,09 Dec 2023,★★★★½,True,.
Saltburn,08 Dec 2023,★★★,False,.
The Hunger Games: Catching Fire,25 Nov 2023,,False,
Dream Scenario,22 Nov 2023,★★★,False,..
The Hunger Games: The Ballad of Songbirds & Snakes,18 Nov 2023,★★★★½,True,
The Marvels,10 Nov 2023,★★★,False,
Dicks: The Musical,31 Oct 2023,★★★★,True,
Dumb Money,15 Sep 2023,★★★★½,True,
A Haunting in Venice,14 Sep 2023,★★★★,False,
Bottoms,04 Sep 2023,★★★★★,True,
Blue Beetle,17 Aug 2023,★★★½,False,
Haunted Mansion,27 Jul 2023,★★★★,True,
Barbie,22 Jul 2023,★★★½,False,
Oppenheimer,21 Jul 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,11 Jul 2023,★★★★★,True,
The Lesson,09 Jul 2023,★★★,False,
Joy Ride,07 Jul 2023,★★★★,True,
Crimes of Passion,04 Jul 2023,★★★★,True,
The Strange One,04 Jul 2023,★★★½,False,
Asteroid City,24 Jun 2023,★★★½,False,
The Flash,16 Jun 2023,★★★★,True,
Sanctuary,15 Jun 2023,★★★★,True,
Guardians of the Galaxy Vol. 3,05 May 2023,★★★★½,True,
Polite Society,30 Apr 2023,★★★★,False,
Renfield,13 Apr 2023,★★★½,False,
Mafia Mamma,11 Apr 2023,★★½,False,
Paint,08 Apr 2023,★★★★,False,
Shazam! Fury of the Gods,18 Mar 2023,,False,
Inside,17 Mar 2023,★★★½,False,
The Velvet Vampire,08 Mar 2023,★★,False,
One Hour with You,07 Mar 2023,★★★½,True,
Operation Fortune: Ruse de Guerre,07 Mar 2023,★★,False,
Honor Among Lovers,06 Mar 2023,★★★,False,
Cocaine Bear,01 Mar 2023,★★★,False,
Marlowe,21 Feb 2023,★★★,False,
Ant-Man and the Wasp: Quantumania,18 Feb 2023,★★★,True,
The Suspect,15 Feb 2023,★★★½,True,
Big Brown Eyes,04 Feb 2023,★★½,False,
Knock at the Cabin,02 Feb 2023,★★★,False,
You People,28 Jan 2023,★★½,False,
Infinity Pool,27 Jan 2023,★★★★,False,
Ask Father,24 Jan 2023,★★★½,False,
Just Neighbors,24 Jan 2023,★★★,False,
Who's Who,18 Jan 2023,★★½,False,
That's Him,17 Jan 2023,★★,False,
Over the Fence,17 Jan 2023,★★★★,True,
The Adventures of Dr. Dolittle: Tale 3 - The Lion's Den,16 Jan 2023,,True,
Why Worry?,13 Jan 2023,★★½,False,
The Pale Blue Eye,07 Jan 2023,★★★,False,
M3GAN,05 Jan 2023,★★★,True,
The Smiling Madame Beudet,04 Jan 2023,★★★★,True,
A Woman of Paris: A Drama of Fate,03 Jan 2023,★★,False,
The Pilgrim,02 Jan 2023,★★★,True,
Safety Last!,01 Jan 2023,★★★★,True,
Modern Times,31 Dec 2022,,False,
Call Me by Your Name,31 Dec 2022,★★★,False,
Brazil,31 Dec 2022,★★★★,True,
Incoherence,30 Dec 2022,★★★,False,
Legal Smuggling with Christine Choy,30 Dec 2022,★★★★,True,
Maya at 24,30 Dec 2022,,False,
"You've Got Beautiful Stairs, You Know...",30 Dec 2022,,False,
White Noise,30 Dec 2022,★★,False,
"Split Ends, I Feel Wonderful",29 Dec 2022,,False,
He Who Dances on Wood,29 Dec 2022,★★★,False,
Crocus,29 Dec 2022,★★★,True,
Because Men in Silk Shirts on Lagos Nights,28 Dec 2022,★★★,False,
Liberian Boy,28 Dec 2022,,True,
