Movie,Date Watched,Rating,Liked,Review
A Trip to the Moon,15 Jan 2024,,True,
Dream Scenario,13 Jan 2024,★★★★½,True,god that ending
No Hard Feelings,11 Jan 2024,★★★½,True,
Daydreaming So Vividly About Our Spanish Holidays,08 Jan 2024,,True,
Back to the Future Part II,08 Jan 2024,★★★★,False,
Back to the Future,08 Jan 2024,★★★★★,True,
Hereditary,05 Jan 2024,★★★★★,True,
Intruders,03 Jan 2024,★★★½,False,this is my rory culkin era leave me alone
Saltburn,03 Jan 2024,★★★★,True,teorema/parasite for gooners and twinks
Mallari,02 Jan 2024,★★★,True,why was i the only one laughing at the twink line
Firefly,29 Dec 2023,★★★★,True,
Mallari,29 Dec 2023,★★★½,True,why was i the only one laughing at the twink line
Priscilla,25 Dec 2023,★★★½,True,
Dream Scenario,23 Dec 2023,★★★★,True,god that ending
Doctor Sleep,17 Dec 2023,★★★★,True,director’s cut
Moments in a Stolen Dream,14 Dec 2023,★★★★½,True,
Willy Wonka & the Chocolate Factory,13 Dec 2023,★★★★★,True,
Saltburn,13 Dec 2023,★★★★,True,teorema/parasite for gooners and twinks
The Alphabet,12 Dec 2023,,True,
The Grandmother,12 Dec 2023,,True,
Premonitions Following an Evil Deed,12 Dec 2023,,True,
Leave the World Behind,12 Dec 2023,★★★★,False,
Wonka,11 Dec 2023,★★★★,True,
Chronicle,11 Dec 2023,★★★½,True,
When Evil Lurks,08 Dec 2023,★★½,False,
May December,07 Dec 2023,,True,
Silent Night,04 Dec 2023,★★½,False,
Napoleon,02 Dec 2023,★★,False,first thing i heard as soon as the credits rolled was “who’s josephine?
Angst,30 Nov 2023,★★½,False,eghhhh not for me. great cinematography but this shit was so frustrating to watch.
The Hunger Games: Mockingjay – Part 2,29 Nov 2023,★★★,False,
The Hunger Games: Mockingjay – Part 1,29 Nov 2023,★★,False,
The Hunger Games: Catching Fire,28 Nov 2023,★★★,False,
The Creator,27 Nov 2023,★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,23 Nov 2023,★★★½,True,"Textbook villain origin story ending aside, this is probably one of my favorite experiences in the cinema this year."
Collateral,21 Nov 2023,★★★★½,True,
Hulk,19 Nov 2023,★★★,True,
Step Up All In,19 Nov 2023,★★,False,
Step Up 3D,19 Nov 2023,★★★★,True,
