Movie,Date Watched,Rating,Liked,Review
All of Us Strangers,14 Jan 2024,★★★★,False,
Maestro,14 Jan 2024,★★★★,False,best actor nomination for the Snoopy balloon
Oppenheimer,13 Jan 2024,★★★★★,True,
Mean Girls,11 Jan 2024,★★★½,True,
Wayne's World,07 Jan 2024,★★★★,True,
When Harry Met Sally...,06 Jan 2024,★★★★★,True,
Trial 4,05 Jan 2024,,False,
Self Reliance,03 Jan 2024,★★★★,True,
Escaping Twin Flames,02 Jan 2024,,False,
Bridget Jones's Diary,01 Jan 2024,★★★★★,True,I live for my annual New Years Day rewatch of one of the greatest romcoms of all time
The Iron Claw,01 Jan 2024,★★★★½,True,"the second they introduced the sweet, sensitive brother who liked music I knew I was fucked"
Love Has Won: The Cult of Mother God,31 Dec 2023,,False,
"Murder In Boston: Roots, Rampage & Reckoning",31 Dec 2023,,False,
Nuts,30 Dec 2023,★★★,False,
Yentl,29 Dec 2023,★★★½,True,me before reading Barbra’s memoir: Mandy Patinkin 🥰💕😍🤪🤠
"What's Up, Doc?",29 Dec 2023,★★★★,True,
The Owl and the Pussycat,29 Dec 2023,★★★,False,
"Hello, Dolly!",28 Dec 2023,★★★★½,True,
Funny Girl,28 Dec 2023,★★★★★,True,
The Color Purple,27 Dec 2023,★★★★,True,
Anyone But You,27 Dec 2023,★★★,True,
Theater Camp,24 Dec 2023,★★★★★,True,why wasn’t Camp Isn’t Home on the Oscars shortlist???
"Great Photo, Lovely Life",24 Dec 2023,,False,
Wonka,23 Dec 2023,★★★★,True,"saw Mr. Bean and all I could think about was James Acaster, hope he’s staying safe from this movie"
The Holdovers,22 Dec 2023,★★★★½,True,
Theater Camp,21 Dec 2023,★★★★★,True,why wasn’t Camp Isn’t Home on the Oscars shortlist???
Little Women,19 Dec 2023,★★★★★,True,
Barbie,16 Dec 2023,★★★★★,True,
How to Dance in Ohio,11 Dec 2023,,False,
Poor Things,09 Dec 2023,★★★★,False,
Napoleon,04 Dec 2023,★★,False,"oh him? that’s Napoleon, he’s so crazzzzzzzy, we can’t take him anywhere"
Eileen,03 Dec 2023,★★★,False,
May December,02 Dec 2023,★★★★,True,
Saltburn,01 Dec 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,28 Nov 2023,★★★★★,True,SUZANNE COLLINS IM SORRY I EVER DOUBTED YOUR VISION 
The Hunger Games: The Ballad of Songbirds & Snakes,26 Nov 2023,★★★★★,True,SUZANNE COLLINS IM SORRY I EVER DOUBTED YOUR VISION 
Wish,26 Nov 2023,★★★,False,
The Holiday,22 Nov 2023,★★★★★,True,jack black is the ideal man
The Silence of the Lambs,22 Nov 2023,,False,
Saltburn,21 Nov 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,19 Nov 2023,★★★★★,True,SUZANNE COLLINS IM SORRY I EVER DOUBTED YOUR VISION 
David Holmes: The Boy Who Lived,18 Nov 2023,,False,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Nov 2023,★★★★★,True,SUZANNE COLLINS IM SORRY I EVER DOUBTED YOUR VISION 
Dream Scenario,13 Nov 2023,★★★★★,True,my fantasies also involve a man in a David Byrne suit
The Hunger Games: Mockingjay – Part 1,12 Nov 2023,★★★★★,True,
The Hunger Games: Catching Fire,11 Nov 2023,★★★★★,True,
The Hunger Games,11 Nov 2023,★★★★★,True,
What Happens Later,08 Nov 2023,★★★½,True,ladies the Meg Ryan renaissance begins now
Priscilla,05 Nov 2023,★★★★½,True,
Zodiac,28 Oct 2023,,False,
Five Nights at Freddy's,26 Oct 2023,★★★★★,True,CINEMA IS BACK AND SO IS JOSH HUTCHERSON BABY
Scream,23 Oct 2023,★★★★★,True,
Killers of the Flower Moon,20 Oct 2023,★★★★★,True,
Dumb Money,17 Oct 2023,★★★½,True,
Taylor Swift: The Eras Tour,15 Oct 2023,★★★★★,True,
Dicks: The Musical,15 Oct 2023,★★★½,True,
Totally Killer,15 Oct 2023,★★★,True,
Hell House,14 Oct 2023,,False,
Taylor Swift: The Eras Tour,13 Oct 2023,★★★★★,True,
27 Dresses,10 Oct 2023,★★★★½,True,
Drop Dead Gorgeous,10 Oct 2023,★★★★★,True,
Barb & Star Go to Vista Del Mar,10 Oct 2023,★★★★,True,
