Movie,Date Watched,Rating,Liked,Review
Dune,07 Jan 2024,★★★★★,True,
Cyberpunk: Edgerunners,03 Jan 2024,★★★★½,True,
Lupin III: The First,02 Jan 2024,★★★,False,
Lost in Translation,31 Dec 2023,★★★★★,True,"Loneliness and isolation are not always self imposed, and sometimes you are surrounded by joy and life and want nothing more than to be present but there's something inside of you that holds you back, and sometimes we long for connections that never existed in the first place."
Saltburn,31 Dec 2023,★★★★,False,"I dunno guys, I watched this with some friends and we had a great time. It's the right way to watch it I think."
Total Recall,30 Dec 2023,★★★★,False,
Leave the World Behind,30 Dec 2023,★★★½,True,"I liked this! I was interested the entire runtime! But I'm also the world's #1 Sam Esmail Fan (Mr. Robot my beloved), so it was just really great seeing him get this opportunity."
Maestro,28 Dec 2023,★★★½,False,"Perfectly fine little biopic with some stunning cinematography and acting. Honestly, I think Bradley Cooper's got the touch and I can't wait to see what he does as he continues on and takes more risks."
May December,27 Dec 2023,★★★★½,False,
The Boy and the Heron,23 Dec 2023,★★★★,False,"Not at all what I expected and extremely weird (affectionate). But I'm just not sure what this was really going for, which is holding me back from loving it. Maybe it just needs a rewatch?"
Blade Runner,21 Dec 2023,★★★★½,False,Thought this ruled. Shocked to see so many people in the reviews here with a complete lack of understanding for this and what it was trying to say.
Gods of Egypt,14 Dec 2023,★★½,False,"I was convinced Christian Bale was in this, so once it was clear that he wouldn't be, I looked it up and realized I was thinking of Exodus: Gods and Kings. My mistake!!"
Godzilla Minus One,09 Dec 2023,★★★★★,True,"This wasy first ever Godzilla movie! So I have nothing to compare it with in regards to that, but I really loved this. Emotional beats were authentic, action was great, and characters were entertaining. (I love his little arms)"
Old Joy,05 Dec 2023,★★★★½,False,"Increasingly find my relationships feeling like this. A soft, agonizing retrospective about growing up and growing apart."
Winter's Bone,03 Dec 2023,★★★★½,False,
The Hunger Games,29 Nov 2023,★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,29 Nov 2023,★★★★,True,Pacing is a little weird but I also don't have any notes on how to have done it better. I'm glad they got Lawrence back to direct this! I think he really understands the material.
The Batman,28 Nov 2023,★★★★★,True,
The Killer,25 Nov 2023,★★★★,False,
The Hunger Games: The Ballad of Songbirds & Snakes,23 Nov 2023,★★★★,True,Pacing is a little weird but I also don't have any notes on how to have done it better. I'm glad they got Lawrence back to direct this! I think he really understands the material.
The Sons of Katie Elder,19 Nov 2023,★★★,False,
Catch Me If You Can,15 Nov 2023,★★★★½,True,
Five Nights at Freddy's,09 Nov 2023,★★½,False,It was fine but extremely not what I thought it would be. Needed one good hide and seek scene and I think this would've bumped up another star for me.
The Killing of a Sacred Deer,29 Oct 2023,★★★★½,True,Sooo fucked up and captivating. The acting choices are some of the best I've seen. Selfish plus: getting to hear Colin Farrell say my name with his accent over and over again.
Babel,29 Oct 2023,★★½,False,
The Talented Mr. Ripley,26 Oct 2023,★★★★½,True,
Killers of the Flower Moon,24 Oct 2023,★★★★½,False,
True Grit,16 Oct 2023,★★★★,False,
Jack Reacher,09 Oct 2023,★★★,False,
I Am Dragon,04 Oct 2023,★★★★½,True,
Coherence,03 Oct 2023,★★★★½,True,
Living in Oblivion,03 Oct 2023,★★★★,False,
"Paris, Je T'Aime",03 Oct 2023,★★★,False,
Frank,02 Oct 2023,★★★½,False,
Queen of Katwe,02 Oct 2023,★★★½,False,
Christopher Robin,02 Oct 2023,★★★★,False,
Book of Shadows: Blair Witch 2,01 Oct 2023,★½,False,
The Blair Witch Project,30 Sep 2023,★★★★½,False,
The Princess Bride,30 Sep 2023,★★★★½,True,
