Movie,Date Watched,Rating,Liked,Review
Don't Worry Darling,13 Jan 2024,★½,False,I’ve also had that intrusive thought while using plastic wrap :/
Echo,12 Jan 2024,★★★½,True,“Cookies from Levain. Are they still your favorite?” -Kingpin
Someone Great,08 Jan 2024,★★,False,My ex would’ve loved this one 🥲
Once Upon a Time… in Hollywood,08 Jan 2024,★★★,False,The feet 🤢 
Theater Camp,06 Jan 2024,★★★½,False,Funnier than most theater kids!
Pokémon Concierge,06 Jan 2024,★★★½,True,Just as adorable as expected - way more entertaining as well! 
Priscilla,03 Jan 2024,★★★½,False,"Sleeping for two days is honestly such a flex, kinda jealous."
The Brain,01 Jan 2024,★★,False,"The entire budget went to the soundtrack. Nice colors, cute actor"
May December,30 Dec 2023,★★★★,False,Ghosted after the birthday hand job is the saddest part of the movie 😔
Poor Things,29 Dec 2023,★★★★★,False,Frankenstein but make it c*nt. Mary Shelley would be proud 🥲
Sólo con tu pareja,25 Dec 2023,★★★½,False,Man Whore
Doctor Who: The Church on Ruby Road,25 Dec 2023,★★★★,False,This feels new! I hope every episode next season gets this much to play with in terms of scope. Was so great to see -new- Who monsters in a perfectly Christmas themed episode. Cannot wait to see how these questions are answered over time :)
Trolls Band Together,24 Dec 2023,★★★★½,True,
Saltburn,22 Dec 2023,★★★★,True,
The Boy and the Heron,14 Dec 2023,★★★★,True,
Indiana Jones and the Dial of Destiny,10 Dec 2023,★★★,True,
Doctor Who: The Giggle,09 Dec 2023,★★★★★,True,
Doctor Who: Wild Blue Yonder,02 Dec 2023,★½,False,
Doctor Who: The Star Beast,27 Nov 2023,★★★★,True,
Men,26 Nov 2023,★★★½,True,
Doctor Who: The Star Beast,25 Nov 2023,★★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Nov 2023,★★★★,True,
Scott Pilgrim Takes Off,18 Nov 2023,★★★★,True,
Mean Girls,13 Nov 2023,★★★½,False,
Pearl,13 Nov 2023,★★★★★,True,
X,13 Nov 2023,★★★½,True,
The Fall of the House of Usher,12 Nov 2023,★★★,False,
Five Nights at Freddy's,28 Oct 2023,★★★½,True,
Saw X,22 Oct 2023,★★★½,True,
Killers of the Flower Moon,19 Oct 2023,★★,False,
Attack the Block,16 Oct 2023,★★★½,False,
Skinamarink,15 Oct 2023,★★★,True,
Totally Killer,14 Oct 2023,★½,False,
Ma,13 Oct 2023,★★★,True,
Ahsoka,10 Oct 2023,★★★½,False,
The Nun II,07 Oct 2023,★★,False,
Donnie Darko,02 Oct 2023,★★★★½,True,
Bottoms,10 Sep 2023,★★½,False,
Scott Pilgrim vs. the World,02 Sep 2023,★★★★★,True,
Climax,24 Aug 2023,★★★★,True,
Infinity Pool,21 Aug 2023,★★★½,False,
The Whale,20 Aug 2023,★★½,False,
Blue Beetle,20 Aug 2023,★★★,False,
Avatar: The Way of Water,20 Aug 2023,★★★,False,
"Red, White & Royal Blue",16 Aug 2023,★★½,False,
Ghostbusters: Afterlife,16 Aug 2023,★★,False,
Insidious: The Red Door,09 Aug 2023,★★★,False,
Renfield,07 Aug 2023,★★½,False,
Talk to Me,06 Aug 2023,★★★★,True,
Barbie,23 Jul 2023,★★★★½,True,
Scream VI,21 Jul 2023,★★½,False,
Dungeons & Dragons: Honor Among Thieves,21 Jul 2023,★★★½,False,
Orphan,15 Jul 2023,★★★,True,
Grey Gardens,14 Jul 2023,★★★½,True,
Black Mirror: Demon 79,11 Jul 2023,★★,False,
Run Rabbit Run,06 Jul 2023,★★,False,
Bridesmaids,04 Jul 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,27 Jun 2023,★★★★½,True,
Black Mirror: Mazey Day,26 Jun 2023,★,False,
Paris Is Burning,24 Jun 2023,★★★★★,True,
Black Mirror: Beyond the Sea,24 Jun 2023,★★½,False,
The Flash,21 Jun 2023,★★,False,
Black Mirror: Loch Henry,21 Jun 2023,★★★,False,
Black Mirror: Joan Is Awful,19 Jun 2023,★★★½,True,
Missing,14 Jun 2023,★★★½,False,
Harry Potter and the Deathly Hallows: Part 2,12 Jun 2023,★★★★,True,
Harry Potter and the Deathly Hallows: Part 1,02 Jun 2023,★★★½,False,
Beau Is Afraid,21 May 2023,★★★★,True,
Cocaine Bear,16 May 2023,★,False,
Prom Pact,11 May 2023,★★,False,
BEEF,08 May 2023,★★½,False,
Guardians of the Galaxy Vol. 3,07 May 2023,★★★★,False,
Triangle of Sadness,02 May 2023,★★★½,True,
Knock at the Cabin,30 Apr 2023,★★★,False,
The Starving Games,24 Apr 2023,★½,False,
Evil Dead Rise,20 Apr 2023,★★★★,True,
The Super Mario Bros. Movie,18 Apr 2023,★★★★,True,
Serial Mom,17 Apr 2023,★★★½,True,
Harry Potter and the Half-Blood Prince,12 Apr 2023,★★★,False,
This Is the End,07 Apr 2023,★★★½,False,
The Hunger Games: Mockingjay – Part 2,26 Mar 2023,★★½,True,
The Hunger Games: Mockingjay – Part 1,26 Mar 2023,★★,False,
The Hunger Games: Catching Fire,25 Mar 2023,★★★★,False,
The Hunger Games,25 Mar 2023,★★★½,False,
Puss in Boots: The Last Wish,22 Mar 2023,★★★★,True,
Harry Potter and the Order of the Phoenix,20 Mar 2023,★★★½,False,
Fantastic Beasts: The Secrets of Dumbledore,20 Mar 2023,★½,False,
