Movie,Date Watched,Rating,Liked,Review
The Devils,11 Jan 2024,★★★,False,seeing this with different eyes than my letter boxd friends …
Afire,08 Jan 2024,★★,False,
Gosford Park,08 Jan 2024,★★★★½,True,
Anselm,08 Jan 2024,★★★★,False,
Ocean's Eleven,07 Jan 2024,★★★★★,False,
Unacknowledged,07 Jan 2024,,True,"documentaries are always real, right??"
Anatomy of a Fall,07 Jan 2024,★★★★½,False,
The River,05 Jan 2024,,True,
House of Games,27 Dec 2023,★★★,False,what they did was wrong
Total Trust,20 Dec 2023,,False,
Some Kinda Love,04 Dec 2023,,False,
Arrival,22 Nov 2023,,True,i love alien optimism
May December,20 Nov 2023,★★★★½,True,
The Strangler,19 Nov 2023,,True,
Bottoms,09 Nov 2023,★★★★,True,
Picnic at Hanging Rock,03 Nov 2023,,True,
The Exorcist,01 Nov 2023,,True,
Farewell My Concubine,01 Nov 2023,,True,
Civic,24 Oct 2023,,True,
The Big Heat,06 Oct 2023,★★★★,False,mythic
Nowhere,03 Oct 2023,★★★★★,True,
World on a Wire,02 Oct 2023,,True,
The Unbelievable Truth,02 Oct 2023,★★★,False,
Amateur,02 Oct 2023,★★★½,False,
Trust,02 Oct 2023,★★★★★,False,
A Midsummer's Fantasia,17 Sep 2023,,True,
Rebecca,19 Aug 2023,★★★★,True,
Barbie,24 Jul 2023,,True,
Past Lives,24 Jul 2023,,False,
No Bears,11 Jun 2023,,True,
You Hurt My Feelings,05 Jun 2023,★★½,False,
The Doom Generation,26 May 2023,★★★★★,False,
Master Gardener,24 May 2023,,True,
Joyland,10 May 2023,,False,
The Comfort of Strangers,02 May 2023,,True,
Ghost Dog: The Way of the Samurai,14 Mar 2023,★★★★,True,
Variety,09 Mar 2023,,True,
A Difficult Life,28 Feb 2023,★★★★,False,
Suzhou River,21 Feb 2023,★★★½,False,
Tampopo,16 Feb 2023,,True,
Through a Glass Darkly,08 Feb 2023,,False,why u should never read someone’s diary
Saint Omer,01 Feb 2023,,True,
McCabe & Mrs. Miller,31 Jan 2023,,False,
All the Beauty and the Bloodshed,27 Jan 2023,,True,
Dial M for Murder,26 Jan 2023,★★★★,False,
The Conformist,25 Jan 2023,,False,
Last Train Home,22 Jan 2023,,True,
The Long Goodbye,16 Jan 2023,,False,
3 Women,14 Jan 2023,★★★★★,False,
Working Girls,13 Jan 2023,★★★★,False,
Theodora Goes Wild,08 Jan 2023,★★★,True,
Point Break,31 Dec 2022,,True,
Aftersun,20 Dec 2022,★★★,False,
Nope,20 Dec 2022,★★★,False,
The Eternal Daughter,19 Dec 2022,,True,
One Fine Morning,14 Dec 2022,,True,
EO,12 Dec 2022,,True,
American Movie,12 Dec 2022,,True,
20th Century Nostalgia,06 Nov 2022,,False,
The American Friend,28 Oct 2022,,True,
What Time Is It There?,28 Oct 2022,,True,
Decision to Leave,26 Oct 2022,,False,
Sugar Glass Bottle,22 Oct 2022,,True,
TÁR,16 Oct 2022,★★★★½,False,
Eer,14 Oct 2022,,False,
The Loser,14 Oct 2022,,True,
Former Cult Member Hears Music for the First Time,14 Oct 2022,,False,
Return to Seoul,13 Oct 2022,★★★★½,False,
Entre Nous,11 Oct 2022,★★★½,False,
Loves of a Blonde,08 Oct 2022,,False,
The Vanishing,07 Oct 2022,★★★½,False,
Black Panthers,13 Sep 2022,★★★★★,False,
Z,12 Sep 2022,,False,
Taking Off,10 Sep 2022,★★★★★,False,
Cave of Forgotten Dreams,09 Sep 2022,,True,
Three Colours: Blue,06 Sep 2022,,False,
Three Colours: White,05 Sep 2022,,True,
Three Colours: Red,04 Sep 2022,★★★★★,False,
Purple Noon,03 Sep 2022,,False,
Free Chol Soo Lee,02 Sep 2022,,True,
A Foreign Affair,31 Aug 2022,,False,
Fire of Love,22 Jul 2022,,True,
Elvis,09 Jul 2022,★★★½,False,
