Movie,Date Watched,Rating,Liked,Review
Cigarette Girl,15 Jan 2024,★★★½,False,"Misterinya seru banget diikutin tapi masih bingung aja main core story nya ini emang berfokus pada romansa jeng yah sama raja atau persaingan bisnis kreteknya. Kalau berdasarkan judul gadis kretek, harusnya lebih ditonjolin persaingan bisnis kreteknya ya dibanding romansanya. Tbh ga baca bukunya tapi filmnya menarik 👏"
Aquaman and the Lost Kingdom,27 Dec 2023,★★★½,True,Cockroaches are the land shrimp :”)
The Marvels,08 Nov 2023,★★★★,True,"It's really not given a pause, the plot runs so fast and it won't feel like it has reached the end of the story. But it's still fun to enjoy. Even the villain was made to disappear even though at the beginning it was made so cruel and terrible, this is quite unfortunate. It can be seen that another purpose of this film is to be a prologue for a new generation of avengers teams and superhero entities in other universes 😆👍"
Pamali: Dusun Pocong,22 Oct 2023,★★★,False,"Teror pocong satu demi satu menghantui sebuah desa, entah apa penyebabnya apa karna si “pamali” itu kah? Wabah yg datang pun belum begitu jelas how & why nya? Apa karna si “pamali” itu? Saya rasa tidak sesimple itu. Endingnya pun anti klimaks padahal teror di awal ke tengah serem wkwk"
The Nun II,07 Sep 2023,★★★,False,"The atmosphere still manages to make sitting uncomfortable with various techniques, the plot is also easy to follow, unlike the first messy film. In the end kawa-kawa is still over power here 😜"
The Moon,14 Aug 2023,★★★★½,True,Randomising emotions from the beginning to the end of the film. I feel like I want to have Doraemon's door and then save the poor Hwang Sun-woo 😭👍 It's amazing to have knowledge and mental maturity at a young age for the size of an astonot. If I give up and panic attack 😂
Insidious: The Red Door,12 Jul 2023,★★½,False,I don't know I lost my life in an insidious film where its predecessor was so memorable and made sitting in the cinema seat uncomfortable and the after taste was quite paranoid.
The Flash,14 Jun 2023,★★★★,True," This DC film must be admitted that this DC film is one of the best DC films. Resetting the DCEU with the flash as a first step is the right decision. Like giving an idea of how the possibilities are if we try to tinker with time and stories like resetting the DCEU, it is felt that there will be a challenge in itself. I really like the concept of the multiverse built by this flash 💯The characterisations and… "
Shazam! Fury of the Gods,08 Jun 2023,★★★,False,"Appreciation first because the premise offered is still strong about his family just like the first film. Apart from the slightly eccentric shazam jokes, the supporting actors and villains are not given the right portion. The standard scene of fighting is also less exciting"
Evil Dead Rise,09 May 2023,★★★★,True,The script is simple but how aesthetic the blood-filled action is with the acting of the actor & actress who are very total.
Guardians of the Galaxy Vol. 3,03 May 2023,★★★★½,True,"The story of the galaxy guardian's last journey that is so warm, meaningful, entertaining, emotional, sad, happiness,tears, happiness, tears, …..🥲"
Blood Curse,29 Apr 2023,★★★★,True,Kesalahan nonton ini adalah di beberapa episode malah nontonnya nyambil makan/ngemil akhirnya mual sendiri ☝️😄
Like & Share,28 Apr 2023,★★★★,True,
Perempuan Bergaun Merah,24 Apr 2023,★★★,False,
The Womb,24 Apr 2023,★★★½,True,
A Thousand Days,22 Apr 2023,★★★½,True,
Khanzab,19 Apr 2023,★★★,False,
The Super Mario Bros. Movie,07 Apr 2023,★★★★,True,
The Glory,12 Mar 2023,★★★★½,True,
Suzume,10 Mar 2023,★★★★½,True,
Ant-Man and the Wasp: Quantumania,15 Feb 2023,★★★½,True,
A Man Called Otto,06 Feb 2023,★★★★,True,
A Long Way to Come Home,03 Feb 2023,★★★½,False,
Sacred 2,25 Nov 2022,★★★½,True,
Sri Asih,17 Nov 2022,★★★★,True,
Missing Home,12 Nov 2022,★★★★★,True,
Satria Dewa: Gatotkaca,10 Nov 2022,★★★,False,
Black Panther: Wakanda Forever,09 Nov 2022,★★★★,True,
The School for Good and Evil,05 Nov 2022,★★★,False,
Qodrat,29 Oct 2022,★★★★,True,
She-Hulk: Attorney at Law,13 Oct 2022,★★★,False,
Cyberpunk: Edgerunners,08 Oct 2022,★★★★★,True,
Spirited,01 Oct 2022,★★★,False,
Jailangkung: Sandekala,30 Sep 2022,★★½,False,
Stealing Raden Saleh,25 Aug 2022,★★★★,True,
Satan's Slaves 2: Communion,06 Aug 2022,★★★½,True,
The Sea Beast,23 Jul 2022,★★★★,True,
Inhumans: The First Chapter,19 Jul 2022,★★,False,
Ivanna,18 Jul 2022,★★★★,True,
Ms. Marvel,13 Jul 2022,★★★½,True,
Incantation,09 Jul 2022,★★★½,False,
Thor: Love and Thunder,06 Jul 2022,★★★½,True,
Cemara's Family 2,23 Jun 2022,★★★½,True,
The Rising of the Shield Hero,25 May 2022,★★★★,True,
Doctor Strange in the Multiverse of Madness,06 May 2022,★★★★,True,
Moon Knight,04 May 2022,★★★★,True,
Don't Look Up,03 May 2022,★★★½,False,
KKN di Desa Penari,01 May 2022,★★½,False,
Till We Meet Again,05 Apr 2022,★★★★,True,
Sonic the Hedgehog 2,04 Apr 2022,★★★★,True,
The Journey,04 Apr 2022,★★★½,True,
Morbius,01 Apr 2022,★★★,False,
"Jakarta, City of Dreamers",20 Mar 2022,★★★,False,
Jujutsu Kaisen 0,15 Mar 2022,★★★★½,True,
