Movie,Date Watched,Rating,Liked,Review
Kajillionaire,12 Jan 2024,,True,
Alien Resurrection,10 Jan 2024,,False,Who did you expect...SANTA CLAUSE?! Idk kids I liked it. Very silly and gross. HOORAY!
Aquaman and the Lost Kingdom,07 Jan 2024,,False,PUT A HOOK IN IT! I just like underwater silver age comics shenanigans. And my precious Orm. Only a krillbrained view would fail to appreciate hammerhead shark shaped submarines and  metaphorical greenhouse gas ice ghosts.  FIVE STARS! (But really 3 1/2 stars maybe 4 depending on how many Sea King AMC cocktails I’ve had b/c script could be better but WHO Cares!) Topo the octopus is my best cephalopod spy.
Theater Camp,07 Jan 2024,★★★★★,False,“Note to self paper mache nose.”- Me everyday [tell no one this is my underdog pick for movie of the year. TELL NO ONE]
Run Lola Run,07 Jan 2024,★★★★★,False,Before the game is after the game😎
Anyone But You,07 Jan 2024,,False,This was fun. But my high school adaptation of Much Ado will be better 😬
The Boy and the Heron,07 Jan 2024,,False,Is this movie about retirement and succession at studio ghibili? Does Miyazaki fear the parrot king will arrive to cut his precious works in half before he can choose a reluctant successor? Just spitballing here…
Wonka,07 Jan 2024,★★★★,False,"Well throw me down a laundry shoot and feed me chocolate, this was very charming."
American Fiction,31 Dec 2023,★★★★★,False,
NYAD,25 Dec 2023,★★★★★,True,
Def by Temptation,10 Oct 2023,,False,
Svengali,10 Oct 2023,,False,
Dr. Jekyll and Mr. Hyde,10 Oct 2023,★★★★,False,
The Thing,10 Oct 2023,★★★★★,False,
Stop Making Sense,06 Oct 2023,★★★★★,False,
Venom: Let There Be Carnage,23 Sep 2023,★★★★,False,90 min of chaos. No notes.
Mission: Impossible – Dead Reckoning Part One,13 Sep 2023,,False,
Oppenheimer,13 Sep 2023,,False,
Barbie,13 Sep 2023,,False,
The Blackening,03 Jul 2023,★★★★,False,
Indiana Jones and the Dial of Destiny,03 Jul 2023,★★★★,False,"I don’t know what people are complaining about this was a good time, I liked it, It’s good. Not amazing but lots of fun. Go have fun!"
Triangle of Sadness,25 May 2023,★★★★★,False,
TÁR,25 May 2023,,False,
The Heat,25 May 2023,,False,
Bride Wars,25 May 2023,,False,
Failure to Launch,25 May 2023,,False,
Chevalier,25 May 2023,,False,
80 for Brady,25 May 2023,,False,
Magic Mike's Last Dance,25 May 2023,,False,Stop moving the camera and let me see the darn male entertainers!
The Woman King,25 May 2023,,False,
Titanic,25 May 2023,★★★★★,False,
Polite Society,25 May 2023,★★★★★,False,
Chameleon Street,28 Jun 2022,★★★★★,False,Go see it!
Mr. Jealousy,22 Jun 2022,★★★★,False,
The Daytrippers,22 Jun 2022,★★★½,False,
Nobody,22 Jun 2022,★★★,False,Confused about this movie's messaging on violence/revenge is it good or bad? I can’t tell.
Paddington,22 Jun 2022,★★★★,False,
Erin Brockovich,22 Jun 2022,★★★★,False,
Judas and the Black Messiah,22 Jun 2022,★★★★,False,
CODA,22 Jun 2022,★★★★,False,
Friday Foster,22 Jun 2022,,False,
Sugar Hill,22 Jun 2022,,False,
Drag Me to Hell,22 Jun 2022,★★★★½,False,
Oz the Great and Powerful,22 Jun 2022,★,False,
For Love of the Game,22 Jun 2022,★★★,False,
The Gift,22 Jun 2022,★★★,False,
Darkman,22 Jun 2022,★★★★★,False,
Army of Darkness,22 Jun 2022,★★★★,False,
Evil Dead II,22 Jun 2022,★★★★,False,
The Evil Dead,22 Jun 2022,★★★½,False,
The Northman,22 Jun 2022,★★★★★,False,
Spider-Man: No Way Home,22 Jun 2022,★★★★,False,
The Unbearable Weight of Massive Talent,22 Jun 2022,★★★★,False,
Everything Everywhere All at Once,22 Jun 2022,★★★★★,False,
Poetic Justice,25 May 2022,★★★½,False,
Mission: Impossible – Ghost Protocol,29 Apr 2022,★★★★,False,
Dragonwyck,19 Jan 2022,★★★★,False,
Assault on Precinct 13,23 Sep 2021,★★★★,False,
Escape from New York,19 Sep 2021,★★★,False,
Housesitter,10 Sep 2021,★★★★★,False,
Waist Deep,10 Sep 2021,★★★½,False,
Taken,10 Sep 2021,★★★½,False,
The Suicide Squad,30 Aug 2021,★★★★,False,
The Guest,19 Aug 2021,★★,False,
Respect,19 Aug 2021,★,False,
Ailey,18 Aug 2021,★★★½,False,
The Lincoln Lawyer,18 Aug 2021,★★★,False,
Zola,18 Aug 2021,★★★★,False,
The Nest,24 Jun 2021,★★★,False,
Whiplash,24 Jun 2021,★★,False,
Kismat Konnection,24 Jun 2021,★★★½,False,
"A Woman, a Gun and a Noodle Shop",24 Jun 2021,★★★★★,False,
In the Heights,15 Jun 2021,★★★★½,False,
The Decline of Western Civilization,06 Jun 2021,★★★★★,False,
Streets of Fire,06 Jun 2021,★★★★,False,
Desert Hearts,02 Jun 2021,★★★★★,False,
The Hot Rock,02 Jun 2021,★★★★★,False,
Boyz n the Hood,13 May 2021,★★★★★,False,
Extraction,12 May 2021,★★★½,False,
The Abyss,12 May 2021,★★★★,False,
