Movie,Date Watched,Rating,Liked,Review
Past Lives,14 Jan 2024,★★★½,False,
Violent Summer,14 Jan 2024,★★★★,False,
The French Kissers,06 Jan 2024,★★★,False,
Baby Driver,04 Jan 2024,★★★★,True,
Shrek,02 Jan 2024,★★★★,False,
The Godfather,01 Jan 2024,★★★★½,True,
Hot Fuzz,30 Dec 2023,★★★★,False,
Once Upon a Time… in Hollywood,26 Dec 2023,★★★★½,True,
Marinette,19 Dec 2023,★★★½,False,
Oktapodi,18 Dec 2023,,False,
Tomboy,17 Dec 2023,★★★★,False,
La Chimera,16 Dec 2023,★★★★½,False,Super fort Maxime Biaggi
The Wicker Man,16 Dec 2023,★★★★½,False,
Aftersun,07 Dec 2023,★★★★½,False,
"Distant Voices, Still Lives",06 Dec 2023,,False,
Amy,03 Dec 2023,,True,
LOL (Laughing Out Loud),02 Dec 2023,★★★,False,
Spirit of Ecstasy,29 Nov 2023,★★½,False,
Napoleon,27 Nov 2023,★★★½,False,
Bullet Ballet,26 Nov 2023,★★★★,False,
My Neighbor Totoro,26 Nov 2023,★★★★,False,
Mars Express,24 Nov 2023,★★★★,False,
A Clockwork Orange,23 Nov 2023,★★★★★,True,
My Little Loves,21 Nov 2023,★★★½,False,
Mais qui a re-tué Pamela Rose ?,20 Nov 2023,★★★½,False,
Mais qui a tué Pamela Rose ?,20 Nov 2023,★★★★,False,
This Is England '86,19 Nov 2023,,False,
Fantastic Mr. Fox,19 Nov 2023,★★★★★,True,
The Killer,16 Nov 2023,★★★½,False,The Killer listening to the Smiths? What about a smith listening to the killers???Make you think.
This Is England,15 Nov 2023,★★★★★,False,
Grand Expectations,09 Nov 2023,★★★½,False,
La Dolce Vita,07 Nov 2023,★★★★½,False,
Documenteur,05 Nov 2023,,False,
The Boy and the Heron,03 Nov 2023,★★★½,False,
Melancholia,03 Nov 2023,★★★★½,False,
Love,29 Oct 2023,★★½,False,
A Dramatic Film,29 Oct 2023,,False,
Bully,28 Oct 2023,★★★,False,
65,26 Oct 2023,★½,False,
Here Comes Mr. Jordan,24 Oct 2023,★★★★,False,
9 Month Stretch,23 Oct 2023,★★★½,False,
The Inglorious Bastards,23 Oct 2023,★★★,False,
Puss in Boots: The Last Wish,22 Oct 2023,★★★★½,True,
The Truth,22 Oct 2023,★★★,False,
GoodFellas,22 Oct 2023,★★★★★,True,
Killers of the Flower Moon,19 Oct 2023,★★★★½,False,
Silence,16 Oct 2023,★★★½,False,
Kundun,15 Oct 2023,★★★½,False,
[REC],14 Oct 2023,★★★½,False,
Nope,14 Oct 2023,★★★½,False,
A Nightmare on Elm Street,13 Oct 2023,★★½,False,
Beckham,13 Oct 2023,,False,
It Follows,12 Oct 2023,★★★★,False,
A Bay of Blood,12 Oct 2023,★★★,False,
Friday the 13th,12 Oct 2023,★★½,False,
Saturday Night and Sunday Morning,10 Oct 2023,★★★★,False,
"Un1que, Victor Wembanyama",09 Oct 2023,,False,
For Better And For Worse,08 Oct 2023,★★,False,
Boxcar Bertha,07 Oct 2023,★★½,False,
Saw III,07 Oct 2023,★★★,False,
STILL: A Michael J. Fox Movie,02 Oct 2023,,False,
Ultimate Revenge 2 - Origins,02 Oct 2023,,True,
She's Gotta Have It,02 Oct 2023,★★★★,False,
Scream VI,01 Oct 2023,★★★½,False,
For My Country,30 Sep 2023,★★★,False,
It's Only the End of the World,26 Sep 2023,★★★★½,False,
La Belle Époque,25 Sep 2023,★★★★,True,
Mr & Mme Adelman,24 Sep 2023,★★★★½,False,
Fallen Leaves,20 Sep 2023,★★★★,False,
The Platform,18 Sep 2023,★★★,False,
"Pepi, Luci, Bom",18 Sep 2023,★★★★,False,
Fall,17 Sep 2023,★★,False,
Infested,16 Sep 2023,★★★★,False,
A Real Job,16 Sep 2023,★★★½,False,
On Golden Pond,14 Sep 2023,★★★★,False,
The Book of Solutions,13 Sep 2023,★★★★,False,
The We and the I,13 Sep 2023,★★★½,False,
By the Grace of God,06 Sep 2023,★★★½,False,
The Path of Excellence,04 Sep 2023,★★★,False,"La vraie diversité c'est pas la paysanne en prépa, c'est une personne de gauche qui fait X"
Anatomy of a Fall,03 Sep 2023,★★★★,False,Pq le gamin ressemble à Pete Townshend et l'avocat général à Alanfoodchallenge?
The Thorn in the Heart,30 Aug 2023,,False,
Popstar: Never Stop Never Stopping,29 Aug 2023,★★★★,False,
Unedited Footage of a Bear,28 Aug 2023,,False,
Messiah of Evil,28 Aug 2023,★★★,False,
Saw II,26 Aug 2023,★★★,False,
Adolescents,21 Aug 2023,★★★★,True,
American Pie,21 Aug 2023,★★½,False,
Saw,20 Aug 2023,★★★★,False,
In the Name of the Father,20 Aug 2023,★★★★½,False,
Dinner for Schmucks,19 Aug 2023,★½,False,
Wilderness Therapy,16 Aug 2023,★★½,False,
The Witness,14 Aug 2023,★★★½,False,
The Batwoman,13 Aug 2023,★★,False,
"Someone, Somewhere",10 Aug 2023,★★★★,False,
Case départ,07 Aug 2023,★★★,False,
The Meg,06 Aug 2023,★½,False,
Mark Cavendish: Never Enough,06 Aug 2023,,False,
The Children's Hour,01 Aug 2023,★★★★,False,
The Duellists,31 Jul 2023,★★★★,False,I just saw one of the craziest shot I've ever witnessed and it was made by the dude who did House of gucci
To End All War: Oppenheimer & the Atomic Bomb,24 Jul 2023,,False,
The Police War,24 Jul 2023,★★,False,
Oppenheimer,23 Jul 2023,★★★★½,True,
Land of Madness,23 Jul 2023,,True,Les paysans qui se butent entre eux parce qu'ils ont pas le vocabulaire nécessaire pour résoudre les conflits c'est vraiment la street
