Movie,Date Watched,Rating,Liked,Review
A Haunting in Venice,14 Jan 2024,★★★½,True,
Anatomy of a Fall,14 Jan 2024,★★★★,False,
The Holdovers,14 Jan 2024,★★★★,True,
Merry Christmas,13 Jan 2024,★★★★,True,
Captain Miller,13 Jan 2024,★★★½,False,
Saltburn,12 Jan 2024,★★½,False,
May December,11 Jan 2024,★★★★½,True,
Kaathal – The Core,09 Jan 2024,★★★★,True,
Hi Nanna,08 Jan 2024,★★★½,True,"The ending is ridiculous and drags, but still this is a heartwarming romance. Nani is incredible as usual, easily the best actor out of all the big stars."
Kannur Squad,07 Jan 2024,★★★★½,True,
Tiger 3,06 Jan 2024,★★,False,
Nanpakal Nerathu Mayakkam,06 Jan 2024,★★★★★,True,"Sleep as death, waking as rebirth. Like an Afternoon Dream (English translation), plays out almost entirely in static wide shots. Gives the film the feeling of being stage-like while also feeling very slice-of-life. "
12th Fail,05 Jan 2024,★★★★½,True,
Dada,04 Jan 2024,★★★★½,True,Not at all what I expected. A very impressive debut from Ganesh K. Babu with a great album from Jen Martin.
Romancham,03 Jan 2024,★★★,False,
Parking,30 Dec 2023,★★★½,False,
Tenet,30 Dec 2023,★★★★½,True,
Maaveeran,29 Dec 2023,★★★★½,True,"Easily SK’s best film. Really good action choreo in this as well as visuals. The overall message is par for the course, but it’s delivered it in a interesting way."
Violent Night,26 Dec 2023,★★★,False,
Gran Turismo,26 Dec 2023,★★★,False,
Tokyo Godfathers,17 Dec 2023,★★★★½,True,
India Pakistan,17 Dec 2023,★★★½,False,
Kiki's Delivery Service,16 Dec 2023,★★★★★,True,
Ya Yaa,16 Dec 2023,★★,False,
Gone Girl,10 Dec 2023,★★★★,False,
The Third Man,09 Dec 2023,★★★★★,True,
The Boy and the Heron,09 Dec 2023,★★★★,False,
The Magnificent Ambersons,08 Dec 2023,★★★★,False,
The Naked City,03 Dec 2023,★★★★½,True,
To Live and Die in L.A.,03 Dec 2023,★★★★,False,
Chithha,03 Dec 2023,★★★★,False,
Indiana Jones and the Dial of Destiny,02 Dec 2023,★★,False,
For a Few Dollars More,02 Dec 2023,★★★★,True,
Godzilla Minus One,01 Dec 2023,★★★★½,True,
RDX: Robert Dony Xavier,19 Nov 2023,★★★½,False,
Mahaan,11 Nov 2023,★★★★,False,
Jigarthanda DoubleX,11 Nov 2023,★★★★★,True," *Minor Structural Spoilers*""There is nothing new left to be written. Hold your pen firmly, and what is meant to be will be written"".Some thoughts: - A film about not only filmmaking but the power of artistry in general.- A remarkable achievement in this day and age of commercial Tamil movies. Karthik Subbaraj pulls his classic bait-and-switch here, but he applies it to the common 1st and 2nd half structure of the film itself.- SJ Suryah is… "
Kolamavu Kokila,10 Nov 2023,★★★½,False,
The Girl with the Dragon Tattoo,04 Nov 2023,★★★★½,True,
Ratham,03 Nov 2023,★★★½,False,
Aathi,01 Nov 2023,★★,False,
The Killer,28 Oct 2023,★★★½,False,
Thirupaachi,26 Oct 2023,★★★,False,
Thirumalai,25 Oct 2023,★★★,False,
Kaithi,22 Oct 2023,★★★★½,True,
Killers of the Flower Moon,21 Oct 2023,★★★★½,False,
Leo,20 Oct 2023,★★★★½,True,Yeah I don't see how so many are disappointed. This thing is great and is Lokesh's best directed film.
Blade Runner,19 Oct 2023,★★★★★,True,
Zodiac,18 Oct 2023,★★★★★,True,
Mandela,15 Oct 2023,★★★★,True,
"The Gangster, the Cop, the Devil",14 Oct 2023,★★★½,False,
Midnight in the Garden of Good and Evil,14 Oct 2023,★★★★,False,
Mark Antony,13 Oct 2023,★★★½,False,
Doctor,11 Oct 2023,★★★★½,True,"May have entered the canon of my favorite comedies. This works so well on multiple fronts: a black comedy, a thriller, and a masala film. As far as comedies go, I think this crosses cultures pretty well."
Thillu Mullu,07 Oct 2023,★★★½,False,
Naanga Romba Busy,05 Oct 2023,★★★,False,
The Game,01 Oct 2023,★★★★,False,
DD Returns,30 Sep 2023,★★★,False,
Se7en,18 Sep 2023,★★★★½,True,
The Equalizer 2,17 Sep 2023,★★★½,False,
Duplicate,17 Sep 2023,★★★½,False,
Irumbu Thirai,16 Sep 2023,★★★½,True,
Maaveeran,15 Sep 2023,★★★★½,True,"Easily SK’s best film. Really good action choreo in this as well as visuals. The overall message is par for the course, but it’s delivered it in a interesting way."
Raees,10 Sep 2023,★★★½,False,
Custody,10 Sep 2023,★★★½,False,
Alien³,09 Sep 2023,★★½,False,
Jawan,09 Sep 2023,★★★★,True,
Iratta,08 Sep 2023,★★★½,False,
Jailer,08 Sep 2023,★★★½,True,
Thallumaala,05 Sep 2023,★★★★½,True,"Grew in stature in my mind several days after watching it. Would prefer if it was stopped being pitched as an action film, instead it's more of a hangout/romance movie with 2 incredible action sequences. Although I suppose it's a movie literally about the consequences that follow our actions (ie getting into fisticuffs)."
JFK,04 Sep 2023,★★★★½,True,
Si 3,03 Sep 2023,★,False,
The Handmaiden,03 Sep 2023,★★★★½,True,
Vaathi,02 Sep 2023,★★,False,
Singam II,02 Sep 2023,★,False,
Singam,30 Aug 2023,★★★,False,
Miruthan,29 Aug 2023,★★★½,True,
Etharkkum Thunindhavan,28 Aug 2023,★★½,False,
Mugamoodi,27 Aug 2023,★★★½,True,If it's possible to give an award for overdirecting then Mysskin deserves it for this.
Tik Tik Tik,27 Aug 2023,★★★½,True,
The Flash,26 Aug 2023,★½,False,
The Departed,26 Aug 2023,★★★★½,True,
Seemaraja,23 Aug 2023,★★½,False,
Doctor,21 Aug 2023,★★★★½,True,"May have entered the canon of my favorite comedies. This works so well on multiple fronts: a black comedy, a thriller, and a masala film. As far as comedies go, I think this crosses cultures pretty well."
Namma Veettu Pillai,20 Aug 2023,★★,False,
Sarpatta Parambarai,20 Aug 2023,★★★★★,True,Still a masterpiece and maybe my favorite boxing movie.
Petta,19 Aug 2023,★★½,False,"A pretty dull affair aside from the ending and the excellent music. Rajini is in great form, as are all the actors, it’s just that the story is too long and generic to be interesting."
Heart of Stone,13 Aug 2023,★★½,False,
Scream VI,12 Aug 2023,★★★★,False,
Maaveeran,11 Aug 2023,★★★★,True,"Easily SK’s best film. Really good action choreo in this as well as visuals. The overall message is par for the course, but it’s delivered it in a interesting way."
Maamannan,30 Jul 2023,★★★½,False,This was alright. A very engaging first half followed by a very by-the-numbers second. Vadivelu is the stand out here. Fahadh is good but feels like he's on autopilot for these kind of roles.
Barbie,30 Jul 2023,★★★★,True,
Good Night,26 Jul 2023,★★★★,False,
Thiruchitrambalam,26 Jul 2023,★★★★,True,
Transformers: Dark of the Moon,23 Jul 2023,★★★★,True,
Edge of Tomorrow,22 Jul 2023,★★★½,False,
Universal Soldier: Day of Reckoning,22 Jul 2023,★★★★,False,
Scream,22 Jul 2023,★★★½,False,
Oppenheimer,21 Jul 2023,★★★★★,True,
Universal Soldier: Regeneration,21 Jul 2023,★★★,False,
Starship Troopers,20 Jul 2023,★★★★½,True,
Universal Soldier,19 Jul 2023,★★★,False,
Timecop,17 Jul 2023,★★★½,False,
Lady Vengeance,16 Jul 2023,★★★★½,True,
Shin Ultraman,15 Jul 2023,★★★½,False,
Ponniyin Selvan: Part II,15 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,14 Jul 2023,★★★★½,True,
RoboCop,13 Jul 2023,★★★★½,True,
Oldboy,11 Jul 2023,★★★★½,True,
Vettaikaaran,10 Jul 2023,★★★,False,
Ponniyin Selvan: Part I,10 Jul 2023,★★★★½,True,
The Grand Budapest Hotel,08 Jul 2023,★★★★½,True,
Election,08 Jul 2023,★★★★,False,
Scream 4,08 Jul 2023,★★★½,False,
Bairavaa,07 Jul 2023,★★★,False,
2.0,06 Jul 2023,★★,False,
Enthiran,04 Jul 2023,★★★★½,True,
Theri,02 Jul 2023,★★★½,False,
Mission: Impossible – Fallout,01 Jul 2023,★★★★★,True,
Bogan,29 Jun 2023,★★★½,False,
Sivaji: The Boss,29 Jun 2023,★★★½,False,
Sympathy for Mr. Vengeance,25 Jun 2023,★★★★½,True,
Kooman,25 Jun 2023,★★★½,False,
Mission: Impossible – Rogue Nation,24 Jun 2023,★★★★½,True,
Asteroid City,24 Jun 2023,★★★★,True,
Mission: Impossible – Ghost Protocol,17 Jun 2023,★★★★½,True,
Extraction 2,17 Jun 2023,★★★,False,
Spider-Man: No Way Home,16 Jun 2023,★★★★,True,
Mission: Impossible III,10 Jun 2023,★★★½,False,
Memories of Murder,10 Jun 2023,★★★★★,True,
Baasha,10 Jun 2023,★★★★,True,
Sardar,04 Jun 2023,★★★★,True,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★½,True,
Maanaadu,02 Jun 2023,★★★★½,True,
Jana Gana Mana,29 May 2023,★★★★,True,
Muthu,28 May 2023,★★★,False,
Kalaga Thalaivan,28 May 2023,★★★,False,
Knock at the Cabin,27 May 2023,★★★★,False,
Viduthalai: Part I,26 May 2023,★★★★½,True,
Padayappa,21 May 2023,★★★★,True,
Dungeons & Dragons: Honor Among Thieves,20 May 2023,★★★★,False,
Air,20 May 2023,★★★½,False,
Pathu Thala,19 May 2023,★★★,False,
Ant-Man and the Wasp: Quantumania,19 May 2023,★½,False,
Thuppakki,14 May 2023,★★★★★,True,
Dasara,13 May 2023,★★★,False,
Guardians of the Galaxy Vol. 3,13 May 2023,★★★★,True,
Kannai Nambathe,30 Apr 2023,★★½,False,
Ip Man,16 Apr 2023,★★★★,True,
Mission: Impossible II,15 Apr 2023,★★½,False,
Blazing Saddles,15 Apr 2023,★★★½,False,
Drug War,14 Apr 2023,★★★★½,True,
Murder Mystery,13 Apr 2023,★★★,False,
Throw Down,12 Apr 2023,★★★★½,True,
Paradox,11 Apr 2023,★★★½,True,
SPL 2: A Time for Consequences,10 Apr 2023,★★★★½,True,
Office Space,09 Apr 2023,★★★,False,
SPL: Kill Zone,09 Apr 2023,★★★★,False,
Scream 3,26 Mar 2023,★★★½,False,
John Wick: Chapter 4,25 Mar 2023,★★★★★,True,
Mission: Impossible,23 Mar 2023,★★★★,False,
Nannaku Prematho...,19 Mar 2023,★½,False,
Sunshine,19 Mar 2023,★★★★★,True,
Star Trek III: The Search for Spock,19 Mar 2023,★★★,False,
The Young Girls of Rochefort,18 Mar 2023,★★★★★,True,
Scream 2,18 Mar 2023,★★★★,True,
John Wick: Chapter 3 – Parabellum,17 Mar 2023,★★★★,True,
Star Trek II: The Wrath of Khan,13 Mar 2023,★★★★,True,
John Wick: Chapter 2,11 Mar 2023,★★★½,True,
Scream,10 Mar 2023,★★★★½,True,
HIT: The 2nd Case,05 Mar 2023,★★★½,False,
Jersey,04 Mar 2023,★★★½,False,
Dharala Prabhu,03 Mar 2023,★★★★,True,
The Gentlemen,26 Feb 2023,★★★½,False,
Creed II,25 Feb 2023,★★★★½,True,
Varisu,24 Feb 2023,★★★½,True,
Collateral,19 Feb 2023,★★★★★,True,
HIT: The First Case,19 Feb 2023,★★★★,True,
Indru Netru Naalai,18 Feb 2023,★★★½,True,
Thunivu,10 Feb 2023,★½,False,
Osthe,08 Feb 2023,★,False,
Vendhu Thanindhathu Kaadu,04 Feb 2023,★★★★,True,
Master,04 Feb 2023,★★★★,True,
Bigil,02 Feb 2023,★★★½,False,
Ghilli,01 Feb 2023,★★★★,True,
Anniyan,30 Jan 2023,★★★★,True,
Eeswaran,29 Jan 2023,★★½,False,
War of the Worlds,29 Jan 2023,★★★★,False,
An Action Hero,28 Jan 2023,★★★,False,
Pathaan,28 Jan 2023,★★★½,False,
DJ: Duvvada Jagannadham,26 Jan 2023,★★½,False,
"Monica, O My Darling",22 Jan 2023,★★★★½,True,
Mad God,22 Jan 2023,★★★½,False,
Enemy,21 Jan 2023,★★★★,True,
Thiruchitrambalam,20 Jan 2023,★★★½,True,
John Wick,18 Jan 2023,★★★★,True,
Panchatanthiram,17 Jan 2023,★★★★★,True,
Azhagiya Tamil Magan,16 Jan 2023,★,False,
Naane Varuvean,15 Jan 2023,★★★,False,
Heat,15 Jan 2023,★★★★½,True,
Cobra,14 Jan 2023,★★,False,
Pandiya Naadu,13 Jan 2023,★★★,False,
Yennai Arindhaal,11 Jan 2023,★★★★½,True,
Mankatha,11 Jan 2023,★★★★,True,
Prince,10 Jan 2023,★★,False,
Love Today,08 Jan 2023,★★★★,True,
Django Unchained,08 Jan 2023,★★★★½,True,
Guillermo del Toro's Pinocchio,08 Jan 2023,★★★★,False,
Total Recall,07 Jan 2023,★★★★,False,
The Menu,07 Jan 2023,★★★½,False,
Gemini Man,07 Jan 2023,★★★★,True,
All That Jazz,06 Jan 2023,★★★★½,False,
Aagadu,06 Jan 2023,★★,False,
Varuthapadatha Valibar Sangam,05 Jan 2023,★★★½,False,
Sarkar,03 Jan 2023,★★,False,
Action,02 Jan 2023,★,False,
Gatta Kusthi,02 Jan 2023,★★★½,True,
DSP,31 Dec 2022,★★,False,
Avatar,29 Dec 2022,★★★★,True,
Crimes of the Future,27 Dec 2022,★★★½,False,
Scooby-Doo,25 Dec 2022,★★★,False,
A Charlie Brown Christmas,25 Dec 2022,★★★★,False,
Resurrection,24 Dec 2022,★★★½,False,
Beyond the Infinite Two Minutes,23 Dec 2022,★★★★,True,
After Yang,22 Dec 2022,★★★,False,
Avatar: The Way of Water,17 Dec 2022,★★★★½,True,
Forensic,16 Dec 2022,★★★★,False,
Inception,16 Dec 2022,★★★★,True,
Bad Boys,15 Dec 2022,★★★,False,
F9,11 Dec 2022,★★★½,False,
The Man Who Knew Too Much,11 Dec 2022,★★★½,False,
Moonfall,10 Dec 2022,★★½,False,
From Dusk Till Dawn,09 Dec 2022,★★★½,False,
The Philadelphia Story,07 Dec 2022,★★★★½,True,
Eyes Wide Shut,06 Dec 2022,★★★★★,True,
North by Northwest,05 Dec 2022,★★★★★,True,
Furious 7,05 Dec 2022,★★★,False,
Fast Five,04 Dec 2022,★★★★,True,
Vertigo,04 Dec 2022,★★★★★,True,
The Guardians of the Galaxy Holiday Special,04 Dec 2022,★★★,False,
Rear Window,03 Dec 2022,★★★★★,True,
Bullet Train,03 Dec 2022,★★★,False,
TÁR,03 Dec 2022,★★★★,True,
The Lady from Shanghai,02 Dec 2022,★★★★,False,
"Confess, Fletch",02 Dec 2022,★★★½,False,
Minority Report,01 Dec 2022,★★★½,True,
Star Wars: The Last Jedi,30 Nov 2022,★★★★½,True,
Some Like It Hot,29 Nov 2022,★★★★½,True,
Kimi,27 Nov 2022,★★★★,True,
Karthikeya,26 Nov 2022,★★½,False,
See How They Run,25 Nov 2022,★★½,False,
Bones and All,25 Nov 2022,★★★★,False,
Cabaret,24 Nov 2022,★★★★½,True,
Willy Wonka & the Chocolate Factory,24 Nov 2022,★★★★,True,
Stoker,24 Nov 2022,★★★½,False,
Glass Onion,23 Nov 2022,★★★★½,True,
Athidhi,23 Nov 2022,★★½,False,
Scarface,20 Nov 2022,★★★★,True,
Call Northside 777,19 Nov 2022,★★★½,False,
The Banshees of Inisherin,19 Nov 2022,★★★★½,True,
Lost Bullet,19 Nov 2022,★★★,False,
Widows,18 Nov 2022,★★★★,False,
Knives Out,17 Nov 2022,★★★★★,True,
The Villainess,13 Nov 2022,★★★★,True,
New World,12 Nov 2022,★★★★,True,
Joint Security Area,12 Nov 2022,★★★★,False,
Black Panther: Wakanda Forever,11 Nov 2022,★★★★,True,
Decision to Leave,10 Nov 2022,★★★★½,True,
Weird: The Al Yankovic Story,08 Nov 2022,★★★★,False,
Avengers: Endgame,08 Nov 2022,★★★★,True,
Avengers: Infinity War,07 Nov 2022,★★★½,True,
Black Panther,06 Nov 2022,★★★★,True,
The House on Telegraph Hill,05 Nov 2022,★★★½,True,
Pursuit to Algiers,04 Nov 2022,★★★½,False,
