Movie,Date Watched,Rating,Liked,Review
Turning Red,13 Jan 2024,★★★★★,False,
Gladiator,12 Jan 2024,★★★½,False,
Coco,11 Jan 2024,★★★½,False,
The Iron Claw,06 Jan 2024,★★★★★,False,
Exiled,05 Jan 2024,★★★★,False,
The Equalizer 3,04 Jan 2024,★★★½,False,
The Sixth Sense,01 Jan 2024,★★★★½,False,
Guardians of the Galaxy Vol. 3,01 Jan 2024,★★★½,False,
Infernal Affairs,29 Dec 2023,★★★★★,False,
A Beautiful Mind,25 Dec 2023,★★,False,
Home Alone,25 Dec 2023,★★★★½,False,
Leave the World Behind,21 Dec 2023,★★★½,False,
The Boy and the Heron,16 Dec 2023,★★★★,False,
The Killer,27 Nov 2023,★★★½,False,
Napoleon,24 Nov 2023,★★★,False,
Young Frankenstein,19 Nov 2023,★★★½,False,
As Good as It Gets,18 Nov 2023,★★½,False,
The Big Lebowski,10 Nov 2023,★★★★½,False,
Thirst,31 Oct 2023,★★★★,False,
Coming to America,29 Oct 2023,★★★★,False,
Stutz,27 Oct 2023,★★★★½,False,
Pearl,25 Oct 2023,★★★★½,False,
Fallen Angels,22 Oct 2023,★★★★★,True,
Coraline,19 Oct 2023,★★★★½,False,
X,15 Oct 2023,★★★★,False,
Dumb Money,26 Sep 2023,★★★★,False,
Lost in Translation,24 Sep 2023,★★,False,
Bottoms,10 Sep 2023,★★★★,False,
Interstellar,06 Aug 2023,★★½,False,
Oppenheimer,23 Jul 2023,★★★★,False,
Barbie,22 Jul 2023,★★★★½,False,
Mission: Impossible – Dead Reckoning Part One,12 Jul 2023,★★★,False,
Past Lives,28 Jun 2023,★★★★★,False,
No Hard Feelings,25 Jun 2023,★★★,False,
Spider-Man: Across the Spider-Verse,10 Jun 2023,★★★★,False,
BEEF,23 Apr 2023,★★★★½,False,
Air,22 Apr 2023,★★★,False,
The Super Mario Bros. Movie,08 Apr 2023,★★★,False,
Avatar: The Way of Water,07 Jan 2023,★★★★,False,
The Whale,01 Jan 2023,★★½,False,
Long Shot,01 Jan 2023,★★★½,False,
The Banshees of Inisherin,23 Dec 2022,★★★★★,False,
Prisoners,22 Dec 2022,★★★½,False,
Kung Fu Hustle,14 Dec 2022,★★★★★,False,
Dumb and Dumber,25 Nov 2022,★★★★,False,
I Am Vanessa Guillen,23 Nov 2022,★★★½,False,
Black Panther: Wakanda Forever,13 Nov 2022,★★★½,False,
