Movie,Date Watched,Rating,Liked,Review
Doctor Who: Voyage of the Damned,12 Jan 2024,,True,
Another Round,08 Jan 2024,★★★★★,True,
Another Round,08 Jan 2024,★★★★★,True,
Strange Days,07 Jan 2024,,True,"Watching LA movies as an LA resident is so deliciously, ridiculously novel"
The Hunt,06 Jan 2024,,True,I too have a crush on Mads so powerful it could ruin his life
The X Files,05 Jan 2024,,True,SCULLAAAAYYYYYYYYYYY
Braindead,01 Jan 2024,,True,
Bridget Jones's Diary,31 Dec 2023,,True,
For the Hungry Boy,31 Dec 2023,,True,
Phantom Thread,31 Dec 2023,★★★★★,True,
The Philadelphia Story,31 Dec 2023,,True,The way I just know in my bones that Jimmy Stewart and Cary Grant have played seven minutes in heaven
The Diary of a Teenage Girl,30 Dec 2023,,True,
Santa Claus Conquers the Martians,25 Dec 2023,,True,
Harry Potter and the Prisoner of Azkaban,24 Dec 2023,,True,
The Christmas Chronicles,24 Dec 2023,,False,
While You Were Sleeping,23 Dec 2023,,True,
Violet Butterfield: Makeup Artist for the Dead,23 Dec 2023,,True,"I actually work at a mortuary now, and I can confirm that this is exactly what it’s like every day"
Hysteria,19 Dec 2023,,True,
Doctor Who: The Christmas Invasion,17 Dec 2023,,True,
The Holiday,16 Dec 2023,,True,
Grandma Got Run Over by a Reindeer,16 Dec 2023,,True,
Doctor Who: The Giggle,10 Dec 2023,,True,
Sunset Boulevard,09 Dec 2023,★★★★★,True,She’s like the anti Cillian Murphy
You Again,08 Dec 2023,,True,
Poor Things,07 Dec 2023,★★★★★,True,I can’t believe Yorgos based this on Rita Leeds of Arrested Development fame
Doctor Who: Wild Blue Yonder,03 Dec 2023,,True,
November Christmas,03 Dec 2023,,True,
Napoleon,02 Dec 2023,,False,Oh yeahhhh Connor Roy mentioned this guy!!! Knew I recognized the name from somewhere
The Boogeyman,01 Dec 2023,,True,
Saltburn,30 Nov 2023,,True,What an unexpectedly good year for Flo Rida
Black Christmas,30 Nov 2023,,True,
The Santa Suit,30 Nov 2023,,True,
Saltburn,26 Nov 2023,,True,What an unexpectedly good year for Flo Rida
300,26 Nov 2023,,True,I watched this while knitting a scarf
Doctor Who: Attack of the Graske,25 Nov 2023,,True,
Doctor Who: Born Again,25 Nov 2023,,True,
Doctor Who: Music of the Spheres,25 Nov 2023,,True,
Doctor Who: Time Crash,25 Nov 2023,,True,
Doctor Who: The Star Beast,25 Nov 2023,,True,Ten getting slapped in the face by a mom—OH WE ARE SO FUCKING BACK!!!!!!!!!!!!!!!
North by Northwest,25 Nov 2023,★★★★★,True,
Thanksgiving,24 Nov 2023,,True,
"Planes, Trains and Automobiles",24 Nov 2023,,True,
The Hunger Games: The Ballad of Songbirds & Snakes,18 Nov 2023,,True,
Anatomy of a Fall,14 Nov 2023,,True,
Oppenheimer,14 Nov 2023,,True,
Casino,12 Nov 2023,,True,
ABBA in Switzerland,11 Nov 2023,,True,
Killers of the Flower Moon,10 Nov 2023,,True,
The Holdovers,04 Nov 2023,,True,
The Killer,02 Nov 2023,,True,
The Skeleton Dance,02 Nov 2023,,True,
The Fall of the House of Usher,01 Nov 2023,,True,
The Paul Lynde Halloween Special,31 Oct 2023,★★★★★,True,
Serial Mom,30 Oct 2023,★★★★★,True,
Cropsey,29 Oct 2023,,True,
Mannikin,28 Oct 2023,,True,
Nightangel,28 Oct 2023,,True,
The Story of Hansel and Gretel,28 Oct 2023,,True,
The Fall of the House of Usher,28 Oct 2023,,True,
Halloween Safety,28 Oct 2023,,True,
Priscilla,27 Oct 2023,,True,
Five Nights at Freddy's,26 Oct 2023,,True,
Local Hero,19 Oct 2023,★★★★★,True,
Showgirls,15 Oct 2023,★★★★★,True,
The Exorcist: Believer,14 Oct 2023,,True,
Saw,13 Oct 2023,,True,
Pet Sematary,05 Oct 2023,,True,
Meg 2: The Trench,01 Oct 2023,,True,
It,01 Oct 2023,,True,
The Autopsy of Jane Doe,01 Oct 2023,,True,
The Black Scorpion,01 Oct 2023,,True,
Hellraiser,30 Sep 2023,,True,
Drag Me to Hell,28 Sep 2023,,True,
The Dream of the Songstress,27 Sep 2023,,True,
Saw X,27 Sep 2023,,False,
The Fantastic Golem Affairs,27 Sep 2023,,True,
The Hollywood Signs,24 Sep 2023,,True,
The People's Joker,24 Sep 2023,★★★★★,True,
Nowhere,23 Sep 2023,★★★★★,True,
Doctor Who: The End of Time,23 Sep 2023,,True,
Blonde Death,22 Sep 2023,★★★★★,True,
Doctor Who: The Waters of Mars,22 Sep 2023,,True,
Enter the Clones of Bruce,22 Sep 2023,,True,
Messiah of Evil,21 Sep 2023,,True,
Doctor Who: Planet of the Dead,19 Sep 2023,,True,
A Haunting in Venice,16 Sep 2023,,False,
Fear,16 Sep 2023,,False,
The Shallows,15 Sep 2023,,True,
Sleepaway Camp II: Unhappy Campers,15 Sep 2023,,True,
The Cat o' Nine Tails,15 Sep 2023,,True,
The Grudge,14 Sep 2023,,True,
Raising Cain,14 Sep 2023,,True,
The Changeling,14 Sep 2023,,True,
The Others,14 Sep 2023,,True,
Doctor Who: The Next Doctor,12 Sep 2023,,True,
Doctor Who: The Runaway Bride,12 Sep 2023,,True,
True Stories,09 Sep 2023,★★★★★,True,
The Nun II,08 Sep 2023,,False,
The Conjuring,07 Sep 2023,,True,
Insidious: Chapter 2,07 Sep 2023,,True,
Bottoms,04 Sep 2023,★★★★★,True,
Barbie,03 Sep 2023,,True,
Doctor Who: Voyage of the Damned,02 Sep 2023,,True,
Doctor Who: The Runaway Bride,31 Aug 2023,,True,
"As Above, So Below",27 Aug 2023,,True,
Up,25 Aug 2023,,True,
Doctor Who: The Christmas Invasion,24 Aug 2023,,True,
Good Omens,19 Aug 2023,,True,
If All the Shitty Guys on Dating Apps Were at One Party,19 Aug 2023,,True,
The Dating Trends That Put Ghosting to Shame,19 Aug 2023,,True,
Double Date,19 Aug 2023,,True,
Alien,17 Aug 2023,,True,
Oppenheimer,15 Aug 2023,,True,
Lennon or McCartney,14 Aug 2023,,False,
Red Eye,13 Aug 2023,,True,
"Red, White & Royal Blue",13 Aug 2023,,True,
RRR,12 Aug 2023,★★★★★,True,
RRR,11 Aug 2023,★★★★★,True,
Frank Zappa: Live in Barcelona,10 Aug 2023,,True,
Blade,10 Aug 2023,,True,
Pee-wee's Big Adventure,09 Aug 2023,,True,
Dazed and Confused,08 Aug 2023,,True,
The Party,07 Aug 2023,,True,
Breakfast on Pluto,07 Aug 2023,,True,
Watching the Detectives,07 Aug 2023,,True,
Hairspray,06 Aug 2023,,True,
Valley Girl,05 Aug 2023,,True,
Prometheus,04 Aug 2023,,True,
Fantasy Island,03 Aug 2023,,True,
Jane Eyre,02 Aug 2023,,True,
Theater Camp,30 Jul 2023,,True,
Lara Croft: Tomb Raider,30 Jul 2023,,True,
Mission: Impossible – Rogue Nation,28 Jul 2023,,True,
Mission: Impossible II,28 Jul 2023,,True,
Clue,27 Jul 2023,,True,
Sliding Doors,27 Jul 2023,,False,
Earth Girls Are Easy,26 Jul 2023,,True,
The Party,25 Jul 2023,,True,
Practical Magic,24 Jul 2023,,True,
Barbie,22 Jul 2023,,True,
Oppenheimer,22 Jul 2023,,True,
Velvet Goldmine,21 Jul 2023,★★★★★,True,
Oppenheimer,21 Jul 2023,,True,
Barbie,21 Jul 2023,,True,
The Raven,19 Jul 2023,,True,
After We Collided,18 Jul 2023,,True,
After,17 Jul 2023,,False,
Face/Off,16 Jul 2023,★★★★★,True,
Valley Girl,15 Jul 2023,,True,
Mission: Impossible – Ghost Protocol,15 Jul 2023,,True,
Polar,14 Jul 2023,,True,
Flatliners,13 Jul 2023,,True,
Dead Again,13 Jul 2023,,True,
Malcolm X,11 Jul 2023,,True,
Twilight,10 Jul 2023,,True,
My Neighbor Totoro,09 Jul 2023,,True,
Bad Lieutenant: Port of Call – New Orleans,08 Jul 2023,,True,
Interview with the Vampire,08 Jul 2023,,True,
City Slickers,08 Jul 2023,,True,
Past Lives,08 Jul 2023,,True,
Run Rabbit Run,08 Jul 2023,,True,
Tequila Sunrise,07 Jul 2023,,True,
Indiana Jones and the Dial of Destiny,07 Jul 2023,,True,
Dunkirk,05 Jul 2023,,True,
The Birdcage,04 Jul 2023,,True,
St. Elmo's Fire,03 Jul 2023,,True,
The Clock,03 Jul 2023,,True,
Dangerous Liaisons,28 Jun 2023,,True,
Best in Show,26 Jun 2023,,True,
National Theatre Live: Fleabag,22 Jun 2023,,True,
Phantom Thread,21 Jun 2023,,True,
Hairspray,21 Jun 2023,,True,
Coraline,21 Jun 2023,,True,
Glen or Glenda,20 Jun 2023,,True,
Deadpool,19 Jun 2023,,False,
There Will Be Blood,19 Jun 2023,★★★★★,True,
The Royal Tenenbaums,17 Jun 2023,★★★★★,True,
Serial Mom,16 Jun 2023,★★★★★,True,
Cruising,11 Jun 2023,,True,
School Daze,09 Jun 2023,,True,
Spider-Man: Across the Spider-Verse,09 Jun 2023,★★★★★,True,
Shiny Happy People: Duggar Family Secrets,08 Jun 2023,,True,
Indiana Jones and the Last Crusade,07 Jun 2023,,True,
Stormy Weather,06 Jun 2023,,True,
Down with Love,05 Jun 2023,,True,
Wet Hot American Summer,02 Jun 2023,,True,
Humoresque,31 May 2023,,True,
Heat,27 May 2023,★★★★★,True,
With Pleasure,27 May 2023,,True,
Death at a Funeral,25 May 2023,,True,
In & Out,25 May 2023,,True,
Clueless,25 May 2023,,True,
Phantom of the Paradise,22 May 2023,,True,
Nitrate Kisses,20 May 2023,★★★★★,True,
Superdyke,20 May 2023,★★★★★,True,
Blonde Venus,20 May 2023,,True,
Weird: The Al Yankovic Story,19 May 2023,,True,
Weird: The Al Yankovic Story,19 May 2023,,True,
What Women Want,17 May 2023,,False,
Call Me by Your Name,14 May 2023,,True,
Igby Goes Down,14 May 2023,,True,
Striptease,13 May 2023,,True,
Igby Goes Down,12 May 2023,,True,
Igby Goes Down,11 May 2023,,True,
The Doom Generation,05 May 2023,,True,
Party Girl,04 May 2023,★★★★★,True,
"All This, and Heaven Too",03 May 2023,,False,
Elvis,01 May 2023,,True,
Unfriended,28 Apr 2023,,True,
Evil Dead Rise,28 Apr 2023,,True,
Piggy,25 Apr 2023,,True,
Pussy,23 Apr 2023,,True,
Pygmalion,19 Apr 2023,,False,
Stalked by My Doctor: A Sleepwalker's Nightmare,15 Apr 2023,,True,
Mrs. Miniver,12 Apr 2023,,True,
1408,06 Apr 2023,,True,
Scream,05 Apr 2023,,True,
Scream VI,01 Apr 2023,,True,
Teeth,01 Apr 2023,,True,
Legend,31 Mar 2023,,True,
The Adventures of Buckaroo Banzai Across the 8th Dimension,30 Mar 2023,,True,
Hackers,26 Mar 2023,,True,
Scream,23 Mar 2023,,True,
Kiss of Death,22 Mar 2023,,True,
Scream 4,20 Mar 2023,,True,
Scream 3,17 Mar 2023,,True,
Scream 2,16 Mar 2023,,True,
Evil Dead Rise,15 Mar 2023,,True,
Talk to Me,15 Mar 2023,,True,
You Were My First Boyfriend,15 Mar 2023,★★★★★,True,
Only the Good Survive,14 Mar 2023,,True,
Appendage,14 Mar 2023,,True,
Parachute,13 Mar 2023,,True,
The Starling Girl,12 Mar 2023,,True,
