Movie,Date Watched,Rating,Liked,Review
The Caine Mutiny Court-Martial,12 Jan 2024,★★★★,True,"Feeling overwhelmingly grateful for William Friedkin, Lance Reddick, and anyone and everyone else who dedicates their life to the movies. This film has meaningful and interesting things to say, but on an even more profound level it’s about when People Talk In A Room. The movies, man. The movies."
The Teachers’ Lounge,12 Jan 2024,★★½,False,"I feel like this is the thing where there’s a movie about like a helicopter pilot and it’s compelling and people like it but then a helicopter pilot watches it and is like “why would they make any decisions like that, they should have been trained to do other things”, etc etc. Watching this protagonist double and triple and quadruple down on her mistakes was mostly just repetitive and frustrating. Kids rock though, solidarity forever."
"It's a Bird, It's a Plane, It's Superman!",11 Jan 2024,★★★★,True,"An absolutely beautiful object. Everybody gets the pitch of the thing. Great aesthetic, great songs. Superman as Coop from Wet Hot. Mobsters with thick accents. Should be accepted as the canonical piece of superhero cinema it so clearly is."
American Fiction,11 Jan 2024,★★★★,True,"Felt ""ooh, this is the good stuff"" as soon as Keith David's name showed up in the awesome opening credits and that feeling held basically through the whole runtime. Jeffrey Wright is one of the most compelling actors alive. I can't wait to see what Cord Jefferson does next."
Lady in the Water,10 Jan 2024,★★½,True,with Jared Harris as Goatee Smoker
Big Fish,10 Jan 2024,★★★★,True,Forrest Gump is a good genre
The Love Guru,09 Jan 2024,★,False," I imagine there must come a time where any rich and powerful man who loves a sports team realizes that there is nothing they can do to *make* said team win a championship. They might have creative or financial freedoms beyond our wildest dreams, but they can't make this happen. Nobody can. Some even go to the point where they buy the team. This, of course, is not enough. You can't will it into being.Mike Myers' Maple Leafs may… "
The Iron Claw,07 Jan 2024,★★★★,True," Maybe the most heartbreaking thing here - and that really is saying something - is that Kevin really *is* the lucky one. Those who have to withstand the losses around them and live with the pains and traumas of existence are the ones who are still here. No 2023 movie moment made me cry harder than the final-frame family photo. Living well is the best revenge, as the saying goes. That may be cheesy, but existing on this planet is… "
The Buried Secret of M. Night Shyamalan,06 Jan 2024,★★,False,One of M. Night's better acting performances IMO
Austin Powers in Goldmember,04 Jan 2024,★★,False,"Quite bad - and even so, Myers probably has at least 20 unbelievably funny bits and gags. Kind of a shame he disappeared."
The Village,03 Jan 2024,★★★★½,True," Increasingly in awe of Shyamalan's chops as a filmmaker. Of all the movies of his I've seen thus far, Old (which rules) is the only one that I think actually qualifies as a horror movie. Perhaps thriller is the right descriptor, but that doesn't quite feel right either. His movies just have their own emotional timbre, a Sirk-meets-Spielberg dance of faith and loss and hope. There's nothing quite like them. He feels like someone who will be hailed once again… "
Theater Camp,02 Jan 2024,★★★½,True,Ben Platt engaging in self-parody does little to mitigate his intensely unlikable screen persona
Austin Powers: The Spy Who Shagged Me,02 Jan 2024,★★★,True,
Poor Things,29 Dec 2023,★★★½,True,
Xenogenesis,29 Dec 2023,★★★,False,
Welcome to the Club,28 Dec 2023,½,False,
The Simpsons: When Billie Met Lisa,28 Dec 2023,★★½,False,
The Simpsons in Plusaversary,28 Dec 2023,★,False,
The Simpsons - Balenciaga,28 Dec 2023,★★,False,
"Maggie Simpson in ""The Force Awakens from Its Nap""",28 Dec 2023,★★,False,
Charlie and the Chocolate Factory,27 Dec 2023,★★½,False,
Signs,26 Dec 2023,★★★★½,True,
The Color Purple,25 Dec 2023,★★★★,True,
Aquaman and the Lost Kingdom,24 Dec 2023,★½,False,
Society of the Snow,23 Dec 2023,★★★★½,True,
Anyone But You,22 Dec 2023,★★★½,True,
Napoleon,22 Dec 2023,★★★½,False,
The Boy and the Heron,22 Dec 2023,★★★★★,True,
Willy Wonka & the Chocolate Factory,21 Dec 2023,★★★★★,True,
Wonka,21 Dec 2023,★★★½,True,
Ferrari,20 Dec 2023,★★★★½,True,
Planet of the Apes,18 Dec 2023,★★½,False,
Blackhat,18 Dec 2023,★★½,False,
Battle for the Planet of the Apes,18 Dec 2023,★★★½,False,
Conquest of the Planet of the Apes,17 Dec 2023,★★★★,True,
The Boy and the Heron,15 Dec 2023,★★★★★,True,
The Kingdom of Dreams and Madness,10 Dec 2023,★★★★,True,
The Abyss,06 Dec 2023,★★★★½,True,
Austin Powers: International Man of Mystery,05 Dec 2023,★★★★,True,
The Wind Rises,05 Dec 2023,★★★★½,True,
Maestro,04 Dec 2023,★★½,False,
The Holdovers,03 Dec 2023,★★★★½,True,
Godzilla Minus One,03 Dec 2023,★★★,False,
I Love You to Death,01 Dec 2023,★★★½,False,
Dream Scenario,30 Nov 2023,★★★,False,
May December,29 Nov 2023,★★★★★,True,
Public Enemies,28 Nov 2023,★★★½,False,
Die Another Day,28 Nov 2023,★★,False,
Ponyo,27 Nov 2023,★★★★½,True,
Miami Vice,27 Nov 2023,★★★½,True,
The Terminator,26 Nov 2023,★★★,False,
Collateral,26 Nov 2023,★★★★½,True,
BlackBerry,22 Nov 2023,★★★★,True,
Saving Private Ryan,20 Nov 2023,★★★★½,True,
Gone Girl,19 Nov 2023,★★★★,False,
Unbreakable,19 Nov 2023,★★★½,False,
Escape from the Planet of the Apes,19 Nov 2023,★★★½,False,
The Sixth Sense,18 Nov 2023,★★★★★,True,
Beneath the Planet of the Apes,17 Nov 2023,★★★½,True,
The Girl with the Dragon Tattoo,17 Nov 2023,★★★★,True,
Amistad,16 Nov 2023,★★★½,False,
Night Gallery,16 Nov 2023,★★★,False,
Howl's Moving Castle,15 Nov 2023,★★★½,True,
Planet of the Apes,15 Nov 2023,★★★★½,True,
Savage,15 Nov 2023,★★½,False,
Joe Versus the Volcano,14 Nov 2023,★★★★★,True,
Hook,13 Nov 2023,★★½,False,
Piranha II: The Spawning,13 Nov 2023,★★,False,
Anatomy of a Fall,11 Nov 2023,★★★★,True,
Taylor Swift: The Eras Tour,10 Nov 2023,★★★★,True,
The Color Purple,09 Nov 2023,★★★½,False,
A Star Is Born,08 Nov 2023,★★★★,False,
Gladiator,06 Nov 2023,★★★★,False,
The Last Waltz,05 Nov 2023,★★★★★,True,
The Social Network,04 Nov 2023,★★★★★,True,
The Curious Case of Benjamin Button,03 Nov 2023,★★★★,True,
Wide Awake,03 Nov 2023,★½,False,
The Killer,02 Nov 2023,★★½,False,
Now and Then - The Last Beatles Song,02 Nov 2023,★★★★,True,
McCabe & Mrs. Miller,01 Nov 2023,★★★★½,True,
Slotherhouse,31 Oct 2023,★½,False,
Sleepaway Camp,31 Oct 2023,★★★½,False,
Spirited Away,30 Oct 2023,★★★★★,True,
The Mummy,29 Oct 2023,★★,False,
The Empty Man,28 Oct 2023,★★★,False,
Zodiac,27 Oct 2023,★★★★,False,
Princess Mononoke,26 Oct 2023,★★★★,False,
On Your Mark,26 Oct 2023,★★★★,True,
Friday the 13th,25 Oct 2023,★★½,False,
The Sky-Colored Seed,25 Oct 2023,★★★½,True,
Nandarou,25 Oct 2023,★★★½,True,
Praying with Anger,23 Oct 2023,★★,False,
The World Is Not Enough,21 Oct 2023,★★½,False,
Sleepy Hollow,20 Oct 2023,★★★,False,
Killers of the Flower Moon,19 Oct 2023,★★★★½,True,
Under the Skin,18 Oct 2023,★★★★½,False,
Ali,17 Oct 2023,★★★½,False,
Once Upon a Studio,16 Oct 2023,★★★★,True,
Whisper of the Heart,15 Oct 2023,★★★★,True,
Mars Attacks!,14 Oct 2023,★★★,False,
Porco Rosso,09 Oct 2023,★★★★½,True,
The Cabin in the Woods,09 Oct 2023,★★★★,False,
Kiki's Delivery Service,08 Oct 2023,★★★★,True,
Don Jon,06 Oct 2023,★★★,True,
The Witch,04 Oct 2023,★★★★½,True,
Panic Room,03 Oct 2023,★★★★,False,
Poison,03 Oct 2023,★★★★,False,
The Insider,03 Oct 2023,★★★★½,True,
The Rat Catcher,29 Sep 2023,★★★½,False,
The Swan,28 Sep 2023,★★★★★,True,
The Wonderful Story of Henry Sugar,28 Sep 2023,★★★★★,True,
Aquaman,27 Sep 2023,★★★½,True,
Fight Club,25 Sep 2023,★★★½,False,
Tomorrow Never Dies,24 Sep 2023,★★★½,False,
Get Out,23 Sep 2023,★★★★½,True,
Stop Making Sense,21 Sep 2023,★★★★★,True,
The Game,19 Sep 2023,★★★½,False,
The Navigator,18 Sep 2023,★★★,False,
The Departed,17 Sep 2023,★★★★½,True,
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",17 Sep 2023,★★★★½,False,
"Sherlock, Jr.",15 Sep 2023,★★★★★,True,
The Love Nest,15 Sep 2023,★★★,False,
GoldenEye,15 Sep 2023,★★★,False,
My Neighbor Totoro,13 Sep 2023,★★★★★,True,
Se7en,13 Sep 2023,★★★,False,
Castle in the Sky,09 Sep 2023,★★★★,True,
Before Midnight,08 Sep 2023,★★★★★,True,
Alien³,07 Sep 2023,★★★★,True,
Nausicaä of the Valley of the Wind,06 Sep 2023,★★★★,True,
Heat,05 Sep 2023,★★★★½,True,
Rick Springfield: The Beat of the Live Drum,04 Sep 2023,★★½,False,
The Last of the Mohicans,03 Sep 2023,★★★½,False,
The Iron Giant,03 Sep 2023,★★★★½,True,
Manhunter,02 Sep 2023,★★★½,False,
"What's Opera, Doc?",02 Sep 2023,★★★★★,True,
Knighty Knight Bugs,02 Sep 2023,★★★½,False,
Rabbit Fire,02 Sep 2023,★★★★½,True,
Rabbit of Seville,02 Sep 2023,★★★★★,True,
Long-Haired Hare,02 Sep 2023,★★★★,False,
Baseball Bugs,02 Sep 2023,★★★★★,True,
A Wild Hare,02 Sep 2023,★★★,False,
Porky's Hare Hunt,02 Sep 2023,★★,False,
Bottoms,31 Aug 2023,★★★★,True,
PlayTime,30 Aug 2023,★★★★½,False,
Talk to Me,30 Aug 2023,★★★½,False,
Bono & The Edge: A Sort of Homecoming with Dave Letterman,30 Aug 2023,★★★½,True,
Asteroid City,29 Aug 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,29 Aug 2023,★★★½,False,
Lupin the Third: The Castle of Cagliostro,28 Aug 2023,★★★★½,True,
The Balloonatic,26 Aug 2023,★★★,False,
Day Dreams,26 Aug 2023,★★★,False,
The Electric House,26 Aug 2023,★★★★,True,
The Keep,26 Aug 2023,★★★★,True,
Three Ages,25 Aug 2023,★★★½,False,
Our Hospitality,22 Aug 2023,★★★★½,True,
Mon Oncle,22 Aug 2023,★★★★,False,
The Frozen North,21 Aug 2023,★★★,False,
Thief,21 Aug 2023,★★★★,False,
Broadcast News,20 Aug 2023,★★★★★,True,
Monsieur Hulot's Holiday,20 Aug 2023,★★★★,True,
Oldboy,19 Aug 2023,★★★★★,True,
Jour de fête,19 Aug 2023,★★★½,False,
The Blacksmith,19 Aug 2023,★★★,False,
Unforgiven,18 Aug 2023,★★★★½,True,
Sympathy for Mr. Vengeance,18 Aug 2023,★★★½,False,
My Wife's Relations,18 Aug 2023,★★★★,True,
Joint Security Area,17 Aug 2023,★★★★½,True,
Judgement,16 Aug 2023,★★★★,False,
The Jericho Mile,16 Aug 2023,★★★,False,
Trio,16 Aug 2023,★★½,False,
Ed Wood,15 Aug 2023,★★★,False,
The Moon Is... the Sun's Dream,09 Aug 2023,★★,False,
Cops,07 Aug 2023,★★★★,False,
Oppenheimer,06 Aug 2023,★★★★½,True,
The Paleface,05 Aug 2023,★★★,False,
School for Postmen,03 Aug 2023,★★★½,False,
The Boat,27 Jul 2023,★★★★,True,
The Play House,26 Jul 2023,★★★½,False,
Barbie,24 Jul 2023,★★★½,False,
Oppenheimer,24 Jul 2023,★★★½,True,
The Goat,17 Jul 2023,★★★½,False,
Mission: Impossible – Dead Reckoning Part One,11 Jul 2023,★★★★★,True,
The High Sign,09 Jul 2023,★★★★,True,
Hard Luck,28 Jun 2023,★★★,False,
The Haunted House,18 Jun 2023,★★★,False,
STILL: A Michael J. Fox Movie,17 Jun 2023,★★★★½,True,
Neighbors,11 Jun 2023,★★★½,False,
Burrow,07 Jun 2023,★★★★★,True,
Burrow,07 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★★,True,
Tenet,29 May 2023,★★½,False,
Dunkirk,29 May 2023,★★★,False,
Sleepless in Seattle,27 May 2023,★★★★½,True,
Fast X,23 May 2023,★★★,True,
A.I. Artificial Intelligence,22 May 2023,★★★★★,True,
Eyes Wide Shut,22 May 2023,★★★★★,True,
Jack Reacher: Never Go Back,20 May 2023,★★,False,
Jack Reacher,18 May 2023,★★★,False,
Videodrome,17 May 2023,★★★★,False,
The Scarecrow,17 May 2023,★★★★,False,
Interstellar,14 May 2023,★★★★★,True,
Evil Dead Rise,14 May 2023,★★★,False,
Convict 13,13 May 2023,★★★,False,
The Dark Knight Rises,13 May 2023,★★½,False,
Inception,13 May 2023,★★★★,True,
The Cook,13 May 2023,★★★½,False,
The Dark Knight,10 May 2023,★★★,False,
Shallow Grave,09 May 2023,★★★½,False,
John Mulaney: Baby J,08 May 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,07 May 2023,★★★★,True,
One Week,06 May 2023,★★★★½,True,
The Prestige,04 May 2023,★★★★★,True,
The Rough House,04 May 2023,★★★,False,
Batman Begins,02 May 2023,★★★½,False,
Suzume,25 Apr 2023,★★★,False,
Beau Is Afraid,23 Apr 2023,★★★★★,True,
Spirited Away: Live on Stage,23 Apr 2023,★★★★,True,
The Super Mario Bros. Movie,22 Apr 2023,★★★,True,
Full Metal Jacket,19 Apr 2023,★★★½,False,
Insomnia,16 Apr 2023,★★★,False,
John Wick: Chapter 4,14 Apr 2023,★★★,False,
Air,13 Apr 2023,★★★★,False,
A Good Person,09 Apr 2023,★★½,False,
Dungeons & Dragons: Honor Among Thieves,08 Apr 2023,★★★★,False,
Batman & Robin,08 Apr 2023,★½,False,
Doctor Sleep,08 Apr 2023,★★★★½,True,
Creed III,07 Apr 2023,★★★½,False,
The Great Mouse Detective,05 Apr 2023,★★★½,True,
John Wick: Chapter 3 – Parabellum,05 Apr 2023,★★★★,True,
Memento,05 Apr 2023,★★★★½,False,
Indiana Jones and the Kingdom of the Crystal Skull,04 Apr 2023,★★★½,False,
Following,30 Mar 2023,★★★,False,
John Wick: Chapter 2,30 Mar 2023,★★★½,False,
Doodlebug,29 Mar 2023,★★★,False,
Tarantella,29 Mar 2023,★★★,False,
Navalny,26 Mar 2023,★★★½,False,
John Wick,24 Mar 2023,★★★½,False,
The Wizard of Speed and Time,20 Mar 2023,★★★½,False,
Creed II,14 Mar 2023,★★★½,False,
Cocaine Bear,09 Mar 2023,★½,False,
The People You're Paying to Be in Shorts,08 Mar 2023,★★★★,False,
All Quiet on the Western Front,06 Mar 2023,★★,False,
Lupin the Third: The Castle of Cagliostro,02 Mar 2023,★★★★½,True,
All the Beauty and the Bloodshed,02 Mar 2023,★★★★,False,
My Year of Dicks,02 Mar 2023,★★★½,False,
"The Boy, the Mole, the Fox and the Horse",02 Mar 2023,★★,False,
Ice Merchants,02 Mar 2023,★★★★½,True,
The Flying Sailor,02 Mar 2023,★★★,False,
An Ostrich Told Me the World Is Fake and I Think I Believe It,02 Mar 2023,★★★★,False,
The Martha Mitchell Effect,01 Mar 2023,★★½,False,
Haulout,01 Mar 2023,★★★,False,
Stranger at the Gate,01 Mar 2023,★★★★,False,
The Elephant Whisperers,01 Mar 2023,★★★★,True,
How Do You Measure a Year?,01 Mar 2023,★★★★,True,
The Shining,24 Feb 2023,★★★★★,True,
Batman Forever,22 Feb 2023,★★½,False,
An Irish Goodbye,20 Feb 2023,★★★★,False,
The Red Suitcase,20 Feb 2023,★★★★,False,
Le Pupille,20 Feb 2023,★★★½,False,
Night Ride,20 Feb 2023,★★★★,False,
Ivalu,20 Feb 2023,★★½,False,
Ant-Man and the Wasp: Quantumania,16 Feb 2023,★½,False,
Hoop Dreams,15 Feb 2023,★★★★½,True,
White Noise,13 Feb 2023,★★★★,True,
Avatar: The Way of Water,13 Feb 2023,★★★★½,True,
Triangle of Sadness,11 Feb 2023,★★,False,
Wild at Heart,11 Feb 2023,★★★½,False,
Titanic,10 Feb 2023,★★★★★,True,
Barry Lyndon,06 Feb 2023,★★★★★,False,
Fire of Love,06 Feb 2023,★★★,False,
Wendell & Wild,05 Feb 2023,★★★½,True,
Knock at the Cabin,05 Feb 2023,★★★½,True,
Women Talking,03 Feb 2023,★★★★,True,
Jerrod Carmichael: Rothaniel,02 Feb 2023,★★★★,False,
National Treasure: Book of Secrets,01 Feb 2023,★★,False,
Hair Love,31 Jan 2023,★★★★,False,
Everything Everywhere All at Once,30 Jan 2023,★★★★,False,
National Treasure,28 Jan 2023,★★★,True,
A Clockwork Orange,22 Jan 2023,★★★½,False,
Batman: Mask of the Phantasm,21 Jan 2023,★★★★,False,
Weird: The Al Yankovic Story,20 Jan 2023,★★★,True,
Puss in Boots: The Last Wish,20 Jan 2023,★★★★,False,
Skinamarink,19 Jan 2023,★★★,False,
Millennium Actress,18 Jan 2023,★★★★,False,
Marcel the Shell with Shoes On,17 Jan 2023,★★★,False,
M3GAN,16 Jan 2023,★★★½,True,
Kate Berlant: Cinnamon in the Wind,16 Jan 2023,★★★★,False,
Werewolf by Night,16 Jan 2023,★★★,False,
Norm Macdonald: Nothing Special,16 Jan 2023,★★★½,True,
Jackass 4.5,14 Jan 2023,★★★½,False,
Apollo 10½: A Space Age Childhood,13 Jan 2023,★★★★½,True,
Guillermo del Toro's Pinocchio,13 Jan 2023,★★★★,False,
The Whale,12 Jan 2023,★,False,
Dial M for Murder,11 Jan 2023,★★★★½,True,
We're All Going to the World's Fair,10 Jan 2023,★★★★,False,
Babylon,09 Jan 2023,★★★,False,
Section 1,09 Jan 2023,★★★★★,True,
The Guardians of the Galaxy Holiday Special,08 Jan 2023,★★★½,True,
Sunset Boulevard,08 Jan 2023,★★★★★,True,
How to score 10 runs in the first inning and lose,08 Jan 2023,★★★★,True,
Moongirl,07 Jan 2023,★★,False,
Slow Bob in the Lower Dimensions,07 Jan 2023,★★★,False,
Seepage,07 Jan 2023,★★½,False,
Phases,07 Jan 2023,★★★,False,
