Movie,Date Watched,Rating,Liked,Review
Pier Paolo Pasolini - Agnès Varda - New York - 1967,12 Jan 2024,,False,
Il Siciliano,05 Jan 2024,,False,
Il Sorpasso,01 Jan 2024,,True,Reminded me of Rafa and I's friendship
Teenage Hitchhikers,29 Dec 2023,,False,
Bob le Flambeur,28 Dec 2023,★★★★★,True,
Senza parole,24 Dec 2023,★★★★★,True,❤️❤️❤️ 7 Minutes in Heaven ❤️❤️❤️
Liverpool,22 Dec 2023,,True,
Fight Club,22 Dec 2023,,True,
Leaving Las Vegas,20 Dec 2023,,True,
Priscilla,20 Dec 2023,,False,
Strays,19 Dec 2023,,False,
Malqueridas,18 Dec 2023,,False,
Oceans Are the Real Continents,18 Dec 2023,,False,
Taxibol,18 Dec 2023,,True,
All the Fires,18 Dec 2023,,False,
Clorindo Testa,18 Dec 2023,,True,
The Human Surge 3,18 Dec 2023,,True,
Pictures of Ghosts,18 Dec 2023,,False,
Perfect Days,18 Dec 2023,,False,
La Casa,13 Nov 2023,,True,
Crossroad,08 Nov 2023,,True,
Rehearsals for Retirement,08 Nov 2023,,True,
The Man Who Loved Women,08 Nov 2023,,True,
i hate myself :),05 Nov 2023,,True,
La Libertad,05 Nov 2023,,True,
I Walk the Line,05 Nov 2023,,False,
The Exterminating Angel,27 Oct 2023,,True,
Killers of the Flower Moon,25 Oct 2023,,True,
Bug,24 Oct 2023,,True,
Sábado,24 Oct 2023,,False,
Anatomy of a Fall,23 Oct 2023,,False,
The Fourth Dimension,17 Oct 2023,,False,
The Sweet East,10 Oct 2023,,True,
Last Summer,10 Oct 2023,,True,
The Beast,09 Oct 2023,,False,
"Four Unloved Women, Adrift on a Purposeless Sea, Experience the Ecstasy of Dissection",09 Oct 2023,,False,
Aggro Dr1ft,09 Oct 2023,,True,
Barfly,08 Oct 2023,,False,
GODMODE,06 Oct 2023,★★★★★,True,
Night Moves,30 Sep 2023,,False,
She Wore a Yellow Ribbon,25 Sep 2023,,True,
Sexy Beast,22 Sep 2023,,True,
Donnie Darko,20 Sep 2023,,False,
Shame,17 Sep 2023,,False,
The Last Movie,10 Sep 2023,,True,
Life After Love,07 Sep 2023,,False,
Return To Forms,07 Sep 2023,,False,
The Player,03 Sep 2023,,False,I should move to LA
PlayTime,01 Sep 2023,★★★★★,True,
The Tree of Life,30 Aug 2023,,True,
Barbie,28 Aug 2023,★,False,
Innocents Abroad,25 Aug 2023,★★★★★,True,A perfect movie
On Any Sunday,24 Aug 2023,,False,
Rotting in the Sun,24 Aug 2023,,True,
The First Year,23 Aug 2023,,True,
Caché,22 Aug 2023,★★★★★,True,
2001: A Space Odyssey,20 Aug 2023,★★★★★,True,
Jesús López,20 Aug 2023,,False,
Nathan for You: Finding Frances,17 Aug 2023,,True,
South,15 Aug 2023,,False,
Hondo,14 Aug 2023,,False,
Blue Chips,11 Aug 2023,,True,
Welcome to New York,09 Aug 2023,,False,
The Eternal Memory,09 Aug 2023,,False,
A Man Aside,08 Aug 2023,,True,
Chi-chi-chi-le-le-le. Martín Vargas de Chile,07 Aug 2023,,False,
In Another Country,07 Aug 2023,,True,
The Store,06 Aug 2023,,True,
Oppenheimer,03 Aug 2023,,False,
Afire,01 Aug 2023,,True,
Some Like It Hot,29 Jul 2023,,True,
12 Angry Men,25 Jul 2023,★★★★★,True,
Deep Blue Sea,24 Jul 2023,,False,
Kramer vs. Kramer,22 Jul 2023,,True,
Bluebeard's Eighth Wife,21 Jul 2023,,True,I’m starting to believe in pants
Contempt,21 Jul 2023,,True,
Memento,20 Jul 2023,,False,
Cat People,19 Jul 2023,,False,
The Beatles: Get Back,18 Jul 2023,★★★★★,True,
Carnal Knowledge,10 Jul 2023,,True,You can't make fucking your life's work...
My Little Loves,07 Jul 2023,,True,
Revolution+1,06 Jul 2023,,False,
Atlantic City,29 Jun 2023,,True,
Floating Weeds,26 Jun 2023,,True,
Asteroid City,22 Jun 2023,,True,
Frownland,20 Jun 2023,★★★★★,True,
Happer's Comet,16 Jun 2023,★★★★★,True,"Tyler is an exciting new filmmaker in American indie cinema, and I'm putting my money down right now that he's basically our next David Lynch."
The Future Is Woman,15 Jun 2023,,True,
The Bravados,12 Jun 2023,,True,
Late Spring,12 Jun 2023,,False,
The Man with the Balloons,10 Jun 2023,,True,
Dillinger Is Dead,09 Jun 2023,,True,
Rosemary's Baby,04 Jun 2023,,True,
Welcome to New York,20 May 2023,,True,
Master Gardener,19 May 2023,,False,
The Criminal Life of Archibaldo de la Cruz,19 May 2023,,False,
