Movie,Date Watched,Rating,Liked,Review
Psycho,24 Oct 2023,★★★★,False,Arbogast dumbest name of all time
Wizards,23 Oct 2023,★★★,False,It was like this movie was hoping I was high so it could get plot holes by me.
The Best Little Whorehouse in Texas,14 Oct 2023,★★★★,False,I am delighted to report that I was delighted by this movie.
Rad,13 Oct 2023,★★½,False,bafflingly gorgeous stunt scenes intercut with some of the worst dialogue ever written.
Vertigo,10 Oct 2023,★★★,False,mid as hell. watched it with a cute girl tho
Mountain,13 Sep 2023,★★★½,False,making Appalachian studies students watch a movie called mountain feels a little on the nose don’t y’all think
The Englishman Who Went Up a Hill But Came Down a Mountain,31 Aug 2023,★★★½,False,wish I was welsh those guys are funny
Thelma & Louise,22 Aug 2023,★★★★,False,brad pitt inexplicably teleported in this
Hooper,15 Aug 2023,★★★,False,Sally Field was acting way harder than she needed to in this but I’m glad she did.
Smokey and the Bandit,14 Aug 2023,★★★★½,False,hot people can do whatever they want and I love country music
Real Steel,07 Aug 2023,★★★★,False,"not a great movie but also a fucking awesome movie, you know?"
Barbie,02 Aug 2023,★★★★,False,Love the Greta Gerwig trope of does she love him? No not really!
Blaze Foley: Duct Tape Messiah,31 Jul 2023,★★★,False,
Whiplash,23 Jul 2023,★★★★½,False,
Karen Dalton: In My Own Time,16 Jul 2023,,False,
Asteroid City,02 Jul 2023,★★★★½,False,
Kurt Vonnegut: Unstuck in Time,29 Jun 2023,★★★★,False,
Talladega Nights: The Ballad of Ricky Bobby,26 Jun 2023,★★★★,False,
Bull Durham,25 Jun 2023,★★★★,False,
The Twilight Saga: Eclipse,22 Jun 2023,★,False,
"Yesterday, Today and Tomorrow",12 Jun 2023,★★★★,False,
The Graduate,11 Jun 2023,★★★★½,False,
"O Brother, Where Art Thou?",06 Jun 2023,★★½,False,
Cloudy with a Chance of Meatballs,21 May 2023,★★★★★,False,
Minions: The Rise of Gru,14 May 2023,★★★★,False,
Little Women,10 May 2023,★★★★,False,
The Super Mario Bros. Movie,07 May 2023,★★½,False,
Star Wars,04 May 2023,★★★★★,False,
Jerry Maguire,24 Apr 2023,★★★★,False,
Chef,21 Mar 2023,★★★★½,False,
Cocaine Bear,26 Feb 2023,★★★½,False,
Stranger with a Camera,20 Feb 2023,,False,
Minority Report,18 Feb 2023,★★★½,False,
Shutter Island,12 Feb 2023,★★★★,False,
The Kite,24 Jan 2023,★★★★½,False,
Guillermo del Toro's Pinocchio,20 Jan 2023,★★★★,False,
Puss in Boots: The Last Wish,14 Jan 2023,★★★★½,False,
M3GAN,10 Jan 2023,★★★★,False,
Glass Onion,25 Dec 2022,★★★★,False,
Planet FIFA,18 Dec 2022,★★★★★,False,
Night of the Living Dead,18 Dec 2022,★★★★,False,
Death Race 2000,04 Dec 2022,★★★,False,
Fiddlin',28 Nov 2022,★★★½,False,
Tombstone,23 Nov 2022,★★★★½,False,
The Lord of the Rings: The Return of the King,18 Nov 2022,★★★★★,False,
The Lord of the Rings: The Two Towers,18 Nov 2022,★★★★★,False,
The Lord of the Rings: The Fellowship of the Ring,18 Nov 2022,★★★★★,False,
The Witch,12 Mar 2022,★★★½,False,
Train to Busan,10 Mar 2022,★★★★★,True,
Nacho Libre,28 Feb 2022,★★★★★,False,
The Golden Coach,23 Feb 2022,★★,False,
Despicable Me,20 Feb 2022,★★★★★,False,
BlacKkKlansman,19 Feb 2022,,False,
In the Heat of the Night,06 Feb 2022,★★★★,False,
Little Manhattan,29 Jan 2022,★★½,False,
Stand by Me,21 Jan 2022,★★★★★,False,
Shrek,19 Jan 2022,★★★★,False,
I Am Legend,19 Jan 2022,★★★★½,False,
Stripes,17 Jan 2022,★★★,False,
Nancy Drew,17 Jan 2022,★★★★,False,
Spy Kids,16 Jan 2022,★★★★★,False,
True Grit,13 Jan 2022,★★★★½,False,
Psychokinesis,12 Jan 2022,★★,False,
The History of Future Folk,10 Jan 2022,★★★★½,False,
Fantastic Mr. Fox,07 Jan 2022,★★★★,True,
Tulips Shall Grow,07 Jan 2022,★★★★★,False,
Rushmore,04 Jan 2022,★★★★,False,
The Life Aquatic with Steve Zissou,01 Jan 2022,★★★★★,False,
The French Dispatch,31 Dec 2021,★★★½,False,
Don't Look Up,29 Dec 2021,★★★½,False,
Blade Runner,26 Dec 2021,★★★,False,
A Christmas Story,24 Dec 2021,★★★,False,
Emmet Otter's Jug-Band Christmas,22 Dec 2021,★★★★½,False,
Tremors,21 Dec 2021,★★★★,False,

Followers
anneliesesucks,carol4s,antsnmypants,steven_clarke,hayleyabigail,connello,lilyrspar,lilililicaplan,mallort,davidmovies123,hunterjulo,baizluhrmann,mcwilly,vgorbaty,nkc99,mjsnq,oliviaramseur,sophgilb,anyakisicki,csilvermanlloyd,emilybloom,dustintmorris,steviemovies,jwwarnock,lzwizard,jajaperson,notafanofthis,lensnq,morgmab,jmaren,sophiagusta,obijur,joshmarkowitz,adinact719,moviemoov,hgoodwinpier,sanisani,asiyaherrero,leslieolivo

Following
carol4s,anneliesesucks,connello,mcwilly,drilreviews,rockotar,hayleyabigail,mjsnq,baizluhrmann,davidmovies123,hunterjulo,sophgilb,anyakisicki,csilvermanlloyd,lilililicaplan,emilybloom,dustintmorris,steviemovies,jwwarnock,lzwizard,jajaperson,notafanofthis,lensnq,morgmab,jmaren
