Movie,Date Watched,Rating,Liked,Review
The Devil Wears Prada,11 Jan 2024,★★★★,False,
Saltburn,10 Jan 2024,★★★,False,
Cars 2,09 Jan 2024,★★½,False,
The Hunger Games: Mockingjay – Part 2,07 Jan 2024,★★★★½,False,if the hunger games has no stans i’m dead
The Hunger Games: Mockingjay – Part 1,07 Jan 2024,★★★★½,False,
The Hunger Games: Catching Fire,07 Jan 2024,★★★★★,False,
The Hunger Games,05 Jan 2024,★★★★★,True,Still literally the most genius amazing movie/story ever idec like i could rave for days idfc
Saltburn,04 Jan 2024,★★★,False,
The Boy and the Heron,19 Dec 2023,★★★★,False,
Halloween,31 Oct 2023,★★½,False,
Pulse,31 Oct 2023,★★½,False,
The Blair Witch Project,31 Oct 2023,★★★½,False,
Titane,13 Oct 2023,★½,False,Pussy Sludge did it better
Malignant,07 Oct 2023,★★★½,False,
The Bride of Frankenstein,04 Oct 2023,★★★,False,
Prisoners,29 Aug 2023,★★★½,False,dafuq
Animal Crossing: The Movie,28 Aug 2023,★★★★★,False,
Interstellar,25 Aug 2023,★★★★,False,
Fargo,08 Aug 2023,★★★★★,False,yeah?
Barbie,22 Jul 2023,★★½,False,
Oppenheimer,22 Jul 2023,★★★★,False,
2001: A Space Odyssey,20 Jul 2023,★★★½,False,
But I'm a Cheerleader,10 Jul 2023,★★★½,False,
Creep,03 Jul 2023,★★★½,False,
Ponyo,18 Apr 2023,★★★★★,False,Still the goat ♥️
Return of the Jedi,17 Apr 2023,★★★★,False,
The Empire Strikes Back,16 Apr 2023,★★★★,False,ugly yoda
Star Wars,16 Apr 2023,★★★★,False,
The Lighthouse,06 Mar 2023,★★★★,False,
Pumping Iron,06 Mar 2023,★★½,False,
The Grand Budapest Hotel,06 Mar 2023,★★★,False,
Everything Will Be OK,21 Jan 2023,★★★★,False,
Dead Man Walking,31 Dec 2022,★★★★½,False,
Avatar: The Way of Water,27 Dec 2022,★★★,False,A 3 hour-long PS4 cutscene
Glass Onion,26 Dec 2022,★★½,False,
Die Hard,26 Dec 2022,★★★★,False,
It's a Wonderful Life,26 Dec 2022,★★★★½,False,max cried
A Charlie Brown Christmas,24 Dec 2022,★★★★,False,
"I Love You, Man",18 Nov 2022,★★★★,False,
Who Framed Roger Rabbit,12 Nov 2022,★★★★½,False,
Alice in Wonderland,11 Nov 2022,★★★★½,False,
All Quiet on the Western Front,06 Nov 2022,★★★★,False,
The Fly,31 Oct 2022,★★★★½,False,
Funny Games,31 Oct 2022,★★★,False,
Creep,29 Oct 2022,★★★★,False,
Megamind,21 Oct 2022,★★★★★,False,He’s kinda hot
Ginger Snaps,17 Oct 2022,★★★★½,False,
Zindagi Na Milegi Dobara,16 Oct 2022,★★½,False,
The Shape of Water,13 Sep 2022,★★★★,False,
Parasite,11 Sep 2022,★★★★½,False,what the fuck bruh
Spirited Away,10 Sep 2022,,False,
The Green Ray,31 Aug 2022,★★★½,False,
Eternal Sunshine of the Spotless Mind,31 Aug 2022,★★★★½,False,
El Camino: A Breaking Bad Movie,30 Aug 2022,★★★½,False,
Mean Girls,26 Aug 2022,★★★★,False,
A Nightmare on Elm Street,22 Aug 2022,★★,False,
Knives Out,08 Aug 2022,★★★★,False,
Ponyo,07 Aug 2022,★★★★★,False,Still the goat ♥️
Spider-Man 3,04 Aug 2022,★★★★★,False,
Whisper of the Heart,04 Aug 2022,★★★★,False,
Marcel the Shell with Shoes On,29 Jul 2022,★★★★★,False,
Chungking Express,29 Jul 2022,★★★,False,
Possession,28 Jul 2022,★★★½,False,
RRR,28 Jul 2022,★★★★½,False,
