Movie,Date Watched,Rating,Liked,Review
Poor Things,10 Jan 2024,,False,"This one’s for the ladies, I think!"
"Synecdoche, New York",20 Oct 2023,,False,
Final Destination,20 Oct 2023,,False,
Team America: World Police,11 Sep 2023,,False,
Oppenheimer,23 Jul 2023,,False,"Maybe I have some character flaws, but I found this so incredibly boring that I started to fantasize about cleaning my apartment. These urges were so strong I left the theater early to go browse the Target two stories below and look at cleaning supplies while I waited for Oppenheimer to finish. "
Santorini Blue,22 Apr 2023,,False,
John Wick,02 Apr 2023,,False,
Casino,19 Mar 2023,★★★★★,False,
Spring Breakers,16 Mar 2023,,False,
36 Fillette,12 Mar 2023,,False,
RRR,06 Mar 2023,★★★★★,True,I don’t think I’ve seen something that was just straight up fun like this in a minute. 3 hours later and I’m still feeling fun.  I’m gonna watch it again rn
"Crouching Tiger, Hidden Dragon",02 Mar 2023,,False,
A Difficult Life,01 Mar 2023,,True,
Notorious,27 Feb 2023,,False,
After Hours,27 Feb 2023,★★★★,False,
Irreversible,26 Feb 2023,,False,
Blue Velvet,25 Feb 2023,,False,
The Addiction,21 Feb 2023,,False,
Arena Brains,15 Feb 2023,,False,
Soul Man,29 Jan 2023,,False,
Basket Case,29 Jan 2023,,False,
Chelsea on the Rocks,30 Dec 2022,,False,
His Girl Friday,26 Dec 2022,,False,
His Girl Friday,22 Dec 2022,,False,
Prisoner,13 Dec 2022,,False,
I'm Still Here,06 Dec 2022,,False,
Two Thousand Maniacs!,03 Dec 2022,,False,
Big Daddy,03 Dec 2022,,False,
Elvis,03 Dec 2022,,False,
That's My Boy,21 Nov 2022,,False,
"Hi, Mom!",20 Nov 2022,★★★★★,True,
Happiness,17 Nov 2022,,True,
Bad Lieutenant: Port of Call – New Orleans,13 Nov 2022,,False,
Bad Lieutenant,13 Nov 2022,,False,
Dead Ringers,11 Nov 2022,,False,
The Box,09 Nov 2022,,False,
Singin' in the Rain,09 Nov 2022,,False,
Barbarian,08 Nov 2022,,False,
The Philadelphia Story,02 Nov 2022,,False,
Monkey Business,30 Oct 2022,,False,
Bringing Up Baby,30 Oct 2022,,False,
Holiday,28 Oct 2022,,False,
The Awful Truth,27 Oct 2022,,False,
Anna,26 Oct 2022,,False,
Heaven Can Wait,24 Oct 2022,,False,
Carnal Knowledge,20 Sep 2022,,False,
Heat,02 Sep 2022,★★★½,False,
The Last of Sheila,30 Aug 2022,,False,"I do love a who dunnit where it’s absolutely impossible to figure it out as an audience member. Clues that mean absolutely nothing are crucial in these types of movies. I’m saying that as a lady who has watched every episode of Law and Order SVU twice, and therefore is good on picking up clues."
The Killing,29 Aug 2022,,False,This was like an episode of Law and Order SVU without the cops but where everything is made right in the end
Fury,25 Aug 2022,,False,All I know is this movie has been on like 20 hours.
Miller's Crossing,24 Aug 2022,,False,Pretty straight and cool.
Rich Kids,21 Aug 2022,,False,
Nothing But a Man,21 Aug 2022,,False,
In the Soup,20 Aug 2022,,False,
Stranger Than Paradise,18 Aug 2022,,True,
Barry Lyndon,16 Aug 2022,,False,
The Swimmer,11 Aug 2022,,False,
Deep Red,11 Aug 2022,,True,
Contempt,09 Aug 2022,★★★★,False,
Erin,07 Aug 2022,,False,
Tiny: The Life of Erin Blackwell,07 Aug 2022,,False,
Streetwise Revisited: Rat,07 Aug 2022,,False,
The Umbrellas of Cherbourg,07 Aug 2022,★★★½,False,"Hard mids. My moms favorite movie of all time, or so she claims, but I know for a fact she has better taste than that. The color in this was so good. I need a reminder every once in a while that wallpaper is the epitome of class. However, story was boring and the reason that isn’t okay in this particular instance is that it’s a musical. It should be fun and easy to find yourself into. But it wasn’t, and the ending was sad and hollow, but not in a way that made me feel. Very whatever"
Streetwise,06 Aug 2022,,False,
Buffalo '66,05 Aug 2022,★★★★,False," This is a movie I’d imagine has an entirely different viewing experience for men and women. I can see how it’d be easy to find Layla to be a passive character, and her demeanor towards Billy is so odd, especially when you consider that you know nothing about her. My only question was, what didn’t she want to go home to? If that was answered then I could have understood her attitude. Beneath all that though, there’s this tenderness she… "
Band of Outsiders,02 Aug 2022,★★★★★,True,I mean jeez
An Affair to Remember,31 Jul 2022,★★★★★,False,Epic poggers! I do love a good cruise ship love story. Two charming people surrounded by the vast ocean with no distractions.  The ending was a little silly… but not bad. I’d just never wait 6 months to see somebody again if I really loved them.
Man's Favorite Sport?,31 Jul 2022,,False,Should be titled “I don’t understand women”
Day Night Day Night,28 Jul 2022,,False,
Fargo,21 Jul 2022,★★★★★,False,
Minions: The Rise of Gru,14 Jul 2022,★★★★★,False,
The Warriors,15 Jun 2022,★★★★★,False,
The Brood,14 Jun 2022,,False,
Henry: Portrait of a Serial Killer,13 Jun 2022,★★★½,False,
The Funeral,12 Jun 2022,★★★★★,True,
Go Go Tales,12 Jun 2022,,False,
Welcome to New York,11 Jun 2022,,False,
Beyond the Valley of the Dolls,11 Jun 2022,★★★★★,False,
"Up, Down, Fragile",10 Jun 2022,,False,
Children of Darkness,10 Jun 2022,,False,
Wavelength,05 Jun 2022,★★★★★,False,
Life During Wartime,13 Mar 2022,★★★★★,False,
Palindromes,13 Mar 2022,,False,
Greetings,13 Mar 2022,,False,
"Diaries, Notes, and Sketches",22 Feb 2022,★★★,False,
C'mon C'mon,25 Jan 2022,★★★★,False,
Red Notice,02 Jan 2022,★★★★★,False,
The Girl Who Believes in Miracles,02 Jan 2022,,False,
And the Ship Sails On,27 Dec 2021,,True,
Taxi Driver,24 Dec 2021,★★★★★,False,
Never Talk to Strangers,24 Dec 2021,,False,
Fourteen,24 Dec 2021,,False,
Nights of Cabiria,20 Dec 2021,★★★★★,True,
Shadow of a Doubt,20 Dec 2021,★★★½,False,
Nashville,16 Dec 2021,,False,
Zeros and Ones,07 Dec 2021,★★★★★,False,
"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",06 Dec 2021,★★★★,False,
Gaslight,05 Dec 2021,★★★★★,False,
Dune,23 Nov 2021,★,False,
"tick, tick...BOOM!",19 Nov 2021,★★★★★,False,
Boyfriends and Girlfriends,13 Aug 2021,★★★★★,False,
Tommaso,05 Jul 2021,,False,
Ms .45,03 Jul 2021,,False,
The Warriors,02 Jul 2021,★★★★★,False,
Siberia,02 Jul 2021,★★★★,False,
The Projectionist,29 Jun 2021,★★★★★,True,
Who Framed Roger Rabbit,16 Jun 2021,★★★★★,True,
It Follows,12 Apr 2021,★★★★,False,
Skyscraper,10 Mar 2021,★★★★★,True,
Avengers: Endgame,15 Feb 2021,★★★★,False,
Avengers: Infinity War,12 Feb 2021,★★★★★,False,
Abigail's Party,03 Jan 2021,★★★★★,False,
Sullivan's Travels,01 Jan 2021,★★★★,False,
Soul,25 Dec 2020,★★★★★,False,
Election,25 Dec 2020,★★★½,False,
The Greatest Showman,21 Dec 2020,½,False,
The Lady Vanishes,12 Dec 2020,★★★½,False,
The Lady Eve,11 Dec 2020,★★★★★,True,
The Player,10 Dec 2020,★★★★★,False,
The Driller Killer,04 Dec 2020,★★★★★,False,
Persona,04 Dec 2020,★★★★★,False,
Belle de Jour,25 Oct 2020,★★★★★,False,
Ghost World,05 Oct 2020,★★★,False,
Beyond the Valley of the Dolls,22 Sep 2020,★★★★★,False,
