Movie,Date Watched,Rating,Liked,Review
Transformers: Rise of the Beasts,15 Jan 2024,★★,False,"Dude went from singing and dancing in Washington Heights, to using Pete Davidson’s dick as his weapon to take down a big unicorn. W.A.T.T.B.A."
Pink Floyd: The Wall,15 Jan 2024,★★★★½,True,Pure beauty
Arctic,14 Jan 2024,★★★½,True,"What can’t this man accomplish? Time to put him in either the Sahara, the Amazon or the Congo. Or all of them and just make it a franchise called “Insert Location: Survival”"
Fire of Love,14 Jan 2024,★★★★½,True,Nature is the most beautiful form of art in the world!!!
Pacific Rim,13 Jan 2024,★★★,True,"Started out really fun but petered out with over complex dialogue and explanation of what’s going on. Which of course is sorta needed in these but it felt just a bit too much. CGI was dope though, had me shouting at my tv"
Anima,13 Jan 2024,★★★★★,True,Just beautiful! So much of it reminded me of George Orwell and Philip Dick. Highly recommend you watch this in a alternate state of mind
The Curse,13 Jan 2024,★★★★★,True,Hooooooooooly shit. What a journey this show was
Self Reliance,12 Jan 2024,★★★½,True,Good fun family movie
Echo,11 Jan 2024,★★½,True,Pointless but yet somewhat decent. I watched it solely to see what their M rating is and it ain’t much. Alaqua Cox is cool tho
The Assistant,11 Jan 2024,★★★★,True,"Felt the urge to watch another one of Green’s movies after Royal Hotel. Really loved this, one of those kind of stories where if you know, you know and if you don’t, you’re lucky. Big fan of stuff like this and Garner’s performance as well"
The Royal Hotel,10 Jan 2024,★★★½,True,Really wanted just a little bit more from this but still enjoyed it. Felt it coulda been a touch scarier and/or longer
Pete Davidson: Turbo Fonzarelli,09 Jan 2024,★★★½,True,Started really good but just petered out the further it went. Idk maybe was just cause the jokes were long ones that he’d linger on
Society of the Snow,08 Jan 2024,★★★★★,True,
Babylon,07 Jan 2024,★★★★,True,
The Truman Show,07 Jan 2024,★★★★★,True,
How to Have Sex,06 Jan 2024,★★★★,True,
Captains of the World,06 Jan 2024,★★★★★,True,
Beasts of the Southern Wild,05 Jan 2024,★★★★½,True,
Once Upon a Time… in Hollywood,05 Jan 2024,★★★★★,True,
The Diplomacy of the Eclipse,04 Jan 2024,★★★★,True,
Nowhere,03 Jan 2024,★★★★,True,
Saltburn,02 Jan 2024,★★,False,
Dave Chappelle: The Dreamer,01 Jan 2024,★★★★,True,
Chicken Run,31 Dec 2023,★★★★½,True,
Teenage Mutant Ninja Turtles: Mutant Mayhem,31 Dec 2023,★★★★★,True,
The Lord of the Rings: The Return of the King,30 Dec 2023,★★★★★,True,
Glory,30 Dec 2023,★★★★,True,
Quiz Lady,29 Dec 2023,★★★½,True,
Poor Things,29 Dec 2023,★★★★★,True,
The Lord of the Rings: The Two Towers,28 Dec 2023,★★★★★,True,
The Death of Stalin,28 Dec 2023,★★★★½,True,
The Promised Land,27 Dec 2023,★★★★,True,
Ricky Gervais: Armageddon,26 Dec 2023,★★★★,True,
Maestro,26 Dec 2023,★★★★,True,
The Night Before,25 Dec 2023,★★★½,True,
The Iron Claw,25 Dec 2023,★★★★½,True,
Dream Scenario,24 Dec 2023,★★★★★,True,
