Movie,Date Watched,Rating,Liked,Review
The Fabelmans,30 Dec 2022,★★★★½,False,Love how a Best Picture contender this year has a sexy shirtless beach volleyball scene and it isn’t the Top Gun sequel
Avatar: The Way of Water,25 Dec 2022,★★★★½,False,Jewish Christmas: saw this & then got Chinese takeout
After Yang,24 Dec 2022,★★★½,False,
Glass Onion,23 Dec 2022,★★★★,False,"You wonder ""wait Janelle Monáe is decent enough in this but why is she getting Oscar buzz?"" and then halfway in you realize"
Elvis,17 Dec 2022,★★½,False," Movies that end with the two main characters finally separating and one of them reminiscing on the past while a cover of Unchained Melody plays, ranked1. Booksmart2. ElvisMaybe the fastest I’ve decided this is a ""oh, it’s that kind of movie"" movieBaz Luhrmann’s entire direction to Tom Hanks consisted of ""Say the words ""Santa Claus"" more""You have to applaud this movie for making choices. They usually aren't very good, but at least it makes them… "
The Banshees of Inisherin,13 Dec 2022,★★★½,False,"Something about this never *quite* clicked for me. It's been long enough that I can't remember what exactly that was, but just didn't connect like I have with the other McDonagh works I've seen. Actors are great, but that really goes without saying. I wish it was funnier overall (the one big laugh moment I got was the bread van joke), and/or I knew enough about Irish history to get the parts of the analogy that went over my head. Jenny for every award"
See How They Run,09 Dec 2022,★★★,False,Legends tell of a day when my Letterboxd will be up to date
"Say Hey, Willie Mays!",23 Nov 2022,★★★★,False,
TÁR,21 Nov 2022,★★★★½,False," It's Oscar week, that means it's also ""post my reviews of competitors that I watched four months ago"" weekUnfortunately the trouble with this is you forget everything you thought about the movieAnyway, not only is this a great film on the surface, there's so much here I missed until reading stuff about it later on: the girls in the massage parlor arranged like an orchestra at the end with the one who she locks eyes with being in… "
The People We Hate at the Wedding,20 Nov 2022,★★,False,"I mean...this *could* have been good. The first 20-ish minutes are funny, there's good people involved in it. There's really not much else to say except that it somehow feels cut down from a better movie and also too long"
Ernest & Celestine,13 Nov 2022,★★★★½,False," Man I had some funny jokes about this one I forgotDid they literally get charged with one count of being a bear and one count of being an accessory to being a bear???Good to see the city from Flushed Away still getting workYou can totally tell this was adapted from a picture book (in the best way)The mice represent Jews, I will not be elaborating (Ernest is the Roma)Lot of Peanuts vibes in the art… "
Moonrise Kingdom,16 Sep 2022,★★★★,False,i like Wes Anderson and also my Letterboxd backlog is so long I've forgotten all my thoughts about this movie
Caddyshack,31 Jul 2022,★★★½,False,"""I watched this a while ago but haven't logged it until now"", part 5 of who cares at this point"
Official Competition,02 Jul 2022,★★★½,False,"""I watched this a while ago but haven't logged it until now"", part 4 of...8? I've really fallen into this backlog"
Everything Everywhere All at Once,30 Jun 2022,★★★★,False,
Dinner in America,19 Jun 2022,★★★½,False,
Top Gun: Maverick,04 Jun 2022,★★★★½,False,
Grand Piano,19 May 2022,★★,False,
Petite Maman,04 May 2022,★★★★,False,
Ratatoing,26 Mar 2022,,False,
The Godfather,24 Mar 2022,★★★★★,False,
Dune,22 Mar 2022,★★★★,False,
Belfast,22 Mar 2022,★★★½,False,
Broadcast News,20 Mar 2022,★★★★,False,
Nightmare Alley,06 Mar 2022,★★★½,False,
The Worst Person in the World,04 Mar 2022,★★★★,False,
Take and Run,03 Mar 2022,★★★★,False,
The Long Goodbye,03 Mar 2022,★★★,False,
The Dress,03 Mar 2022,★★★½,False,
Please Hold,03 Mar 2022,★★½,False,
On My Mind,03 Mar 2022,★★★★,False,
The Italian Job,25 Feb 2022,★★★★½,False,
Drive My Car,09 Feb 2022,★★★★★,False,
Tower,30 Jan 2022,★★★★½,False,
The Thin Man,19 Jan 2022,★★★★,False,
The Mitchells vs. The Machines,16 Jan 2022,★★★★,False,
Boy & the World,16 Jan 2022,★★★★,False,
Batman: Under the Red Hood,15 Jan 2022,★★★,False,
The French Dispatch,14 Jan 2022,★★★★,False,
The Suicide Squad,09 Jan 2022,★★★½,False,
Minari,09 Jan 2022,★★★★½,False,
Redline,08 Jan 2022,★★★★,False,
Straight Time,02 Jan 2022,★★★½,False,
Plan B,02 Jan 2022,★★★★,False,
Don't Look Up,28 Dec 2021,★★½,False,
Licorice Pizza,25 Dec 2021,★★★★,False,
Boiling Point,24 Dec 2021,★★★★,False,
Shiva Baby,22 Dec 2021,★★★★,False,
Spider-Man: No Way Home,21 Dec 2021,★★★½,False,
The Power of the Dog,20 Dec 2021,★★★★½,False,
West Side Story,19 Dec 2021,★★★★,False,
Last Night in Soho,05 Dec 2021,★★½,False,
Batman Returns,04 Dec 2021,★★★½,False,
King Richard,24 Nov 2021,★★★½,False,
"tick, tick...BOOM!",13 Nov 2021,★★★★½,False,
Scream,22 Oct 2021,★★★★,False,
61*,18 Jul 2021,★★½,False,
In the Heights,13 Jun 2021,★★★★★,False,
Clue,04 Jun 2021,★★★★½,False,
Beavis and Butt-Head Do America,04 Jun 2021,★★★,False,
Nobody,02 May 2021,★★★,False,
Sound of Metal,20 Apr 2021,★★★★½,False,
The Father,20 Apr 2021,★★★★½,False,
Judas and the Black Messiah,19 Apr 2021,★★★★,False,
Tenet,17 Apr 2021,★★★,False,
Eurovision Song Contest: The Story of Fire Saga,17 Apr 2021,,False,
Yes-People,16 Apr 2021,★★½,False,
If Anything Happens I Love You,16 Apr 2021,★★★½,False,
Opera,16 Apr 2021,★★★★,False,
Genius Loci,16 Apr 2021,★★★,False,
Burrow,16 Apr 2021,★★★★½,False,
Love and Monsters,10 Apr 2021,★★★½,False,
One Night in Miami...,10 Apr 2021,★★★★½,False,
Another Round,09 Apr 2021,★★★★½,False,
The January Man,08 Apr 2021,★,False,
News of the World,05 Apr 2021,★★½,False,
Feeling Through,04 Apr 2021,★★★½,False,
White Eye,04 Apr 2021,★★★,False,
The Present,04 Apr 2021,★★★½,False,
The Letter Room,04 Apr 2021,★★★★,False,
Blankman,28 Mar 2021,★★½,False,
Dog Day Afternoon,26 Mar 2021,★★★★★,False,
Sneakers,21 Mar 2021,★★★★,False,
The Sting,19 Mar 2021,★★★★,False,
Bonnie and Clyde,15 Mar 2021,★★★★,False,
Magic Men,09 Mar 2021,★★★,False,
Say Anything...,21 Feb 2021,★★★★,False,
Hiroshima Mon Amour,14 Feb 2021,,False,
Chinatown,12 Feb 2021,★★★★★,False,
Rebecca,07 Feb 2021,★★★★,False,
Four Weddings and a Funeral,06 Feb 2021,★★★★½,False,
Good Morning Son,02 Feb 2021,★★★½,False,
Scooby-Doo! and the Witch's Ghost,31 Jan 2021,★★★★,False,
The Trial of the Chicago 7,17 Jan 2021,★★★,False,
Ma Rainey's Black Bottom,16 Jan 2021,★★★½,False,
Blood Simple,11 Jan 2021,★★★★,False,
I'm Your Woman,31 Dec 2020,★★★,False,
Soul,25 Dec 2020,★★★★,False,
"Standing Up, Falling Down",23 Dec 2020,★★★½,False,
Mister Roberts,20 Dec 2020,★★★★,False,
Sexy Beast,16 Dec 2020,★★★★½,False,
What the Constitution Means to Me,11 Dec 2020,★★★,False,
Ed Wood,06 Dec 2020,★★★★,False,
Mank,04 Dec 2020,★★★,False,
"Planes, Trains and Automobiles",26 Nov 2020,★★★★,False,
The Untouchables,15 Nov 2020,★★★,False,
Thunderball,08 Nov 2020,★★½,False,
Mean Streets,27 Oct 2020,★★★½,False,
Halloween,17 Oct 2020,★★★★,False,
Cooties,04 Oct 2020,★★★,False,
Fast Times at Ridgemont High,13 Sep 2020,★★★,False,
Stone Cold,28 Aug 2020,★★★½,False,
Hustlers,22 Aug 2020,★★★★,False,
Blow the Man Down,16 Aug 2020,★★★,False,
Vox Lux,09 Aug 2020,★★★,False,
Palm Springs,05 Aug 2020,★★★★,False,
Bad Education,18 Jul 2020,★★★★,False,
Hamilton,07 Jul 2020,★★★★½,False,
"Sherlock, Jr.",28 Jun 2020,★★★½,False,
Sunset Boulevard,28 Jun 2020,★★★★★,False,
The Artist,27 Jun 2020,★★★★½,False,
Irresistible,26 Jun 2020,★★,False,
The King of Staten Island,25 Jun 2020,★★★★,False,
"Steamboat Bill, Jr.",14 Jun 2020,★★★★,False,
Da 5 Bloods,13 Jun 2020,★★★★½,False,
