Movie,Date Watched,Rating,Liked,Review
Pulp Fiction,11 Jan 2024,★★★½,True,"""I'm tryin' real hard to be the shepherd."""
Little Odessa,11 Jan 2024,★★★,True,"""Aren't you gonna say anything?"""
Reservoir Dogs,11 Jan 2024,★★★★½,True,"""Motherfucker, I'm trying to watch the lost boys!"""
The War Zone,10 Jan 2024,★★★★,True," ""For my Father""felt very unsure the whole way through but by the end i decided i loved this.recreates the feeling of a scream that needs to be let out so perfectly. i think the moral debates surrounding this arent surprising but are often uneducated. id say i agree with some of the ethical problems with depicting it so clearly but also... who are we to tell a survivor his depiction is wrong? this isnt real, its a movie,… "
The Holdovers,09 Jan 2024,★★★★★,True,
Brokeback Mountain,01 Jan 2024,★★★★★,True,played stardew valley the whole time to be immersed
Oppenheimer,30 Dec 2023,★★★★,True,
Poor Things,30 Dec 2023,,True,hi i loved this but i just got wisdom tooth removal like 3 or 4 days ago and the painkillers REALLY kicked in around the 3rd act. i was wearing a super nice coat and i was eating something solid for the first time and the movie was so pretty that i started dozing (i knew what was going on but my eyes were closed) so listen im gonna review this later. very good lived up to my own hype
The Prince of Egypt,23 Dec 2023,★★★★★,True,
American Psycho,18 Dec 2023,★★★★★,True,"read the book again, watched the movie again, merry christmas! and to all timothy price/bryce fans, your positive affirmations! spoilers for the book below"
After Hours,16 Dec 2023,★★★★★,True,"""I'll probably get blamed for that."""
Everything Everywhere All at Once,16 Dec 2023,★★★★★,True,"""I don't know, I just talked to her."""
Inglourious Basterds,15 Dec 2023,★★★★½,True,
Zodiac,15 Dec 2023,★★★★★,True,HE MADE A MISTAKE
Pleasantville,12 Dec 2023,★★★½,True,
Leave the World Behind,10 Dec 2023,★★★★,True," ""Your daughter watches that show?""""Watches is too weak of a word. More like she worships it.""sam esmail wrote that line about me and mr robot, which - for the uninitiated - is my favorite thing ever created. sorry to like. the illiad. or whatever.so safe to say i loved this :)a gut punch ending with despair and sincerity paired together is something esmail is very good with. though he has very few directed/written projects under his… "
The Room,07 Dec 2023,★★★★★,True,the suicide into sexy r&b song is what makes this The most movie
Dream Scenario,03 Dec 2023,★★★½,True,
Home Alone,02 Dec 2023,★★★★½,True,
The Wolf of Wall Street,29 Nov 2023,★★★★★,True,
The Wolf of Wall Street,28 Nov 2023,★★★★½,True,
Fargo,27 Nov 2023,★★★★,True,
First Man,26 Nov 2023,★★★½,True,
The Holdovers,26 Nov 2023,★★★★½,True,
Gremlins 2: The New Batch,25 Nov 2023,★★★★½,True,
GoodFellas,24 Nov 2023,★★★★★,True,
Hereditary,22 Nov 2023,★★★★★,True,
The Godfather,22 Nov 2023,,True,
Vampire's Kiss,21 Nov 2023,★★★½,True,
The Killing of a Sacred Deer,20 Nov 2023,★★★★,True,
Lars and the Real Girl,20 Nov 2023,★★★★½,True,
La La Land,17 Nov 2023,★★★★★,True,
Priscilla,12 Nov 2023,★★★½,True,
Loki,11 Nov 2023,★★★★½,True,
The Social Network,10 Nov 2023,★★★★★,True,
Twin Peaks: Fire Walk with Me,04 Nov 2023,★★★★★,True,
The Big Short,02 Nov 2023,★★★,False,
Mulholland Drive,01 Nov 2023,,True,
Blue Velvet,31 Oct 2023,★★★★★,True,
Dead of Night,29 Oct 2023,★★★★,True,
Killers of the Flower Moon,29 Oct 2023,★★★★★,True,
Evil Dead Rise,28 Oct 2023,★★★★½,True,
Five Nights at Freddy's,28 Oct 2023,★★,False,
Alien,27 Oct 2023,★★★★½,True,
Hell Night,25 Oct 2023,,False,
