Movie,Date Watched,Rating,Liked,Review
Saltburn,13 Jan 2024,,False,
Felicity: An American Girl Adventure,11 Jan 2024,★★★½,False,this movie was objectively terrible but subjectively so iconic
The Princess Bride,11 Jan 2024,★★★★,False,
Carol,27 Dec 2023,,False,
Fantastic Mr. Fox,26 Dec 2023,★★★★,True,it's just so beautiful 🥲
Fantasia,26 Dec 2023,★★★½,False,
Hannah Waddingham: Home for Christmas,25 Dec 2023,,False,
National Lampoon's Christmas Vacation,24 Dec 2023,★★★★,False,
A Christmas Carol,24 Dec 2023,,False,
The Muppet Christmas Carol,24 Dec 2023,,False,
The Boy and the Heron,20 Dec 2023,★★★★,True,gonna make all my friends watch this so they stop making fun of me for being scared of birds
Spirited,19 Dec 2023,,False,
The Family Plan,18 Dec 2023,,False,
The Night Before,14 Dec 2023,★★★★,False,this was so stupid but it didn't need to be anything more! plus a bonus star for watching this with my swim team #bonding #family
Home Alone,06 Dec 2023,★★★★,False,every year i forget how evil this kid is... like it's giving future psychopath 🫣
Scott Pilgrim vs. the World,23 Nov 2023,★★★★½,True,classic movie for thanksgiving oop!! so iconic that my entire family enjoys this tbh
A Charlie Brown Thanksgiving,23 Nov 2023,★★★½,False,
The Marvels,22 Nov 2023,,False,
Parasite,16 Nov 2023,,False,
Kiki's Delivery Service,16 Nov 2023,,False,
Tomorrow,08 Nov 2023,,False,
Donnie Darko,01 Nov 2023,★★★½,False,Who was gonna tell me that Ashley Tisdale was in this I-
Barn Burning,30 Oct 2023,,False,
Nope,28 Oct 2023,★★★★,True,
Fantastic Mr. Fox,28 Oct 2023,★★★★,True,it's just so beautiful 🥲
Palm Springs,24 Oct 2023,,False,
Howl's Moving Castle,22 Oct 2023,★★★★,True,
The Haunted Mansion,13 Oct 2023,★★★,False,
Air,05 Oct 2023,,False,
Dead Poets Society,29 Sep 2023,,False,
Sky High,24 Sep 2023,★★★★★,False,
Guardians of the Galaxy Vol. 3,20 Aug 2023,,False,
TÁR,12 Aug 2023,★★★½,False,i don't believe in the glorification of lydia tár. i do believe in the empowerment of women.
The Night of the 12th,12 Aug 2023,★★★½,False,"simultaneously fascinated and freaked out by this film... really I just wanna know what the director's motives were as a man making a film about femicide because it shows at times, but it doesn't entirely lack nuance either"
Chevalier,12 Aug 2023,,False,
Aftersun,21 Jul 2023,★★★★★,True,
