Movie,Date Watched,Rating,Liked,Review
Rotting in the Sun,13 Jan 2024,★★★,False," Having spent time in this corner of gay life before, I certainly recognise the vacuous, image obsessed, constantly bitchy community of people with poor impulse control and no boundaries who are full of contempt for others and steeped in self hatred. I found this really fun, I like that it’s steeped in a world you don’t get to see in films very often & that it really honours the norms and manners of the people involved even while mocking them. This… "
Shiva Baby,11 Jan 2024,★★★½,False,"Extremely stressful, smart about a certain kind of sex work & pos client, my god when they’re all literally grabbing and pecking at her. So claustrophobic and up close. Rachel Sennott, I am devoted to her."
Priscilla,09 Jan 2024,★★★★,True," Soft and subtle, the material preoccupations of Priscilla’s life are made tangibly present through gorgeous visual storytelling and a great soundtrack. The toes in the shag; the eyelashes before birth; the shoes just a tad too big, balancing on the thick carpet. Such a damning condemnation on the paedophilic grooming of young girls and so gently, lushly and carefully done. I found myself wondering how this had been allowed to happen, thinking up excuses to explain why all these adults allowed… "
All the Beauty and the Bloodshed,07 Jan 2024,★★★★,True,Watching this immediately after having read Patrick Radden Keefe really helped drive my feelings of enormous rage and disgust toward the Sackler family.
Elevator to the Gallows,05 Jan 2024,★★★★,False,"Jeanne Moreau, most beautiful woman ever invented."
Maestro,31 Dec 2023,★★★,False," I appreciate that Bradley makes such personal films.Weirdly coy about Bernstein’s sexuality and completely disinterested in the socio-political contexts shaping Lenny’s relationship to his (public) queerness. Frustratingly reliant on a depiction of Bernstein’s gay relationships as somewhat predatory and seemingly oblivious to why a 1970s beard marriage might feel more constraining than it did in the 1950s! Also strangely disinterested in Lenny as an artist, his talents operate mostly as a narrative device rather than independently interesting. Like the tv interview with Ed… "
A Haunting in Venice,15 Dec 2023,★★★,False,I respect that Branagh is now committed to making solid 3-star entertainments that are a fun evening out at the cinema.
Barbie,14 Dec 2023,★★,False,This movie is stupid and actively skipping the fawning glorification of it in the summer was an excellent decision.
The Birdcage,13 Dec 2023,★★★,False,"Nathan Lane, Robin Williams - Fosse! Fosse! Fosse! - I mean so much of this is iconic and special and stagey camp. But I found it a hard rewatch, Armand and Albie participating in this farce is more distressing than comical and there’s not enough outlet for the anger I feel as an audience. "
Anatomy of a Fall,09 Dec 2023,★★★★★,True," The flashback to Sandra and Samuel’s intense, eventually violent fight is one of the best conversation scenes I have seen on film in years. The scripting, the performance, the honest truth of contemporary male heterosexuality. It slowly draws out who the dead man was: his preoccupations, his fixations, his bitternesses, his resentment, his weakness, his shame, his arrogance, his laziness. Into view comes the man who would selfishly, pathetically, commit suicide rather than face who he really was or the… "
May December,07 Dec 2023,★★★★,True,
Saltburn,07 Dec 2023,★,False," Saltburn is a terrible film. While it’s worth it for naked dancing Barry Keoghan and his gorgeous dick, the fact that this is the payoff and it knows it's the payoff is another example of how the film is bad. It’s a sophomore feature film, why is the ending on par with a student produced music video? It was very fun to drive home after the screening blasting Sophie Ellis-Bextor.There’s an early scene at Oxford featuring a disdainful discussion… "
The Killer,03 Dec 2023,★★,False,
NYAD,01 Dec 2023,★★,False,
Focus,26 Nov 2023,★★★,False,
The Talented Mr. Ripley,21 Nov 2023,★★★,True,"I love the way this film shows Tom going mad when faced up close with the boundless wealth and freedom of the ruling classes. The terrible and deranged things he does aren’t excused but there’s a sense that well, look at all that money and beauty and opportunity - are you surprised? Gorgeous Matt Damon performance."
Mona Lisa Smile,19 Nov 2023,★★★,False,
Die Hard 2,17 Nov 2023,★★★,False,
Bottoms,07 Nov 2023,★★★½,False,
The Aviator,05 Nov 2023,★★★,False,
Casino,04 Nov 2023,★★★★★,True,
JFK,04 Nov 2023,★,False,
The Fortune Cookie,04 Nov 2023,★★,False,
The Taking of Pelham One Two Three,02 Nov 2023,★★★★,True,
What Women Want,01 Nov 2023,★★,False,
"One, Two, Three",25 Oct 2023,★★★★,False,
Capote,24 Oct 2023,★★★,False,
Die Hard,23 Oct 2023,★★★★,False,
Hope Floats,22 Oct 2023,★★★,False,
Killers of the Flower Moon,21 Oct 2023,★★★★★,True,
Poolman,13 Oct 2023,★,False,
A Personal Journey with Martin Scorsese Through American Movies,08 Oct 2023,★★★★,True,
