Movie,Date Watched,Rating,Liked,Review
Terrorizers,22 Apr 2021,★★★★★,False,
An Elephant Sitting Still,09 Apr 2021,★★★★★,True,
Minari,10 Jan 2021,★★★★½,False,
Soul,10 Jan 2021,★★★★,False,
Memories of Murder,03 Jan 2021,★★★★,False,
"Comrades, Almost a Love Story",02 Jan 2021,★★★★★,True,I feel like my rational self would simply give this a 4.5 but let me tell you I swooned so hard and enjoyed this much more than I thought it would. 
Children of Men,01 Jan 2021,★★★½,False,
Y Tu Mamá También,01 Jan 2021,★★★★★,True,
"I'm Drunk, I Love You",26 Apr 2020,★★★★,False,
Lady Bird,25 Apr 2020,★★★★★,True,Bumped up to a five stars.
From Up on Poppy Hill,22 Apr 2020,★★★★,False,
Ocean Waves,07 Apr 2020,★★★★½,False,
Pain and Glory,15 Jan 2020,★★★★★,True,"A brilliant, deeply personal character study that never felt self-congratulatory in its telling. Always a sucker for reflective films."
Whisper of the Heart,14 Jan 2020,★★★★★,False,
Phantom Thread,14 Jan 2020,★★★,False,
Before Sunset,13 Jan 2020,★★★★★,True,
Before Sunrise,13 Jan 2020,★★★★★,True,
Three Colours: Blue,09 Jan 2020,★★★★½,True,all i can say is: juliette. binoche. 
Certified Copy,08 Jan 2020,★★★★★,True,how do i give this film 10 stars out of 5
The Wind Rises,07 Jan 2020,★★★★,False,
When Marnie Was There,06 Jan 2020,★★★★,False,
Notting Hill,03 Jan 2020,★★★★,False,
Before Midnight,03 Jan 2020,★★★★★,True,
Before Sunset,29 Dec 2019,★★★★★,True,
Before Sunrise,29 Dec 2019,★★★★★,True,
Before Midnight,28 Dec 2019,★★★★★,True,
Before Sunset,28 Dec 2019,★★★★★,True,
Before Sunrise,28 Dec 2019,★★★★★,True,
Us,25 Dec 2019,★★½,False,"more funny than scary, next."
It's a Wonderful Life,24 Dec 2019,★★★★,True,
A Separation,23 Dec 2019,★★★★★,True,
Portrait of a Lady on Fire,22 Dec 2019,★★★★★,True,"Adele and Noemi tread the balance between calm and tension perfectly throughout the film. I caught myself carefully watching the details, as if I myself were tasked to paint a portrait as I was watching the movie."
Avengers: Endgame,25 Apr 2019,★★★★,False,
Inception,20 Apr 2019,★★★★,False,
Before Sunset,04 Mar 2019,★★★★★,True,
Before Sunrise,03 Mar 2019,★★★★★,True,
Shoplifters,15 Feb 2019,★★★★★,True,"It warms your heart and tears it apart. Ultimately, leaving one with fragments of hope that one may or may not realize. "
Dear Ex,05 Feb 2019,★★★★½,False,"Have you ever just randomly picked up a book, knowing nothing about it, then just being pleasantly surprised throughout the experience of reading it?"
Velvet Buzzsaw,05 Feb 2019,★★★½,False,
The Breakfast Club,04 Feb 2019,★★★★½,False,
Still Walking,04 Feb 2019,★★★★★,True,
In the Mood for Love,03 Feb 2019,★★★★★,True,
A Brighter Summer Day,02 Feb 2019,★★★★★,True,Have you ever encountered a film that just left you in awe? floored you? a bubble of overwhelming emotions waiting to burst? 
Yi Yi,28 Jan 2019,★★★★★,True,Still perfect.
Never Let Me Go,27 Jan 2019,★★★★,False,
The Tale of the Princess Kaguya,27 Jan 2019,★★★★½,False,
Whisper of the Heart,26 Jan 2019,★★★★½,False,
Only Yesterday,23 Jan 2019,★★★★½,False,
Annihilation,12 Jan 2019,★★★★,False,
Happy as Lazzaro,09 Jan 2019,★★★★★,True,
Punch-Drunk Love,07 Jan 2019,★★★★,False,
Cold War,07 Jan 2019,★★★★★,True,
Private Life,06 Jan 2019,★★★★,False,
Roma,06 Jan 2019,★★★★½,True,
Burning,06 Jan 2019,★★★★★,True,

Followers
venicebellincan,harshakun,vivideo,ros3s_13,brunospeaknow,dschnozz1714,oroc,kmctio,marymichelle,dubu1001,sarahilliyana,anothersunnyday,cecilywatches,jhcarrillo86,ghoullog,snigdha,sanhwaslove,johnlewis4326,jaden2798,goldenpaco21,wenefreds,thiefiery,thriftedyouth,rajatpal,1filminportresi,patrickmartin,mi_mou31,sanriel,kim_macdon,intj,harsha_h_g,mikobiong,marvcreyes,erinjayne,jasonrcf,joaquinmerc,unardent,k_rt,dayanlikesfilms,delapenakatrina,marcjoshualo,cinemayola,rianeokiza,lemongaab,kintosh,partehkitkat,hobbit_guy,bushwick,lak_sivrak,chayan,hawkastu,ginsonza,cinephileiggy,jorelcortel,basharmousa,petros4cy,omgjaye,dan_felix,yunusaydn53,animaldoctor,twocineasts,tin_can,punkmunk929,itsyuhenyo,dennynotdeeny,therunawayjar,diiiiogorocha,berkv,syaoran,allisoncm,doviathan,nickgilham,filmdispenser,danielscalph,hzbokonon,smogtown,shivsshow,monde__,kevinuy95,dominique_sy

Following
postcardsbyelle,cecilywatches,patrickmartin,mikobiong,jasonrcf,marymichelle,daveedmonks,unardent,k_rt,dreyuhsanchez,dayanlikesfilms,marcjoshualo,danacstro,rianeokiza,partehkitkat,kintosh,bushwick,chayan,ginsonza,hobbit_guy,lemongaab,cinemayola,lak_sivrak,freepressncurl,filmgurlthot
