Movie,Date Watched,Rating,Liked,Review
Five Nights at Freddy's,07 Jan 2024,★½,False,
May December,05 Jan 2024,★★★★,False,
Dungeons & Dragons: Honor Among Thieves,03 Jan 2024,★★★½,False,short king lenny bernstein 🤏
Maestro,01 Jan 2024,★★★★,False,ok carey mulligan first of all what the fuck
The Killer,01 Jan 2024,★★★½,False,
The Iron Claw,28 Dec 2023,★★★★★,True,favorite of the year
Poor Things,21 Dec 2023,★★★★,False,every single mf is just down horrendous in this
Leave the World Behind,18 Dec 2023,★★★,False,"Julia Roberts with cinema's most accurate representation of ""marketing-exec-working-mostly-on-client-relationships"" that I have ever seen"
The Super Mario Bros. Movie,09 Dec 2023,★★½,False,did yoshi dirty fr
The Boy and the Heron,09 Dec 2023,★★★½,False,Miyazaki's Beau Is Afraid
Prometheus,03 Dec 2023,★★★★½,True,better with age <3
Renaissance: A Film by Beyoncé,02 Dec 2023,★★★★★,False,"No one in history has ever been more successful at executing a creative vision than Beyonce, and no one else has possesed the combined talent, work ethic, and charisma necessary to back up the fact that she is undeniably our greatest living performer and one of our greatest artists. In terms of contemporaries, I think she places with Da Vinci, Picasso, and The Beatles but I truly think that is underselling it because she does it all and then some."
Napoleon,25 Nov 2023,★★★½,False,haven't laughed harder in a movie theater all year
Anatomy of a Fall,11 Nov 2023,★★★★½,False,most sane french trial ever
Pacific Rim,05 Nov 2023,★★★★,True,still bangs
Priscilla,03 Nov 2023,★★★½,False,
House,31 Oct 2023,★★★★½,True,
The Exorcist,28 Oct 2023,★★★★½,False,
Killers of the Flower Moon,21 Oct 2023,★★★★★,True,
Taylor Swift: The Eras Tour,14 Oct 2023,★★★,False,
War of the Worlds,13 Oct 2023,★★★½,False,
Prey,09 Oct 2023,★★★★,True,
Predator,08 Oct 2023,★★★★½,True,
The Human Voice,07 Oct 2023,★★,False,
Strange Way of Life,07 Oct 2023,★★,False,
The Fly,06 Oct 2023,★★★★,False,
The Infernal Cauldron,06 Oct 2023,,False,
Nian,01 Oct 2023,,False,
The Creator,29 Sep 2023,,False,
Stop Making Sense,24 Sep 2023,★★★★★,True,
The Devil Wears Prada,23 Sep 2023,★★★★,True,
Miami Vice,26 Aug 2023,★★★★½,True,
The Virgin Suicides,25 Aug 2023,★★★½,False,
Heat,20 Aug 2023,★★★★★,True,
Meg 2: The Trench,12 Aug 2023,★½,False,
Talk to Me,12 Aug 2023,★★★½,False,
Princess Mononoke,09 Aug 2023,★★★★★,True,
Rain Man,07 Aug 2023,★★★½,False,
Oppenheimer,30 Jul 2023,★★★★★,True,
No Hard Feelings,26 Jul 2023,★★★,False,
BEEF,23 Jul 2023,★★★★½,True,
Oppenheimer,21 Jul 2023,★★★★★,True,
Barbie,20 Jul 2023,★★★★,True,
Asteroid City,19 Jul 2023,★★½,False,
Mission: Impossible – Dead Reckoning Part One,10 Jul 2023,★★★½,False,
The Meg,07 Jul 2023,★★,False,
Evil Dead Rise,03 Jul 2023,★★★½,False,
Indiana Jones and the Dial of Destiny,29 Jun 2023,★★★,False,
Cocaine Bear,28 Jun 2023,★★,False,
Past Lives,24 Jun 2023,★★★★½,True,
Indiana Jones and the Kingdom of the Crystal Skull,24 Jun 2023,★★★½,False,
Indiana Jones and the Last Crusade,19 Jun 2023,★★★★,False,
Transformers: Rise of the Beasts,16 Jun 2023,★★½,False,
Pearl,10 Jun 2023,★★★★,False,
Guardians of the Galaxy Vol. 3,03 Jun 2023,★★★½,False,
Spider-Man: Across the Spider-Verse,03 Jun 2023,★★★★½,True,
Air,27 May 2023,★★★,False,
Fast X,19 May 2023,★,False,
The Killing of a Sacred Deer,06 May 2023,★★★★,False,
Lucy,29 Apr 2023,★½,False,
Beau Is Afraid,28 Apr 2023,★★★,False,
John Wick: Chapter 4,27 Apr 2023,★★★½,False,
Evil Dead,23 Apr 2023,★★½,False,
Airplane!,15 Apr 2023,★★★,False,
Indiana Jones and the Temple of Doom,02 Apr 2023,★★★,False,
Nope,25 Mar 2023,★★★★½,True,
The Wolf of Wall Street,10 Mar 2023,★★★★★,True,
When Harry Met Sally...,23 Feb 2023,★★★★,False,
Ant-Man and the Wasp: Quantumania,19 Feb 2023,★★½,False,
Pride & Prejudice,14 Feb 2023,★★★★,False,
Smile,13 Feb 2023,★★★,False,
The Guardians of the Galaxy Holiday Special,06 Feb 2023,★★,False,
The Fabelmans,05 Feb 2023,★★★★,False,
Before Sunrise,04 Feb 2023,★★★★★,True,
Knock at the Cabin,03 Feb 2023,★★★★½,True,
Dazed and Confused,29 Jan 2023,★★★★½,True,
The Whale,28 Jan 2023,,False,
Tenet,27 Jan 2023,★★★½,False,
The Black Phone,24 Jan 2023,★★½,False,
Bullet Train,23 Jan 2023,★★★,False,
The Final Destination,18 Jan 2023,★★,False,
Babylon,15 Jan 2023,★★★½,False,
Avatar: The Way of Water,13 Jan 2023,★★★★,False,
X,01 Jan 2023,★★★½,False,
Raiders of the Lost Ark,31 Dec 2022,★★★★,False,
How the Grinch Stole Christmas,25 Dec 2022,,False,
It's a Wonderful Life,25 Dec 2022,,False,
Men in Black,23 Dec 2022,★★★½,False,
38 at the Garden,16 Dec 2022,,False,
Inside the Mind of a Cat,12 Dec 2022,,False,
Bones and All,10 Dec 2022,★★★½,False,
Final Destination 3,09 Dec 2022,★★★½,False,
Diary of a Wimpy Kid: Rodrick Rules,09 Dec 2022,★★,False,
Final Destination 2,04 Dec 2022,★★½,False,
The Menu,03 Dec 2022,★★★★,False,
Glass Onion,28 Nov 2022,★★★½,False,
Final Destination,27 Nov 2022,★★★,False,
All Too Well: The Short Film,26 Nov 2022,,False,
Scream,25 Nov 2022,★★★½,False,
Black Panther: Wakanda Forever,17 Nov 2022,★★★½,False,
Barbarian,13 Nov 2022,★★★½,False,
TÁR,09 Nov 2022,★★★★★,True,
Children of Men,06 Nov 2022,★★★★★,True,
The Redeem Team,05 Nov 2022,,False,
Werewolf by Night,22 Oct 2022,,False,
Luckiest Girl Alive,22 Oct 2022,,False,
Scooby-Doo,21 Oct 2022,,False,
She-Hulk: Attorney at Law,14 Oct 2022,★,False,
Thief,28 Sep 2022,★★★★,False,
Don't Worry Darling,27 Sep 2022,★★★,False,
The Other Woman,13 Sep 2022,★★½,False,
Collateral,11 Sep 2022,★★★★,True,
Molly's Game,11 Sep 2022,★★★,False,
The Lord of the Rings: The Return of the King,11 Sep 2022,★★★★½,True,
The Lord of the Rings: The Two Towers,10 Sep 2022,★★★★½,True,
The Lord of the Rings: The Fellowship of the Ring,09 Sep 2022,★★★★½,True,
Leave Her to Heaven,03 Sep 2022,★★★★,False,
Cha Cha Real Smooth,28 Aug 2022,★★★★,False,
Breakfast at Tiffany's,26 Aug 2022,★★★★,True,
Untold: The Rise and Fall of AND1,25 Aug 2022,★★★,False,
It Follows,21 Aug 2022,★★★½,False,
Belle,06 Aug 2022,★★★★,False,
Incantation,24 Jul 2022,★★★,False,
Nope,23 Jul 2022,★★★★½,True,
The Worst Person in the World,23 Jul 2022,★★★★½,True,
Ms. Marvel,22 Jul 2022,★★½,False,
War Dogs,17 Jul 2022,★★★,False,
Thor: Love and Thunder,16 Jul 2022,★½,False,
The Bob's Burgers Movie,14 Jul 2022,★★★,False,
Minions: The Rise of Gru,08 Jul 2022,★★,False,
Sing 2,05 Jul 2022,★★½,False,
Jurassic World Dominion,04 Jul 2022,★★,False,
Mission: Impossible – Fallout,02 Jul 2022,★★★★½,True,
Army of Darkness,02 Jul 2022,,False,
Mission: Impossible – Rogue Nation,01 Jul 2022,★★★★,True,
RRR,01 Jul 2022,★★★★½,True,
It Chapter Two,30 Jun 2022,★★½,False,
Evil Dead II,30 Jun 2022,★★★½,False,
The Evil Dead,29 Jun 2022,★★½,False,
The Cabin in the Woods,27 Jun 2022,★★★½,False,
Mission: Impossible – Ghost Protocol,27 Jun 2022,★★★★½,True,
Spiderhead,26 Jun 2022,★★,False,
Top Gun: Maverick,25 Jun 2022,★★★★½,True,
Roadrunner: A Film About Anthony Bourdain,25 Jun 2022,,False,
Lightyear,18 Jun 2022,★★★,False,
Hustle,12 Jun 2022,★★★½,True,
Sneakerella,12 Jun 2022,,False,
Hit the Road,28 May 2022,★★★★,False,
Chip 'n Dale: Rescue Rangers,21 May 2022,★★★,False,
Doctor Strange in the Multiverse of Madness,08 May 2022,★★★,False,
Moon Knight,04 May 2022,★★★½,False,
The Foreigner,16 Apr 2022,★★★,False,
Everything Everywhere All at Once,15 Apr 2022,★★★★½,True,
Mad Max: Fury Road,12 Apr 2022,★★★★★,True,
20th Century Women,11 Apr 2022,★★★★,False,
It,10 Apr 2022,★★★,False,
Top Gun,09 Apr 2022,★★★½,False,
Jerrod Carmichael: Rothaniel,09 Apr 2022,,False,
Blackhat,09 Apr 2022,★★★★,True,
Everything Everywhere All at Once,08 Apr 2022,★★★★½,True,
Turning Red,02 Apr 2022,★★★★,False,
After Yang,31 Mar 2022,★★★★★,True,
jeen-yuhs: A Kanye Trilogy,12 Mar 2022,★★★★,False,
The Batman,11 Mar 2022,★★★★½,True,
Drive My Car,10 Mar 2022,★★★★,False,
A Quiet Place Part II,22 Feb 2022,★★★,False,
Army of the Dead,22 Feb 2022,★½,False,
The King's Man,20 Feb 2022,★★½,False,
Jackass Forever,17 Feb 2022,★★★★,True,
The Old Man & the Gun,05 Feb 2022,★★★½,False,
Aziz Ansari: Nightclub Comedian,04 Feb 2022,,False,
Euphoria: F*ck Anyone Who’s Not a Sea Blob,24 Jan 2022,,False,
Hunt for the Wilderpeople,21 Jan 2022,★★★,False,
West Side Story,17 Jan 2022,★★★★,False,
Euphoria: Trouble Don't Last Always,16 Jan 2022,,False,
Bottle Rocket,14 Jan 2022,★★★½,False,
Under the Silver Lake,13 Jan 2022,★★★,False,
Pig,13 Jan 2022,★★★★,False,
Kanye With Special Guest Drake - Free Larry Hoover Benefit Concert,11 Jan 2022,,False,
In the Heights,07 Jan 2022,★★★,False,
Red Rocket,05 Jan 2022,★★★★½,True,
Licorice Pizza,03 Jan 2022,★★★½,False,
Encanto,31 Dec 2021,★★★,False,
Far from the Tree,31 Dec 2021,,False,
"tick, tick...BOOM!",29 Dec 2021,★★★½,False,
Hawkeye,28 Dec 2021,★★★,False,
Don't Look Up,27 Dec 2021,★½,False,
The Matrix Resurrections,26 Dec 2021,★★★★½,True,
The Matrix Revolutions,26 Dec 2021,★★★★★,True,
The Matrix Reloaded,25 Dec 2021,★★★★½,False,
Rudolph the Red-Nosed Reindeer,25 Dec 2021,,False,
Spider-Man: No Way Home,22 Dec 2021,★★★★,False,
The Matrix,20 Dec 2021,★★★★½,True,
C'mon C'mon,11 Dec 2021,★★★★,False,
The Power of the Dog,10 Dec 2021,★★★★,False,
Diary of a Wimpy Kid,03 Dec 2021,,False,
The French Dispatch,09 Nov 2021,★★★,False,
Eternals,08 Nov 2021,★★★,False,
Dune,05 Nov 2021,★★★★,False,
Old,29 Oct 2021,★★½,False,
Frankenweenie,17 Oct 2021,★★½,False,
The Falcon and the Winter Soldier,16 Oct 2021,★★★,False,
WandaVision,10 Oct 2021,★★★,False,
No Time to Die,08 Oct 2021,★★★,False,
Dave Chappelle: The Closer,08 Oct 2021,,False,
Squid Game,07 Oct 2021,★★★★,False,
Titane,05 Oct 2021,★★★★★,False,
Venom: Let There Be Carnage,30 Sep 2021,★,False,
Nine Perfect Strangers,26 Sep 2021,★★,False,
Blue Bayou,17 Sep 2021,★★★★½,True,
The Card Counter,15 Sep 2021,★★★,False,
Taste of Cherry,12 Sep 2021,★★★★,True,
2046,12 Sep 2021,★★★★,True,
Cruella,10 Sep 2021,★★★,False,
He's All That,05 Sep 2021,★,False,
Shang-Chi and the Legend of the Ten Rings,02 Sep 2021,★★★★,True,
Let Them All Talk,31 Aug 2021,★★★½,False,
I Am Love,30 Aug 2021,★★★★★,True,
Candyman,29 Aug 2021,★★★½,False,
On-Gaku: Our Sound,26 Aug 2021,★★★½,True,
Moneyball,22 Aug 2021,★★★★½,False,
Try Harder!,20 Aug 2021,,False,
Days,19 Aug 2021,★★★½,False,
The SpongeBob Movie: Sponge on the Run,15 Aug 2021,★★½,False,
Wolf Children,08 Aug 2021,★★★★,True,
The Suicide Squad,08 Aug 2021,★★★,False,
Snake Eyes: G.I. Joe Origins,06 Aug 2021,★½,False,
The Many Adventures of Winnie the Pooh,03 Aug 2021,,True,
Winnie the Pooh,02 Aug 2021,,True,
The Green Knight,30 Jul 2021,★★★½,False,
Space Jam: A New Legacy,29 Jul 2021,★★,False,
Loki,27 Jul 2021,★★★★,True,
The Conjuring: The Devil Made Me Do It,27 Jul 2021,★½,False,
Penguins of Madagascar,15 Jul 2021,★★★,False,
Paprika,12 Jul 2021,★★★★,False,
Black Widow,10 Jul 2021,★★½,False,
Luca,04 Jul 2021,★★★,False,
F9,03 Jul 2021,,False,
Zola,02 Jul 2021,,False,
Sharknado,14 Jun 2021,,False,
Bo Burnham: Inside,05 Jun 2021,,False,
Friends: The Reunion,01 Jun 2021,,False,
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,01 Jun 2021,★★★½,True,
Singin' in the Rain,18 May 2021,★★★★,True,
Kung Fu Hustle,14 May 2021,★★★★½,True,
The Greatest Showman,10 May 2021,★★½,False,
Ilo Ilo,05 May 2021,★★★★½,True,
Idlewild,05 May 2021,★★★½,True,
Millennium Actress,04 May 2021,★★★★,True,
The Blossoming of Maximo Oliveros,03 May 2021,★★★★,True,
All That Jazz,01 May 2021,★★★★½,False,
Kung Fu Hustle,30 Apr 2021,★★★★½,True,
Cabaret,28 Apr 2021,★★★★,False,
All That Jazz,27 Apr 2021,★★★★½,False,
Tokyo Story,21 Apr 2021,★★★★½,False,
Om Shanti Om,21 Apr 2021,★★★★,False,
Osaka Elegy,19 Apr 2021,★★★½,False,
WarGames,13 Apr 2021,★★★,False,
Blue Gate Crossing,12 Apr 2021,★★★½,False,
The Young Girls of Rochefort,12 Apr 2021,★★★★★,True,
Maborosi,11 Apr 2021,★★★★★,True,
Ghost Dog: The Way of the Samurai,10 Apr 2021,★★★★½,True,
Chan Is Missing,08 Apr 2021,★★★★½,True,
An American in Paris,07 Apr 2021,★★★★,False,
Millennium Actress,06 Apr 2021,★★★★,True,
A Simple Life,06 Apr 2021,★★★★★,True,
Soylent Green,05 Apr 2021,★★★,False,
The Band Wagon,05 Apr 2021,★★★½,False,
Malcolm & Marie,04 Apr 2021,★★½,False,
I Saw the Devil,03 Apr 2021,★★★★½,False,
Jackass 3D,01 Apr 2021,,True,
Godzilla vs. Kong,01 Apr 2021,★★½,False,
Another Round,31 Mar 2021,★★★★,True,
The Pirate,31 Mar 2021,★★½,False,
Bad Trip,30 Mar 2021,★★★,False,
Zack Snyder's Justice League,30 Mar 2021,★★★½,True,
