Movie,Date Watched,Rating,Liked,Review
Society of the Snow,12 Jan 2024,★★★★½,True,"I want to danceNuna, you don’t dance I know, but now I want to. I want to do it all"
The Iron Claw,09 Jan 2024,★★★★½,True,"feeling like I just got hit by three fucking trucks, and that line “I used to be a brother” delivered the final blow "
Saltburn,05 Jan 2024,★★★★,True,"no I don’t think you understand, I’m obsessed."
Jaws,29 Dec 2023,★★★★★,False,need a remake with pedro pascal as quint
The Grinch,28 Dec 2023,★★★½,False,"nate I’m sorry to say your sister is wrong, 2018 grinch is not hot but it’s just because he still listens to brockhampton"
Harry Potter and the Deathly Hallows: Part 2,20 Dec 2023,,True,I swear the girl that says “what are you waiting for? somebody grab him” is Mitski
Lost in Translation,15 Dec 2023,★★★★,False,"I don’t need to know what bob whispers to charlotte in the last scene, but I do need to know what the guy is saying to him in the hospital waiting room that’s making those two ladies laugh that hard"
A Murder at the End of the World,14 Dec 2023,,True,euclid discovered the golden ratio by studying harris dickinson and emma corrin’s faces
Phantom Thread,14 Dec 2023,★★★★★,True,why do I feel like I’ve just watched the greatest romcom ever written? I was grinning the whole time like fucking hell I have butterflies and I’m blushing
A Love Song,13 Dec 2023,★★★★½,False,"dale dickey pulling in her two crayfish, boiling them, enjoying a warm busch light all while listening to her little radio and watching the sun set over the mountain. so beautiful, and full of tender love. "
I Have Electric Dreams,12 Dec 2023,★★,False,"the younger daughter was also peeing all over the house, but the cat has to go when he does it? kwesi deserved better"
Close,11 Dec 2023,★★★★★,True,"I’ve never seen a more beautiful film. In another life, Rémi is performing in Mexico, and Léo is sitting front row watching him."
Jules,11 Dec 2023,★★½,False,
Red Rocket,11 Dec 2023,★★★★,False,
Leave the World Behind,10 Dec 2023,★★,False,
Band of Brothers,01 Dec 2023,★★★★★,False,
Casino Royale,19 Nov 2023,★★★,False,
Mustang,12 Nov 2023,★★★★★,True,
The Irishman,09 Nov 2023,,False,
Almost Famous,03 Nov 2023,★★★½,False,
Force Majeure,30 Oct 2023,★★★★,False,
You Are So Not Invited to My Bat Mitzvah,30 Oct 2023,★★,False,
No Hard Feelings,30 Oct 2023,★★½,False,
Stop Making Sense,23 Oct 2023,★★★★½,True,
Arrival,16 Oct 2023,★★★★½,True,
Jurassic World Dominion,21 Sep 2023,★,False,
Jurassic Park,21 Sep 2023,★★★★½,True,
Transformers,18 Sep 2023,★★★,False,
Spider-Man: Across the Spider-Verse,07 Sep 2023,★★★★½,False,
The Nice Guys,28 Aug 2023,★★★★½,False,
The Departed,26 Aug 2023,★★★★½,False,
Armageddon,14 Aug 2023,★★★,False,
Fargo,13 Aug 2023,★★★★½,True,
Blue Valentine,12 Aug 2023,★★★★,False,
Lethal Weapon,12 Aug 2023,★★★★,False,
Oppenheimer,03 Aug 2023,★★★★,True,
Barbie,22 Jul 2023,★★★½,False,
Air,15 Jul 2023,★★★½,False,
Once Upon a Time… in Hollywood,12 Jul 2023,★★★½,False,
Brokeback Mountain,21 Jun 2023,★★★★½,True,
The Green Knight,12 May 2023,★★★½,False,
Living,12 May 2023,½,False,
The Quiet Girl,12 May 2023,★★★★,False,
Triangle of Sadness,12 May 2023,★★★½,False,
The Irishman,12 May 2023,★★★★½,False,
The Pianist,12 May 2023,★★★½,False,
Beau Is Afraid,12 May 2023,★★★,False,
The Banshees of Inisherin,19 Feb 2023,★★★★½,False,
Fire of Love,15 Jan 2023,,False,
Everything Everywhere All at Once,15 Jan 2023,★★★★★,True,
Nope,15 Jan 2023,★★★★½,True,
The Whale,15 Jan 2023,★★★½,False,
Amsterdam,13 Jan 2023,★★½,False,
Empire of Light,03 Jan 2023,★★★½,False,
Her,27 Dec 2022,★★★★½,False,
Don't Worry Darling,24 Oct 2022,★★★½,False,

Followers
senoritaleslita,jon_blaze,dghertz,parham777,zwhiting,natekrieger,henryfaherty,dimbledee,zavala_lexi,imsicklical,anniefitz,dbkmperry,tiffani_simone,kitpurrr,lawrencesdad

Following
senoritaleslita,jon_blaze,mscorsese,drewphillips09,j_ledds,dghertz,zwhiting,natekrieger,franhoepfner,maxgietzen,demiadejuyigbe,bowenyang,dimbledee,cptsparhawke,fumilayo,zavala_lexi,imsicklical,tiffani_simone,anniefitz,connorfranta,lawrencesdad,kitpurrr,willdarbyshire,ardenrose
