Movie,Date Watched,Rating,Liked,Review
Venom: Let There Be Carnage,31 Dec 2021,★,False,
The French Dispatch,23 Dec 2021,★★★★,True,favorite storyline was 100% benicio del toro and léa seydoux
The Motorcycle Diaries,18 Nov 2021,★★★★,True,
No Time to Die,16 Nov 2021,,False,bye daniel 👋
Eternals,15 Nov 2021,,True,
Captain Fantastic,14 Nov 2021,,True,
Night at the Museum,09 Nov 2021,,True,
Fantastic Mr. Fox,08 Nov 2021,★★★★,False,
The Sword in the Stone,04 Nov 2021,,False,
Dune,30 Oct 2021,★★★★,True,pretty people and sand
Rebel Without a Cause,28 Oct 2021,,False,
Do the Right Thing,28 Oct 2021,★★★★,False,
Sound of Metal,14 Oct 2021,★★★★,True,
Spirited Away,09 Oct 2021,★★★★½,True,
Robin Hood,28 Sep 2021,★★★★,False,"look at all these men in tights, i love it"
Touki Bouki,23 Sep 2021,★★★★,True,this was so gruesome and hard to watch but also so valuable and beautiful
Wanda,16 Sep 2021,,False,absolutely heart-wrenching
Talladega Nights: The Ballad of Ricky Bobby,03 Jul 2021,,False,“i’m gon come atcha like a spader-monkay”
Crimson Peak,22 Jun 2021,,False,
The Mummy,13 Jun 2021,,True,
A Quiet Place Part II,02 Jun 2021,★★★★,False,felt a little abrupt; i would have liked to see maybe like 10 minutes more at the end
Drive,18 May 2021,★★★,False,watched this in preparation for all the film bros i’m living with next semester. cool soundtrack
WALL·E,10 May 2021,,True,oh hey look at that now i'm crying
Cairo Station,29 Apr 2021,,True,
Scream,18 Apr 2021,,True,
The Girl with the Dragon Tattoo,16 Apr 2021,,False,
Gomorrah,14 Apr 2021,,False,
Citizen Kane,31 Mar 2021,★★★★½,False,
L'Atalante,30 Mar 2021,,True,
Sisters of the Gion,24 Mar 2021,,False,
Spirited Away,23 Mar 2021,,True,
Amy,20 Mar 2021,,True,
It Happened One Night,17 Mar 2021,,True,
M,17 Mar 2021,,True,
Gold Diggers of 1933,17 Mar 2021,★★★★,True,glow in the dark violins!
Midnight Cowboy,08 Mar 2021,,True,
Strike,05 Mar 2021,,False,
I'm Not Scared,05 Mar 2021,★★★★,False,io invece si
Wings,04 Mar 2021,,False,
ParaNorman,03 Mar 2021,,False,
ParaNorman,01 Mar 2021,,False,
The Passion of Joan of Arc,01 Mar 2021,,False,
Hellraiser,01 Mar 2021,★★★★,False,
Eraserhead,31 Jan 2021,★★★★,True,
The Ritual,21 Dec 2020,★★★★,False,
Y Tu Mamá También,14 Dec 2020,★★★★,True,
The Iron Giant,14 Dec 2020,★★★★★,True,
Beach Rats,14 Dec 2020,,True,
Down by Law,13 Dec 2020,★★★★★,True,
Children of Men,13 Dec 2020,★★★★½,False,
The Iron Giant,13 Dec 2020,,True,
Get Out,13 Dec 2020,,False,
The Grand Budapest Hotel,13 Dec 2020,,False,
My Neighbor Totoro,13 Dec 2020,,False,
Howl's Moving Castle,13 Dec 2020,,True,
Amadeus,13 Dec 2020,,False,
Moonlight,13 Dec 2020,,True,
The Pianist,13 Dec 2020,,False,
Little Women,13 Dec 2020,,False,
Rocco and His Brothers,13 Dec 2020,,True,
Incendies,10 Dec 2020,★★★★★,True,
The Intouchables,10 Dec 2020,★★★★,False,
Scent of a Woman,10 Dec 2020,★★★★½,False,
Bad Times at the El Royale,10 Dec 2020,★★★,False,
Requiem for a Dream,10 Dec 2020,★★★★★,False,
It Chapter Two,14 Apr 2020,,False,
Queen & Slim,30 Nov 2019,,True,
El Camino: A Breaking Bad Movie,07 Oct 2019,,False,

Followers
juliewiseee,lionellassie,a_dzh,cinephiles,alessandrosassi,molscotti,samarander,holden_smith,kyle_duff15,tokemon,jimmythreetimes

Following
juliewiseee,a_dzh,alessandrosassi,cinephiles,molscotti,samarander,holden_smith,tokemon,kyle_duff15,jimmythreetimes
