Movie,Date Watched,Rating,Liked,Review
21 Jump Street,14 Jan 2024,★★★★½,True,I love Dave Franco
Barbie,14 Jan 2024,★★★★★,True,I once again cried at the home videos
Baby Driver,14 Jan 2024,★★★★,True,The sound mixing went CRAZY
22 Jump Street,11 Jan 2024,★★★½,True,Oh to be a man in a homoerotic police partnership
Black Swan,10 Jan 2024,★★★★,True,girl it’s not that serious nobody even watches ballet
Little Fockers,09 Jan 2024,,True,An epic end to a historic trilogy
May December,09 Jan 2024,,True,They ate with the animal metaphors
Meet the Fockers,05 Jan 2024,★★½,True,the cat and the dog were my favorite
Neighbors,05 Jan 2024,★★★,False,a movie my parents would love if they slayed
School of Rock,04 Jan 2024,,True,jack black u national treasure
Baywatch,04 Jan 2024,,True,These lifeguards really be doing everything
Meet the Parents,04 Jan 2024,★★★,True,the absolute surprise Owen Wilson was I love that man
Poor Things,04 Jan 2024,,True,
Storks,01 Jan 2024,,False,
Top Gun: Maverick,31 Dec 2023,,True,
Casino Royale,31 Dec 2023,,True,
Big,31 Dec 2023,★★★★,True,
The Boys in the Boat,26 Dec 2023,★★,False,
West Side Story,25 Dec 2023,,True,
Spirited,23 Dec 2023,★★★½,True,
Love Actually,19 Dec 2023,,False,
Holiday in Handcuffs,19 Dec 2023,,True,
Four Christmases,19 Dec 2023,,True,
The Mission,19 Dec 2023,,True,
The Impossible,30 Nov 2023,★★★★★,True,
Hot Potato: The Story of The Wiggles,26 Nov 2023,★★★★,True,
Christmas with the Kranks,24 Nov 2023,★★,False,
National Lampoon's Christmas Vacation,24 Nov 2023,★★★,True,
1917,23 Nov 2023,★★★★,True,
The Marvels,22 Nov 2023,★★★★,True,
Captain Marvel,22 Nov 2023,★★★★,True,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Nov 2023,★★★★,True,
Home Alone,12 Nov 2023,★★★★,True,
Mom's Got a Date with a Vampire,31 Oct 2023,,False,
Bodies Bodies Bodies,25 Oct 2023,★★★★,True,
Taylor Swift: The Eras Tour,21 Oct 2023,★★★★★,True,
Ma,18 Oct 2023,,True,
Get Out,17 Oct 2023,★★★★,True,
Taylor Swift: The Eras Tour,14 Oct 2023,★★★★★,True,
Totally Killer,13 Oct 2023,★★★★,True,
Dungeons & Dragons: Honor Among Thieves,13 Oct 2023,★★★,True,
Pride & Prejudice,12 Oct 2023,,True,
Whiplash,11 Oct 2023,★★★½,True,
Don't Tell Mom the Babysitter's Dead,11 Oct 2023,★★½,True,
Just Go with It,10 Oct 2023,★★★,False,
Adventures in Babysitting,10 Oct 2023,★★★★,True,
Haunted Mansion,10 Oct 2023,★★★½,True,
Theater Camp,03 Oct 2023,★★★★,True,
Bottoms,26 Sep 2023,★★★★,True,
Snow White and the Huntsman,01 Sep 2023,★★½,True,
"Red, White & Royal Blue",27 Aug 2023,★★★½,True,
No Hard Feelings,15 Aug 2023,★★★,True,
Get a Job,13 Aug 2023,★★,False,
Cars 2,04 Aug 2023,★★,False,
Luca,04 Aug 2023,★★★★,True,
Pirates of the Caribbean: Dead Men Tell No Tales,04 Aug 2023,★★★½,True,
Pirates of the Caribbean: On Stranger Tides,04 Aug 2023,★★½,False,
Pirates of the Caribbean: At World's End,04 Aug 2023,★★★★,True,
Pirates of the Caribbean: Dead Man's Chest,04 Aug 2023,★★★★,True,
Pirates of the Caribbean: The Curse of the Black Pearl,04 Aug 2023,★★★★,True,
A Simple Favor,31 Jul 2023,★★★,True,
Secret Invasion,27 Jul 2023,,False,
Barbie,25 Jul 2023,★★★★★,True,I once again cried at the home videos
Wish Dragon,25 Jul 2023,★★★,True,
Interstellar,25 Jul 2023,★★★,False,
The Out-Laws,15 Jul 2023,★★★,True,
The Goonies,09 Jul 2023,★★★★,True,
Sleepless in Seattle,07 Jul 2023,★★★,True,
Nimona,07 Jul 2023,★★★★,True,
Black Mirror: Demon 79,06 Jul 2023,★★★,True,
Black Mirror: Mazey Day,06 Jul 2023,,False,
Black Mirror: Loch Henry,06 Jul 2023,★★★,True,
Black Mirror: Beyond the Sea,06 Jul 2023,,False,
Black Mirror: Joan Is Awful,05 Jul 2023,★★,True,
Kick-Ass 2,05 Jul 2023,★★★½,True,
Kick-Ass,05 Jul 2023,★★★½,False,
The Chronicles of Narnia: Prince Caspian,03 Jul 2023,★★★½,True,
The Chronicles of Narnia: The Voyage of the Dawn Treader,02 Jul 2023,★★★,True,
Skyfall,26 Jun 2023,,False,
Mean Girls,26 Jun 2023,★★★½,False,
Accepted,24 Jun 2023,★★★½,True,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Jun 2023,,True,
Teen Wolf,21 Jun 2023,,False,
The Hunger Games,21 Jun 2023,★★★½,True,
The Core,21 Jun 2023,★,False,
The Hunger Games: Catching Fire,20 Jun 2023,★★★★★,True,
The Hunger Games: Mockingjay – Part 1,20 Jun 2023,★★★½,True,
The Hunger Games: Mockingjay – Part 2,20 Jun 2023,★★★,True,
Arrival,15 Jun 2023,,False,
Marcel the Shell with Shoes On,12 Jun 2023,,True,
Spider-Man: Into the Spider-Verse,03 Jun 2023,★★★★★,True,
Spider-Man: Across the Spider-Verse,02 Jun 2023,★★★★,True,
Night at the Museum: Secret of the Tomb,01 Jun 2023,,True,
Rise of the Planet of the Apes,17 May 2023,★★★,True,
Pitch Perfect 3,16 May 2023,★★★,True,
Drillbit Taylor,15 May 2023,★★★,True,
Game Night,14 Apr 2023,★★★,True,
Shotgun Wedding,10 Apr 2023,★★★,True,
Tag,10 Apr 2023,★★★½,True,
Forrest Gump,10 Apr 2023,★★★★½,True,
This Is Where I Leave You,04 Apr 2023,★★★★,True,
Everything Everywhere All at Once,25 Mar 2023,★★★★★,True,
Daddy Day Care,23 Mar 2023,★★★,True,
Ant-Man and the Wasp: Quantumania,03 Mar 2023,★★,False,
The Hunger Games: Catching Fire,25 Feb 2023,★★★★,True,
Triple Frontier,25 Feb 2023,★★★,True,
No Escape,22 Feb 2023,★★★,False,
Flashback,22 Feb 2023,,False,
Flashback,22 Feb 2023,,False,
"Honey, I Shrunk the Kids",01 Feb 2023,★★★,True,
Alvin and the Chipmunks: The Squeakquel,29 Jan 2023,★★,True,
Alvin and the Chipmunks,28 Jan 2023,★★★,True,
The Hunger Games,28 Jan 2023,★★★½,True,
The Hatchet Wielding Hitchhiker,20 Jan 2023,,False,
The Final Destination,18 Jan 2023,★★,False,
The Internship,14 Jan 2023,★★★,True,
Where the Crawdads Sing,07 Jan 2023,★,False,
21 Jump Street,03 Jan 2023,★★★★,True,I love Dave Franco
The DUFF,03 Jan 2023,,False,
Glass Onion,31 Dec 2022,★★★★,True,
Quantum of Solace,31 Dec 2022,★★★,True,
Casino Royale,30 Dec 2022,★★½,False,
The Volcano: Rescue from Whakaari,30 Dec 2022,,True,
Something from Tiffany's,30 Dec 2022,★★★,True,
Glass Onion,28 Dec 2022,★★★½,True,
Wanted,27 Dec 2022,★★★,True,
The Other Guys,26 Dec 2022,★★★½,True,
A Christmas Story,25 Dec 2022,★★★,True,
The Guardians of the Galaxy Holiday Special,25 Dec 2022,,True,
The Polar Express,25 Dec 2022,★★★★★,True,
Curious George: A Very Monkey Christmas,24 Dec 2022,★★★½,True,
The Best Christmas Pageant Ever,24 Dec 2022,★★★★★,True,
Mickey's Twice Upon a Christmas,24 Dec 2022,★★★★★,True,
National Lampoon's Christmas Vacation,24 Dec 2022,★★★,True,
Home Alone 2: Lost in New York,23 Dec 2022,★★★,True,
Home Alone,23 Dec 2022,★★★★,True,
Bridesmaids,23 Dec 2022,★★★,True,
Penguins,21 Dec 2022,★★★,True,
The Day After Tomorrow,21 Dec 2022,★★★,True,
Zoolander,21 Dec 2022,★★★,True,
Maze Runner: The Death Cure,21 Dec 2022,★★★½,True,
Maze Runner: The Scorch Trials,21 Dec 2022,★★½,True,
The Maze Runner,21 Dec 2022,★★★,True,
The Lost City,17 Dec 2022,,True,
Harry & Meghan,16 Dec 2022,,True,
The Proposal,14 Dec 2022,,True,
The Act,11 Dec 2022,★★½,False,
The Act,11 Dec 2022,★★½,False,
Now You See Me,03 Dec 2022,★★★½,True,
Now You See Me 2,03 Dec 2022,★★½,True,
Disenchanted,26 Nov 2022,★★,False,
Spirited,25 Nov 2022,★★★½,True,
Single All the Way,20 Nov 2022,★★★,True,
Black Panther: Wakanda Forever,12 Nov 2022,★★★★,True,
Miss Americana,31 Oct 2022,★★★★,True,
The School for Good and Evil,23 Oct 2022,★★★★★,True,
She-Hulk: Attorney at Law,16 Oct 2022,★★★½,True,
Bodies Bodies Bodies,16 Oct 2022,★★★,True,
Dog,16 Oct 2022,★★★,False,
Minions: The Rise of Gru,14 Oct 2022,★½,False,
Thor: Love and Thunder,14 Oct 2022,★★,False,
The Blair Witch Project,14 Oct 2022,★★★★,True,
Werewolf by Night,12 Oct 2022,★★★½,True,
Hocus Pocus 2,12 Oct 2022,★★★½,False,
The Nice Guys,12 Oct 2022,★★★★,True,
I Know What You Did Last Summer,12 Oct 2022,★★★★,True,
Fear Street: 1666,12 Oct 2022,★★★½,True,
Fear Street: 1978,12 Oct 2022,★★★,False,
Fear Street: 1994,12 Oct 2022,★★★,False,
World War Z,12 Oct 2022,★★★,False,
Do Revenge,12 Oct 2022,★★★★,False,
Hocus Pocus,12 Oct 2022,★★,False,
Don't Worry Darling,30 Sep 2022,★★★,True,
The Devil Wears Prada,10 Aug 2022,★★★½,False,
Elvis,25 Jun 2022,★★,False,
Spree,17 Jun 2022,★★★★★,True,
The Disaster Artist,22 May 2022,★★★,True,
Chip 'n Dale: Rescue Rangers,21 May 2022,★★★★,True,
"Crazy, Stupid, Love.",20 May 2022,★★★★,True,
Everything Everywhere All at Once,07 Apr 2022,,True,
Finding Nemo,07 Apr 2022,★★★★★,True,
The Lost City,27 Mar 2022,,True,
In the Heights,26 Mar 2022,★★★½,True,
Grease,26 Mar 2022,★★★,False,
La La Land,26 Mar 2022,★★★★,True,
The Batman,05 Mar 2022,★★,False,
Free Guy,04 Mar 2022,,False,
2025: The World Enslaved by a Virus,04 Feb 2022,,False,
The Fugitive,29 Jan 2022,★★★,True,
Eternals,15 Jan 2022,★★★★★,True,
Captain Marvel,08 Jan 2022,★★★★,True,
Curious George 2: Follow That Monkey!,07 Jan 2022,★½,False,
Curious George 2: Follow That Monkey!,07 Jan 2022,★★,False,
Curious George,07 Jan 2022,★★★★★,True,
Marvel's The Defenders,01 Jan 2022,★★,False,
Marvel's The Defenders,01 Jan 2022,★★,False,
For Your Eyes Only,30 Dec 2021,★★,False,
Curious George: A Very Monkey Christmas,29 Dec 2021,★★★½,True,
Cruella 2,28 Dec 2021,,False,
Avatar 5,28 Dec 2021,,False,
Captain America: Brave New World,28 Dec 2021,★★★★★,True,
Avatar 4,28 Dec 2021,,False,
The Guardians of the Galaxy Holiday Special,28 Dec 2021,,True,
Avatar 3,28 Dec 2021,,False,
The Batman,28 Dec 2021,,False,
Doctor Strange in the Multiverse of Madness,28 Dec 2021,★½,False,
Don't Look Up,26 Dec 2021,★★½,False,
Forrest Gump,25 Dec 2021,★★★★½,True,
A Christmas Story,25 Dec 2021,★★★★,True,
Klaus,25 Dec 2021,★★★,True,
Curious George: A Very Monkey Christmas,25 Dec 2021,★★★½,True,
The Polar Express,25 Dec 2021,★★★★,True,
Iron Man 3,23 Dec 2021,★★★★,True,
Twilight,23 Dec 2021,★★★,True,
Elf,21 Dec 2021,★★★★½,True,
Rudolph the Red-Nosed Reindeer,20 Dec 2021,★½,True,
Cinderella III: A Twist in Time,20 Dec 2021,★★★½,True,
Spider-Man: No Way Home,18 Dec 2021,,True,
Spider-Man: No Way Home,18 Dec 2021,★★★★½,True,
Spider-Man: Homecoming,16 Dec 2021,★★★½,True,
Home Alone 2: Lost in New York,14 Dec 2021,★★★,True,
Home Alone,14 Dec 2021,★★★★,True,
It's a Wonderful Life,14 Dec 2021,★★★,True,
Hairspray,07 Dec 2021,★★★★,True,
The Amazing Spider-Man 2,26 Nov 2021,★★½,True,
The Amazing Spider-Man,26 Nov 2021,★★★½,True,
Spider-Man 3,24 Nov 2021,★★,False,
Spider-Man 2,23 Nov 2021,★★★★,True,
Spider-Man,22 Nov 2021,★★★,True,
Ant-Man,20 Nov 2021,★★★,True,
21 Jump Street,20 Nov 2021,★★★½,True,I love Dave Franco
Muppets Most Wanted,14 Nov 2021,★★★★★,True,
Shang-Chi and the Legend of the Ten Rings,13 Nov 2021,★★★★,True,
All Too Well: The Short Film,13 Nov 2021,★★★,False,
Jungle Cruise,13 Nov 2021,★½,False,
Ciao Alberto,13 Nov 2021,★★★★,True,
The Godfather,11 Nov 2021,★★★½,True,
Eternals,07 Nov 2021,★★★★★,True,
The Muppets,31 Oct 2021,★★★★★,True,
Gideon's Trumpet,21 Oct 2021,,False,
Muppets Most Wanted,16 Oct 2021,★★★★★,True,
Muppets Haunted Mansion,15 Oct 2021,★★★,True,
The Twilight Saga: Eclipse,26 Sep 2021,½,False,
The Twilight Saga: Breaking Dawn – Part 1,25 Sep 2021,★★,True,
The Twilight Saga: Breaking Dawn – Part 2,20 Sep 2021,★,False,
Cinderella,18 Sep 2021,½,False,
Chaos Walking,15 Sep 2021,,False,
The Upside,12 Sep 2021,★★★,False,
Cruella,05 Sep 2021,★★★★,True,
Murder Mystery,05 Sep 2021,★★★,True,
The Count of Monte Cristo,29 Aug 2021,★★,False,
2012,29 Aug 2021,★★½,True,
Luca,29 Aug 2021,★★★★,True,
Luca,29 Aug 2021,★★★★,True,
The Edge of Seventeen,29 Aug 2021,★★★★★,True,
The Kissing Booth 3,20 Aug 2021,½,False,
Booksmart,20 Aug 2021,★★★½,True,
A Quiet Place Part II,20 Aug 2021,★★★,True,
Mr. Peabody & Sherman,18 Aug 2021,★★★★,True,
Inception,17 Aug 2021,★★★★½,True,
Catch Me If You Can,17 Aug 2021,★★★★½,True,
Starsky & Hutch,10 Aug 2021,★★★★½,True,
Enola Holmes,30 Jul 2021,½,False,
Lady Bird,27 Jul 2021,★★★★,True,
The Shawshank Redemption,25 Jul 2021,★★★,False,
Legally Blonde,25 Jul 2021,★★★½,True,
Scott Pilgrim vs. the World,25 Jul 2021,★★★★½,True,
The Notebook,22 Jul 2021,★★½,False,
The Social Network,22 Jul 2021,★★★,False,
The Avengers,21 Jul 2021,★★★★½,True,
Minions: The Rise of Gru,21 Jul 2021,,False,
Barbie,21 Jul 2021,,True,I once again cried at the home videos
Dead Poets Society,21 Jul 2021,★★★½,True,
Curious George,20 Jul 2021,★★★★★,True,
Thor: Ragnarok,20 Jul 2021,★★★★½,True,
Jojo Rabbit,20 Jul 2021,★★★½,True,
Spider-Man: Into the Spider-Verse,18 Jul 2021,★★★★★,True,
Loki,14 Jul 2021,★★½,False,
Black Widow,08 Jul 2021,★★★★★,True,
Luca,21 Jun 2021,★★★★,True,
The Falcon and the Winter Soldier,30 Apr 2021,★★★★★,True,
WandaVision,05 Mar 2021,★★★½,True,

Followers
rainforestcafes,r4ndymeeks,seriynyyubiytsa,scarredsprince,porksweats,qvakesvoid,flo7ences,bbetsyyyy,narcisssus,clayton_mcc16,heddatroije,wintrcsbvcky,oliverlol,evonne,winterqvake

Following
fumilayo,narrowstairs,bobbaroo32,danvuers,scarredsprince,ladyjenevia,bbetsyyyy,medwrld,heddatroije,pietrodmaximoff,joellerickson,e1izastudios,oliverlol,wintrcsbvcky,winterqvake,evonne
