Movie,Date Watched,Rating,Liked,Review
Air,10 Jan 2024,★★★,False,
Saltburn,10 Jan 2024,★★½,False," i liked this more than i thought i would!the performances were awesome, and it was obviously shot beautifully. unfortunately, i’ve been down this road before with emerald fennell, so you know how the rest of this is going to go.i feel like this film was bogged down by its writing and the fact that the cinematography (ugh) did not add much weight to the actual plot or tone.many writer/directors can make visually pleasing movies, but it is… "
The Killing of a Sacred Deer,08 Jan 2024,★★★★,True,
She's the Man,07 Jan 2024,★★★,True,
Furious 7,31 Dec 2023,★★★,True,
Fast & Furious 6,31 Dec 2023,★★★,False,
Fast Five,28 Dec 2023,★★★,False,
Fast & Furious,27 Dec 2023,★★★,True,
The Fast and the Furious: Tokyo Drift,26 Dec 2023,★½,False,
The Fast and the Furious,25 Dec 2023,★★★,False,
Scream VI,25 Dec 2023,★★★★½,True,
2 Fast 2 Furious,25 Dec 2023,★★★,True,
The Firm,24 Dec 2023,★★★½,False,
The Bourne Identity,20 Dec 2023,★★★,False,
Mission: Impossible III,18 Dec 2023,★★★½,False,
The Social Network,18 Dec 2023,★★★★★,True,
Mission: Impossible – Ghost Protocol,04 Dec 2023,★★★½,True,
May December,03 Dec 2023,★★★★,False,
Over Her Dead Body,03 Dec 2023,★★½,True,
Bride Wars,02 Dec 2023,★★,False,
Mission: Impossible,01 Dec 2023,★★★★,True,
Final Destination,26 Nov 2023,★★★,True,
The Babysitter's Seduction,20 Nov 2023,★★,False,
Thanksgiving,19 Nov 2023,★★★½,True,
No Hard Feelings,18 Nov 2023,★★★½,False,
Sugar Daddies,17 Nov 2023,★,False,please don’t ask
Gospel of Deceit,13 Nov 2023,★★,False,
Lethal Seduction,13 Nov 2023,★★,False,
Insidious,11 Nov 2023,★★★,False,
Bring It On,09 Nov 2023,★★★½,True,
Priscilla,05 Nov 2023,★★★★,False,
Saw V,03 Nov 2023,★★½,False,
Saw IV,03 Nov 2023,★★½,False,
Poltergeist,29 Oct 2023,★★★½,False,
Five Nights at Freddy's,28 Oct 2023,★★★½,True,this movie was good + you’re all lying to yourself + chica cleared
Se7en,26 Oct 2023,★★★★,False,
The Cabin in the Woods,22 Oct 2023,★★★,False,
Saw X,20 Oct 2023,★★★½,True,
Taylor Swift: The Eras Tour,14 Oct 2023,,True,taylor i’m so drunk omg taylorrrrrrrrr
Saw III,13 Oct 2023,★★★,False,
Saw II,13 Oct 2023,★★★,False,
Saw,12 Oct 2023,★★★★,False,
Totally Killer,12 Oct 2023,★★★½,True,
A Haunting in Venice,23 Sep 2023,★★★½,False,
"Red, White & Royal Blue",12 Sep 2023,★★,False,it’s cute i see the vision
Bottoms,10 Sep 2023,★★★★,True,
The Hazing,03 Sep 2023,★½,False,my brain feels like a smoothie
Tamara,03 Sep 2023,★★½,False,
Fatal Lessons: The Good Teacher,02 Sep 2023,★★,False,no like it was good
The Dark Knight,30 Aug 2023,★★★★½,True,my little brucie wucie pookie wookie bruceogie 🤏🖤
Monty Python and the Holy Grail,21 Aug 2023,★★★★,False,
American Hustle,19 Aug 2023,★★½,False,when your mom says you’ve got scorcese at home
Scream,18 Aug 2023,★★★★★,True,
"Red, White & Royal Blue",15 Aug 2023,★★,False,it’s cute i see the vision
The House Bunny,11 Aug 2023,★★★,True,
Sydney White,10 Aug 2023,★★½,False,
Little Miss Sunshine,06 Aug 2023,★★★★½,True,
The Exorcism of Emily Rose,05 Aug 2023,★★½,False,
Talk to Me,27 Jul 2023,★★★½,True,
The Exorcist,23 Jul 2023,★★★★,False,
Barbie,21 Jul 2023,★★★½,False,
Oppenheimer,21 Jul 2023,★★★★½,True,
Risky Business,18 Jul 2023,★★★,False,
Mission: Impossible – Dead Reckoning Part One,15 Jul 2023,★★★★,True,AI can plan for everything but it will never beat ethan hunt in a foot race
Hereditary,11 Jul 2023,★★★★,True,
Prom Night,09 Jul 2023,★★,False,
Larry David: Curb Your Enthusiasm,04 Jul 2023,,True,I ❤️ LD
One Missed Call,04 Jul 2023,★½,False,
Asteroid City,02 Jul 2023,★★★★,True,
May,01 Jul 2023,★★★½,False,
Brüno,27 Jun 2023,★★★,False,
Accepted,27 Jun 2023,★★½,True,
The Clique,27 Jun 2023,★★,False,
Child's Play,17 Jun 2023,★½,False,
Coraline,16 Jun 2023,★★★★,False,
It Chapter Two,14 Jun 2023,★★,True,
It,14 Jun 2023,★★★½,True,
The Craft,13 Jun 2023,★★★½,False,
Perfect Blue,09 Jun 2023,★★★★,True,
