Movie,Date Watched,Rating,Liked,Review
Poor Things,25 Dec 2023,,False,
Home Alone 2: Lost in New York,24 Dec 2023,,False,
American Fiction,21 Dec 2023,,False,
May December,16 Dec 2023,,False,
The Boy and the Heron,24 Nov 2023,,True,If you are already feeling sad this movie will make it worse but it’s really pretty
Killers of the Flower Moon,21 Oct 2023,,False,
The Wind Rises,08 Oct 2023,,True,
Dead Men Don't Wear Plaid,23 Sep 2023,,False,
You Are So Not Invited to My Bat Mitzvah,02 Sep 2023,,False,
True Romance,22 Aug 2023,,False,
Oppenheimer,20 Aug 2023,,False,
Certified Copy,08 Aug 2023,,True,
Barbie,23 Jul 2023,,False,
Spider-Man: Across the Spider-Verse,18 Jun 2023,,False,
Top Gun: Maverick,29 May 2023,,True,
Before Midnight,06 May 2023,,True,
The Conformist,23 Mar 2023,,True,@ film forum w/ blair
"Crouching Tiger, Hidden Dragon",10 Mar 2023,,True,Matinee @ laemmle santa monica w/ adam
Pretty Woman,08 Mar 2023,,False,
Sharper,03 Mar 2023,,False,
The Menu,24 Feb 2023,,False,
Somebody I Used to Know,19 Feb 2023,,False,Bad movie
My Big Fat Greek Wedding,17 Feb 2023,,False,
Before Sunset,04 Feb 2023,,True,
You People,30 Jan 2023,,False,
The Banshees of Inisherin,28 Jan 2023,,False,
Lost Highway,18 Jan 2023,,False,
Rhubarb,17 Jan 2023,,False,
M3GAN,15 Jan 2023,,False,
The Fabelmans,29 Dec 2022,,True,Wow
Indiana Jones and the Temple of Doom,24 Dec 2022,,False,
Falling for Christmas,17 Dec 2022,,False,
Bullet Train,09 Dec 2022,,False,
Bones and All,03 Dec 2022,,False,
Before Sunrise,29 Nov 2022,,True,With Duncan Dan and Blair
Meet Me in the Bathroom,26 Nov 2022,,False,
The Last Waltz,24 Nov 2022,,True,
Glass Onion,24 Nov 2022,,False,
The Big Chill,18 Nov 2022,,True,
E.T. the Extra-Terrestrial,05 Nov 2022,,True,
TÁR,23 Oct 2022,,True,
Memories of Murder,15 Oct 2022,,True,
The Darjeeling Limited,07 Oct 2022,,True,
Bros,01 Oct 2022,,False,
Hocus Pocus 2,30 Sep 2022,,False,
Bringing Up Baby,24 Sep 2022,,False,
Rogue One: A Star Wars Story,22 Sep 2022,,True,Gosh I like this movie a lot!
Fire of Love,17 Sep 2022,,True,
Punch-Drunk Love,09 Sep 2022,,False,
Tron,27 Aug 2022,,True,70mm print @ Museum of the Moving Image
Jazz on a Summer's Day,21 Aug 2022,,True,
The Jerk,20 Aug 2022,,False,
Deep Water,12 Aug 2022,,False,
Across 110th Street,23 Jul 2022,,False,
Marcel the Shell with Shoes On,15 Jul 2022,,False,
Fire Music,11 Jul 2022,,False,
Moonraker,07 Jul 2022,,False,
Octopussy,04 Jul 2022,,False,
Boom!,02 Jul 2022,,False,
A View to a Kill,01 Jul 2022,,False,
Billy Madison,18 Jun 2022,,True,
Murder Mystery,17 Jun 2022,,False,
Pink Flamingos,12 Jun 2022,,True,New 4K restoration w/ john waters introduction @ IFC Center
Fire Island,04 Jun 2022,,True,Loved it
Everything Everywhere All at Once,28 May 2022,,False,
Senior Year,21 May 2022,,False,
Knife+Heart,14 May 2022,,False,
From Justin to Kelly,13 May 2022,,False,Exquisite hovercraft scene
The Northman,07 May 2022,,False,Me and Duncan agree: revenge is dumb
Can You Ever Forgive Me?,05 May 2022,,False,
Against Me!: We're Never Going Home,04 May 2022,,False,
