Movie,Date Watched,Rating,Liked,Review
Poor Things,29 Dec 2023,★★★★★,True,
When Evil Lurks,26 Dec 2023,★★★★,True,
Klaus,25 Dec 2023,★★★★,True,
Last Christmas,25 Dec 2023,★½,False,
The Nice Guys,22 Dec 2023,★★★★,True,
Fallen Leaves,21 Dec 2023,★★★★,True,
The Super Mario Bros. Movie,20 Dec 2023,★★,False,
The Boy and the Heron,19 Dec 2023,★★★★,True,
Barbie,17 Dec 2023,★★★★,True,
Touki Bouki,17 Dec 2023,★★★★½,True,
Godzilla Minus One,05 Dec 2023,★★★★,True,
The Souvenir,04 Dec 2023,★★★★,True,
Mayhem,25 Nov 2023,★★★,True,
Blade II,25 Nov 2023,★★½,True,
Frankenhooker,25 Nov 2023,★★★½,True,"Honestly insane how good this is. I went in expecting camp, but I got more than my campillaries could handle. My veins were positively flooding with goofiness during all the ""Jersey Boy"" scenes. I could ask for nothing more."
Blade,24 Nov 2023,★★½,False,
Blade: Trinity,22 Nov 2023,★½,False,
Gone Girl,21 Nov 2023,★★★★½,True,
To Leslie,21 Nov 2023,★★★★,True,
House,10 Nov 2023,★★★★½,True,
Clearcut,10 Nov 2023,★★★★,True,
Phenomena,09 Nov 2023,★★★,True,
Oppenheimer,07 Nov 2023,★★★★,True,
Killers of the Flower Moon,24 Oct 2023,★★★★½,True,
Ex Machina,15 Oct 2023,★★★★,True,
Under the Skin,14 Oct 2023,★★★★½,True,
Barbie,26 Sep 2023,★★★★,True,
Bottoms,19 Sep 2023,★★★★½,True,
Bottoms,31 Aug 2023,★★★★½,True,
The Seven Year Itch,31 Aug 2023,★★★½,True,
Talk to Me,29 Aug 2023,★★★★,True,
Niagara,29 Aug 2023,★★★★,True,
Desperately Seeking Susan,28 Aug 2023,★★★★,True,
Mission: Impossible – Dead Reckoning Part One,27 Aug 2023,★★★½,True,
Mission: Impossible – Fallout,27 Aug 2023,★★★★,True,
Lady Bird,27 Aug 2023,★★★★½,True,
Inside,19 Aug 2023,★★★½,True,
Guardians of the Galaxy,19 Aug 2023,★★★★,True,
Guardians of the Galaxy Vol. 2,19 Aug 2023,★★★½,True,
Asteroid City,09 Aug 2023,★★★,True,
TINA,08 Aug 2023,★★★★,True,
Interstellar,08 Aug 2023,★★★★★,True,
Aftersun,07 Aug 2023,★★★★½,True,
Arsenic and Old Lace,05 Aug 2023,★★★★,True,
Walker,31 Jul 2023,★★★½,True,
The Little Hours,30 Jul 2023,★★★,True,
Novitiate,27 Jul 2023,★★★★,True,
Oppenheimer,25 Jul 2023,★★★★,True,
Barbie,25 Jul 2023,★★★★,True,
Past Lives,20 Jul 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,11 Jul 2023,★★★★★,True,
Spider-Man: Into the Spider-Verse,08 Jul 2023,★★★★★,True,
The Worst Person in the World,01 Jul 2023,★★★★½,True,
Moonlighting,30 Jun 2023,★★★★,True,
Election,29 Jun 2023,★★★★,False,
Boogie Nights,28 Jun 2023,★★★★½,True,
Blindspotting,27 Jun 2023,★★★★½,True,
Deep End,25 Jun 2023,★★★★,True,
Phantom Thread,24 Jun 2023,★★★★★,True,
The Starling Girl,22 Jun 2023,★★★★,True,
Birdman or (The Unexpected Virtue of Ignorance),21 Jun 2023,★★★★★,True,
The Trip,19 Jun 2023,★★★½,True,
