Movie,Date Watched,Rating,Liked,Review
The Boy and the Heron,22 Dec 2023,★★★★½,True,"I was quite literally breath-taken at how beautiful the animation was, and how emotionally impactful some of the first-person POV shots were. I think I’ll be returning to theaters to watch this again before it leaves."
Renaissance: A Film by Beyoncé,16 Dec 2023,★★★★★,False,"Best concert I’ve ever been to, and I didn’t even go"
Napoleon,05 Dec 2023,★★½,False,"Napoleon suffers under the weight of its own realism. War is horrifying, pointless, and inflicted upon masses by egotistical men. But, we already knew that… so, why? Ultimately, it feels like Ridley Scott had no point of view on the subject. A few breathtaking shots and solid performances, unfortunately, don’t save this from being a slow-paced, mediocre movie with nothing to say."
Renfield,24 Nov 2023,★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,22 Nov 2023,★,False,There was really no reason for them to do that to Peter Dinklage.
Star Wars: The Last Jedi,13 Nov 2023,★★★★½,True,
"Elvira, Mistress of the Dark",12 Nov 2023,★★★★½,True,
Star Wars: The Rise of Skywalker,06 Nov 2023,½,False,"I’d rather be covered in course, rough sand that gets everywhere."
Star Wars: The Force Awakens,01 Nov 2023,★★★★,False,
Return of the Jedi,29 Oct 2023,★★★★½,True,
The Empire Strikes Back,26 Oct 2023,★★★★★,True,
Star Wars,25 Oct 2023,★★★★★,True,
Rogue One: A Star Wars Story,23 Oct 2023,★★★½,False,
Star Wars: Episode III – Revenge of the Sith,22 Oct 2023,★★★½,False,
Star Wars: Episode II – Attack of the Clones,18 Oct 2023,★★½,False,
Star Wars: Episode I – The Phantom Menace,16 Oct 2023,★★★,False,
Blue Beetle,03 Sep 2023,★★½,False,
The Birds,19 Aug 2023,★★★,False,
Muppets from Space,17 Aug 2023,★★★★,False,
No Hard Feelings,10 Aug 2023,★★★,False,
Barbie,05 Aug 2023,★★★★,False,
Oppenheimer,25 Jul 2023,★★★★★,True,
The 40 Year Old Virgin,11 Jun 2023,★★★,False,
Nomadland,07 May 2023,★★★★½,False,
The Super Mario Bros. Movie,12 Apr 2023,★★½,False,
Run,23 Mar 2023,★★★½,False,
Close,17 Mar 2023,★½,False," Dhont reels us in with a beautiful childhood friendship that is so fascinating and heartwarming, until he rips it out from under us with almost no context less than halfway through the runtime.The decision to kill-off Remi — a child whose character was never really explored, and whose only function is to experience homophobia and then die — is emotionally manipulative. It’s queer trauma exploitation to the maximum.The film does absolutely zero work to explore the grief of survivors… "
65,15 Mar 2023,★½,False,
Everything Everywhere All at Once,16 Feb 2023,★★★★★,True,
"The Boy, the Mole, the Fox and the Horse",20 Jan 2023,★★★★,False,
The Menu,03 Jan 2023,★★★,False,
Nine to Five,28 Dec 2022,★★★★,False,
Avatar: The Way of Water,15 Dec 2022,★★★,False,"“Bro” this movie is beautiful,But what’s with the frame rates, “cuz”?"
Puss in Boots: The Last Wish,10 Dec 2022,★★★½,False,
Strange World,02 Dec 2022,★★★★,False,
Licorice Pizza,09 Nov 2022,★,False,Wtf is going on in this movie?
