Movie,Date Watched,Rating,Liked,Review
Starman,13 Jan 2024,★★★★½,True,"Briefly scary, briefly sexy, briefly contemplative… And just quiet tittering everywhere else in between"
The Creator,13 Jan 2024,★★½,False,Modern “junk sci-fi” 😎
Rogue One: A Star Wars Story,07 Jan 2024,★★★,False,"Ion bombs to disable the ship, then a hammer-head Corvette to smash it into another… Classic"
Star Wars: The Force Awakens,05 Jan 2024,★★★★,True,Thank God for whoever ensured there was continuity for Han Solo’s winter coat
Cloud Atlas,31 Dec 2023,★★★★★,True,Happy New Year
Indiana Jones and the Dial of Destiny,31 Dec 2023,★★½,False,"The worst part is that Harrison Ford & crew give good performances and show chemistry, there are even interesting ideas whispered at by the script! There are many hints that a better movie could have been made. Instead, this movie is dragged down by an overly-optimistic reliance on CG and, what feels like, an active rejection of pacing."
Lifeforce,27 Dec 2023,★,False,
The Muppet Christmas Carol,24 Dec 2023,★★★★★,True,
Anaconda,24 Dec 2023,★★★,True,Bro the waterfall was going backwards as the boat “left” the shore
Klaus,23 Dec 2023,★★★★½,True,"I was struck by how little “information” was ever on the screen, yet how I never felt like things were sparsely animated."
Atlantis: The Lost Empire,21 Dec 2023,★★★,True,End of an era. Sincere with solid voice acting throughout. Tons of little plot pay-offs. Beautiful design.
DeepStar Six,20 Dec 2023,★★,False,I think this movie would be good if it was 23 minutes long
Witness,19 Dec 2023,★★★½,True,"Love how everything about this movie is pretty straight down the middle standard, but then Amish"
Chicken Run: Dawn of the Nugget,17 Dec 2023,★★★,False,"There’s that saying that goes something like, “Judge a society by how it treats the disenfranchised.” For kid’s movies, I think you can learn a lot but how it portrays the “dumb” characters."
Desperately Seeking Susan,16 Dec 2023,★★★★½,True,
Hulk,15 Dec 2023,★★★½,True,
They Live,14 Dec 2023,★★★★½,True,
Spider-Man: Across the Spider-Verse,10 Dec 2023,★★½,False,
May December,10 Dec 2023,★★★★,False,
I Love You to Death,09 Dec 2023,★,False,
Battle Royale,09 Dec 2023,★★★½,False,
Miami Vice,08 Dec 2023,★★★,False,
King of New York,05 Dec 2023,★★★½,True,
Tenet,04 Dec 2023,★★,True,
Oppenheimer,03 Dec 2023,★★★★,True,
BlackBerry,02 Dec 2023,★★★★,True,
Oppenheimer,27 Nov 2023,★★★★,True,
Jurassic Park III,26 Nov 2023,★★★,True,
U-571,19 Nov 2023,★,False,
The Birdcage,18 Nov 2023,★★★★,True,
The Empty Man,17 Nov 2023,★★★,False,
The Killer,14 Nov 2023,★★★½,False,
Spirited Away,13 Nov 2023,★★★★★,True,
Zodiac Deciphered,12 Nov 2023,★★★½,False,
Zodiac,12 Nov 2023,★★★★½,True,
The Fall of the House of Usher,04 Nov 2023,★★★½,False,
Legend,31 Oct 2023,★½,False,
No Hard Feelings,29 Oct 2023,★★★½,False,
Panic Room,28 Oct 2023,★★★★,True,
What We Do in the Shadows,28 Oct 2023,★★½,False,
State of Play,26 Oct 2023,★½,False,
Unstoppable,14 Oct 2023,★★★½,True,
The Great Muppet Caper,07 Oct 2023,★★★★,False,
Fight Club,02 Oct 2023,★★★½,False,
Blade,27 Sep 2023,★★½,True,
Star Wars: Episode I – The Phantom Menace,23 Sep 2023,★,False,
GoodFellas,23 Sep 2023,★★★★½,True,
Se7en,18 Sep 2023,★★★½,False,
And Soon the Darkness,18 Sep 2023,★★,False,
Ocean's Twelve,17 Sep 2023,★★½,False,
The Bling Ring,16 Sep 2023,★★½,False,
The Manhattan Project,16 Sep 2023,★★★,False,
Sleeping Beauty,13 Sep 2023,★★★★½,True,
Happy-Go-Lucky,08 Sep 2023,★★★★★,True,
The Truman Show,07 Sep 2023,★★★★,True,
The Net,05 Sep 2023,★★½,False,
The Taking of Pelham One Two Three,03 Sep 2023,★★★★½,True,
Barbie,03 Sep 2023,★★★★★,True,
Bullet Train,02 Sep 2023,★★★,False,
Silver Streak,02 Sep 2023,★★★½,True,
The Pope's Exorcist,27 Aug 2023,★★★½,True,
Down Periscope,27 Aug 2023,★,False,
Heat,26 Aug 2023,★★★,False,
Indiana Jones and the Kingdom of the Crystal Skull,20 Aug 2023,★,False,
Paris Is Burning,19 Aug 2023,★★★★½,True,
Indiana Jones and the Temple of Doom,13 Aug 2023,★½,False,
The Game,12 Aug 2023,★★★½,False,
American Graffiti,11 Aug 2023,★★★,False,
Charade,07 Aug 2023,★★½,False,
Ocean's Twelve,06 Aug 2023,★★★,False,
Battle in Seattle,05 Aug 2023,★★★,True,
K-19: The Widowmaker,05 Aug 2023,★★,False,
Barbie,05 Aug 2023,★★★★★,True,
Analyze That,05 Aug 2023,★★,False,
Police Story 3: Super Cop,03 Aug 2023,★★,False,
Analyze This,30 Jul 2023,★★★,False,
Rio Bravo,29 Jul 2023,★★,False,
Nope,28 Jul 2023,★★★★★,False,
The Day After Trinity,26 Jul 2023,★★★★,True,
They Cloned Tyrone,23 Jul 2023,★★★★,True,
Jurassic Park III,23 Jul 2023,★★★,True,
Idlewild,22 Jul 2023,★★★★,False,
The Lost World: Jurassic Park,16 Jul 2023,★★½,False,
Jurassic Park,15 Jul 2023,★★★★½,True,
Joint Security Area,14 Jul 2023,★★½,False,
A.I. Artificial Intelligence,12 Jul 2023,★★★★,True,
Gentlemen Prefer Blondes,10 Jul 2023,★★★,False,
Bringing Up Baby,09 Jul 2023,★★½,False,
Johnny Mnemonic,08 Jul 2023,★★★,False,
Zardoz,07 Jul 2023,★★★,False,
Seconds,07 Jul 2023,★★★½,False,
The Train,04 Jul 2023,★★★★★,True,
Ocean's Eleven,01 Jul 2023,★★★★,True,
Extraction 2,01 Jul 2023,★★½,False,
GoldenEye,28 Jun 2023,★★★,False,
Annihilation,27 Jun 2023,★★★★★,True,
Sunshine,25 Jun 2023,★★★★★,True,
Das Boot,24 Jun 2023,★★★★,False,
The Card Counter,23 Jun 2023,★★½,False,
Life of Pi,18 Jun 2023,★★½,False,
Operation Avalanche,17 Jun 2023,★★★★,True,
Treasure Planet,17 Jun 2023,★★½,False,
Soylent Green,16 Jun 2023,★★★½,False,
The Super Mario Bros. Movie,14 Jun 2023,★,False,
Yesterday,11 Jun 2023,★★★,False,
Encino Man,10 Jun 2023,★★★½,True,
Life,10 Jun 2023,★,False,
The Woman King,03 Jun 2023,★★★½,False,
Dungeons & Dragons: Honor Among Thieves,01 Jun 2023,★★★★,True,
65,31 May 2023,★★,False,
Let the Right One In,29 May 2023,★★★½,False,
Strangers on a Train,29 May 2023,★★★★,True,
Good Time,26 May 2023,★★★★½,True,
BlackBerry,21 May 2023,★★★★,True,
Crazy Rich Asians,20 May 2023,★★★½,True,
Triangle of Sadness,18 May 2023,★★★½,False,
Daybreakers,17 May 2023,★★★★,True,
Ruthless People,13 May 2023,★,False,
Ambulance,10 May 2023,★★½,False,
Three Ages,07 May 2023,★★,False,
Memory: The Origins of Alien,07 May 2023,★★★,False,
Ad Astra,06 May 2023,★★★★,True,
Assassin's Creed,04 May 2023,★★★,True,
Alien: Covenant,03 May 2023,★★★★,True,
Plane,02 May 2023,★½,False,
The Taking of Pelham 1 2 3,01 May 2023,★★★,False,
Josie and the Pussycats,29 Apr 2023,,True,
Snake Eyes,29 Apr 2023,★★★★,True,
The Prince of Egypt,27 Apr 2023,,False,
Serial Mom,24 Apr 2023,★★★½,False,
Three Days of the Condor,23 Apr 2023,★★★½,False,
Cocaine Bear,19 Apr 2023,★★★,False,
The Andromeda Strain,17 Apr 2023,★★★½,True,
EO,16 Apr 2023,★★★½,False,
Enter the Void,15 Apr 2023,★½,False,
The Mexican,14 Apr 2023,★★,False,
Babylon,12 Apr 2023,★★★★,True,
Prometheus,07 Apr 2023,★★½,False,
Super Mario Bros.,07 Apr 2023,★½,True,
Mission: Impossible,05 Apr 2023,★★★,False,
Blow Out,05 Apr 2023,★★★,False,
Amateur,05 Apr 2023,★★,False,
Battleship,03 Apr 2023,★★½,False,
The Land That Time Forgot,02 Apr 2023,★,False,
RRR,30 Mar 2023,★★★★★,True,
Swiss Army Man,26 Mar 2023,★★★★,True,
In the Mouth of Madness,24 Mar 2023,★★★½,True,
Emily the Criminal,23 Mar 2023,★★★★,False,
The House of the Devil,22 Mar 2023,★★★½,True,
Easy Money,21 Mar 2023,★½,False,
Good Time,20 Mar 2023,★★★★½,True,
TRON: Legacy,19 Mar 2023,½,False,
Sunshine,17 Mar 2023,★★★★,True,
"Lyle, Lyle, Crocodile",15 Mar 2023,★★,False,
On the Waterfront,12 Mar 2023,★½,False,
Escape from New York,08 Mar 2023,★★★½,False,
Mimic,07 Mar 2023,★★½,False,
The Player,25 Feb 2023,★★★★★,True,
New Jack City,23 Feb 2023,★★½,False,
Vanilla Sky,22 Feb 2023,★,False,
Lost in America,22 Feb 2023,★★★★,False,
Men in Black,21 Feb 2023,★★★★,True,
Emma.,19 Feb 2023,★★★★,True,
Dressed to Kill,18 Feb 2023,★½,False,
Bound,17 Feb 2023,★★★★★,True,
The Rock,15 Feb 2023,★★,False,
Mrs. Doubtfire,14 Feb 2023,★★★★,False,
Wayne's World,13 Feb 2023,★★★,False,
A Cure for Wellness,12 Feb 2023,★★,False,
Rope,12 Feb 2023,★★★★½,True,
Something Wild,11 Feb 2023,★★★★½,True,
Total Recall,10 Feb 2023,★★★½,False,
Fresh,09 Feb 2023,★★,False,
Pearl,08 Feb 2023,★★★★½,True,
X,07 Feb 2023,★★★★,False,
Sputnik,06 Feb 2023,★★★,False,
The Player,05 Feb 2023,★★★★★,True,
Trance,05 Feb 2023,½,False,
Inherent Vice,05 Feb 2023,,False,
Old,03 Feb 2023,★★★½,True,
The Beach,03 Feb 2023,★,False,
28 Days Later,30 Jan 2023,★½,False,
Daybreakers,29 Jan 2023,★★★,True,
The Long Goodbye,28 Jan 2023,★★★★,True,
Air Force One,27 Jan 2023,★★½,False,
River of Grass,27 Jan 2023,★★★★,True,
Trainspotting,26 Jan 2023,★★,False,
Resident Evil: The Final Chapter,25 Jan 2023,★½,False,
Resident Evil: Afterlife,24 Jan 2023,★★★,False,
Resident Evil: Extinction,24 Jan 2023,½,False,
Resident Evil: Apocalypse,23 Jan 2023,★★½,False,
Resident Evil,22 Jan 2023,★★★,False,
Resident Evil: Retribution,22 Jan 2023,★★½,False,
The Menu,21 Jan 2023,★★★,False,
RRR,21 Jan 2023,★★★★★,True,
Secret Honor,19 Jan 2023,★★½,False,
M,18 Jan 2023,★★★★,True,
Black Hawk Down,17 Jan 2023,★,False,
Holiday,16 Jan 2023,★★½,False,
Election,15 Jan 2023,★★½,False,
Shallow Grave,15 Jan 2023,★★★,False,
Draft Day,15 Jan 2023,★½,False,
A Bucket of Blood,15 Jan 2023,★★★½,True,
The Thief of Bagdad,14 Jan 2023,★½,False,
Wendell & Wild,14 Jan 2023,★★★★,True,
RRR,13 Jan 2023,★★★★★,True,
Fletch,12 Jan 2023,★★½,False,
Port of Shadows,10 Jan 2023,★★★★,False,
Coraline,08 Jan 2023,★★★½,False,
Cherry 2000,08 Jan 2023,★★½,False,
Popeye,07 Jan 2023,★★★★★,True,
Eve of Destruction,04 Jan 2023,★★★,True,
Terminator 2: Judgment Day,03 Jan 2023,★★★★,False,
Thelma & Louise,02 Jan 2023,★★★★,True,
Elvis,01 Jan 2023,★★★½,False,
The One,01 Jan 2023,★★½,False,
The Hudsucker Proxy,31 Dec 2022,★★★★,True,
The Killing,29 Dec 2022,★★★★,True,
Glass Onion,28 Dec 2022,★★★★,True,
Dial M for Murder,27 Dec 2022,★★½,False,
Glass Onion,27 Dec 2022,★★★★,True,
Wendell & Wild,23 Dec 2022,★★★★★,True,
