Movie,Date Watched,Rating,Liked,Review
The Long Goodbye,15 Jan 2024,,False,
Spider-Man: Across the Spider-Verse,08 Jan 2024,★★★★,False,"too damn messy for it's own good, one of the most oddly paced movies of the year, strained under the weight of its ambitions, and also repeatedly jaw-droppingly beautiful"
Teenage Mutant Ninja Turtles: Mutant Mayhem,07 Jan 2024,★★★★,True,"incredibly captures the riotous joy of hanging out with your boys, while also being a beautiful sketchbook-doodle of an animated romp - insane that this feels like the first TMNT property to really explore what it means that they are teenagers, and (I'm assuming) one of the few animated movies that so clearly had multiple people recording in the booth together to better capture a fun vibe"
Anyone But You,07 Jan 2024,★,False,"You can't build a good rom-com around only one charming lead (Glen Powell has the it-factor, but Sydney Sweeney is just absolutely flat in affect and arc) and maybe two good chuckles, but you almost have to go out of your way to make something this half-baked - every Hallmark romance movie should be furious that they weren't given the same amount of attention as this movie given the comparable quality"
"Are You There God? It's Me, Margaret.",03 Jan 2024,★★★★,True,"In addition to being a funny, heartwarming, and an all-too-rare human drama for all ages, I was thoroughly engaged with the film's insight into the universalities of womanhood, and the distinct experiences of girlhood and motherhood (and even grand-motherhood) - it's obviously a timeless text for a reason now after 50 years, but made exceptional by its execution, including a truly underappreciated performance by Rachel McAdams"
The Creator,29 Dec 2023,★★★,True,"Someone get this movie a rewrite by Tony Gilroy to make more incisive commentary and an actually compelling lead actor (sorry Washington Jr, you've let me down too many times already), and this might just have been the best technically-original-but-clearly-not-wholly-original sci-fi film in a generation; instead, it's just a very beautiful looking and competently made vision of the future, which is also cool I guess!"
Ferrari,24 Dec 2023,★★★★,False," Mann is back - not the vibes piece like Miami Vice nor the abstraction of Blackhat, but more in line with Heat, The Insider, or Collateral (even if it never hits the same high).Adam Driver was made in a lab to portray a Mann Man (TM) - brooding, masculine determination that physically and emotionally dominates the screen. Penelope Cruz admittedly almost steals the movie away from him with what may just be the best female character in a Mann… "
Gremlins,23 Dec 2023,★★★★,True,"A riotously gleeful holiday horror - can't help but have fun not only by watching the mischief unfold, but in knowing that the cast and crew must have had a blast putting this together. This movie has about 45 minutes of plot in it, and simply doubles the runtime by having incredible gags of these little freaks just letting loose with drugs, booze, and perversion - wouldn't have it any other way."
Rebel Moon - Part One: A Child of Fire,21 Dec 2023,★,False,Snyder played with the action figures in cinematic clearance bin and couldn't smash them together in an interesting way - makes the days of his Justice League cut seem like an artistic zenith
Aquaman and the Lost Kingdom,21 Dec 2023,★★★,False,"Does not give me anything more than what I need or want out of a movie like this - which primarily exists as a thing to look at and occasionally think ""oh that was interesting or cool"" and then go back to snacking during its threadbare world and stakes building moments - but it also doesn't fall short of entertaining me in a way that is simple and unconvoluted"
