Movie,Date Watched,Rating,Liked,Review
The Twilight Saga: Breaking Dawn – Part 1,06 Jan 2024,★★★★★,True,edward ouvindo os pensamentos do feto na barriga beira o absurdo
The Twilight Saga: Breaking Dawn – Part 2,05 Jan 2024,★★★★½,True,
The Twilight Saga: New Moon,04 Jan 2024,★★★★★,True,
Twilight,03 Jan 2024,★★★★★,True,in the scene where edward jumps on her truck and fixes it how did she not notice he was there if his car was perfectly parked 5 feet away from her
The Twilight Saga: Eclipse,02 Jan 2024,★★★★★,True,pq q o edward aleatoriamente tinha um isqueiro no bolso ele nem fuma
Ocean's Thirteen,28 Dec 2023,★★★★,False,
Leave the World Behind,27 Dec 2023,★★★,False,this movie pissed me the fuck of only 3 stars because of mahershala ali otherwise would be 2
The Hunger Games: Mockingjay – Part 2,26 Dec 2023,★★★★,True,
The Hunger Games: Mockingjay – Part 1,26 Dec 2023,★★★★,False,
The Hunger Games: Catching Fire,26 Dec 2023,★★★★½,True,
Barbie in A Christmas Carol,23 Dec 2023,★★★½,False,
The Hunger Games: The Ballad of Songbirds & Snakes,16 Dec 2023,★★★★,False,"good movie but doesnt really feel like a hunger games prequel, the vibes are completely off and for some reason the world is not as believable as in the first four movies"
The Hunger Games,03 Dec 2023,★★★★½,True,
Tinker Bell,03 Dec 2023,★★★½,False,esse eh um filme cuja mensagem eh que o proletariado tem que se contentar em estar sempre abaixo e desistir da ideia de subir na vida e vcs continuam aclamando ele
Mean Girls,03 Dec 2023,★★★★½,False,
Saw X,26 Nov 2023,★★,False,
Five Nights at Freddy's,26 Nov 2023,★,False,imagine being a child actor and your parents kill your carreer at such a young age putting this in your resume
Five Nights at Freddy's,03 Nov 2023,★½,False,imagine being a child actor and your parents kill your carreer at such a young age putting this in your resume
Friday the 13th Part III,13 Oct 2023,★★★,False,meu deus isso eh hoje
Evil Dead Rise,12 Oct 2023,★★★★,True,
[REC],12 Oct 2023,★★★★,True,
The Exorcist,11 Oct 2023,★★★★½,False,
Totally Killer,08 Oct 2023,★★½,False,"tem mais furo de roteiro que historia. se as pessoas lembravam que a banda do cara mudou e que fulana morreu em lugar diferente e toda aquela história de efeito mandela que os personagens tavam conversando, como que ninguém lembrava mais que A MAE MORREU e agora ela aparece viva do nada e UM IRMAO que semana passada nao existia e agora existe pqp nada faz sentido."
The Nun II,08 Oct 2023,★,False,esse cara eh um pedofilo a mulher uma chata essa historia eh ridicula e a freira uma vagabunda
The Wonderful Story of Henry Sugar,30 Sep 2023,★★★★,True,
Cousin Ben Troop Screening,27 Sep 2023,★★★,False,
Castello Cavalcanti,27 Sep 2023,★★★½,True,best commercial ever
Do You Like to Read?,27 Sep 2023,★★★★,False,
The Wonderful Story of Henry Sugar,27 Sep 2023,★★★★,True,
Laura Hasn't Slept,17 Sep 2023,★★★,False,
Talk to Me,17 Sep 2023,★★★★,True,"to sem ideias, alguem me da uma maozinha pra fazer essa review haha"
Laura Hasn't Slept,11 Sep 2023,★★★,False,
The Nun,10 Sep 2023,★★,False,
Don't Look Up,10 Sep 2023,★★★★,True,
1408,09 Sep 2023,★★★½,False,
Cobweb,09 Sep 2023,★★½,False,
Volver,06 Sep 2023,★★★★★,True,
Black Mirror: Nosedive,06 Sep 2023,★★★½,False,
All of Us Are Dead,05 Sep 2023,★★★★,True,
Arrival,05 Sep 2023,★★★★½,True,
The Haunting of Bly Manor,31 Aug 2023,★★★★½,True,
Free Guy,27 Aug 2023,★★★½,False,
Elemental,19 Aug 2023,★★★½,False,
No Hard Feelings,13 Aug 2023,★★★★,True,
Smile,12 Aug 2023,★★★½,True,
Scott Pilgrim vs. the World,12 Aug 2023,★★★★,False,
Watchmen,12 Aug 2023,★★★★★,True,
Void,10 Aug 2023,★★★,False,
Appendage,10 Aug 2023,★★★½,True,
Us,06 Aug 2023,★★★★½,True,
Get Out,06 Aug 2023,★★★★★,True,
Bodies Bodies Bodies,06 Aug 2023,★★★★½,True,
Spree,06 Aug 2023,★★★½,False,
Scream,04 Aug 2023,★★★★,True,
Pirates of the Caribbean: At World's End,30 Jul 2023,★★★½,False,
Pirates of the Caribbean: Dead Man's Chest,30 Jul 2023,★★★★,True,
Pirates of the Caribbean: The Curse of the Black Pearl,30 Jul 2023,★★★★½,True,
Barbie and the Three Musketeers,29 Jul 2023,★★★★,False,
Perfect Blue,29 Jul 2023,★★★★★,True,
Fear & Shame,25 Jul 2023,★★★★,False,
Tenet,25 Jul 2023,★★★★★,True,
Perfect Blue,24 Jul 2023,★★★★★,True,
Unfriended: Dark Web,23 Jul 2023,★★★,False,
Barbie,21 Jul 2023,★★★★★,True,
GoodFellas,19 Jul 2023,★★★★★,True,
Guardians of the Galaxy Vol. 3,18 Jul 2023,★★★★,False,
Heat,17 Jul 2023,★★★★★,True,
Mission: Impossible,17 Jul 2023,★★★★,False,
Ju-on: The Grudge,16 Jul 2023,★★,False,
Shutter,16 Jul 2023,★★★,False,
Halloween,15 Jul 2023,★★★★,True,
Indiana Jones and the Last Crusade,15 Jul 2023,★★★★★,True,
Beautiful Boy,12 Jul 2023,★★★★½,True,
Sinister,11 Jul 2023,★★★½,True,
Zodiac,10 Jul 2023,★★★★½,True,
Gone Girl,09 Jul 2023,★★★★½,True,
Ring,09 Jul 2023,★★½,False,
Fight Club,07 Jul 2023,★★★★★,True,
Indiana Jones and the Last Crusade,05 Jul 2023,★★★★★,True,
Women on the Verge of a Nervous Breakdown,04 Jul 2023,★★★★½,True,
Raiders of the Lost Ark,04 Jul 2023,★★★★★,True,
Indiana Jones and the Kingdom of the Crystal Skull,03 Jul 2023,★½,False,
Nymphomaniac: Vol. I,02 Jul 2023,★★★★,False,
Black Mirror: Joan Is Awful,02 Jul 2023,★★★½,False,
Dune,02 Jul 2023,★★★★½,True,
Prisoners,01 Jul 2023,★★★★★,True,
Sixteen Candles,30 Jun 2023,★½,False,
Ferris Bueller's Day Off,29 Jun 2023,★★★★★,True,
Final Destination 2,25 Jun 2023,★★★,False,
Final Destination,23 Jun 2023,★★★½,True,
P.O.V. A Cursed Film,18 Jun 2023,★½,False,
Paranormal Activity,18 Jun 2023,★★★★,False,
The Internship,18 Jun 2023,★★½,False,
Twilight,18 Jun 2023,★★★★★,True,in the scene where edward jumps on her truck and fixes it how did she not notice he was there if his car was perfectly parked 5 feet away from her
Rebel Without a Cause,15 Jun 2023,★★★★,False,
What Ever Happened to Baby Jane?,13 Jun 2023,★★★★,True,
To Have and Have Not,13 Jun 2023,★★★★½,True,
Identity Thief,11 Jun 2023,★½,False,
He's Out There,11 Jun 2023,★★,False,
The Haunting of Hill House,04 Jun 2023,★★★★★,True,
Midnight Mass,02 Jun 2023,★★★★½,True,
Dial M for Murder,22 May 2023,★★★★½,True,
Evil Dead Rise,22 Apr 2023,★★★★,True,
Black Swan,21 Apr 2023,★★★★½,False,
Midnight in Paris,17 Apr 2023,★★★★★,False,
Mr. & Mrs. Smith,16 Apr 2023,★★★½,False,
Lights Out,15 Apr 2023,★★★½,False,
Attic Panic,26 Mar 2023,★★★,False,
Don't Look Away,26 Mar 2023,★★½,False,
Scream,26 Mar 2023,★★★★★,True,
Incantation,25 Mar 2023,★★★½,False,
The Whale,22 Mar 2023,★★★★★,True,
Ad Astra,20 Mar 2023,★★★★,False,
Barbie and the Magic of Pegasus,19 Mar 2023,★★★,False,
mid90s,18 Mar 2023,★★★★★,True,
Scream VI,17 Mar 2023,★★★★½,True,
Infinity Pool,11 Mar 2023,★★★½,False,
Venom: Let There Be Carnage,06 Mar 2023,★★★½,False,
Parasite,05 Mar 2023,★★★★★,True,
Till Luck Do Us Part,04 Mar 2023,★★★,False,
Ocean's Twelve,01 Mar 2023,★★★★,False,
The Addams Family,26 Feb 2023,★★★★,True,
Teen Beach Movie,25 Feb 2023,★★★★★,True,
Band of Brothers,22 Feb 2023,★★★★★,True,
Ocean's Eight,21 Feb 2023,★★★½,True,
Work It,21 Feb 2023,★★½,False,
Fifty Shades of Grey,20 Feb 2023,½,False,
Bones and All,19 Feb 2023,★★★★½,True,
Melancholia,18 Feb 2023,★★★★,True,
La La Land,14 Feb 2023,★★★★★,True,
The Heat,11 Feb 2023,★★★,False,
Her,11 Feb 2023,★★★★,True,
The Girl with the Dragon Tattoo,09 Feb 2023,★★★★½,True,
Pitch Perfect,05 Feb 2023,★★★★,False,
Booksmart,04 Feb 2023,★★★★,False,
Miss Congeniality,29 Jan 2023,★★★½,False,
Bridget Jones's Diary,28 Jan 2023,★½,False,
Train to Busan,26 Jan 2023,★★★★,False,
Twelve Monkeys,23 Jan 2023,★★★★½,True,
The Predator,22 Jan 2023,★½,False,
The Virgin Suicides,22 Jan 2023,★★★★★,True,
Hellraiser,22 Jan 2023,★★★★,False,
