Movie,Date Watched,Rating,Liked,Review
Maestro,23 Dec 2023,★½,False,
Maestro,23 Dec 2023,★,False,
Scrooge,24 Nov 2023,★★★½,True,
The Host,16 Oct 2023,★★½,False,
Leave No Trace,06 Sep 2023,★★★½,True,
Guardians of the Galaxy Vol. 3,03 Sep 2023,★★★★,True,One of the best Marvel movies I've seen in a long time but I feel like this should be rated R just for the emotional trauma lol. Sorry Mark and Julia for crying all over you on the plane multiple times :///
Emily the Criminal,27 Aug 2023,★★★½,True,
The Banshees of Inisherin,25 Jul 2023,★★★,True,
Aisha,25 Jul 2023,★★★★½,True,
Paris Is Burning,20 Jun 2023,★★★½,True,
Dog Day Afternoon,18 Jun 2023,★★★½,True,Just a silly and fun bank robbery woohoo!!!! Right up until the last 10 minutes :(
Cast Away,11 Jun 2023,★★½,False,
Where to Invade Next,10 May 2023,,False,
Edge of Tomorrow,27 Apr 2023,★★★½,True,Great flick but that ending had me laughing for a good minute. Why did they cut it so abruptly haha
The Big Sick,24 Apr 2023,★★★½,False,
Dungeons & Dragons: Honor Among Thieves,07 Apr 2023,★★,False,
John Wick,25 Mar 2023,★★,False,
American Gangster,16 Mar 2023,★★★,True,"Denzel is MY MAN hahaha get it?! He really was the highlight of this for me though. Awesome, star studded cast and a great sense of atmosphere. My main qualm was that I didn't feel as invested in Russell Crowe's character until his story began to intertwine with Frank's. "
Station Eleven,03 Mar 2023,★½,False,
Jean-Michel Basquiat: The Radiant Child,19 Feb 2023,★★★½,True,
Superman vs. The Elite,29 Jan 2023,★★,False,
The Hurt Locker,20 Jan 2023,★★,False,
Sound of Metal,15 Jan 2023,★★★½,True,"A movie about change and how quickly the course of someone's life can be altered. Amazing, immersive sound design and great performances. I was itching to see more of what Ruben ended up doing music-wise especially with the foreshadowing some scenes seemed to lean into. Instead, Sound of Metal leaves things more open-ended which I still thought was a fitting end but left me wanting even more. Maybe it's just my bias as a musician haha. Would love to give Rubie a big ol HUG!"
Miles Davis: Birth of the Cool,07 Jan 2023,★★½,False,
Aftersun,02 Jan 2023,½,False,"2 hours of shots of the ocean, paragliders, and a kid singing karaoke."
"Three Billboards Outside Ebbing, Missouri",01 Jan 2023,★½,False,
Boiling Point,31 Dec 2022,★★★★,True,"The one shot format really works well for Boiling Point, providing a sense of atmosphere that I don't think would be accomplished otherwise. Every performance in this is exceptional and had me equally invested in all of the different members of the restaraunt team."
Good Time,27 Dec 2022,★★★½,True,
Logan,27 Dec 2022,★★★★,True,
Dunkirk,27 Dec 2022,★★★,True,
Guava Island,27 Dec 2022,★★★½,True,
Fyre,27 Dec 2022,★★★,True,
Chernobyl,27 Dec 2022,★★★½,True,
Joker,27 Dec 2022,★★★½,True,
Sorry to Bother You,27 Dec 2022,★★★½,True,
Thor: Love and Thunder,27 Dec 2022,½,False,
The Lighthouse,27 Dec 2022,★½,False,
Two Distant Strangers,27 Dec 2022,½,False,
The Trial of the Chicago 7,27 Dec 2022,½,False,
Stillwater,27 Dec 2022,★★★½,True,
Drive My Car,27 Dec 2022,★½,False,
Dune,27 Dec 2022,★★,False,
Shang-Chi and the Legend of the Ten Rings,27 Dec 2022,★½,False,
Shang-Chi and the Legend of the Ten Rings,27 Dec 2022,★,False,
Moon Knight,27 Dec 2022,★★,False,
Triangle of Sadness,27 Dec 2022,★★★★,True,
Minding the Gap,27 Dec 2022,★★★★,True,"Minding the Gap tells a story of generational trauma and escapism. What really brings this documentary to life though, is the direction of Bing Liu. With a combination of hard hitting, upfront questions and a willingness to peel back the layers of his own life, Bing comes across something truly unique. With an exceptionally emotional and vulnerable last 20 or so minutes, Minding the Gap is an essential watch that may hopefully bring about much needed conversations and reflection in households similar to those of the 3 boys."
When They See Us,26 Dec 2022,★★★★★,True,
1917,26 Dec 2022,★★★★,True,
Judas and the Black Messiah,26 Dec 2022,★★★★★,True,
The Father,26 Dec 2022,★★★★,False,
Inside Out,26 Dec 2022,★★★★½,True,
Parasite,25 Dec 2022,★★★★,True,
Uncut Gems,25 Dec 2022,★★★★,True,
Everything Everywhere All at Once,25 Dec 2022,★★★★½,True,
Black Adam,25 Dec 2022,★,False,
Glass Onion,25 Dec 2022,★★½,False,
Before Sunrise,13 Sep 2022,★½,False,
The Batman,10 Aug 2022,★★★★,False,
Okja,10 Jan 2022,★★,False,
Bo Burnham: Inside,03 Dec 2021,★★,False,
Bao,15 Nov 2021,★★★★★,True,
Nomadland,26 Sep 2021,,False,
GoodFellas,09 Jul 2021,,False,
Die Hard,03 Nov 2020,★★★★,True,
